Year,Migrationsstatus,Hauhaltsnettoeinkommen,Haushaltsgröße,Comment_OBS,Value
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,16
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,21
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,29
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,31
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,54
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,100
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,734
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,20
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,76
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,insgesamt,,54
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,insgesamt,,42
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,111
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,99
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,77
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,61
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,51
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,66
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,76
2023,Insgesamt,Insgesamt,insgesamt,,3888
2023,Insgesamt,unter 500,insgesamt,,54
2023,Insgesamt,500 - 1000,insgesamt,,254
2023,Insgesamt,1000 - 1250,insgesamt,,206
2023,Insgesamt,1250 - 1500,insgesamt,,211
2023,Insgesamt,1500 - 2000,insgesamt,,501
2023,Insgesamt,2000 - 2500,insgesamt,,505
2023,Insgesamt,2500 - 3000,insgesamt,,389
2023,Insgesamt,3000 - 3500,insgesamt,,343
2023,Insgesamt,3500 - 4000,insgesamt,,297
2023,Insgesamt,4000 - 5000,insgesamt,,463
2023,Insgesamt,5000 und mehr,insgesamt,,664
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2944
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,35
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,175
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,insgesamt,,157
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,insgesamt,,161
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,374
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,397
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,295
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,260
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,221
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,352
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,519
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,249
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,11
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,19
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,26
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,25
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,30
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,52
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,80
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,695
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,19
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,77
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,insgesamt,,48
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,insgesamt,,48
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,116
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,89
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,69
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,57
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,46
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,60
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,65
2022,Insgesamt,Insgesamt,insgesamt,,3914
2022,Insgesamt,unter 500,insgesamt,,68
2022,Insgesamt,500 - 1000,insgesamt,,291
2022,Insgesamt,1000 - 1250,insgesamt,,221
2022,Insgesamt,1250 - 1500,insgesamt,,230
2022,Insgesamt,1500 - 2000,insgesamt,,527
2022,Insgesamt,2000 - 2500,insgesamt,,503
2022,Insgesamt,2500 - 3000,insgesamt,,399
2022,Insgesamt,3000 - 3500,insgesamt,,342
2022,Insgesamt,3500 - 4000,insgesamt,,301
2022,Insgesamt,4000 - 5000,insgesamt,,435
2022,Insgesamt,5000 und mehr,insgesamt,,597
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2971
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,49
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,207
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,insgesamt,,171
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,insgesamt,,171
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,395
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,392
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,302
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,260
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,226
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,333
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,465
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,249
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,insgesamt,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,insgesamt,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,18
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,22
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,24
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,26
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,30
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,44
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,74
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,695
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,19
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,82
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,insgesamt,,46
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,insgesamt,,54
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,114
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,89
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,74
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,56
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,46
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,58
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,58
2021,Insgesamt,Insgesamt,insgesamt,,3894
2021,Insgesamt,unter 500,insgesamt,,83
2021,Insgesamt,500 - 1000,insgesamt,,335
2021,Insgesamt,1000 - 1250,insgesamt,,234
2021,Insgesamt,1250 - 1500,insgesamt,,242
2021,Insgesamt,1500 - 2000,insgesamt,,534
2021,Insgesamt,2000 - 2500,insgesamt,,496
2021,Insgesamt,2500 - 3000,insgesamt,,389
2021,Insgesamt,3000 - 3500,insgesamt,,347
2021,Insgesamt,3500 - 4000,insgesamt,,299
2021,Insgesamt,4000 - 5000,insgesamt,,405
2021,Insgesamt,5000 und mehr,insgesamt,,532
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2986
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,57
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,239
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,insgesamt,,182
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,insgesamt,,186
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,406
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,391
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,294
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,263
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,229
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,316
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,423
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,241
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,,/
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,,/
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,insgesamt,,/
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,insgesamt,,/
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,18
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,21
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,28
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,30
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,29
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,38
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,65
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,667
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,25
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,94
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,insgesamt,,47
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,insgesamt,,51
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,110
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,84
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,67
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,54
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,41
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,50
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,44
2024,Insgesamt,Insgesamt,Einpersonenhaushalte,,1603
2024,Insgesamt,unter 500,Einpersonenhaushalte,,50
2024,Insgesamt,500 - 1000,Einpersonenhaushalte,,213
2024,Insgesamt,1000 - 1250,Einpersonenhaushalte,,176
2024,Insgesamt,1250 - 1500,Einpersonenhaushalte,,166
2024,Insgesamt,1500 - 2000,Einpersonenhaushalte,,324
2024,Insgesamt,2000 - 2500,Einpersonenhaushalte,,294
2024,Insgesamt,2500 - 3000,Einpersonenhaushalte,,154
2024,Insgesamt,3000 - 3500,Einpersonenhaushalte,,97
2024,Insgesamt,3500 - 4000,Einpersonenhaushalte,,48
2024,Insgesamt,4000 - 5000,Einpersonenhaushalte,,46
2024,Insgesamt,5000 und mehr,Einpersonenhaushalte,,35
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,1285
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,32
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,145
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,134
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,139
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,260
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,248
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,Einpersonenhaushalte,,132
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,Einpersonenhaushalte,,84
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,Einpersonenhaushalte,,41
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,Einpersonenhaushalte,,39
2024,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,Einpersonenhaushalte,,29
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,Einpersonenhaushalte,,0
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,Einpersonenhaushalte,,0
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,318
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,18
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,67
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,42
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,26
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,64
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,47
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,Einpersonenhaushalte,,21
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,Einpersonenhaushalte,,13
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,Einpersonenhaushalte,gesperrt,
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,Einpersonenhaushalte,gesperrt,
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,Einpersonenhaushalte,gesperrt,
2023,Insgesamt,Insgesamt,Einpersonenhaushalte,,1590
2023,Insgesamt,unter 500,Einpersonenhaushalte,,51
2023,Insgesamt,500 - 1000,Einpersonenhaushalte,,237
2023,Insgesamt,1000 - 1250,Einpersonenhaushalte,,180
2023,Insgesamt,1250 - 1500,Einpersonenhaushalte,,166
2023,Insgesamt,1500 - 2000,Einpersonenhaushalte,,347
2023,Insgesamt,2000 - 2500,Einpersonenhaushalte,,289
2023,Insgesamt,2500 - 3000,Einpersonenhaushalte,,137
2023,Insgesamt,3000 - 3500,Einpersonenhaushalte,,82
2023,Insgesamt,3500 - 4000,Einpersonenhaushalte,,39
2023,Insgesamt,4000 - 5000,Einpersonenhaushalte,,38
2023,Insgesamt,5000 und mehr,Einpersonenhaushalte,,25
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,1297
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,33
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,168
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,145
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,137
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,282
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,249
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,Einpersonenhaushalte,,121
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,Einpersonenhaushalte,,72
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,Einpersonenhaushalte,,35
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,Einpersonenhaushalte,,33
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,Einpersonenhaushalte,,22
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,Einpersonenhaushalte,,0
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,Einpersonenhaushalte,,0
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,293
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,18
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,68
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,35
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,28
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,65
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,40
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,Einpersonenhaushalte,,17
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,Einpersonenhaushalte,,10
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,Einpersonenhaushalte,gesperrt,
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,Einpersonenhaushalte,gesperrt,
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,Einpersonenhaushalte,gesperrt,
2022,Insgesamt,Insgesamt,Einpersonenhaushalte,,1577
2022,Insgesamt,unter 500,Einpersonenhaushalte,,64
2022,Insgesamt,500 - 1000,Einpersonenhaushalte,,271
2022,Insgesamt,1000 - 1250,Einpersonenhaushalte,,184
2022,Insgesamt,1250 - 1500,Einpersonenhaushalte,,174
2022,Insgesamt,1500 - 2000,Einpersonenhaushalte,,340
2022,Insgesamt,2000 - 2500,Einpersonenhaushalte,,264
2022,Insgesamt,2500 - 3000,Einpersonenhaushalte,,123
2022,Insgesamt,3000 - 3500,Einpersonenhaushalte,,67
2022,Insgesamt,3500 - 4000,Einpersonenhaushalte,,32
2022,Insgesamt,4000 - 5000,Einpersonenhaushalte,,29
2022,Insgesamt,5000 und mehr,Einpersonenhaushalte,,28
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,1291
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,47
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,198
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,151
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,141
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,282
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,226
