Year,Statistische Region,Nationalität,Schulform,Units,GeoCode,Value
2005,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,13.0865361942938
2005,Statistische Region Hannover,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,14.711559082136
2005,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,9.42249240121581
2005,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,7.91798821930222
2005,Niedersachsen,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR0,10.5766345123258
2021,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,86.9581894898351
2021,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,86.3391896737182
2021,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,92.1354451119607
2021,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,90.3247631935047
2021,Niedersachsen,Deutsche,Realschule,Prozent,SR0,88.696847687322
2020,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,88.2127659574468
2020,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,83.8274932614555
2020,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,89.8743016759776
2020,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,89.5010845986985
2020,Niedersachsen,Deutsche,Realschule,Prozent,SR0,87.8619994963485
2019,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,87.7957658779576
2019,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,84.3456790123457
2019,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,91.0386965376782
2019,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,91.069330199765
2019,Niedersachsen,Deutsche,Realschule,Prozent,SR0,88.5224586288416
2018,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,90.5581039755352
2018,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,86.2562007586811
2018,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,93.5197514425211
2018,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,91.8546365914787
2018,Niedersachsen,Deutsche,Realschule,Prozent,SR0,90.2158774373259
2017,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,90.634110787172
2017,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,88.4017758046615
2017,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,94.0311418685121
2017,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,92.6552179656539
2017,Niedersachsen,Deutsche,Realschule,Prozent,SR0,91.2334270791483
2016,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,90.3443379481718
2016,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,89.6143958868895
2016,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,94.1538461538462
2016,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,93.7020316027088
2016,Niedersachsen,Deutsche,Realschule,Prozent,SR0,91.9414719371042
2015,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,93.1810766721044
2015,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,91.3305964742816
2015,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,96.382252559727
2015,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,95.1491053677932
2015,Niedersachsen,Deutsche,Realschule,Prozent,SR0,93.9469866807332
2014,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,93.816067653277
2014,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,91.7523609653725
2014,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,96.7070707070707
2014,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,94.8541269608562
2014,Niedersachsen,Deutsche,Realschule,Prozent,SR0,94.384842519685
2013,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,92.2915353917244
2013,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,91.6212752322973
2013,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,96.9669356938297
2013,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,95.6000748923423
2013,Niedersachsen,Deutsche,Realschule,Prozent,SR0,94.5755439779344
2012,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,92.8557673791643
2012,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,91.018922852984
2012,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,96.6388744137572
2012,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,95.4565821310153
2012,Niedersachsen,Deutsche,Realschule,Prozent,SR0,94.3264936241828
2011,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,89.2
2011,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,91.4738591333248
2011,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,96.4614817545153
2011,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,95.4591577879249
2011,Niedersachsen,Deutsche,Realschule,Prozent,SR0,56.9650706902697
2010,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,93.136738634369
2010,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,90.8653846153846
2010,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,96.6625615763547
2010,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,95.899482129213
2010,Niedersachsen,Deutsche,Realschule,Prozent,SR0,94.4716479264901
2005,Statistische Region Braunschweig,Deutsche,Realschule,Prozent,SR031,93.5603142813126
2005,Statistische Region Hannover,Deutsche,Realschule,Prozent,SR032,90.7606045831302
2005,Statistische Region Lüneburg,Deutsche,Realschule,Prozent,SR033,96.6383404148963
2005,Statistische Region Weser-Ems,Deutsche,Realschule,Prozent,SR034,96.0331299040976
2005,Niedersachsen,Deutsche,Realschule,Prozent,SR0,94.4390786431352
2021,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,13.0418105101649
2021,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,13.6608103262818
2021,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,7.86455488803932
2021,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,9.67523680649526
2021,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,11.303152312678
2020,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,11.7872340425532
2020,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,16.1725067385445
2020,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,10.1256983240223
2020,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,10.4989154013015
2020,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,12.1380005036515
2019,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,12.2042341220423
2019,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,15.6543209876543
2019,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,8.96130346232179
2019,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,8.93066980023502
2019,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,11.4775413711584
2018,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,9.44189602446483
2018,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,13.7437992413189
2018,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,6.48024855747892
2018,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,8.1453634085213
2018,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,9.78412256267409
2017,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,9.36588921282799
2017,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,11.5982241953385
2017,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,5.96885813148789
2017,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,7.3447820343461
2017,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,8.76657292085175
2016,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,9.65566205182819
2016,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,10.3856041131105
2016,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,5.84615384615385
2016,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,6.2979683972912
2016,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,8.05852806289583
2015,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,6.8189233278956
2015,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,8.66940352571842
2015,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.61774744027304
2015,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,4.85089463220676
2015,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,6.05301331926678
2014,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,6.18393234672304
2014,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,8.24763903462749
2014,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.29292929292929
2014,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,5.14587303914382
2014,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,5.61515748031496
2013,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,7.70846460827557
2013,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,8.37872476770266
2013,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.03306430617027
2013,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,4.39992510765774
2013,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,5.42445602206558
2012,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,7.14423262083574
2012,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,8.98107714701601
2012,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.36112558624284
2012,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,4.54341786898468
2012,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,5.6735063758172
2011,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,6.8
2011,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,8.52614086667519
2011,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.5385182454847
2011,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,4.54084221207509
2011,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,43.0349293097303
2010,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,6.86326136563103
2010,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,9.13461538461538
2010,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.33743842364532
2010,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,4.10051787078699
2010,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,5.52835207350985
2005,Statistische Region Braunschweig,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,6.43968571868741
2005,Statistische Region Hannover,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,9.23939541686982
2005,Statistische Region Lüneburg,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.36165958510372
2005,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,3.96687009590235
2005,Niedersachsen,Ausländerinnen und Ausländer,Realschule,Prozent,SR0,5.56092135686481
2021,Statistische Region Braunschweig,Deutsche,Oberschule,Prozent,SR031,88.489646772229
2021,Statistische Region Hannover,Deutsche,Oberschule,Prozent,SR032,79.8308800501096
2021,Statistische Region Lüneburg,Deutsche,Oberschule,Prozent,SR033,88.464447806354
2021,Statistische Region Weser-Ems,Deutsche,Oberschule,Prozent,SR034,82.5129533678757
2021,Niedersachsen,Deutsche,Oberschule,Prozent,SR0,84.2707493956487
2020,Statistische Region Braunschweig,Deutsche,Oberschule,Prozent,SR031,86.7431485022307
2020,Statistische Region Hannover,Deutsche,Oberschule,Prozent,SR032,80.9323405632891
2020,Statistische Region Lüneburg,Deutsche,Oberschule,Prozent,SR033,88.1531100478469
2020,Statistische Region Weser-Ems,Deutsche,Oberschule,Prozent,SR034,83.8603114676734
2020,Niedersachsen,Deutsche,Oberschule,Prozent,SR0,84.8357753690288
2019,Statistische Region Braunschweig,Deutsche,Oberschule,Prozent,SR031,87.9703886489821
2019,Statistische Region Hannover,Deutsche,Oberschule,Prozent,SR032,80.1820020222447
2019,Statistische Region Lüneburg,Deutsche,Oberschule,Prozent,SR033,89.5745072757414
2019,Statistische Region Weser-Ems,Deutsche,Oberschule,Prozent,SR034,96.549622043404
2019,Niedersachsen,Deutsche,Oberschule,Prozent,SR0,86.0360121102672
2018,Statistische Region Braunschweig,Deutsche,Oberschule,Prozent,SR031,87.625
2018,Statistische Region Hannover,Deutsche,Oberschule,Prozent,SR032,85.7193105874077
2018,Statistische Region Lüneburg,Deutsche,Oberschule,Prozent,SR033,90.1497384088039
2018,Statistische Region Weser-Ems,Deutsche,Oberschule,Prozent,SR034,87.821906833009
2018,Niedersachsen,Deutsche,Oberschule,Prozent,SR0,88.1749719596219
2017,Statistische Region Braunschweig,Deutsche,Oberschule,Prozent,SR031,90.0584795321637
2017,Statistische Region Hannover,Deutsche,Oberschule,Prozent,SR032,85.6221547799696
2017,Statistische Region Lüneburg,Deutsche,Oberschule,Prozent,SR033,91.6635995583364
2017,Statistische Region Weser-Ems,Deutsche,Oberschule,Prozent,SR034,88.6122692078618
2017,Niedersachsen,Deutsche,Oberschule,Prozent,SR0,89.2269601100413
2016,Statistische Region Braunschweig,Deutsche,Oberschule,Prozent,SR031,91.6826615483046
2016,Statistische Region Hannover,Deutsche,Oberschule,Prozent,SR032,89.390142021721
2016,Statistische Region Lüneburg,Deutsche,Oberschule,Prozent,SR033,93.1905126243305
2016,Statistische Region Weser-Ems,Deutsche,Oberschule,Prozent,SR034,90.7862407862408
2016,Niedersachsen,Deutsche,Oberschule,Prozent,SR0,91.4299557870511
2015,Statistische Region Braunschweig,Deutsche,Oberschule,Prozent,SR031,94.8598130841121
2015,Statistische Region Hannover,Deutsche,Oberschule,Prozent,SR032,90.7633909742725
