Year,Kategorie,Geschlecht,Units,Value
Juni 2016,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,19.3
Juni 2017,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,19.8
Juni 2018,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,17.9
Juni 2019,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,17.2
Juni 2020,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,20.4
Juni 2021,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,19.0
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,12.3
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,12.3
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,11.8
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,10.9
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,10.5
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,9.8
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,9.4
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,9.7
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,10.4
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,12.3
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,12.1
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,10.5
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,9.8
Juni 2020,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,11.8
Juni 2021,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,10.2
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,10.7
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,10.3
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,10.3
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,9.3
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,9.0
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,8.2
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,7.8
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,7.8
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,8.4
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,11.3
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,10.5
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,8.8
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,8.1
Juni 2020,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,9.9
Juni 2021,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,7.9
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,14.9
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,15.4
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,13.8
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,13.0
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,12.6
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,11.9
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,11.6
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,12.2
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,13.3
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,13.7
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,14.3
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,12.9
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,12.5
Juni 2020,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,14.7
Juni 2021,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Frauen,Prozentpunkte,13.7
Juni 2007,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,7.9
Juni 2008,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,6.3
Juni 2009,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,7.4
Juni 2010,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,6.6
Juni 2011,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.4
Juni 2012,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.2
Juni 2013,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.7
Juni 2014,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.3
Juni 2015,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.8
Juni 2016,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.6
Juni 2017,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.3
Juni 2018,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.7
Juni 2019,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.4
Juni 2020,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,6.0
Juni 2021,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.7
Juni 2007,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,4.7
Juni 2008,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.5
Juni 2009,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.7
Juni 2010,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.5
Juni 2011,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,2.9
Juni 2012,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.0
Juni 2013,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.1
Juni 2014,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.0
Juni 2015,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,2.9
Juni 2016,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.4
Juni 2017,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.1
Juni 2018,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,2.9
Juni 2019,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,2.6
Juni 2020,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,3.4
Juni 2021,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,15 bis unter 20 Jahre,%,2.7
Juni 2007,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,9.3
Juni 2008,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,7.5
Juni 2009,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,9.0
Juni 2010,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,8.0
Juni 2011,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.5
Juni 2012,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.1
Juni 2013,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.7
Juni 2014,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.2
Juni 2015,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,5.6
Juni 2016,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.6
Juni 2017,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,6.3
Juni 2018,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,5.5
Juni 2019,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,5.1
Juni 2020,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,7.1
Juni 2021,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,20 bis unter 25 Jahre,%,5.4
Juni 2007,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,14.9
Juni 2008,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13.1
Juni 2009,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13.6
Juni 2010,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12.6
Juni 2011,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11.7
Juni 2012,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,10.9
Juni 2013,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11.0
Juni 2014,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11.7
Juni 2015,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12.0
Juni 2016,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,18.3
Juni 2017,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,16.4
Juni 2018,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13.5
Juni 2019,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12.1
Juni 2020,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,14.9
Juni 2021,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11.4
Juni 2007,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,13.7
Juni 2008,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,11.3
Juni 2009,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,10.0
Juni 2010,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,9.9
Juni 2011,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,8.9
Juni 2012,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,8.2
Juni 2013,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,9.2
Juni 2014,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,10.3
Juni 2015,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,11.5
Juni 2016,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,16.4
Juni 2017,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,13.4
Juni 2018,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,11.2
Juni 2019,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,9.4
Juni 2020,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,11.1
Juni 2021,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,15 bis unter 20 Jahre,%,10.1
Juni 2007,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,15.3
Juni 2008,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,13.8
Juni 2009,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,14.8
Juni 2010,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,13.5
Juni 2011,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,12.7
Juni 2012,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,11.8
Juni 2013,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,11.5
Juni 2014,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,12.1
Juni 2015,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,12.1
Juni 2016,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,18.8
Juni 2017,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,17.2
Juni 2018,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,14.1
Juni 2019,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,12.8
Juni 2020,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,15.8
Juni 2021,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,20 bis unter 25 Jahre,%,11.7
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,7.0
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,6.8
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,6.2
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,6.0
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,6.3
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,5.7
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,5.3
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,6.4
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,7.2
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,12.7
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,11.1
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,8.8
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt (bis unter 25 Jahren),Insgesamt,Prozentpunkte,7.7
