Year,Berufsgruppe,Geschlecht,Verfahren,Entscheidung vor Rechtsbehelf,Value
2019,darunter medizinische Gesundheitsberufe,Frauen,abgeschlossene Verfahren,,2100.0
2019,darunter medizinische Gesundheitsberufe,Insgesamt,abgeschlossene Verfahren,,3615.0
2018,alle Berufsgruppen,Männer,abgeschlossene Verfahren,,1707.0
2018,alle Berufsgruppen,Frauen,abgeschlossene Verfahren,,1845.0
2018,alle Berufsgruppen,Insgesamt,abgeschlossene Verfahren,,3552.0
2018,darunter medizinische Gesundheitsberufe,Männer,abgeschlossene Verfahren,,951.0
2018,darunter medizinische Gesundheitsberufe,Frauen,abgeschlossene Verfahren,,1293.0
2018,darunter medizinische Gesundheitsberufe,Insgesamt,abgeschlossene Verfahren,,2244.0
2017,alle Berufsgruppen,Männer,abgeschlossene Verfahren,,1443.0
2017,alle Berufsgruppen,Frauen,abgeschlossene Verfahren,,1404.0
2017,alle Berufsgruppen,Insgesamt,abgeschlossene Verfahren,,2847.0
2017,darunter medizinische Gesundheitsberufe,Männer,abgeschlossene Verfahren,,711.0
2017,darunter medizinische Gesundheitsberufe,Frauen,abgeschlossene Verfahren,,948.0
2017,darunter medizinische Gesundheitsberufe,Insgesamt,abgeschlossene Verfahren,,1659.0
2016,alle Berufsgruppen,Männer,abgeschlossene Verfahren,,1320.0
2016,alle Berufsgruppen,Frauen,abgeschlossene Verfahren,,1362.0
2016,alle Berufsgruppen,Insgesamt,abgeschlossene Verfahren,,2682.0
2016,darunter medizinische Gesundheitsberufe,Männer,abgeschlossene Verfahren,,711.0
2016,darunter medizinische Gesundheitsberufe,Frauen,abgeschlossene Verfahren,,903.0
2016,darunter medizinische Gesundheitsberufe,Insgesamt,abgeschlossene Verfahren,,1614.0
2015,alle Berufsgruppen,Männer,abgeschlossene Verfahren,,957.0
2015,alle Berufsgruppen,Frauen,abgeschlossene Verfahren,,1227.0
2015,alle Berufsgruppen,Insgesamt,abgeschlossene Verfahren,,2199.0
2015,darunter medizinische Gesundheitsberufe,Männer,abgeschlossene Verfahren,,591.0
2015,darunter medizinische Gesundheitsberufe,Frauen,abgeschlossene Verfahren,,702.0
2015,darunter medizinische Gesundheitsberufe,Insgesamt,abgeschlossene Verfahren,,1293.0
2014,alle Berufsgruppen,Männer,abgeschlossene Verfahren,,916.0
2014,alle Berufsgruppen,Frauen,abgeschlossene Verfahren,,1248.0
2014,alle Berufsgruppen,Insgesamt,abgeschlossene Verfahren,,2164.0
2014,darunter medizinische Gesundheitsberufe,Männer,abgeschlossene Verfahren,,597.0
2014,darunter medizinische Gesundheitsberufe,Frauen,abgeschlossene Verfahren,,544.0
2014,darunter medizinische Gesundheitsberufe,Insgesamt,abgeschlossene Verfahren,,1141.0
2012,alle Berufsgruppen,Männer,abgeschlossene Verfahren,,222.0
2012,alle Berufsgruppen,Frauen,abgeschlossene Verfahren,,339.0
2012,alle Berufsgruppen,Insgesamt,abgeschlossene Verfahren,,561.0
2012,darunter medizinische Gesundheitsberufe,Männer,abgeschlossene Verfahren,,180.0
2012,darunter medizinische Gesundheitsberufe,Frauen,abgeschlossene Verfahren,,291.0
2012,darunter medizinische Gesundheitsberufe,Insgesamt,abgeschlossene Verfahren,,471.0
2020,alle Berufsgruppen,Männer,,positiv volle Gleichwertigkeit,1182.0
2020,alle Berufsgruppen,Frauen,,positiv volle Gleichwertigkeit,1338.0
2020,alle Berufsgruppen,Insgesamt,,positiv volle Gleichwertigkeit,2520.0
2020,darunter medizinische Gesundheitsberufe,Männer,,positiv volle Gleichwertigkeit,747.0
2020,darunter medizinische Gesundheitsberufe,Frauen,,positiv volle Gleichwertigkeit,1107.0
2020,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv volle Gleichwertigkeit,1854.0
2019,alle Berufsgruppen,Männer,,positiv volle Gleichwertigkeit,1035.0
2019,alle Berufsgruppen,Frauen,,positiv volle Gleichwertigkeit,1272.0
2019,alle Berufsgruppen,Insgesamt,,positiv volle Gleichwertigkeit,2307.0
2019,darunter medizinische Gesundheitsberufe,Männer,,positiv volle Gleichwertigkeit,663.0
2019,darunter medizinische Gesundheitsberufe,Frauen,,positiv volle Gleichwertigkeit,987.0
2019,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv volle Gleichwertigkeit,1650.0
2018,alle Berufsgruppen,Männer,,positiv volle Gleichwertigkeit,888.0
2018,alle Berufsgruppen,Frauen,,positiv volle Gleichwertigkeit,975.0
2018,alle Berufsgruppen,Insgesamt,,positiv volle Gleichwertigkeit,1863.0
2018,darunter medizinische Gesundheitsberufe,Männer,,positiv volle Gleichwertigkeit,480.0
2018,darunter medizinische Gesundheitsberufe,Frauen,,positiv volle Gleichwertigkeit,750.0
2018,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv volle Gleichwertigkeit,1230.0
2017,alle Berufsgruppen,Männer,,positiv volle Gleichwertigkeit,852.0
2017,alle Berufsgruppen,Frauen,,positiv volle Gleichwertigkeit,855.0
2017,alle Berufsgruppen,Insgesamt,,positiv volle Gleichwertigkeit,1707.0
2017,darunter medizinische Gesundheitsberufe,Männer,,positiv volle Gleichwertigkeit,417.0
2017,darunter medizinische Gesundheitsberufe,Frauen,,positiv volle Gleichwertigkeit,642.0
2017,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv volle Gleichwertigkeit,1059.0
2016,alle Berufsgruppen,Männer,,positiv volle Gleichwertigkeit,891.0
2016,alle Berufsgruppen,Frauen,,positiv volle Gleichwertigkeit,831.0
2016,alle Berufsgruppen,Insgesamt,,positiv volle Gleichwertigkeit,1722.0
2016,darunter medizinische Gesundheitsberufe,Männer,,positiv volle Gleichwertigkeit,486.0
2016,darunter medizinische Gesundheitsberufe,Frauen,,positiv volle Gleichwertigkeit,612.0
2016,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv volle Gleichwertigkeit,1098.0
2015,alle Berufsgruppen,Männer,,positiv volle Gleichwertigkeit,660.0
2015,alle Berufsgruppen,Frauen,,positiv volle Gleichwertigkeit,669.0
2015,alle Berufsgruppen,Insgesamt,,positiv volle Gleichwertigkeit,1335.0
2015,darunter medizinische Gesundheitsberufe,Männer,,positiv volle Gleichwertigkeit,396.0
2015,darunter medizinische Gesundheitsberufe,Frauen,,positiv volle Gleichwertigkeit,441.0
2015,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv volle Gleichwertigkeit,837.0
2014,alle Berufsgruppen,Männer,,positiv volle Gleichwertigkeit,600.0
2014,alle Berufsgruppen,Frauen,,positiv volle Gleichwertigkeit,851.0
2014,alle Berufsgruppen,Insgesamt,,positiv volle Gleichwertigkeit,1451.0
2014,darunter medizinische Gesundheitsberufe,Männer,,positiv volle Gleichwertigkeit,392.0
2014,darunter medizinische Gesundheitsberufe,Frauen,,positiv volle Gleichwertigkeit,369.0
2014,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv volle Gleichwertigkeit,761.0
2012,alle Berufsgruppen,Männer,,positiv volle Gleichwertigkeit,12.0
2012,alle Berufsgruppen,Frauen,,positiv volle Gleichwertigkeit,30.0
2012,alle Berufsgruppen,Insgesamt,,positiv volle Gleichwertigkeit,42.0
2012,darunter medizinische Gesundheitsberufe,Männer,,positiv volle Gleichwertigkeit,3.0
2012,darunter medizinische Gesundheitsberufe,Frauen,,positiv volle Gleichwertigkeit,18.0
2012,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv volle Gleichwertigkeit,18.0
2020,alle Berufsgruppen,Männer,,Auflage einer Ausgleichsmaßnahme1),900.0
2020,alle Berufsgruppen,Frauen,,Auflage einer Ausgleichsmaßnahme1),1533.0
2020,alle Berufsgruppen,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),2433.0
2020,darunter medizinische Gesundheitsberufe,Männer,,Auflage einer Ausgleichsmaßnahme1),855.0
2020,darunter medizinische Gesundheitsberufe,Frauen,,Auflage einer Ausgleichsmaßnahme1),1350.0
2020,darunter medizinische Gesundheitsberufe,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),2205.0
2019,alle Berufsgruppen,Männer,,Auflage einer Ausgleichsmaßnahme1),873.0
2019,alle Berufsgruppen,Frauen,,Auflage einer Ausgleichsmaßnahme1),1242.0
2019,alle Berufsgruppen,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),2115.0
2019,darunter medizinische Gesundheitsberufe,Männer,,Auflage einer Ausgleichsmaßnahme1),837.0
2019,darunter medizinische Gesundheitsberufe,Frauen,,Auflage einer Ausgleichsmaßnahme1),1083.0
2019,darunter medizinische Gesundheitsberufe,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),1923.0
2018,alle Berufsgruppen,Männer,,Auflage einer Ausgleichsmaßnahme1),492.0
2018,alle Berufsgruppen,Frauen,,Auflage einer Ausgleichsmaßnahme1),645.0
2018,alle Berufsgruppen,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),1137.0
2018,darunter medizinische Gesundheitsberufe,Männer,,Auflage einer Ausgleichsmaßnahme1),462.0
2018,darunter medizinische Gesundheitsberufe,Frauen,,Auflage einer Ausgleichsmaßnahme1),528.0
2018,darunter medizinische Gesundheitsberufe,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),990.0
2017,alle Berufsgruppen,Männer,,Auflage einer Ausgleichsmaßnahme1),309.0
2017,alle Berufsgruppen,Frauen,,Auflage einer Ausgleichsmaßnahme1),381.0
2017,alle Berufsgruppen,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),687.0
2017,darunter medizinische Gesundheitsberufe,Männer,,Auflage einer Ausgleichsmaßnahme1),285.0
2017,darunter medizinische Gesundheitsberufe,Frauen,,Auflage einer Ausgleichsmaßnahme1),297.0
2017,darunter medizinische Gesundheitsberufe,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),582.0
2016,alle Berufsgruppen,Männer,,Auflage einer Ausgleichsmaßnahme1),243.0
2016,alle Berufsgruppen,Frauen,,Auflage einer Ausgleichsmaßnahme1),372.0
2016,alle Berufsgruppen,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),615.0
2016,darunter medizinische Gesundheitsberufe,Männer,,Auflage einer Ausgleichsmaßnahme1),222.0
2016,darunter medizinische Gesundheitsberufe,Frauen,,Auflage einer Ausgleichsmaßnahme1),282.0
2016,darunter medizinische Gesundheitsberufe,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),504.0
2015,alle Berufsgruppen,Männer,,Auflage einer Ausgleichsmaßnahme1),198.0
2015,alle Berufsgruppen,Frauen,,Auflage einer Ausgleichsmaßnahme1),372.0
2015,alle Berufsgruppen,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),573.0
2015,darunter medizinische Gesundheitsberufe,Männer,,Auflage einer Ausgleichsmaßnahme1),
2015,darunter medizinische Gesundheitsberufe,Frauen,,Auflage einer Ausgleichsmaßnahme1),
2015,darunter medizinische Gesundheitsberufe,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),
2014,alle Berufsgruppen,Männer,,Auflage einer Ausgleichsmaßnahme1),
2014,alle Berufsgruppen,Frauen,,Auflage einer Ausgleichsmaßnahme1),
2014,alle Berufsgruppen,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),
2014,darunter medizinische Gesundheitsberufe,Männer,,Auflage einer Ausgleichsmaßnahme1),
2014,darunter medizinische Gesundheitsberufe,Frauen,,Auflage einer Ausgleichsmaßnahme1),
2014,darunter medizinische Gesundheitsberufe,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),
2012,alle Berufsgruppen,Männer,,Auflage einer Ausgleichsmaßnahme1),
2012,alle Berufsgruppen,Frauen,,Auflage einer Ausgleichsmaßnahme1),
2012,alle Berufsgruppen,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),
2012,darunter medizinische Gesundheitsberufe,Männer,,Auflage einer Ausgleichsmaßnahme1),
2012,darunter medizinische Gesundheitsberufe,Frauen,,Auflage einer Ausgleichsmaßnahme1),
2012,darunter medizinische Gesundheitsberufe,Insgesamt,,Auflage einer Ausgleichsmaßnahme1),
2020,alle Berufsgruppen,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2020,alle Berufsgruppen,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2020,alle Berufsgruppen,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2020,darunter medizinische Gesundheitsberufe,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2020,darunter medizinische Gesundheitsberufe,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2020,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2019,alle Berufsgruppen,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2019,alle Berufsgruppen,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2019,alle Berufsgruppen,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2019,darunter medizinische Gesundheitsberufe,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2019,darunter medizinische Gesundheitsberufe,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2019,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2018,alle Berufsgruppen,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2018,alle Berufsgruppen,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2018,alle Berufsgruppen,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2018,darunter medizinische Gesundheitsberufe,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2018,darunter medizinische Gesundheitsberufe,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2018,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2017,alle Berufsgruppen,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2017,alle Berufsgruppen,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2017,alle Berufsgruppen,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2017,darunter medizinische Gesundheitsberufe,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2017,darunter medizinische Gesundheitsberufe,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2017,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2016,alle Berufsgruppen,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2016,alle Berufsgruppen,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2016,alle Berufsgruppen,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2016,darunter medizinische Gesundheitsberufe,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2016,darunter medizinische Gesundheitsberufe,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2016,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2015,alle Berufsgruppen,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2015,alle Berufsgruppen,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2015,alle Berufsgruppen,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2015,darunter medizinische Gesundheitsberufe,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),183.0
2015,darunter medizinische Gesundheitsberufe,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),225.0
2015,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),408.0
2014,alle Berufsgruppen,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),221.0
2014,alle Berufsgruppen,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),279.0
2014,alle Berufsgruppen,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),500.0
2014,darunter medizinische Gesundheitsberufe,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),199.0
2014,darunter medizinische Gesundheitsberufe,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),
2014,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),199.0
2012,alle Berufsgruppen,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),6.0
2012,alle Berufsgruppen,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),57.0
2012,alle Berufsgruppen,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),63.0
2012,darunter medizinische Gesundheitsberufe,Männer,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),6.0
2012,darunter medizinische Gesundheitsberufe,Frauen,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),57.0
2012,darunter medizinische Gesundheitsberufe,Insgesamt,,positiv mit Auflage einer Ausgleichsmaßnahme1) / beschränkter Berufszugang nach HwO2),63.0
2020,alle Berufsgruppen,Männer,,teilweise Gleichwertigkeit3),285.0
2020,alle Berufsgruppen,Frauen,,teilweise Gleichwertigkeit3),84.0
2020,alle Berufsgruppen,Insgesamt,,teilweise Gleichwertigkeit3),369.0
2020,darunter medizinische Gesundheitsberufe,Männer,,teilweise Gleichwertigkeit3),
2020,darunter medizinische Gesundheitsberufe,Frauen,,teilweise Gleichwertigkeit3),6.0
2020,darunter medizinische Gesundheitsberufe,Insgesamt,,teilweise Gleichwertigkeit3),6.0
2019,alle Berufsgruppen,Männer,,teilweise Gleichwertigkeit3),231.0
2019,alle Berufsgruppen,Frauen,,teilweise Gleichwertigkeit3),108.0
2019,alle Berufsgruppen,Insgesamt,,teilweise Gleichwertigkeit3),336.0
2019,darunter medizinische Gesundheitsberufe,Männer,,teilweise Gleichwertigkeit3),
2019,darunter medizinische Gesundheitsberufe,Frauen,,teilweise Gleichwertigkeit3),9.0
2019,darunter medizinische Gesundheitsberufe,Insgesamt,,teilweise Gleichwertigkeit3),9.0
2018,alle Berufsgruppen,Männer,,teilweise Gleichwertigkeit3),303.0
2018,alle Berufsgruppen,Frauen,,teilweise Gleichwertigkeit3),108.0
2018,alle Berufsgruppen,Insgesamt,,teilweise Gleichwertigkeit3),411.0
2018,darunter medizinische Gesundheitsberufe,Männer,,teilweise Gleichwertigkeit3),
2018,darunter medizinische Gesundheitsberufe,Frauen,,teilweise Gleichwertigkeit3),
2018,darunter medizinische Gesundheitsberufe,Insgesamt,,teilweise Gleichwertigkeit3),
2017,alle Berufsgruppen,Männer,,teilweise Gleichwertigkeit3),258.0
2017,alle Berufsgruppen,Frauen,,teilweise Gleichwertigkeit3),60.0
2017,alle Berufsgruppen,Insgesamt,,teilweise Gleichwertigkeit3),318.0
2017,darunter medizinische Gesundheitsberufe,Männer,,teilweise Gleichwertigkeit3),
2017,darunter medizinische Gesundheitsberufe,Frauen,,teilweise Gleichwertigkeit3),
2017,darunter medizinische Gesundheitsberufe,Insgesamt,,teilweise Gleichwertigkeit3),
2016,alle Berufsgruppen,Männer,,teilweise Gleichwertigkeit3),159.0
2016,alle Berufsgruppen,Frauen,,teilweise Gleichwertigkeit3),75.0
2016,alle Berufsgruppen,Insgesamt,,teilweise Gleichwertigkeit3),234.0
2016,darunter medizinische Gesundheitsberufe,Männer,,teilweise Gleichwertigkeit3),
2016,darunter medizinische Gesundheitsberufe,Frauen,,teilweise Gleichwertigkeit3),3.0
2016,darunter medizinische Gesundheitsberufe,Insgesamt,,teilweise Gleichwertigkeit3),3.0
2015,alle Berufsgruppen,Männer,,teilweise Gleichwertigkeit3),
2015,alle Berufsgruppen,Frauen,,teilweise Gleichwertigkeit3),
2015,alle Berufsgruppen,Insgesamt,,teilweise Gleichwertigkeit3),
2015,darunter medizinische Gesundheitsberufe,Männer,,teilweise Gleichwertigkeit3),
2015,darunter medizinische Gesundheitsberufe,Frauen,,teilweise Gleichwertigkeit3),
2015,darunter medizinische Gesundheitsberufe,Insgesamt,,teilweise Gleichwertigkeit3),
2014,alle Berufsgruppen,Männer,,teilweise Gleichwertigkeit3),
2014,alle Berufsgruppen,Frauen,,teilweise Gleichwertigkeit3),
2014,alle Berufsgruppen,Insgesamt,,teilweise Gleichwertigkeit3),
2014,darunter medizinische Gesundheitsberufe,Männer,,teilweise Gleichwertigkeit3),
2014,darunter medizinische Gesundheitsberufe,Frauen,,teilweise Gleichwertigkeit3),
2014,darunter medizinische Gesundheitsberufe,Insgesamt,,teilweise Gleichwertigkeit3),
2012,alle Berufsgruppen,Männer,,teilweise Gleichwertigkeit3),
2012,alle Berufsgruppen,Frauen,,teilweise Gleichwertigkeit3),
2012,alle Berufsgruppen,Insgesamt,,teilweise Gleichwertigkeit3),
2012,darunter medizinische Gesundheitsberufe,Männer,,teilweise Gleichwertigkeit3),
2012,darunter medizinische Gesundheitsberufe,Frauen,,teilweise Gleichwertigkeit3),
2012,darunter medizinische Gesundheitsberufe,Insgesamt,,teilweise Gleichwertigkeit3),
2020,alle Berufsgruppen,Männer,,positive partieller Berufszugang4),3.0
2020,alle Berufsgruppen,Frauen,,positive partieller Berufszugang4),27.0
2020,alle Berufsgruppen,Insgesamt,,positive partieller Berufszugang4),30.0
2020,darunter medizinische Gesundheitsberufe,Männer,,positive partieller Berufszugang4),
2020,darunter medizinische Gesundheitsberufe,Frauen,,positive partieller Berufszugang4),
2020,darunter medizinische Gesundheitsberufe,Insgesamt,,positive partieller Berufszugang4),
2019,alle Berufsgruppen,Männer,,positive partieller Berufszugang4),
2019,alle Berufsgruppen,Frauen,,positive partieller Berufszugang4),21.0
2019,alle Berufsgruppen,Insgesamt,,positive partieller Berufszugang4),21.0
