Year,Land der Staatsangehörigkeit,Value
2013,Europa insgesamt,4900.0
2013,Bulgarien,70.0
2013,Griechenland,231.0
2013,Italien,114.0
2013,Kosovo,222.0
2013,Polen,655.0
2013,Rumänien,115.0
2013,"Serbien, Serbien und Montegro",215.0
2013,Türkei,1864.0
2013,Ukraine,382.0
2013,EU Staaten,1739.0
2013,Afrika insgesamt,589.0
2013,Ägypten,30.0
2013,Tunesien,111.0
2013,Amerika insgesamt,228.0
2013,Asien insgesamt,2348.0
2013,Afganistan,129.0
2013,Libanon,243.0
2013,Indien,61.0
2013,Irak,326.0
2013,"Iran, Islamische Republik",227.0
2013,Palestinensische Gebiete,17.0
2013,"Syrien, Arabische Republik",247.0
2013,Australien und Ozeanien,1.0
2013,Sonstige Ziele,150.0
2013,staatenlos,113.0
2013,ungeklärt,37.0
2014,Europa insgesamt,4399.0
2014,Bulgarien,68.0
2014,Griechenland,195.0
2014,Italien,128.0
2014,Kosovo,216.0
2014,Polen,576.0
2014,Rumänien,113.0
2014,"Serbien, Serbien und Montegro",174.0
2014,Türkei,1657.0
2014,Ukraine,148.0
2014,EU Staaten,1769.0
2014,Afrika insgesamt,596.0
2014,Ägypten,30.0
2014,Tunesien,119.0
2014,Amerika insgesamt,256.0
2014,Asien insgesamt,2364.0
2014,Afganistan,129.0
2014,Libanon,254.0
2014,Indien,63.0
2014,Irak,317.0
2014,"Iran, Islamische Republik",262.0
2014,Palestinensische Gebiete,23.0
2014,"Syrien, Arabische Republik",300.0
2014,Australien und Ozeanien,
2014,Sonstige Ziele,107.0
2014,staatenlos,83.0
2014,ungeklärt,24.0
2015,Europa insgesamt,4598.0
2015,Bulgarien,73.0
2015,Griechenland,191.0
2015,Italien,139.0
2015,Kosovo,242.0
2015,Polen,559.0
2015,Rumänien,156.0
2015,"Serbien, Serbien und Montegro",162.0
2015,Türkei,1709.0
2015,Ukraine,328.0
2015,EU Staaten,1765.0
2015,Afrika insgesamt,625.0
2015,Ägypten,34.0
2015,Tunesien,112.0
2015,Amerika insgesamt,260.0
2015,Asien insgesamt,2392.0
2015,Afganistan,129.0
2015,Libanon,259.0
2015,Indien,65.0
2015,Irak,313.0
2015,"Iran, Islamische Republik",221.0
2015,Palestinensische Gebiete,23.0
2015,"Syrien, Arabische Republik",398.0
2015,Australien und Ozeanien,1.0
2015,Sonstige Ziele,112.0
2015,staatenlos,80.0
2015,ungeklärt,32.0
2016,Europa insgesamt,4880.0
2016,Bulgarien,76.0
2016,Griechenland,222.0
2016,Italien,160.0
2016,Kosovo,215.0
2016,Polen,650.0
2016,Rumänien,193.0
2016,"Serbien, Serbien und Montegro",214.0
2016,Türkei,1278.0
2016,Ukraine,449.0
2016,EU Staaten,2262.0
2016,Afrika insgesamt,647.0
2016,Ägypten,58.0
2016,Tunesien,134.0
2016,Amerika insgesamt,270.0
2016,Asien insgesamt,2614.0
2016,Afganistan,150.0
2016,Libanon,303.0
2016,Indien,96.0
2016,Irak,430.0
2016,"Iran, Islamische Republik",255.0
2016,Palestinensische Gebiete,53.0
2016,"Syrien, Arabische Republik",368.0
2016,Australien und Ozeanien,
2016,Sonstige Ziele,108.0
2016,staatenlos,70.0
2016,ungeklärt,38.0
2017,Europa insgesamt,5044.0
2017,Bulgarien,100.0
2017,Griechenland,224.0
2017,Italien,226.0
2017,Kosovo,247.0
2017,Polen,664.0
2017,Rumänien,241.0
2017,"Serbien, Serbien und Montegro",142.0
2017,Türkei,1208.0
2017,Ukraine,238.0
2017,EU Staaten,2787.0
2017,Afrika insgesamt,673.0
2017,Ägypten,39.0
2017,Tunesien,108.0
2017,Amerika insgesamt,296.0
2017,Asien insgesamt,2599.0
2017,Afganistan,158.0
2017,Libanon,238.0
2017,Indien,103.0
2017,Irak,403.0
2017,"Iran, Islamische Republik",260.0
2017,Palestinensische Gebiete,24.0
2017,"Syrien, Arabische Republik",444.0
2017,Australien und Ozeanien,2.0
2017,Sonstige Ziele,171.0
2017,staatenlos,138.0
2017,ungeklärt,33.0
2018,Europa insgesamt,4743.0
2018,Bulgarien,92.0
2018,Griechenland,206.0
2018,Italien,199.0
2018,Kosovo,217.0
2018,Polen,598.0
2018,Rumänien,239.0
2018,"Serbien, Serbien und Montegro",254.0
2018,Türkei,1185.0
2018,Ukraine,180.0
2018,EU Staaten,2501.0
2018,Afrika insgesamt,658.0
2018,Ägypten,78.0
2018,Tunesien,119.0
2018,Amerika insgesamt,247.0
2018,Asien insgesamt,2694.0
2018,Afganistan,131.0
2018,Libanon,233.0
2018,Indien,73.0
2018,Irak,389.0
2018,"Iran, Islamische Republik",243.0
2018,Palestinensische Gebiete,59.0
2018,"Syrien, Arabische Republik",664.0
2018,Australien und Ozeanien,1.0
2018,Sonstige Ziele,127.0
2018,staatenlos,104.0
2018,ungeklärt,23.0
2019,Europa insgesamt,6722.0
2019,Bulgarien,85.0
2019,Griechenland,157.0
2019,Italien,170.0
2019,Kosovo,188.0
2019,Polen,644.0
2019,Rumänien,337.0
2019,"Serbien, Serbien und Montegro",275.0
2019,Türkei,1331.0
2019,Ukraine,303.0
2019,EU Staaten,4241.0
2019,Afrika insgesamt,661.0
2019,Ägypten,72.0
2019,Tunesien,124.0
2019,Amerika insgesamt,288.0
2019,Asien insgesamt,3120.0
2019,Afganistan,167.0
2019,Libanon,209.0
2019,Indien,157.0
2019,Irak,465.0
2019,"Iran, Islamische Republik",308.0
2019,Palestinensische Gebiete,43.0
2019,"Syrien, Arabische Republik",857.0
2019,Australien und Ozeanien,3.0
2019,Sonstige Ziele,137.0
2019,staatenlos,115.0
2019,ungeklärt,22.0
2020,Europa insgesamt,4041.0
2020,Bulgarien,114.0
2020,Griechenland,127.0
2020,Italien,153.0
2020,Kosovo,171.0
2020,Polen,572.0
2020,Rumänien,369.0
2020,"Serbien, Serbien und Montegro",268.0
2020,Türkei,783.0
2020,Ukraine,164.0
2020,EU Staaten,2376.0
2020,Afrika insgesamt,744.0
2020,Ägypten,80.0
2020,Tunesien,150.0
2020,Amerika insgesamt,272.0
2020,Asien insgesamt,3645.0
2020,Afganistan,184.0
2020,Libanon,194.0
2020,Indien,117.0
2020,Irak,477.0
2020,"Iran, Islamische Republik",336.0
2020,Palestinensische Gebiete,42.0
2020,"Syrien, Arabische Republik",1414.0
2020,Australien und Ozeanien,5.0
2020,Sonstige Ziele,171.0
2020,staatenlos,146.0
2020,ungeklärt,25.0
2021,Europa insgesamt,4066.0
2021,Bulgarien,124.0
2021,Griechenland,195.0
2021,Italien,214.0
2021,Kosovo,175.0
2021,Polen,619.0
2021,Rumänien,369.0
2021,"Serbien, Serbien und Montegro",187.0
2021,Türkei,899.0
2021,Ukraine,97.0
2021,EU Staaten,2243.0
2021,Afrika insgesamt,793.0
2021,Ägypten,103.0
2021,Tunesien,142.0
2021,Amerika insgesamt,293.0
2021,Asien insgesamt,5045.0
2021,Afganistan,292.0
2021,Libanon,200.0
2021,Indien,131.0
2021,Irak,527.0
2021,"Iran, Islamische Republik",331.0
2021,Palestinensische Gebiete,145.0
2021,"Syrien, Arabische Republik",2592.0
2021,Australien und Ozeanien,3.0
2021,Sonstige Ziele,217.0
2021,staatenlos,144.0
2021,ungeklärt,73.0
2022,Europa insgesamt,4041.0
2022,Bulgarien,124.0
2022,Griechenland,106.0
2022,Italien,144.0
2022,Kosovo,159.0
2022,Polen,524.0
2022,Rumänien,382.0
2022,"Serbien, Serbien und Montegro",200.0
2022,Türkei,1088.0
2022,Ukraine,473.0
2022,EU Staaten,1794.0
2022,Afrika insgesamt,775.0
2022,Ägypten,115.0
2022,Tunesien,124.0
2022,Amerika insgesamt,246.0
2022,Asien insgesamt,8015.0
2022,Afganistan,275.0
2022,Libanon,175.0
2022,Indien,125.0
2022,Irak,1064.0
2022,"Iran, Islamische Republik",427.0
2022,Palestinensische Gebiete,205.0
2022,"Syrien, Arabische Republik",5038.0
2022,Australien und Ozeanien,1.0
2022,Sonstige Ziele,356.0
2022,staatenlos,223.0
2022,ungeklärt,133.0
2023,Europa insgesamt,3622.0
2023,Bulgarien,146.0
2023,Griechenland,118.0
2023,Italien,112.0
2023,Kosovo,129.0
2023,Polen,593.0
2023,Rumänien,297.0
2023,"Serbien, Serbien und Montegro",172.0
2023,Türkei,776.0
2023,Ukraine,531.0
2023,EU Staaten,1743.0
2023,Afrika insgesamt,995.0
2023,Ägypten,106.0
2023,Tunesien,175.0
2023,Amerika insgesamt,287.0
2023,Asien insgesamt,11342.0
2023,Afganistan,475.0
2023,Libanon,195.0
2023,Indien,199.0
2023,Irak,1317.0
2023,"Iran, Islamische Republik",585.0
2023,Palestinensische Gebiete,196.0
2023,"Syrien, Arabische Republik",7615.0
2023,Australien und Ozeanien,0.0
2023,Sonstige Ziele,622.0
2023,staatenlos,481.0
2023,ungeklärt,141.0
