Year,Nationalität,Schulart,Erreichter Abschluss,Units,Value
2019,Ausländerinnen und Ausländer,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,131
2019,Ausländerinnen und Ausländer,Insgesamt,Fachhochschulreife,Anzahl,445
2019,Ausländerinnen und Ausländer,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,54
2019,Ausländerinnen und Ausländer,Insgesamt,Realschulabschluss,Anzahl,1002
2019,Ausländerinnen und Ausländer,Insgesamt,Hauptschulabschluss,Anzahl,1567
2019,Ausländerinnen und Ausländer,Insgesamt,Erfolgreicher Besuch,Anzahl,2209
2019,Ausländerinnen und Ausländer,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,2953
2019,Ausländerinnen und Ausländer,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,1351
2019,Ausländerinnen und Ausländer,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,4115
2018,Deutsche,Insgesamt,Insgesamt,Anzahl,104282
2018,Deutsche,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,5565
2018,Deutsche,Insgesamt,Fachhochschulreife,Anzahl,13069
2018,Deutsche,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,1212
2018,Deutsche,Insgesamt,Realschulabschluss,Anzahl,14032
2018,Deutsche,Insgesamt,Hauptschulabschluss,Anzahl,4507
2018,Deutsche,Insgesamt,Erfolgreicher Besuch,Anzahl,47855
2018,Deutsche,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,7671
2018,Deutsche,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,10371
2018,Deutsche,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,27051
2018,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,Anzahl,11028
2018,Ausländerinnen und Ausländer,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,180
2018,Ausländerinnen und Ausländer,Insgesamt,Fachhochschulreife,Anzahl,562
2018,Ausländerinnen und Ausländer,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,50
2018,Ausländerinnen und Ausländer,Insgesamt,Realschulabschluss,Anzahl,821
2018,Ausländerinnen und Ausländer,Insgesamt,Hauptschulabschluss,Anzahl,1662
2018,Ausländerinnen und Ausländer,Insgesamt,Erfolgreicher Besuch,Anzahl,2058
2018,Ausländerinnen und Ausländer,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,4343
2018,Ausländerinnen und Ausländer,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,1352
2018,Ausländerinnen und Ausländer,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,4212
2017,Deutsche,Insgesamt,Insgesamt,Anzahl,109305
2017,Deutsche,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,6012
2017,Deutsche,Insgesamt,Fachhochschulreife,Anzahl,13658
2017,Deutsche,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,1244
2017,Deutsche,Insgesamt,Realschulabschluss,Anzahl,16361
2017,Deutsche,Insgesamt,Hauptschulabschluss,Anzahl,3747
2017,Deutsche,Insgesamt,Erfolgreicher Besuch,Anzahl,49014
2017,Deutsche,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,8740
2017,Deutsche,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,10529
2017,Deutsche,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,27414
2017,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,Anzahl,10785
2017,Ausländerinnen und Ausländer,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,168
2017,Ausländerinnen und Ausländer,Insgesamt,Fachhochschulreife,Anzahl,528
2017,Ausländerinnen und Ausländer,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,62
2017,Ausländerinnen und Ausländer,Insgesamt,Realschulabschluss,Anzahl,824
2017,Ausländerinnen und Ausländer,Insgesamt,Hauptschulabschluss,Anzahl,955
2017,Ausländerinnen und Ausländer,Insgesamt,Erfolgreicher Besuch,Anzahl,1895
2017,Ausländerinnen und Ausländer,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,5186
2017,Ausländerinnen und Ausländer,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,1167
2017,Ausländerinnen und Ausländer,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,3703
2016,Deutsche,Insgesamt,Insgesamt,Anzahl,106936
2016,Deutsche,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,5935
2016,Deutsche,Insgesamt,Fachhochschulreife,Anzahl,13999
2016,Deutsche,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,1172
2016,Deutsche,Insgesamt,Realschulabschluss,Anzahl,17011
2016,Deutsche,Insgesamt,Hauptschulabschluss,Anzahl,3616
2016,Deutsche,Insgesamt,Erfolgreicher Besuch,Anzahl,48966
2016,Deutsche,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,5677
2016,Deutsche,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,10560
2016,Deutsche,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,24660
2016,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,Anzahl,7025
2016,Ausländerinnen und Ausländer,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,143
2016,Ausländerinnen und Ausländer,Insgesamt,Fachhochschulreife,Anzahl,544
2016,Ausländerinnen und Ausländer,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,53
2016,Ausländerinnen und Ausländer,Insgesamt,Realschulabschluss,Anzahl,828
2016,Ausländerinnen und Ausländer,Insgesamt,Hauptschulabschluss,Anzahl,480
2016,Ausländerinnen und Ausländer,Insgesamt,Erfolgreicher Besuch,Anzahl,1666
2016,Ausländerinnen und Ausländer,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,2239
2016,Ausländerinnen und Ausländer,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,1072
2016,Ausländerinnen und Ausländer,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,2781
2015,Deutsche,Insgesamt,Insgesamt,Anzahl,109531
2015,Deutsche,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,5928
2015,Deutsche,Insgesamt,Fachhochschulreife,Anzahl,14473
2015,Deutsche,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,1007
2015,Deutsche,Insgesamt,Realschulabschluss,Anzahl,17479
2015,Deutsche,Insgesamt,Hauptschulabschluss,Anzahl,3543
2015,Deutsche,Insgesamt,Erfolgreicher Besuch,Anzahl,51317
2015,Deutsche,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,4827
2015,Deutsche,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,10957
2015,Deutsche,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,23445
2015,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,Anzahl,5620
2015,Ausländerinnen und Ausländer,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,153
2015,Ausländerinnen und Ausländer,Insgesamt,Fachhochschulreife,Anzahl,467
2015,Ausländerinnen und Ausländer,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,42
2015,Ausländerinnen und Ausländer,Insgesamt,Realschulabschluss,Anzahl,818
2015,Ausländerinnen und Ausländer,Insgesamt,Hauptschulabschluss,Anzahl,422
2015,Ausländerinnen und Ausländer,Insgesamt,Erfolgreicher Besuch,Anzahl,1709
2015,Ausländerinnen und Ausländer,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,988
2015,Ausländerinnen und Ausländer,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,1021
2015,Ausländerinnen und Ausländer,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,1664
2014,Deutsche,Insgesamt,Insgesamt,Anzahl,109250
2014,Deutsche,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,5831
2014,Deutsche,Insgesamt,Fachhochschulreife,Anzahl,13626
2014,Deutsche,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,1135
2014,Deutsche,Insgesamt,Realschulabschluss,Anzahl,18072
2014,Deutsche,Insgesamt,Hauptschulabschluss,Anzahl,3722
2014,Deutsche,Insgesamt,Erfolgreicher Besuch,Anzahl,52108
2014,Deutsche,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,3936
2014,Deutsche,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,10820
2014,Deutsche,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,26176
2014,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,Anzahl,5199
2014,Ausländerinnen und Ausländer,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,146
2014,Ausländerinnen und Ausländer,Insgesamt,Fachhochschulreife,Anzahl,516
2014,Ausländerinnen und Ausländer,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,56
2014,Ausländerinnen und Ausländer,Insgesamt,Realschulabschluss,Anzahl,760
2014,Ausländerinnen und Ausländer,Insgesamt,Hauptschulabschluss,Anzahl,399
2014,Ausländerinnen und Ausländer,Insgesamt,Erfolgreicher Besuch,Anzahl,1713
2014,Ausländerinnen und Ausländer,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,659
2014,Ausländerinnen und Ausländer,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,950
2014,Ausländerinnen und Ausländer,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,1702
2013,Deutsche,Insgesamt,Insgesamt,Anzahl,109228
2013,Deutsche,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,6034
2013,Deutsche,Insgesamt,Fachhochschulreife,Anzahl,13457
2013,Deutsche,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,1001
2013,Deutsche,Insgesamt,Realschulabschluss,Anzahl,18016
2013,Deutsche,Insgesamt,Hauptschulabschluss,Anzahl,3888
2013,Deutsche,Insgesamt,Erfolgreicher Besuch,Anzahl,52260
2013,Deutsche,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,3571
2013,Deutsche,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,11001
2013,Deutsche,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,23539
2013,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,Anzahl,5000
2013,Ausländerinnen und Ausländer,Insgesamt,Allgemeine Hochschulreife ¹⁾,Anzahl,179
2013,Ausländerinnen und Ausländer,Insgesamt,Fachhochschulreife,Anzahl,466
2013,Ausländerinnen und Ausländer,Insgesamt,Schulischer Teil der Fachhochschulreife,Anzahl,27
2013,Ausländerinnen und Ausländer,Insgesamt,Realschulabschluss,Anzahl,793
2013,Ausländerinnen und Ausländer,Insgesamt,Hauptschulabschluss,Anzahl,403
2013,Ausländerinnen und Ausländer,Insgesamt,Erfolgreicher Besuch,Anzahl,1631
2013,Ausländerinnen und Ausländer,Insgesamt,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,550
2013,Ausländerinnen und Ausländer,Insgesamt,Ohne erfolgreichen Besuch/Abschluss,Anzahl,951
2013,Ausländerinnen und Ausländer,Insgesamt,nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,1431
2020,Deutsche,Berufsschule (Teilzeit),Insgesamt,Anzahl,42998
2020,Deutsche,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2020,Deutsche,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,107
2020,Deutsche,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2020,Deutsche,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,7856
2020,Deutsche,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,363
2020,Deutsche,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,30655
2020,Deutsche,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,844
2020,Deutsche,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,3173
2020,Deutsche,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,12725
2020,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Insgesamt,Anzahl,2667
2020,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2020,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,3
2020,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2020,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,823
2020,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,53
2020,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,1269
2020,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,32
2020,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,487
2020,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,1877
2019,Deutsche,Berufsschule (Teilzeit),Insgesamt,Anzahl,42581
2019,Deutsche,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2019,Deutsche,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,90
2019,Deutsche,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2019,Deutsche,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,7529
2019,Deutsche,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,347
2019,Deutsche,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,30653
2019,Deutsche,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,767
2019,Deutsche,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,3195
2019,Deutsche,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,12920
2019,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Insgesamt,Anzahl,2037
2019,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2019,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,2
2019,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2019,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,526
2019,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,39
2019,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,1073
2019,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,23
2019,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,374
2019,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,1764
2018,Deutsche,Berufsschule (Teilzeit),Insgesamt,Anzahl,43533
2018,Deutsche,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2018,Deutsche,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,107
2018,Deutsche,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2018,Deutsche,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,7774
2018,Deutsche,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,285
2018,Deutsche,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,31542
2018,Deutsche,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,723
2018,Deutsche,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,3102
2018,Deutsche,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,12943
2018,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Insgesamt,Anzahl,1810
2018,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2018,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,5
2018,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2018,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,422
2018,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,22
2018,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,1051
2018,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,23
2018,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,287
2018,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,1471
2017,Deutsche,Berufsschule (Teilzeit),Insgesamt,Anzahl,45891
2017,Deutsche,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2017,Deutsche,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,110
2017,Deutsche,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2017,Deutsche,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,9317
2017,Deutsche,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,271
2017,Deutsche,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,32102
2017,Deutsche,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,843
2017,Deutsche,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,3248
2017,Deutsche,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,13432
2017,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Insgesamt,Anzahl,1754
2017,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2017,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,3
2017,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2017,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,428
2017,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,15
2017,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,1009
2017,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,32
2017,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,267
2017,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,1163
2016,Deutsche,Berufsschule (Teilzeit),Insgesamt,Anzahl,45130
2016,Deutsche,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2016,Deutsche,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,99
2016,Deutsche,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2016,Deutsche,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,9422
2016,Deutsche,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,244
2016,Deutsche,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,31334
2016,Deutsche,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,747
2016,Deutsche,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,3284
2016,Deutsche,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,11817
2016,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Insgesamt,Anzahl,1522
2016,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2016,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,3
2016,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2016,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,401
2016,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,8
2016,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,837
2016,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,18
2016,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,255
2016,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,839
2015,Deutsche,Berufsschule (Teilzeit),Insgesamt,Anzahl,47918
2015,Deutsche,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2015,Deutsche,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,108
2015,Deutsche,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2015,Deutsche,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,10082
2015,Deutsche,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,269
2015,Deutsche,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,32877
2015,Deutsche,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,959
2015,Deutsche,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,3623
2015,Deutsche,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,11793
2015,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Insgesamt,Anzahl,1633
2015,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2015,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,3
2015,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
2015,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Realschulabschluss,Anzahl,411
2015,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Hauptschulabschluss,Anzahl,12
2015,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Erfolgreicher Besuch,Anzahl,917
2015,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Anzahl,26
2015,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),Ohne erfolgreichen Besuch/Abschluss,Anzahl,264
2015,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),nachrichtlich: Abbruch im laufenden Schuljahr,Anzahl,733
2014,Deutsche,Berufsschule (Teilzeit),Insgesamt,Anzahl,48679
2014,Deutsche,Berufsschule (Teilzeit),Allgemeine Hochschulreife ¹⁾,Anzahl,-
2014,Deutsche,Berufsschule (Teilzeit),Fachhochschulreife,Anzahl,82
2014,Deutsche,Berufsschule (Teilzeit),Schulischer Teil der Fachhochschulreife,Anzahl,-
