Year,Land,Value
2014,Amerika insgesamt,402.0
2014,Asien insgesamt,16519.0
2014,Afghanistan,703.0
2014,Indien,331.0
2014,Irak,969.0
2014,Iran  Islamische Republik,398.0
2014,Kasachstan,2144.0
2014,Libanon,562.0
2014,Syrien   Arabische Republik,8965.0
2014,Australien und Ozeanien,-72.0
2014,Sonstige Ziele,-52.0
2014,Insgesamt,54043.0
2015,Europa insgesamt,46652.0
2015,Albanien,4365.0
2015,Bulgarien,3977.0
2015,Griechenland,1079.0
2015,Italien,1845.0
2015,Kosovo,1736.0
2015,Moldau   Republik,496.0
2015,Polen,9466.0
2015,Rumänien,7216.0
2015,Russische Föderation,3502.0
2015,Serbien (ab 2008),1150.0
2015,Spanien,829.0
2015,Türkei,1240.0
2015,Ukraine,1278.0
2015,EU Staaten,20536.0
2015,Afrika insgesamt,10488.0
2015,Amerika insgesamt,630.0
2015,Asien insgesamt,61462.0
2015,Afghanistan,8239.0
2015,Indien,303.0
2015,Irak,10619.0
2015,Iran  Islamische Republik,1830.0
2015,Kasachstan,2022.0
2015,Libanon,1277.0
2015,Syrien   Arabische Republik,32462.0
2015,Australien und Ozeanien,-17.0
2015,Sonstige Ziele,384.0
2015,Insgesamt,119599.0
2016,Europa insgesamt,13142.0
2016,Albanien,-3085.0
2016,Bulgarien,2117.0
2016,Griechenland,921.0
2016,Italien,1066.0
2016,Kosovo,-952.0
2016,Moldau   Republik,645.0
2016,Polen,3051.0
2016,Rumänien,5328.0
2016,Russische Föderation,3933.0
2016,Serbien (ab 2008),-1552.0
2016,Spanien,127.0
2016,Türkei,1394.0
2016,Ukraine,1185.0
2016,EU Staaten,9569.0
2016,Afrika insgesamt,2057.0
2016,Amerika insgesamt,507.0
2016,Asien insgesamt,41755.0
2016,Afghanistan,7203.0
2016,Indien,419.0
2016,Irak,11434.0
2016,Iran  Islamische Republik,2013.0
2016,Kasachstan,2385.0
2016,Libanon,677.0
2016,Syrien   Arabische Republik,14970.0
2016,Australien und Ozeanien,-71.0
2016,Sonstige Ziele,-19210.0
2016,Insgesamt,38180.0
2017,Europa insgesamt,28885.0
2017,Albanien,-475.0
2017,Bulgarien,2734.0
2017,Griechenland,818.0
2017,Italien,1303.0
2017,Kosovo,261.0
2017,Moldau   Republik,948.0
2017,Polen,4250.0
2017,Rumänien,7347.0
2017,Russische Föderation,3319.0
2017,Serbien (ab 2008),234.0
2017,Spanien,206.0
2017,Türkei,4136.0
2017,Ukraine,1299.0
2017,EU Staaten,13538.0
2017,Afrika insgesamt,435.0
2017,Amerika insgesamt,1120.0
2017,Asien insgesamt,15521.0
2017,Afghanistan,415.0
2017,Indien,605.0
2017,Irak,3703.0
2017,Iran  Islamische Republik,721.0
2017,Kasachstan,2653.0
2017,Libanon,362.0
2017,Syrien   Arabische Republik,4273.0
2017,Australien und Ozeanien,-4.0
2017,Sonstige Ziele,-7352.0
2017,Insgesamt,38605.0
2018,Europa insgesamt,28790.0
2018,Albanien,360.0
2018,Bulgarien,2367.0
2018,Griechenland,865.0
2018,Italien,1110.0
2018,Kosovo,475.0
2018,Moldau   Republik,1127.0
2018,Polen,2738.0
2018,Rumänien,6857.0
2018,Russische Föderation,3913.0
2018,Serbien (ab 2008),541.0
2018,Spanien,178.0
2018,Türkei,3491.0
2018,Ukraine,1433.0
2018,EU Staaten,11661.0
2018,Afrika insgesamt,2810.0
2018,Amerika insgesamt,1453.0
2018,Asien insgesamt,13273.0
2018,Afghanistan,418.0
2018,Indien,801.0
2018,Irak,2179.0
2018,Iran  Islamische Republik,1388.0
2018,Kasachstan,2340.0
2018,Libanon,322.0
2018,Syrien   Arabische Republik,3042.0
2018,Australien und Ozeanien,50.0
2018,Sonstige Ziele,-1367.0
2018,Insgesamt,45009.0
2019,Europa insgesamt,22129.0
2019,Albanien,632.0
2019,Bulgarien,1600.0
2019,Griechenland,517.0
2019,Italien,1103.0
2019,Kosovo,724.0
2019,Moldau   Republik,1414.0
2019,Polen,367.0
2019,Rumänien,4306.0
2019,Russische Föderation,3949.0
2019,Serbien (ab 2008),490.0
2019,Spanien,236.0
2019,Türkei,3628.0
2019,Ukraine,1154.0
2019,EU Staaten,5807.0
2019,Afrika insgesamt,3958.0
2019,Amerika insgesamt,1603.0
2019,Asien insgesamt,13061.0
2019,Afghanistan,363.0
2019,Indien,1170.0
2019,Irak,1223.0
2019,Iran  Islamische Republik,1040.0
2019,Kasachstan,2584.0
2019,Libanon,1069.0
2019,Syrien   Arabische Republik,2544.0
2019,Australien und Ozeanien,50.0
2019,Sonstige Ziele,-2585.0
2019,Insgesamt,38216.0
2020,Europa insgesamt,18765.0
2020,Albanien,562.0
2020,Bulgarien,2537.0
2020,Griechenland,632.0
2020,Italien,837.0
2020,Kosovo,488.0
2020,Moldau   Republik,1040.0
2020,Polen,677.0
2020,Rumänien,4838.0
2020,Russische Föderation,2202.0
2020,Serbien (ab 2008),489.0
2020,Spanien,425.0
2020,Türkei,1763.0
2020,Ukraine,702.0
2020,EU Staaten,6782.0
2020,Afrika insgesamt,1873.0
2020,Amerika insgesamt,702.0
2020,Asien insgesamt,8483.0
2020,Afghanistan,713.0
2020,Indien,429.0
2020,Irak,1092.0
2020,Iran  Islamische Republik,545.0
2020,Kasachstan,1710.0
2020,Libanon,511.0
2020,Syrien   Arabische Republik,2368.0
2020,Australien und Ozeanien,117.0
2020,Sonstige Ziele,-2791.0
2020,Insgesamt,27149.0
