Year,Land der Staatsangehörigkeit,Kategorie,Value
WS 2018/19,Syrien  Arab. Republik,Ausländische Studierende (Männer),1006
WS 2018/19,Indien,Ausländische Studierende (Männer),814
WS 2018/19,Iran  Islamische Republik,Ausländische Studierende (Männer),491
WS 2018/19,Staaten insgesamt,Ausländische Studierende (Männer),13360
WS 2019/20,China,Ausländische Studierende (Männer),2563
WS 2019/20,Türkei,Ausländische Studierende (Männer),1000
WS 2019/20,Syrien  Arab. Republik,Ausländische Studierende (Männer),1237
WS 2019/20,Indien,Ausländische Studierende (Männer),1008
WS 2019/20,Iran  Islamische Republik,Ausländische Studierende (Männer),548
WS 2019/20,Staaten insgesamt,Ausländische Studierende (Männer),14266
WS 2005/06,China,Ausländische Studierende (Frauen),1380
WS 2005/06,Türkei,Ausländische Studierende (Frauen),406
WS 2005/06,Syrien  Arab. Republik,Ausländische Studierende (Frauen),35
WS 2005/06,Indien,Ausländische Studierende (Frauen),66
WS 2005/06,Iran  Islamische Republik,Ausländische Studierende (Frauen),160
WS 2005/06,Staaten insgesamt,Ausländische Studierende (Frauen),8228
WS 2006/07,China,Ausländische Studierende (Frauen),1325
WS 2006/07,Türkei,Ausländische Studierende (Frauen),407
WS 2006/07,Syrien  Arab. Republik,Ausländische Studierende (Frauen),41
WS 2006/07,Indien,Ausländische Studierende (Frauen),71
WS 2006/07,Iran  Islamische Republik,Ausländische Studierende (Frauen),158
WS 2006/07,Staaten insgesamt,Ausländische Studierende (Frauen),7993
WS 2007/08,China,Ausländische Studierende (Frauen),1190
WS 2007/08,Türkei,Ausländische Studierende (Frauen),436
WS 2007/08,Syrien  Arab. Republik,Ausländische Studierende (Frauen),41
WS 2007/08,Indien,Ausländische Studierende (Frauen),84
WS 2007/08,Iran  Islamische Republik,Ausländische Studierende (Frauen),161
WS 2007/08,Staaten insgesamt,Ausländische Studierende (Frauen),7502
WS 2008/09,China,Ausländische Studierende (Frauen),1126
WS 2008/09,Türkei,Ausländische Studierende (Frauen),470
WS 2008/09,Syrien  Arab. Republik,Ausländische Studierende (Frauen),50
WS 2008/09,Indien,Ausländische Studierende (Frauen),78
WS 2008/09,Iran  Islamische Republik,Ausländische Studierende (Frauen),175
WS 2008/09,Staaten insgesamt,Ausländische Studierende (Frauen),7409
WS 2009/10,China,Ausländische Studierende (Frauen),1099
WS 2009/10,Türkei,Ausländische Studierende (Frauen),504
WS 2009/10,Syrien  Arab. Republik,Ausländische Studierende (Frauen),56
WS 2009/10,Indien,Ausländische Studierende (Frauen),82
WS 2009/10,Iran  Islamische Republik,Ausländische Studierende (Frauen),180
WS 2009/10,Staaten insgesamt,Ausländische Studierende (Frauen),7274
WS 2010/11,China,Ausländische Studierende (Frauen),1052
WS 2010/11,Türkei,Ausländische Studierende (Frauen),537
WS 2010/11,Syrien  Arab. Republik,Ausländische Studierende (Frauen),57
WS 2010/11,Indien,Ausländische Studierende (Frauen),94
WS 2010/11,Iran  Islamische Republik,Ausländische Studierende (Frauen),207
WS 2010/11,Staaten insgesamt,Ausländische Studierende (Frauen),7161
WS 2011/12,China,Ausländische Studierende (Frauen),1012
WS 2011/12,Türkei,Ausländische Studierende (Frauen),608
WS 2011/12,Syrien  Arab. Republik,Ausländische Studierende (Frauen),61
WS 2011/12,Indien,Ausländische Studierende (Frauen),118
WS 2011/12,Iran  Islamische Republik,Ausländische Studierende (Frauen),223
WS 2011/12,Staaten insgesamt,Ausländische Studierende (Frauen),7106
WS 2012/13,China,Ausländische Studierende (Frauen),1065
WS 2012/13,Türkei,Ausländische Studierende (Frauen),688
WS 2012/13,Syrien  Arab. Republik,Ausländische Studierende (Frauen),65
WS 2012/13,Indien,Ausländische Studierende (Frauen),140
WS 2012/13,Iran  Islamische Republik,Ausländische Studierende (Frauen),249
WS 2012/13,Staaten insgesamt,Ausländische Studierende (Frauen),7274
WS 2013/14,China,Ausländische Studierende (Frauen),1222
WS 2013/14,Türkei,Ausländische Studierende (Frauen),764
WS 2013/14,Syrien  Arab. Republik,Ausländische Studierende (Frauen),71
WS 2013/14,Indien,Ausländische Studierende (Frauen),163
WS 2013/14,Iran  Islamische Republik,Ausländische Studierende (Frauen),264
WS 2013/14,Staaten insgesamt,Ausländische Studierende (Frauen),7683
WS 2014/15,China,Ausländische Studierende (Frauen),1350
WS 2014/15,Türkei,Ausländische Studierende (Frauen),843
WS 2014/15,Syrien  Arab. Republik,Ausländische Studierende (Frauen),84
WS 2014/15,Indien,Ausländische Studierende (Frauen),183
WS 2014/15,Iran  Islamische Republik,Ausländische Studierende (Frauen),257
WS 2014/15,Staaten insgesamt,Ausländische Studierende (Frauen),8340
WS 2015/16,China,Ausländische Studierende (Frauen),1472
WS 2015/16,Türkei,Ausländische Studierende (Frauen),927
WS 2015/16,Syrien  Arab. Republik,Ausländische Studierende (Frauen),110
WS 2015/16,Indien,Ausländische Studierende (Frauen),203
WS 2015/16,Iran  Islamische Republik,Ausländische Studierende (Frauen),317
WS 2015/16,Staaten insgesamt,Ausländische Studierende (Frauen),8964
WS 2016/17,China,Ausländische Studierende (Frauen),1616
WS 2016/17,Türkei,Ausländische Studierende (Frauen),988
WS 2016/17,Syrien  Arab. Republik,Ausländische Studierende (Frauen),127
WS 2016/17,Indien,Ausländische Studierende (Frauen),211
WS 2016/17,Iran  Islamische Republik,Ausländische Studierende (Frauen),359
WS 2016/17,Staaten insgesamt,Ausländische Studierende (Frauen),9428
WS 2017/18,China,Ausländische Studierende (Frauen),1740
WS 2017/18,Türkei,Ausländische Studierende (Frauen),1023
WS 2017/18,Syrien  Arab. Republik,Ausländische Studierende (Frauen),181
WS 2017/18,Indien,Ausländische Studierende (Frauen),228
WS 2017/18,Iran  Islamische Republik,Ausländische Studierende (Frauen),397
WS 2017/18,Staaten insgesamt,Ausländische Studierende (Frauen),9965
WS 2018/19,China,Ausländische Studierende (Frauen),1836
WS 2018/19,Türkei,Ausländische Studierende (Frauen),998
WS 2018/19,Syrien  Arab. Republik,Ausländische Studierende (Frauen),261
WS 2018/19,Indien,Ausländische Studierende (Frauen),249
WS 2018/19,Iran  Islamische Republik,Ausländische Studierende (Frauen),439
WS 2018/19,Staaten insgesamt,Ausländische Studierende (Frauen),10347
WS 2019/20,China,Ausländische Studierende (Frauen),1850
WS 2019/20,Türkei,Ausländische Studierende (Frauen),999
WS 2019/20,Syrien  Arab. Republik,Ausländische Studierende (Frauen),356
WS 2019/20,Indien,Ausländische Studierende (Frauen),330
WS 2019/20,Iran  Islamische Republik,Ausländische Studierende (Frauen),484
WS 2019/20,Staaten insgesamt,Ausländische Studierende (Frauen),10811
WS 2005/06,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),2967
WS 2005/06,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),455
WS 2005/06,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),149
WS 2005/06,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),270
WS 2005/06,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),242
WS 2005/06,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),14089
WS 2006/07,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),2887
WS 2006/07,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),447
WS 2006/07,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),164
WS 2006/07,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),293
WS 2006/07,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),249
WS 2006/07,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),13620
WS 2007/08,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),2553
WS 2007/08,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),418
WS 2007/08,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),155
WS 2007/08,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),259
WS 2007/08,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),270
WS 2007/08,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),12486
WS 2008/09,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),2416
WS 2008/09,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),418
WS 2008/09,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),174
WS 2008/09,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),220
WS 2008/09,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),309
WS 2008/09,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),12273
WS 2009/10,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),2332
WS 2009/10,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),444
WS 2009/10,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),181
WS 2009/10,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),227
WS 2009/10,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),337
WS 2009/10,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),12050
WS 2010/11,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),2297
WS 2010/11,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),452
WS 2010/11,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),183
WS 2010/11,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),273
WS 2010/11,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),382
WS 2010/11,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),11784
WS 2011/12,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),2214
WS 2011/12,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),478
WS 2011/12,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),212
WS 2011/12,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),327
WS 2011/12,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),414
WS 2011/12,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),11627
WS 2012/13,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),2386
WS 2012/13,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),490
WS 2012/13,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),203
WS 2012/13,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),417
WS 2012/13,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),455
WS 2012/13,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),11955
WS 2013/14,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),2681
WS 2013/14,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),487
WS 2013/14,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),217
WS 2013/14,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),496
WS 2013/14,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),499
WS 2013/14,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),12534
WS 2014/15,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),2893
WS 2014/15,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),459
WS 2014/15,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),250
WS 2014/15,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),578
WS 2014/15,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),514
WS 2014/15,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),13675
WS 2015/16,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),3116
WS 2015/16,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),461
WS 2015/16,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),364
WS 2015/16,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),630
WS 2015/16,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),593
WS 2015/16,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),14735
WS 2016/17,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),3422
WS 2016/17,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),438
WS 2016/17,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),501
WS 2016/17,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),701
WS 2016/17,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),670
WS 2016/17,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),16036
WS 2017/18,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),3859
WS 2017/18,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),474
WS 2017/18,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),818
WS 2017/18,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),832
WS 2017/18,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),750
WS 2017/18,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),17717
WS 2018/19,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),4179
WS 2018/19,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),466
WS 2018/19,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),1168
WS 2018/19,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),1057
WS 2018/19,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),865
WS 2018/19,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),19186
WS 2019/20,China,Bildungsausländerinnen und Bildungsausländer (Insgesamt),4258
WS 2019/20,Türkei,Bildungsausländerinnen und Bildungsausländer (Insgesamt),518
WS 2019/20,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),1457
WS 2019/20,Indien,Bildungsausländerinnen und Bildungsausländer (Insgesamt),1334
WS 2019/20,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Insgesamt),974
WS 2019/20,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Insgesamt),20594
WS 2005/06,China,Bildungsausländerinnen und Bildungsausländer (Männer),1636
WS 2005/06,Türkei,Bildungsausländerinnen und Bildungsausländer (Männer),332
WS 2005/06,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Männer),118
WS 2005/06,Indien,Bildungsausländerinnen und Bildungsausländer (Männer),208
WS 2005/06,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Männer),128
WS 2005/06,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Männer),7164
WS 2006/07,China,Bildungsausländerinnen und Bildungsausländer (Männer),1612
WS 2006/07,Türkei,Bildungsausländerinnen und Bildungsausländer (Männer),308
WS 2006/07,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Männer),128
WS 2006/07,Indien,Bildungsausländerinnen und Bildungsausländer (Männer),225
WS 2006/07,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Männer),132
WS 2006/07,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Männer),6868
WS 2007/08,China,Bildungsausländerinnen und Bildungsausländer (Männer),1404
WS 2007/08,Türkei,Bildungsausländerinnen und Bildungsausländer (Männer),279
WS 2007/08,Syrien  Arab. Republik,Bildungsausländerinnen und Bildungsausländer (Männer),121
WS 2007/08,Indien,Bildungsausländerinnen und Bildungsausländer (Männer),180
WS 2007/08,Iran  Islamische Republik,Bildungsausländerinnen und Bildungsausländer (Männer),147
WS 2007/08,Staaten insgesamt,Bildungsausländerinnen und Bildungsausländer (Männer),6258
