Year,Herkunftsland,Migrationshintergrund,Units,Value
2018,Türkei,Insgesamt,in 1000,182.0
2018,Ukraine,Insgesamt,in 1000,29.0
2018,EU-Staaten,Insgesamt,in 1000,560.0
2018,Afrika,Insgesamt,in 1000,49.0
2018,Ägypten Algerien Libyen Tunesien,Insgesamt,in 1000,14.0
2018,Amerika,Insgesamt,in 1000,35.0
2018,Asien Australien und Ozeanien,Insgesamt,in 1000,471.0
2018,Irak,Insgesamt,in 1000,31.0
2018,Iran,Insgesamt,in 1000,20.0
2018,Kasachstan,Insgesamt,in 1000,163.0
2018,Syrien,Insgesamt,in 1000,99.0
2018,Afghanistan,Insgesamt,in 1000,21.0
2018,Vietnam,Insgesamt,in 1000,22.0
2018,Ohne Angabe,Insgesamt,in 1000,39.0
2018,Insgesamt,Insgesamt,in 1000,1726.0
2017,Europa,Insgesamt,in 1000,1063.6
2017,Bulgarien,Insgesamt,in 1000,18.7
2017,Griechenland,Insgesamt,in 1000,20.8
2017,Italien,Insgesamt,in 1000,35.2
2017,Niederlande,Insgesamt,in 1000,41.6
2017,Polen,Insgesamt,in 1000,245.1
2017,Rumänien,Insgesamt,in 1000,38.2
2017,Spanien,Insgesamt,in 1000,16.3
2017,Vereinigtes Königreich,Insgesamt,in 1000,16.2
2017,Kosovo,Insgesamt,in 1000,39.3
2017,Russische Föderation,Insgesamt,in 1000,203.0
2017,Serbien,Insgesamt,in 1000,23.6
2017,Türkei,Insgesamt,in 1000,186.8
2017,Ukraine,Insgesamt,in 1000,27.3
2017,EU-Staaten,Insgesamt,in 1000,525.8
2017,Afrika,Insgesamt,in 1000,50.2
2017,Ägypten Algerien Libyen Tunesien,Insgesamt,in 1000,13.8
2017,Amerika,Insgesamt,in 1000,31.4
2017,Asien Australien und Ozeanien,Insgesamt,in 1000,446.1
2017,Irak,Insgesamt,in 1000,33.5
2017,Iran,Insgesamt,in 1000,18.4
2017,Kasachstan,Insgesamt,in 1000,159.9
2017,Syrien,Insgesamt,in 1000,85.3
2017,Afghanistan,Insgesamt,in 1000,18.9
2017,Vietnam,Insgesamt,in 1000,17.8
2017,Ohne Angabe,Insgesamt,in 1000,64.7
2017,Insgesamt,Insgesamt,in 1000,1656.0
2015,Europa,Insgesamt,in 1000,883.3
2015,Türkei,Insgesamt,in 1000,192.9
2015,Polen,Insgesamt,in 1000,163.1
2015,Russische Föderation,Insgesamt,in 1000,153.0
2015,Niederlande,Insgesamt,in 1000,45.8
2015,Italien,Insgesamt,in 1000,34.1
2015,Rumänien,Insgesamt,in 1000,24.9
2015,Sowjetunion,Insgesamt,in 1000,24.6
2015,Griechenland,Insgesamt,in 1000,20.7
2015,Serbien,Insgesamt,in 1000,20.6
2015,Kosovo,Insgesamt,in 1000,19.4
2015,Ukraine,Insgesamt,in 1000,19.0
2015,Spanien,Insgesamt,in 1000,15.2
2015,Bulgarien,Insgesamt,in 1000,14.7
2015,Österreich,Insgesamt,in 1000,13.1
2015,EU-Staaten,Insgesamt,in 1000,398.6
2015,Afrika,Insgesamt,in 1000,28.7
2015,Amerika,Insgesamt,in 1000,23.5
2015,Asien Australien und Ozeanien,Insgesamt,in 1000,310.3
2015,Kasachstan,Insgesamt,in 1000,138.4
2015,Syrien,Insgesamt,in 1000,23.2
2015,Libanon,Insgesamt,in 1000,19.3
2015,Vietnam,Insgesamt,in 1000,17.6
2015,Iran,Insgesamt,in 1000,15.7
2015,Irak,Insgesamt,in 1000,14.6
2015,Ohne Angabe,Insgesamt,in 1000,154.4
2015,Insgesamt,Insgesamt,in 1000,1400.2
2014,Europa,Insgesamt,in 1000,896.0
2014,Türkei,Insgesamt,in 1000,193.0
2014,Russische Föderation,Insgesamt,in 1000,176.4
2014,Polen,Insgesamt,in 1000,165.3
2014,Niederlande,Insgesamt,in 1000,47.8
2014,Italien,Insgesamt,in 1000,32.8
2014,Sowjetunion,Insgesamt,in 1000,29.5
2014,Ukraine,Insgesamt,in 1000,25.8
2014,Serbien,Insgesamt,in 1000,22.5
2014,Rumänien,Insgesamt,in 1000,21.5
2014,Kosovo,Insgesamt,in 1000,19.7
2014,Griechenland,Insgesamt,in 1000,18.4
2014,Spanien,Insgesamt,in 1000,15.3
2014,Vereinigtes Königreich,Insgesamt,in 1000,13.9
2014,Kroatien,Insgesamt,in 1000,11.9
2014,Österreich,Insgesamt,in 1000,11.1
2014,EU-Staaten,Insgesamt,in 1000,389.0
2014,Afrika,Insgesamt,in 1000,33.0
2014,Amerika,Insgesamt,in 1000,22.0
2014,Asien Australien und Ozeanien,Insgesamt,in 1000,278.0
2014,Kasachstan,Insgesamt,in 1000,129.2
2014,Vietnam,Insgesamt,in 1000,17.8
2014,Libanon,Insgesamt,in 1000,17.8
2014,Iran,Insgesamt,in 1000,13.3
2014,Syrien,Insgesamt,in 1000,10.7
2014,Ohne Angabe,Insgesamt,in 1000,126.0
2014,Insgesamt,Insgesamt,in 1000,1356.0
2019,Europa,dav. Männer,in 1000,540.302
2019,Bulgarien,dav. Männer,in 1000,12.865
2019,Frankreich,dav. Männer,in 1000,
2019,Griechenland,dav. Männer,in 1000,14.11
2019,Italien,dav. Männer,in 1000,22.067
2019,Kroatien,dav. Männer,in 1000,8.937
2019,Niederlande,dav. Männer,in 1000,25.547
2019,Österreich,dav. Männer,in 1000,6.445
2019,Polen,dav. Männer,in 1000,120.11
2019,Portugal,dav. Männer,in 1000,
2019,Rumänien,dav. Männer,in 1000,23.337
2019,Spanien,dav. Männer,in 1000,10.167
2019,Vereinigtes Königreich,dav. Männer,in 1000,12.516
2019,Sonstiges Europa,dav. Männer,in 1000,253.935
2019,Bosnien und Herzegowina,dav. Männer,in 1000,7.748
2019,Kosovo,dav. Männer,in 1000,22.157
2019,Russische Föderation,dav. Männer,in 1000,83.476
2019,Serbien,dav. Männer,in 1000,10.463
2019,Türkei,dav. Männer,in 1000,94.712
2019,Ukraine,dav. Männer,in 1000,12.117
2019,EU-Staaten,dav. Männer,in 1000,286.367
2019,Afrika,dav. Männer,in 1000,34.247
2019,Marokko,dav. Männer,in 1000,
2019,Ägypten Algerien Libyen Tunesien,dav. Männer,in 1000,9.355
2019,Amerika,dav. Männer,in 1000,17.595
2019,Asien Australien und Ozeanien,dav. Männer,in 1000,246.272
2019,Irak,dav. Männer,in 1000,20.61
2019,Iran,dav. Männer,in 1000,12.776
2019,Kasachstan,dav. Männer,in 1000,75.487
2019,Syrien,dav. Männer,in 1000,55.947
2019,Afghanistan,dav. Männer,in 1000,14.985
2019,Vietnam,dav. Männer,in 1000,9.132
2019,Ohne Angabe,dav. Männer,in 1000,25.944
2019,Insgesamt,dav. Männer,in 1000,901.277
2018,Europa,dav. Männer,in 1000,537.0
2018,Bulgarien,dav. Männer,in 1000,11.0
2018,Griechenland,dav. Männer,in 1000,12.0
2018,Italien,dav. Männer,in 1000,23.0
2018,Niederlande,dav. Männer,in 1000,29.0
2018,Polen,dav. Männer,in 1000,125.0
2018,Rumänien,dav. Männer,in 1000,22.0
2018,Spanien,dav. Männer,in 1000,9.0
2018,Vereinigtes Königreich,dav. Männer,in 1000,11.0
2018,Kosovo,dav. Männer,in 1000,22.0
2018,Russische Föderation,dav. Männer,in 1000,85.0
2018,Serbien,dav. Männer,in 1000,10.0
2018,Türkei,dav. Männer,in 1000,92.0
2018,Ukraine,dav. Männer,in 1000,12.0
2018,EU-Staaten,dav. Männer,in 1000,291.0
2018,Afrika,dav. Männer,in 1000,33.0
2018,Ägypten Algerien Libyen Tunesien,dav. Männer,in 1000,9.0
2018,Amerika,dav. Männer,in 1000,15.0
2018,Asien Australien und Ozeanien,dav. Männer,in 1000,249.0
2018,Irak,dav. Männer,in 1000,20.0
2018,Iran,dav. Männer,in 1000,12.0
2018,Kasachstan,dav. Männer,in 1000,81.0
2018,Syrien,dav. Männer,in 1000,58.0
2018,Afghanistan,dav. Männer,in 1000,12.0
2018,Vietnam,dav. Männer,in 1000,11.0
2018,Ohne Angabe,dav. Männer,in 1000,21.0
2018,Insgesamt,dav. Männer,in 1000,890.0
2017,Europa,dav. Männer,in 1000,547.0
2017,Bulgarien,dav. Männer,in 1000,10.2
2017,Griechenland,dav. Männer,in 1000,11.7
2017,Italien,dav. Männer,in 1000,22.4
2017,Niederlande,dav. Männer,in 1000,26.1
2017,Polen,dav. Männer,in 1000,119.0
2017,Rumänien,dav. Männer,in 1000,20.5
2017,Spanien,dav. Männer,in 1000,8.2
2017,Vereinigtes Königreich,dav. Männer,in 1000,11.7
2017,Kosovo,dav. Männer,in 1000,21.3
2017,Russische Föderation,dav. Männer,in 1000,95.9
2017,Serbien,dav. Männer,in 1000,13.5
2017,Türkei,dav. Männer,in 1000,96.3
2017,Ukraine,dav. Männer,in 1000,11.7
2017,EU-Staaten,dav. Männer,in 1000,278.5
2017,Afrika,dav. Männer,in 1000,33.8
2017,Ägypten Algerien Libyen Tunesien,dav. Männer,in 1000,8.1
2017,Amerika,dav. Männer,in 1000,12.8
2017,Asien Australien und Ozeanien,dav. Männer,in 1000,238.4
2017,Irak,dav. Männer,in 1000,20.2
2017,Iran,dav. Männer,in 1000,10.2
2017,Kasachstan,dav. Männer,in 1000,81.9
2017,Syrien,dav. Männer,in 1000,50.0
2017,Afghanistan,dav. Männer,in 1000,12.3
2017,Vietnam,dav. Männer,in 1000,8.5
2017,Ohne Angabe,dav. Männer,in 1000,32.9
2017,Insgesamt,dav. Männer,in 1000,864.9
2015,Europa,dav. Männer,in 1000,450.0
2015,Türkei,dav. Männer,in 1000,99.1
2015,Polen,dav. Männer,in 1000,80.0
2015,Russische Föderation,dav. Männer,in 1000,73.4
2015,Niederlande,dav. Männer,in 1000,26.3
2015,Italien,dav. Männer,in 1000,20.9
2015,Rumänien,dav. Männer,in 1000,12.4
2015,Sowjetunion,dav. Männer,in 1000,12.6
2015,Griechenland,dav. Männer,in 1000,11.7
2015,Serbien,dav. Männer,in 1000,10.5
2015,Kosovo,dav. Männer,in 1000,10.4
2015,Ukraine,dav. Männer,in 1000,8.2
2015,Spanien,dav. Männer,in 1000,8.2
2015,Bulgarien,dav. Männer,in 1000,6.7
2015,Österreich,dav. Männer,in 1000,8.1
2015,EU-Staaten,dav. Männer,in 1000,208.7
2015,Afrika,dav. Männer,in 1000,17.5
2015,Amerika,dav. Männer,in 1000,10.8
2015,Asien Australien und Ozeanien,dav. Männer,in 1000,152.6
2015,Kasachstan,dav. Männer,in 1000,65.4
2015,Syrien,dav. Männer,in 1000,12.9
2015,Libanon,dav. Männer,in 1000,9.4
2015,Vietnam,dav. Männer,in 1000,9.1
2015,Iran,dav. Männer,in 1000,8.7
2015,Irak,dav. Männer,in 1000,9.3
2015,Ohne Angabe,dav. Männer,in 1000,81.3
2015,Insgesamt,dav. Männer,in 1000,712.1
2014,Europa,dav. Männer,in 1000,453.0
2014,Türkei,dav. Männer,in 1000,97.1
2014,Russische Föderation,dav. Männer,in 1000,82.1
2014,Polen,dav. Männer,in 1000,83.8
2014,Niederlande,dav. Männer,in 1000,26.2
2014,Italien,dav. Männer,in 1000,18.4
2014,Sowjetunion,dav. Männer,in 1000,14.1
2014,Ukraine,dav. Männer,in 1000,11.6
2014,Serbien,dav. Männer,in 1000,11.1
2014,Rumänien,dav. Männer,in 1000,10.3
2014,Kosovo,dav. Männer,in 1000,9.9
2014,Griechenland,dav. Männer,in 1000,9.5
2014,Spanien,dav. Männer,in 1000,9.3
2014,Vereinigtes Königreich,dav. Männer,in 1000,8.9
2014,Kroatien,dav. Männer,in 1000,6.8
2014,Österreich,dav. Männer,in 1000,7.1
2014,EU-Staaten,dav. Männer,in 1000,207.0
2014,Afrika,dav. Männer,in 1000,21.0
2014,Amerika,dav. Männer,in 1000,10.0
2014,Asien Australien und Ozeanien,dav. Männer,in 1000,136.0
2014,Kasachstan,dav. Männer,in 1000,62.6
2014,Vietnam,dav. Männer,in 1000,8.0
2014,Libanon,dav. Männer,in 1000,9.1
2014,Iran,dav. Männer,in 1000,6.6
2014,Syrien,dav. Männer,in 1000,6.4
2014,Ohne Angabe,dav. Männer,in 1000,62.0
2014,Insgesamt,dav. Männer,in 1000,682.0
2019,Europa,dav. Frauen,in 1000,529.266
2019,Bulgarien,dav. Frauen,in 1000,11.125
2019,Frankreich,dav. Frauen,in 1000,
2019,Griechenland,dav. Frauen,in 1000,10.549
2019,Italien,dav. Frauen,in 1000,15.278
2019,Kroatien,dav. Frauen,in 1000,7.31
2019,Niederlande,dav. Frauen,in 1000,15.845
2019,Österreich,dav. Frauen,in 1000,6.7
2019,Polen,dav. Frauen,in 1000,125.143
2019,Portugal,dav. Frauen,in 1000,
2019,Rumänien,dav. Frauen,in 1000,20.759
2019,Spanien,dav. Frauen,in 1000,7.147
2019,Vereinigtes Königreich,dav. Frauen,in 1000,7.297
2019,Sonstiges Europa,dav. Frauen,in 1000,268.362
2019,Bosnien und Herzegowina,dav. Frauen,in 1000,8.677
2019,Kosovo,dav. Frauen,in 1000,21.969
2019,Russische Föderation,dav. Frauen,in 1000,95.732
2019,Serbien,dav. Frauen,in 1000,10.346
2019,Türkei,dav. Frauen,in 1000,91.919
2019,Ukraine,dav. Frauen,in 1000,15.472
2019,EU-Staaten,dav. Frauen,in 1000,260.904
2019,Afrika,dav. Frauen,in 1000,19.84
2019,Marokko,dav. Frauen,in 1000,
2019,Ägypten Algerien Libyen Tunesien,dav. Frauen,in 1000,
2019,Amerika,dav. Frauen,in 1000,18.329
2019,Asien Australien und Ozeanien,dav. Frauen,in 1000,221.828
2019,Irak,dav. Frauen,in 1000,17.496
2019,Iran,dav. Frauen,in 1000,7.821
2019,Kasachstan,dav. Frauen,in 1000,77.056
2019,Syrien,dav. Frauen,in 1000,38.459
2019,Afghanistan,dav. Frauen,in 1000,10.168
2019,Vietnam,dav. Frauen,in 1000,9.384
2019,Ohne Angabe,dav. Frauen,in 1000,24.212
2019,Insgesamt,dav. Frauen,in 1000,849.515
2018,Europa,dav. Frauen,in 1000,526.0
2018,Bulgarien,dav. Frauen,in 1000,9.0
2018,Griechenland,dav. Frauen,in 1000,11.0
2018,Italien,dav. Frauen,in 1000,16.0
2018,Niederlande,dav. Frauen,in 1000,20.0
2018,Polen,dav. Frauen,in 1000,130.0
2018,Rumänien,dav. Frauen,in 1000,19.0
2018,Spanien,dav. Frauen,in 1000,8.0
2018,Vereinigtes Königreich,dav. Frauen,in 1000,7.0
2018,Kosovo,dav. Frauen,in 1000,19.0
2018,Russische Föderation,dav. Frauen,in 1000,94.0
2018,Serbien,dav. Frauen,in 1000,9.0
2018,Türkei,dav. Frauen,in 1000,89.0
2018,Ukraine,dav. Frauen,in 1000,17.0
2018,EU-Staaten,dav. Frauen,in 1000,268.0
2018,Afrika,dav. Frauen,in 1000,16.0
2018,Ägypten Algerien Libyen Tunesien,dav. Frauen,in 1000,
2018,Amerika,dav. Frauen,in 1000,20.0
2018,Asien Australien und Ozeanien,dav. Frauen,in 1000,223.0
2018,Irak,dav. Frauen,in 1000,11.0
2018,Iran,dav. Frauen,in 1000,8.0
2018,Kasachstan,dav. Frauen,in 1000,83.0
2018,Syrien,dav. Frauen,in 1000,40.0
2018,Afghanistan,dav. Frauen,in 1000,9.0
2018,Vietnam,dav. Frauen,in 1000,12.0
2018,Ohne Angabe,dav. Frauen,in 1000,18.0
2018,Insgesamt,dav. Frauen,in 1000,836.0
2017,Europa,dav. Frauen,in 1000,516.6
2017,Bulgarien,dav. Frauen,in 1000,8.6
2017,Griechenland,dav. Frauen,in 1000,9.1
2017,Italien,dav. Frauen,in 1000,12.7
2017,Niederlande,dav. Frauen,in 1000,15.6
2017,Polen,dav. Frauen,in 1000,126.1
2017,Rumänien,dav. Frauen,in 1000,17.7
2017,Spanien,dav. Frauen,in 1000,8.1
2017,Vereinigtes Königreich,dav. Frauen,in 1000,
2017,Kosovo,dav. Frauen,in 1000,18.0
2017,Russische Föderation,dav. Frauen,in 1000,107.1
2017,Serbien,dav. Frauen,in 1000,10.1
2017,Türkei,dav. Frauen,in 1000,90.6
2017,Ukraine,dav. Frauen,in 1000,15.6
2017,EU-Staaten,dav. Frauen,in 1000,247.3
2017,Afrika,dav. Frauen,in 1000,16.4
2017,Ägypten Algerien Libyen Tunesien,dav. Frauen,in 1000,5.8
2017,Amerika,dav. Frauen,in 1000,18.6
2017,Asien Australien und Ozeanien,dav. Frauen,in 1000,207.6
2017,Irak,dav. Frauen,in 1000,13.2
2017,Iran,dav. Frauen,in 1000,8.2
2017,Kasachstan,dav. Frauen,in 1000,77.9
2017,Syrien,dav. Frauen,in 1000,35.3
2017,Afghanistan,dav. Frauen,in 1000,6.6
2017,Vietnam,dav. Frauen,in 1000,9.4
2017,Ohne Angabe,dav. Frauen,in 1000,31.8
2017,Insgesamt,dav. Frauen,in 1000,791.0
2015,Europa,dav. Frauen,in 1000,433.3
2015,Türkei,dav. Frauen,in 1000,93.9
2015,Polen,dav. Frauen,in 1000,83.0
2015,Russische Föderation,dav. Frauen,in 1000,79.6
2015,Niederlande,dav. Frauen,in 1000,19.5
2015,Italien,dav. Frauen,in 1000,13.3
2015,Rumänien,dav. Frauen,in 1000,12.6
2015,Sowjetunion,dav. Frauen,in 1000,12.0
2015,Griechenland,dav. Frauen,in 1000,9.0
2015,Serbien,dav. Frauen,in 1000,10.1
2015,Kosovo,dav. Frauen,in 1000,8.9
2015,Ukraine,dav. Frauen,in 1000,10.8
2015,Spanien,dav. Frauen,in 1000,7.0
2015,Bulgarien,dav. Frauen,in 1000,8.1
2015,Österreich,dav. Frauen,in 1000,5.0
2015,EU-Staaten,dav. Frauen,in 1000,189.9
2015,Afrika,dav. Frauen,in 1000,11.3
2015,Amerika,dav. Frauen,in 1000,12.7
2015,Asien Australien und Ozeanien,dav. Frauen,in 1000,157.7
2015,Kasachstan,dav. Frauen,in 1000,72.9
2015,Syrien,dav. Frauen,in 1000,10.3
2015,Libanon,dav. Frauen,in 1000,9.9
2015,Vietnam,dav. Frauen,in 1000,8.6
2015,Iran,dav. Frauen,in 1000,7.0
2015,Irak,dav. Frauen,in 1000,5.4
2015,Ohne Angabe,dav. Frauen,in 1000,73.1
2015,Insgesamt,dav. Frauen,in 1000,688.1
2014,Europa,dav. Frauen,in 1000,443.0
2014,Türkei,dav. Frauen,in 1000,95.9
2014,Russische Föderation,dav. Frauen,in 1000,94.3
2014,Polen,dav. Frauen,in 1000,81.5
2014,Niederlande,dav. Frauen,in 1000,21.6
2014,Italien,dav. Frauen,in 1000,14.4
2014,Sowjetunion,dav. Frauen,in 1000,15.4
2014,Ukraine,dav. Frauen,in 1000,14.2
2014,Serbien,dav. Frauen,in 1000,11.4
2014,Rumänien,dav. Frauen,in 1000,11.2
2014,Kosovo,dav. Frauen,in 1000,9.8
2014,Griechenland,dav. Frauen,in 1000,9.0
2014,Spanien,dav. Frauen,in 1000,5.9
2014,Vereinigtes Königreich,dav. Frauen,in 1000,5.0
2014,Kroatien,dav. Frauen,in 1000,5.2
2014,Österreich,dav. Frauen,in 1000,
2014,EU-Staaten,dav. Frauen,in 1000,182.0
2014,Afrika,dav. Frauen,in 1000,12.0
2014,Amerika,dav. Frauen,in 1000,13.0
2014,Asien Australien und Ozeanien,dav. Frauen,in 1000,142.0
2014,Kasachstan,dav. Frauen,in 1000,66.7
2014,Vietnam,dav. Frauen,in 1000,9.8
2014,Libanon,dav. Frauen,in 1000,8.7
2014,Iran,dav. Frauen,in 1000,6.7
2014,Syrien,dav. Frauen,in 1000,
2014,Ohne Angabe,dav. Frauen,in 1000,64.0
2014,Insgesamt,dav. Frauen,in 1000,674.0
