Year,Gebietseinheit,Migrationshintergrund,GeoCode,Value
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,62,77.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,77,25.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,83,97.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,82,64.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,81,5.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,81,74.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,81,94.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,85,7.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,77,88.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,69,28.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,61,7.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,75,91.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,82,83.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,71,2.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,80,11.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,80,59.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,78,29.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,82,37.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,74,3.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,80,9.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,84,33.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,80,37.0
Lüchow-Dannenberg und Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,84,3.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,84,9.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,88,69.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,81,16.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82,1.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,80,49.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80,15.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,82,37.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,66,88.0
Emden  Stadt und Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,79,94.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,83,28.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,73,29.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,70,69.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,84,76.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,88,3.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,72,18.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,74,33.0
Friesland und Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,91,83.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,72,85.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,83,17.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,77,26.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,67,79.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,84,91.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,78,29.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,77,94.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,73,22.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,63,68.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,64,91.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,79,69.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,83,92.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,84,35.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,79,44.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,81,61.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,80,69.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,85,7.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,77,84.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,69,53.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,63,52.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,74,78.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,83,88.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,69,67.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,78,79.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,82,53.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,77,29.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,81,47.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,73,9.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,79,5.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,84,96.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,80,64.0
Lüchow-Dannenberg und Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,86,8.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,81,67.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,81,76.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,81,39.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82,99.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,79,82.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,81,26.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,81,88.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,63,38.0
Emden  Stadt und Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,81,73.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,80,73.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,71,71.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,79,33.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,88,57.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,89,47.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,71,28.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,77,32.0
Friesland und Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,90,69.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,75,22.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,83,7.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,75,64.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,67,42.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,84,6.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,78,73.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,77,93.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,75,53.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,72,8.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,67,13.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,78,3.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,86,85.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,88,97.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,79,35.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,83,81.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,81,32.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,87,82.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,79,85.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,72,5.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,67,13.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,77,18.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,85,2.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,78,1.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,84,2.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,83,52.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,81,6.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,85,51.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,77,43.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,79,9.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,86,95.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,85,42.0
Lüchow-Dannenberg und Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89,15.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,85,6.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,82,84.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,83,6.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,85,8.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,85,15.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,78,86.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,84,34.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,66,31.0
Emden  Stadt und Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,87,48.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,82,66.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,73,16.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,86,33.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,90,62.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,91,78.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,72,76.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,76,96.0
Friesland und Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,91,5.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,75,66.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,87,79.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,76,14.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,72,32.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,85,17.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,80,67.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,80,42.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,78,14.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,70,8.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,68,95.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,79,2.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,89,25.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,84,94.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,88,95.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,82,32.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,87,3.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,85,9.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,82,3.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,74,43.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,68,29.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,79,73.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,85,73.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,85,89.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,82,82.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,91,81.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,82,87.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,86,4.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,79,28.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,81,62.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,90,76.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,86,23.0
Lüchow-Dannenberg und Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89,12.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,84,88.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,89,75.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,88,97.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,83,83.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,84,32.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80,72.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,85,89.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,69,71.0
Emden  Stadt und Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,84,95.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,85,6.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,74,5.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,83,2.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,91,25.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,89,81.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,71,43.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,83,35.0
Friesland und Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,91,61.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77,6.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,88,21.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,79,24.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,78,47.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,87,5.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,82,19.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,82,16.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,80,91.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,72,71.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,66,53.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,80,38.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,89,28.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,81,49.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,89,6.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,81,67.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,88,54.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,84,72.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,82,6.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,75,78.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,70,3.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,80,68.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,85,9.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,82,1.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,82,87.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,92,97.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,82,34.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,84,9.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,79,72.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,82,56.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,88,34.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,86,59.0
Lüchow-Dannenberg und Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,90,2.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,86,8.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,92,25.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,88,98.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82,83.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,86,52.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80,8.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,86,3.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,72,75.0
Emden  Stadt und Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,87,36.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,85,5.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,71,46.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,83,74.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,90,98.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,92,72.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,69,9.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,82,73.0
Friesland und Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,93,86.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77,6.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,87,74.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,78,85.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,78,93.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,87,4.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,82,53.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,82,6.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,78,92.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,72,21.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,62,73.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,76,4.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,87,3.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,85,53.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,90,32.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,83,93.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,87,5.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,84,85.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,81,6.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,74,47.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,67,3.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,80,76.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,86,69.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,79,59.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,81,83.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,91,51.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,84,5.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,86,33.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,79,1.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,82,23.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,86,28.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,86,7.0
Lüchow-Dannenberg und Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89,93.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,87,19.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,92,62.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,89,22.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,81,31.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,89,15.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,78,7.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,86,11.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,74,89.0
Emden  Stadt und Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,85,3.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,84,31.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,68,38.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,83,45.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,93,16.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,90,55.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,73,7.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,82,32.0
Friesland und Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,93,23.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77,9.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,88,38.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,77,57.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,78,95.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,85,79.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,81,97.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,81,99.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,79,45.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,74,56.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,64,5.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,78,65.0
