Value,Disaggregation combinations using this value,Number of indicators
Veränderung in Prozent ggegenüber 2074,1,1
Veränderung in Prozent ggegenüber 2075,1,1
Veränderung in Prozent ggegenüber 2076,1,1
Veränderung in Prozent ggegenüber 2077,1,1
Veränderung in Prozent ggegenüber 2078,1,1
Veränderung in Prozent ggegenüber 2079,1,1
Veränderung in Prozent ggegenüber 2080,1,1
Veränderung in Prozent ggegenüber 2081,1,1
Veränderung in Prozent ggegenüber 2082,1,1
Veränderung in Prozent ggegenüber 2083,1,1
Veränderung in Prozent ggegenüber 2084,1,1
Veränderung in Prozent ggegenüber 2085,1,1
Veränderung in Prozent ggegenüber 2086,1,1
Veränderung in Prozent ggegenüber 2087,1,1
Veränderung in Prozent ggegenüber 2088,1,1
Veränderung in Prozent ggegenüber 2089,1,1
Veränderung in Prozent ggegenüber 2090,1,1
Veränderung in Prozent ggegenüber 2091,1,1
Veränderung in Prozent ggegenüber 2092,1,1
Veränderung in Prozent ggegenüber 2093,1,1
Veränderung in Prozent ggegenüber 2094,1,1
Veränderung in Prozent ggegenüber 2095,1,1
Veränderung in Prozent ggegenüber 2096,1,1
Veränderung in Prozent ggegenüber 2097,1,1
Veränderung in Prozent ggegenüber 2098,1,1
Veränderung in Prozent ggegenüber 2099,1,1
Veränderung in Prozent ggegenüber 2100,1,1
Veränderung in Prozent ggegenüber 2101,1,1
Veränderung in Prozent ggegenüber 2102,1,1
Veränderung in Prozent ggegenüber 2103,1,1
Veränderung in Prozent ggegenüber 2104,1,1
Veränderung in Prozent ggegenüber 2105,1,1
Veränderung in Prozent ggegenüber 2106,1,1
Veränderung in Prozent ggegenüber 2107,1,1
Veränderung in Prozent ggegenüber 2108,1,1
Veränderung in Prozent ggegenüber 2109,1,1
Veränderung in Prozent ggegenüber 2110,1,1
Veränderung in Prozent ggegenüber 2111,1,1
Veränderung in Prozent ggegenüber 2112,1,1
Veränderung in Prozent ggegenüber 2113,1,1
Veränderung in Prozent ggegenüber 2114,1,1
Veränderung in Prozent ggegenüber 2115,1,1
Veränderung in Prozent ggegenüber 2116,1,1
Veränderung in Prozent ggegenüber 2117,1,1
Veränderung in Prozent ggegenüber 2118,1,1
Veränderung in Prozent ggegenüber 2119,1,1
Veränderung in Prozent ggegenüber 2120,1,1
Veränderung in Prozent ggegenüber 2121,1,1
Veränderung in Prozent ggegenüber 2122,1,1
Veränderung in Prozent ggegenüber 2123,1,1
Veränderung in Prozent ggegenüber 2124,1,1
Veränderung in Prozent ggegenüber 2125,1,1
Veränderung in Prozent ggegenüber 2126,1,1
Veränderung in Prozent ggegenüber 2127,1,1
Veränderung in Prozent ggegenüber 2128,1,1
Veränderung in Prozent ggegenüber 2129,1,1
Veränderung in Prozent ggegenüber 2130,1,1
Veränderung in Prozent ggegenüber 2131,1,1
Veränderung in Prozent ggegenüber 2132,1,1
Veränderung in Prozent ggegenüber 2133,1,1
Veränderung in Prozent ggegenüber 2134,1,1
Veränderung in Prozent ggegenüber 2135,1,1
Veränderung in Prozent ggegenüber 2136,1,1
Veränderung in Prozent ggegenüber 2137,1,1
Veränderung in Prozent ggegenüber 2138,1,1
Veränderung in Prozent ggegenüber 2139,1,1
Veränderung in Prozent ggegenüber 2140,1,1
Veränderung in Prozent ggegenüber 2141,1,1
Veränderung in Prozent ggegenüber 2142,1,1
Veränderung in Prozent ggegenüber 2143,1,1
Veränderung in Prozent ggegenüber 2144,1,1
Veränderung in Prozent ggegenüber 2145,1,1
Veränderung in Prozent ggegenüber 2146,1,1
Veränderung in Prozent ggegenüber 2147,1,1
Veränderung in Prozent ggegenüber 2148,1,1
Veränderung in Prozent ggegenüber 2149,1,1
Veränderung in Prozent ggegenüber 2150,1,1
Veränderung in Prozent ggegenüber 2151,1,1
Veränderung in Prozent ggegenüber 2152,1,1
Veränderung in Prozent ggegenüber 2153,1,1
Veränderung in Prozent ggegenüber 2154,1,1
Veränderung in Prozent ggegenüber 2155,1,1
Veränderung in Prozent ggegenüber 2156,1,1
Veränderung in Prozent ggegenüber 2157,1,1
Veränderung in Prozent ggegenüber 2158,1,1
Veränderung in Prozent ggegenüber 2159,1,1
Veränderung in Prozent ggegenüber 2160,1,1
Veränderung in Prozent ggegenüber 2161,1,1
Veränderung in Prozent ggegenüber 2162,1,1
Veränderung in Prozent ggegenüber 2163,1,1
Veränderung in Prozent ggegenüber 2164,1,1
Veränderung in Prozent ggegenüber 2165,1,1
Veränderung in Prozent ggegenüber 2166,1,1
Veränderung in Prozent ggegenüber 2167,1,1
Veränderung in Prozent ggegenüber 2168,1,1
Veränderung in Prozent ggegenüber 2169,1,1
Veränderung in Prozent ggegenüber 2170,1,1
Veränderung in Prozent ggegenüber 2171,1,1
Veränderung in Prozent ggegenüber 2172,1,1
Veränderung in Prozent ggegenüber 2173,1,1
Veränderung in Prozent ggegenüber 2174,1,1
Veränderung in Prozent ggegenüber 2175,1,1
Veränderung in Prozent ggegenüber 2176,1,1
Veränderung in Prozent ggegenüber 2177,1,1
Veränderung in Prozent ggegenüber 2178,1,1
Veränderung in Prozent ggegenüber 2179,1,1
Veränderung in Prozent ggegenüber 2180,1,1
Veränderung in Prozent ggegenüber 2181,1,1
Veränderung in Prozent ggegenüber 2182,1,1
Veränderung in Prozent ggegenüber 2183,1,1
Veränderung in Prozent ggegenüber 2184,1,1
Veränderung in Prozent ggegenüber 2185,1,1
Veränderung in Prozent ggegenüber 2186,1,1
Veränderung in Prozent ggegenüber 2187,1,1
Veränderung in Prozent ggegenüber 2188,1,1
Veränderung in Prozent ggegenüber 2189,1,1
Veränderung in Prozent ggegenüber 2190,1,1
Veränderung in Prozent ggegenüber 2191,1,1
Veränderung in Prozent ggegenüber 2192,1,1
Veränderung in Prozent ggegenüber 2193,1,1
Veränderung in Prozent ggegenüber 2194,1,1
Veränderung in Prozent ggegenüber 2195,1,1
Veränderung in Prozent ggegenüber 2196,1,1
Veränderung in Prozent ggegenüber 2197,1,1
Veränderung in Prozent ggegenüber 2198,1,1
Veränderung in Prozent ggegenüber 2199,1,1
Veränderung in Prozent ggegenüber 2200,1,1
Veränderung in Prozent ggegenüber 2201,1,1
Veränderung in Prozent ggegenüber 2202,1,1
Veränderung in Prozent ggegenüber 2203,1,1
Veränderung in Prozent ggegenüber 2204,1,1
Veränderung in Prozent ggegenüber 2205,1,1
Veränderung in Prozent ggegenüber 2206,1,1
Veränderung in Prozent ggegenüber 2207,1,1
Veränderung in Prozent ggegenüber 2208,1,1
Veränderung in Prozent ggegenüber 2209,1,1
Veränderung in Prozent ggegenüber 2210,1,1
Veränderung in Prozent ggegenüber 2211,1,1
Veränderung in Prozent ggegenüber 2212,1,1
Veränderung in Prozent ggegenüber 2213,1,1
Veränderung in Prozent ggegenüber 2214,1,1
Veränderung in Prozent ggegenüber 2215,1,1
Veränderung in Prozent ggegenüber 2216,1,1
Veränderung in Prozent ggegenüber 2217,1,1
Veränderung in Prozent ggegenüber 2218,1,1
Veränderung in Prozent ggegenüber 2219,1,1
Veränderung in Prozent ggegenüber 2220,1,1
Veränderung in Prozent ggegenüber 2221,1,1
Veränderung in Prozent ggegenüber 2222,1,1
Veränderung in Prozent ggegenüber 2223,1,1
Veränderung in Prozent ggegenüber 2224,1,1
Veränderung in Prozent ggegenüber 2225,1,1
Veränderung in Prozent ggegenüber 2226,1,1
Veränderung in Prozent ggegenüber 2227,1,1
Veränderung in Prozent ggegenüber 2228,1,1
Veränderung in Prozent ggegenüber 2229,1,1
Veränderung in Prozent ggegenüber 2230,1,1
Veränderung in Prozent ggegenüber 2231,1,1
Veränderung in Prozent ggegenüber 2232,1,1
Veränderung in Prozent ggegenüber 2233,1,1
Veränderung in Prozent ggegenüber 2234,1,1
Veränderung in Prozent ggegenüber 2235,1,1
Veränderung in Prozent ggegenüber 2236,1,1
Veränderung in Prozent ggegenüber 2237,1,1
Veränderung in Prozent ggegenüber 2238,1,1
Veränderung in Prozent ggegenüber 2239,1,1
Veränderung in Prozent ggegenüber 2240,1,1
Veränderung in Prozent ggegenüber 2241,1,1
Veränderung in Prozent ggegenüber 2242,1,1
Veränderung in Prozent ggegenüber 2243,1,1
Veränderung in Prozent ggegenüber 2244,1,1
Veränderung in Prozent ggegenüber 2245,1,1
Veränderung in Prozent ggegenüber 2246,1,1
Veränderung in Prozent ggegenüber 2247,1,1
Veränderung in Prozent ggegenüber 2248,1,1
Veränderung in Prozent ggegenüber 2249,1,1
Veränderung in Prozent ggegenüber 2250,1,1
Veränderung in Prozent ggegenüber 2251,1,1
Veränderung in Prozent ggegenüber 2252,1,1
Veränderung in Prozent ggegenüber 2253,1,1
Veränderung in Prozent ggegenüber 2254,1,1
Veränderung in Prozent ggegenüber 2255,1,1
Veränderung in Prozent ggegenüber 2256,1,1
Veränderung in Prozent ggegenüber 2257,1,1
Veränderung in Prozent ggegenüber 2258,1,1
Veränderung in Prozent ggegenüber 2259,1,1
Veränderung in Prozent ggegenüber 2260,1,1
Veränderung in Prozent ggegenüber 2261,1,1
Veränderung in Prozent ggegenüber 2262,1,1
Veränderung in Prozent ggegenüber 2263,1,1
Veränderung in Prozent ggegenüber 2264,1,1
Veränderung in Prozent ggegenüber 2265,1,1
