Year,Gebietseinheit,Aufenthaltstitel,Grund der Befristung,Geschlecht,Units,GeoCode,Value
2021,"Diepholz",zeitlich unbefristet,,männlich,Anzahl,K03251,1590
2021,"Diepholz",zeitlich unbefristet,,weiblich,Anzahl,K03251,1760
2021,"Diepholz",zeitlich unbefristet,,insgesamt,Anzahl,K03251,3350
2021,"Hameln-Pyrmont",zeitlich unbefristet,,männlich,Anzahl,K03252,2330
2021,"Hameln-Pyrmont",zeitlich unbefristet,,weiblich,Anzahl,K03252,2265
2021,"Hameln-Pyrmont",zeitlich unbefristet,,insgesamt,Anzahl,K03252,4595
2021,"Hildesheim",zeitlich unbefristet,,männlich,Anzahl,K03254,2620
2021,"Hildesheim",zeitlich unbefristet,,weiblich,Anzahl,K03254,2775
2021,"Hildesheim",zeitlich unbefristet,,insgesamt,Anzahl,K03254,5390
2021,"Holzminden",zeitlich unbefristet,,männlich,Anzahl,K03255,780
2021,"Holzminden",zeitlich unbefristet,,weiblich,Anzahl,K03255,750
2021,"Holzminden",zeitlich unbefristet,,insgesamt,Anzahl,K03255,1530
2021,"Nienburg (Weser)",zeitlich unbefristet,,männlich,Anzahl,K03256,905
2021,"Nienburg (Weser)",zeitlich unbefristet,,weiblich,Anzahl,K03256,1005
2021,"Nienburg (Weser)",zeitlich unbefristet,,insgesamt,Anzahl,K03256,1915
2021,"Schaumburg",zeitlich unbefristet,,männlich,Anzahl,K03257,1580
2021,"Schaumburg",zeitlich unbefristet,,weiblich,Anzahl,K03257,1605
2021,"Schaumburg",zeitlich unbefristet,,insgesamt,Anzahl,K03257,3185
2021,"Statistische Region Hannover",zeitlich unbefristet,,männlich,Anzahl,K032,34445
2021,"Statistische Region Hannover",zeitlich unbefristet,,weiblich,Anzahl,K032,34665
2021,"Statistische Region Hannover",zeitlich unbefristet,,insgesamt,Anzahl,K032,69110
2021,"Celle",zeitlich unbefristet,,männlich,Anzahl,K03351,1120
2021,"Celle",zeitlich unbefristet,,weiblich,Anzahl,K03351,1300
2021,"Celle",zeitlich unbefristet,,insgesamt,Anzahl,K03351,2425
2021,"Cuxhaven",zeitlich unbefristet,,männlich,Anzahl,K03352,940
2021,"Cuxhaven",zeitlich unbefristet,,weiblich,Anzahl,K03352,1080
2021,"Cuxhaven",zeitlich unbefristet,,insgesamt,Anzahl,K03352,2020
2021,"Harburg",zeitlich unbefristet,,männlich,Anzahl,K03353,2120
2021,"Harburg",zeitlich unbefristet,,weiblich,Anzahl,K03353,2125
2021,"Harburg",zeitlich unbefristet,,insgesamt,Anzahl,K03353,4245
2021,"Lüchow-Dannenberg",zeitlich unbefristet,,männlich,Anzahl,K03354,170
2021,"Lüchow-Dannenberg",zeitlich unbefristet,,weiblich,Anzahl,K03354,205
2021,"Lüchow-Dannenberg",zeitlich unbefristet,,insgesamt,Anzahl,K03354,380
2021,"Lüneburg",zeitlich unbefristet,,männlich,Anzahl,K03355,1055
2021,"Lüneburg",zeitlich unbefristet,,weiblich,Anzahl,K03355,1095
2021,"Lüneburg",zeitlich unbefristet,,insgesamt,Anzahl,K03355,2150
2021,"Osterholz",zeitlich unbefristet,,männlich,Anzahl,K03356,770
2021,"Osterholz",zeitlich unbefristet,,weiblich,Anzahl,K03356,830
2021,"Osterholz",zeitlich unbefristet,,insgesamt,Anzahl,K03356,1600
2021,"Rotenburg (Wümme)",zeitlich unbefristet,,männlich,Anzahl,K03357,945
2021,"Rotenburg (Wümme)",zeitlich unbefristet,,weiblich,Anzahl,K03357,1090
2021,"Rotenburg (Wümme)",zeitlich unbefristet,,insgesamt,Anzahl,K03357,2035
2021,"Heidekreis",zeitlich unbefristet,,männlich,Anzahl,K03358,1065
2021,"Heidekreis",zeitlich unbefristet,,weiblich,Anzahl,K03358,1075
2021,"Heidekreis",zeitlich unbefristet,,insgesamt,Anzahl,K03358,2140
2021,"Stade",zeitlich unbefristet,,männlich,Anzahl,K03359,1395
2021,"Stade",zeitlich unbefristet,,weiblich,Anzahl,K03359,1425
2021,"Stade",zeitlich unbefristet,,insgesamt,Anzahl,K03359,2820
2021,"Uelzen",zeitlich unbefristet,,männlich,Anzahl,K03360,440
2021,"Uelzen",zeitlich unbefristet,,weiblich,Anzahl,K03360,485
2021,"Uelzen",zeitlich unbefristet,,insgesamt,Anzahl,K03360,920
2021,"Verden",zeitlich unbefristet,,männlich,Anzahl,K03361,1395
2021,"Verden",zeitlich unbefristet,,weiblich,Anzahl,K03361,1425
2021,"Verden",zeitlich unbefristet,,insgesamt,Anzahl,K03361,2820
2021,"Statistische Region Lüneburg",zeitlich unbefristet,,männlich,Anzahl,K033,11415
2021,"Statistische Region Lüneburg",zeitlich unbefristet,,weiblich,Anzahl,K033,12135
2021,"Statistische Region Lüneburg",zeitlich unbefristet,,insgesamt,Anzahl,K033,23550
2021,"Delmenhorst, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03401,1665
2021,"Delmenhorst, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03401,1500
2021,"Delmenhorst, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03401,3165
2021,"Emden  Stadt",zeitlich unbefristet,,männlich,Anzahl,K03402,300
2021,"Emden  Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03402,290
2021,"Emden  Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03402,585
2021,"Oldenburg(Oldb), Stadt",zeitlich unbefristet,,männlich,Anzahl,K03403,1845
2021,"Oldenburg(Oldb), Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03403,1745
2021,"Oldenburg(Oldb), Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03403,3590
2021,"Osnabrück, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03404,2980
2021,"Osnabrück, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03404,2700
2021,"Osnabrück, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03404,5685
2021,"Wilhelmshaven, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03405,535
2021,"Wilhelmshaven, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03405,560
2021,"Wilhelmshaven, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03405,1095
2021,"Ammerland",zeitlich unbefristet,,männlich,Anzahl,K03451,665
2021,"Ammerland",zeitlich unbefristet,,weiblich,Anzahl,K03451,665
2021,"Ammerland",zeitlich unbefristet,,insgesamt,Anzahl,K03451,1330
2021,"Aurich",zeitlich unbefristet,,männlich,Anzahl,K03452,650
2021,"Aurich",zeitlich unbefristet,,weiblich,Anzahl,K03452,640
2021,"Aurich",zeitlich unbefristet,,insgesamt,Anzahl,K03452,1285
2021,"Cloppenburg",zeitlich unbefristet,,männlich,Anzahl,K03453,1245
2021,"Cloppenburg",zeitlich unbefristet,,weiblich,Anzahl,K03453,1230
2021,"Cloppenburg",zeitlich unbefristet,,insgesamt,Anzahl,K03453,2475
2021,"Emsland",zeitlich unbefristet,,männlich,Anzahl,K03454,1680
2021,"Emsland",zeitlich unbefristet,,weiblich,Anzahl,K03454,1695
2021,"Emsland",zeitlich unbefristet,,insgesamt,Anzahl,K03454,3375
2021,"Friesland",zeitlich unbefristet,,männlich,Anzahl,K03455,280
2021,"Friesland",zeitlich unbefristet,,weiblich,Anzahl,K03455,355
2021,"Friesland",zeitlich unbefristet,,insgesamt,Anzahl,K03455,635
2021,"Grafschaft Bentheim",zeitlich unbefristet,,männlich,Anzahl,K03456,1140
2021,"Grafschaft Bentheim",zeitlich unbefristet,,weiblich,Anzahl,K03456,1135
2021,"Grafschaft Bentheim",zeitlich unbefristet,,insgesamt,Anzahl,K03456,2275
2021,"Leer",zeitlich unbefristet,,männlich,Anzahl,K03457,675
2021,"Leer",zeitlich unbefristet,,weiblich,Anzahl,K03457,705
2021,"Leer",zeitlich unbefristet,,insgesamt,Anzahl,K03457,1380
2021,"Oldenburg",zeitlich unbefristet,,männlich,Anzahl,K03458,735
2021,"Oldenburg",zeitlich unbefristet,,weiblich,Anzahl,K03458,755
2021,"Oldenburg",zeitlich unbefristet,,insgesamt,Anzahl,K03458,1490
2021,"Osnabrück",zeitlich unbefristet,,männlich,Anzahl,K03459,2820
2021,"Osnabrück",zeitlich unbefristet,,weiblich,Anzahl,K03459,3095
2021,"Osnabrück",zeitlich unbefristet,,insgesamt,Anzahl,K03459,5915
2021,"Vechta",zeitlich unbefristet,,männlich,Anzahl,K03460,1895
2021,"Vechta",zeitlich unbefristet,,weiblich,Anzahl,K03460,1850
2021,"Vechta",zeitlich unbefristet,,insgesamt,Anzahl,K03460,3745
2021,"Wesermarsch",zeitlich unbefristet,,männlich,Anzahl,K03461,675
2021,"Wesermarsch",zeitlich unbefristet,,weiblich,Anzahl,K03461,760
2021,"Wesermarsch",zeitlich unbefristet,,insgesamt,Anzahl,K03461,1430
2021,"Wittmund",zeitlich unbefristet,,männlich,Anzahl,K03462,180
2021,"Wittmund",zeitlich unbefristet,,weiblich,Anzahl,K03462,170
2021,"Wittmund",zeitlich unbefristet,,insgesamt,Anzahl,K03462,345
2021,"Statistische Region Weser-Ems",zeitlich unbefristet,,männlich,Anzahl,K034,19960
2021,"Statistische Region Weser-Ems",zeitlich unbefristet,,weiblich,Anzahl,K034,19845
2021,"Statistische Region Weser-Ems",zeitlich unbefristet,,insgesamt,Anzahl,K034,39805
2021,"Niedersachsen",zeitlich unbefristet,,männlich,Anzahl,K030,83620
2021,"Niedersachsen",zeitlich unbefristet,,weiblich,Anzahl,K030,84690
2021,"Niedersachsen",zeitlich unbefristet,,insgesamt,Anzahl,K030,168310
2020,"Braunschweig, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03101,4095
2020,"Braunschweig, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03101,4075
2020,"Braunschweig, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03101,8170
2020,"Salzgitter, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03102,2750
2020,"Salzgitter, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03102,2735
2020,"Salzgitter, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03102,5485
2020,"Wolfsburg, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03103,1325
2020,"Wolfsburg, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03103,1445
2020,"Wolfsburg, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03103,2770
2020,"Gifhorn",zeitlich unbefristet,,männlich,Anzahl,K03151,1200
2020,"Gifhorn",zeitlich unbefristet,,weiblich,Anzahl,K03151,1360
2020,"Gifhorn",zeitlich unbefristet,,insgesamt,Anzahl,K03151,2560
2020,"Goslar",zeitlich unbefristet,,männlich,Anzahl,K03153,1215
2020,"Goslar",zeitlich unbefristet,,weiblich,Anzahl,K03153,1235
2020,"Goslar",zeitlich unbefristet,,insgesamt,Anzahl,K03153,2450
2020,"Helmstedt",zeitlich unbefristet,,männlich,Anzahl,K03154,670
2020,"Helmstedt",zeitlich unbefristet,,weiblich,Anzahl,K03154,725
2020,"Helmstedt",zeitlich unbefristet,,insgesamt,Anzahl,K03154,1395
2020,"Northeim",zeitlich unbefristet,,männlich,Anzahl,K03155,725
2020,"Northeim",zeitlich unbefristet,,weiblich,Anzahl,K03155,825
2020,"Northeim",zeitlich unbefristet,,insgesamt,Anzahl,K03155,1550
2020,"Peine",zeitlich unbefristet,,männlich,Anzahl,K03157,1405
2020,"Peine",zeitlich unbefristet,,weiblich,Anzahl,K03157,1420
2020,"Peine",zeitlich unbefristet,,insgesamt,Anzahl,K03157,2825
2020,"Wolfenbüttel",zeitlich unbefristet,,männlich,Anzahl,K03158,705
2020,"Wolfenbüttel",zeitlich unbefristet,,weiblich,Anzahl,K03158,845
2020,"Wolfenbüttel",zeitlich unbefristet,,insgesamt,Anzahl,K03158,1550
2020,"Göttingen",zeitlich unbefristet,,männlich,Anzahl,K03159,2820
2020,"Göttingen",zeitlich unbefristet,,weiblich,Anzahl,K03159,3010
2020,"Göttingen",zeitlich unbefristet,,insgesamt,Anzahl,K03159,5825
2020,"Statistische Region Braunschweig",zeitlich unbefristet,,männlich,Anzahl,K031,16915
2020,"Statistische Region Braunschweig",zeitlich unbefristet,,weiblich,Anzahl,K031,17675
2020,"Statistische Region Braunschweig",zeitlich unbefristet,,insgesamt,Anzahl,K031,34590
2020,"Hannover  Region",zeitlich unbefristet,,männlich,Anzahl,K03241,23865
2020,"Hannover  Region",zeitlich unbefristet,,weiblich,Anzahl,K03241,24230
2020,"Hannover  Region",zeitlich unbefristet,,insgesamt,Anzahl,K03241,48095
2020,"Diepholz",zeitlich unbefristet,,männlich,Anzahl,K03251,1425
2020,"Diepholz",zeitlich unbefristet,,weiblich,Anzahl,K03251,1665
2020,"Diepholz",zeitlich unbefristet,,insgesamt,Anzahl,K03251,3090
2020,"Hameln-Pyrmont",zeitlich unbefristet,,männlich,Anzahl,K03252,2175
2020,"Hameln-Pyrmont",zeitlich unbefristet,,weiblich,Anzahl,K03252,2230
2020,"Hameln-Pyrmont",zeitlich unbefristet,,insgesamt,Anzahl,K03252,4410
2020,"Hildesheim",zeitlich unbefristet,,männlich,Anzahl,K03254,2610
2020,"Hildesheim",zeitlich unbefristet,,weiblich,Anzahl,K03254,2790
2020,"Hildesheim",zeitlich unbefristet,,insgesamt,Anzahl,K03254,5395
2020,"Holzminden",zeitlich unbefristet,,männlich,Anzahl,K03255,730
2020,"Holzminden",zeitlich unbefristet,,weiblich,Anzahl,K03255,730
2020,"Holzminden",zeitlich unbefristet,,insgesamt,Anzahl,K03255,1455
2020,"Nienburg (Weser)",zeitlich unbefristet,,männlich,Anzahl,K03256,860
2020,"Nienburg (Weser)",zeitlich unbefristet,,weiblich,Anzahl,K03256,985
2020,"Nienburg (Weser)",zeitlich unbefristet,,insgesamt,Anzahl,K03256,1845
2020,"Schaumburg",zeitlich unbefristet,,männlich,Anzahl,K03257,1490
2020,"Schaumburg",zeitlich unbefristet,,weiblich,Anzahl,K03257,1550
2020,"Schaumburg",zeitlich unbefristet,,insgesamt,Anzahl,K03257,3045
2020,"Statistische Region Hannover",zeitlich unbefristet,,männlich,Anzahl,K032,33155
2020,"Statistische Region Hannover",zeitlich unbefristet,,weiblich,Anzahl,K032,34180
2020,"Statistische Region Hannover",zeitlich unbefristet,,insgesamt,Anzahl,K032,67335
2020,"Celle",zeitlich unbefristet,,männlich,Anzahl,K03351,1105
2020,"Celle",zeitlich unbefristet,,weiblich,Anzahl,K03351,1300
2020,"Celle",zeitlich unbefristet,,insgesamt,Anzahl,K03351,2405
2020,"Cuxhaven",zeitlich unbefristet,,männlich,Anzahl,K03352,895
2020,"Cuxhaven",zeitlich unbefristet,,weiblich,Anzahl,K03352,1040
2020,"Cuxhaven",zeitlich unbefristet,,insgesamt,Anzahl,K03352,1935
2020,"Harburg",zeitlich unbefristet,,männlich,Anzahl,K03353,1960
2020,"Harburg",zeitlich unbefristet,,weiblich,Anzahl,K03353,2050
2020,"Harburg",zeitlich unbefristet,,insgesamt,Anzahl,K03353,4015
2020,"Lüchow-Dannenberg",zeitlich unbefristet,,männlich,Anzahl,K03354,140
2020,"Lüchow-Dannenberg",zeitlich unbefristet,,weiblich,Anzahl,K03354,195
2020,"Lüchow-Dannenberg",zeitlich unbefristet,,insgesamt,Anzahl,K03354,335
2020,"Lüneburg",zeitlich unbefristet,,männlich,Anzahl,K03355,995
2020,"Lüneburg",zeitlich unbefristet,,weiblich,Anzahl,K03355,1070
2020,"Lüneburg",zeitlich unbefristet,,insgesamt,Anzahl,K03355,2065
2020,"Osterholz",zeitlich unbefristet,,männlich,Anzahl,K03356,700
2020,"Osterholz",zeitlich unbefristet,,weiblich,Anzahl,K03356,800
2020,"Osterholz",zeitlich unbefristet,,insgesamt,Anzahl,K03356,1500
2020,"Rotenburg (Wümme)",zeitlich unbefristet,,männlich,Anzahl,K03357,835
2020,"Rotenburg (Wümme)",zeitlich unbefristet,,weiblich,Anzahl,K03357,1015
2020,"Rotenburg (Wümme)",zeitlich unbefristet,,insgesamt,Anzahl,K03357,1850
2020,"Heidekreis",zeitlich unbefristet,,männlich,Anzahl,K03358,955
2020,"Heidekreis",zeitlich unbefristet,,weiblich,Anzahl,K03358,1010
2020,"Heidekreis",zeitlich unbefristet,,insgesamt,Anzahl,K03358,1970
2020,"Stade",zeitlich unbefristet,,männlich,Anzahl,K03359,1290
2020,"Stade",zeitlich unbefristet,,weiblich,Anzahl,K03359,1355
2020,"Stade",zeitlich unbefristet,,insgesamt,Anzahl,K03359,2645
2020,"Uelzen",zeitlich unbefristet,,männlich,Anzahl,K03360,410
2020,"Uelzen",zeitlich unbefristet,,weiblich,Anzahl,K03360,490
2020,"Uelzen",zeitlich unbefristet,,insgesamt,Anzahl,K03360,895
2020,"Verden",zeitlich unbefristet,,männlich,Anzahl,K03361,1260
2020,"Verden",zeitlich unbefristet,,weiblich,Anzahl,K03361,1380
2020,"Verden",zeitlich unbefristet,,insgesamt,Anzahl,K03361,2640
2020,"Statistische Region Lüneburg",zeitlich unbefristet,,männlich,Anzahl,K033,10545
2020,"Statistische Region Lüneburg",zeitlich unbefristet,,weiblich,Anzahl,K033,11705
2020,"Statistische Region Lüneburg",zeitlich unbefristet,,insgesamt,Anzahl,K033,22250
2020,"Delmenhorst, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03401,1600
2020,"Delmenhorst, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03401,1495
2020,"Delmenhorst, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03401,3090
2020,"Emden  Stadt",zeitlich unbefristet,,männlich,Anzahl,K03402,285
2020,"Emden  Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03402,275
2020,"Emden  Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03402,565
2020,"Oldenburg(Oldb), Stadt",zeitlich unbefristet,,männlich,Anzahl,K03403,1725
2020,"Oldenburg(Oldb), Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03403,1690
2020,"Oldenburg(Oldb), Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03403,3420
2020,"Osnabrück, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03404,2765
2020,"Osnabrück, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03404,2655
2020,"Osnabrück, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03404,5420
2020,"Wilhelmshaven, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03405,510
2020,"Wilhelmshaven, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03405,550
2020,"Wilhelmshaven, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03405,1060
2020,"Ammerland",zeitlich unbefristet,,männlich,Anzahl,K03451,630
2020,"Ammerland",zeitlich unbefristet,,weiblich,Anzahl,K03451,650
2020,"Ammerland",zeitlich unbefristet,,insgesamt,Anzahl,K03451,1280
2020,"Aurich",zeitlich unbefristet,,männlich,Anzahl,K03452,610
2020,"Aurich",zeitlich unbefristet,,weiblich,Anzahl,K03452,615
2020,"Aurich",zeitlich unbefristet,,insgesamt,Anzahl,K03452,1225
2020,"Cloppenburg",zeitlich unbefristet,,männlich,Anzahl,K03453,1215
2020,"Cloppenburg",zeitlich unbefristet,,weiblich,Anzahl,K03453,1220
2020,"Cloppenburg",zeitlich unbefristet,,insgesamt,Anzahl,K03453,2435
2020,"Emsland",zeitlich unbefristet,,männlich,Anzahl,K03454,1505
2020,"Emsland",zeitlich unbefristet,,weiblich,Anzahl,K03454,1585
2020,"Emsland",zeitlich unbefristet,,insgesamt,Anzahl,K03454,3090
2020,"Friesland",zeitlich unbefristet,,männlich,Anzahl,K03455,285
2020,"Friesland",zeitlich unbefristet,,weiblich,Anzahl,K03455,345
2020,"Friesland",zeitlich unbefristet,,insgesamt,Anzahl,K03455,635
2020,"Grafschaft Bentheim",zeitlich unbefristet,,männlich,Anzahl,K03456,1120
2020,"Grafschaft Bentheim",zeitlich unbefristet,,weiblich,Anzahl,K03456,1130
2020,"Grafschaft Bentheim",zeitlich unbefristet,,insgesamt,Anzahl,K03456,2245
2020,"Leer",zeitlich unbefristet,,männlich,Anzahl,K03457,585
2020,"Leer",zeitlich unbefristet,,weiblich,Anzahl,K03457,675
2020,"Leer",zeitlich unbefristet,,insgesamt,Anzahl,K03457,1260
2020,"Oldenburg",zeitlich unbefristet,,männlich,Anzahl,K03458,690
2020,"Oldenburg",zeitlich unbefristet,,weiblich,Anzahl,K03458,740
2020,"Oldenburg",zeitlich unbefristet,,insgesamt,Anzahl,K03458,1430
2020,"Osnabrück",zeitlich unbefristet,,männlich,Anzahl,K03459,2735
2020,"Osnabrück",zeitlich unbefristet,,weiblich,Anzahl,K03459,3040
2020,"Osnabrück",zeitlich unbefristet,,insgesamt,Anzahl,K03459,5775
2020,"Vechta",zeitlich unbefristet,,männlich,Anzahl,K03460,1800
2020,"Vechta",zeitlich unbefristet,,weiblich,Anzahl,K03460,1815
2020,"Vechta",zeitlich unbefristet,,insgesamt,Anzahl,K03460,3615
2020,"Wesermarsch",zeitlich unbefristet,,männlich,Anzahl,K03461,665
2020,"Wesermarsch",zeitlich unbefristet,,weiblich,Anzahl,K03461,765
2020,"Wesermarsch",zeitlich unbefristet,,insgesamt,Anzahl,K03461,1430
2020,"Wittmund",zeitlich unbefristet,,männlich,Anzahl,K03462,160
2020,"Wittmund",zeitlich unbefristet,,weiblich,Anzahl,K03462,165
2020,"Wittmund",zeitlich unbefristet,,insgesamt,Anzahl,K03462,325
2020,"Statistische Region Weser-Ems",zeitlich unbefristet,,männlich,Anzahl,K034,18880
2020,"Statistische Region Weser-Ems",zeitlich unbefristet,,weiblich,Anzahl,K034,19415
2020,"Statistische Region Weser-Ems",zeitlich unbefristet,,insgesamt,Anzahl,K034,38295
2020,"Niedersachsen",zeitlich unbefristet,,männlich,Anzahl,K030,79495
2020,"Niedersachsen",zeitlich unbefristet,,weiblich,Anzahl,K030,82970
2020,"Niedersachsen",zeitlich unbefristet,,insgesamt,Anzahl,K030,162470
2019,"Braunschweig, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03101,3990
2019,"Braunschweig, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03101,4020
2019,"Braunschweig, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03101,8010
2019,"Salzgitter, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03102,2715
2019,"Salzgitter, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03102,2745
2019,"Salzgitter, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03102,5460
2019,"Wolfsburg, Stadt",zeitlich unbefristet,,männlich,Anzahl,K03103,1230
2019,"Wolfsburg, Stadt",zeitlich unbefristet,,weiblich,Anzahl,K03103,1410
2019,"Wolfsburg, Stadt",zeitlich unbefristet,,insgesamt,Anzahl,K03103,2640
2019,"Gifhorn",zeitlich unbefristet,,männlich,Anzahl,K03151,1200
2019,"Gifhorn",zeitlich unbefristet,,weiblich,Anzahl,K03151,1345
2019,"Gifhorn",zeitlich unbefristet,,insgesamt,Anzahl,K03151,2545
2019,"Goslar",zeitlich unbefristet,,männlich,Anzahl,K03153,1200
2019,"Goslar",zeitlich unbefristet,,weiblich,Anzahl,K03153,1230
2019,"Goslar",zeitlich unbefristet,,insgesamt,Anzahl,K03153,2430
2019,"Helmstedt",zeitlich unbefristet,,männlich,Anzahl,K03154,660
2019,"Helmstedt",zeitlich unbefristet,,weiblich,Anzahl,K03154,695
2019,"Helmstedt",zeitlich unbefristet,,insgesamt,Anzahl,K03154,1360
2019,"Northeim",zeitlich unbefristet,,männlich,Anzahl,K03155,750
2019,"Northeim",zeitlich unbefristet,,weiblich,Anzahl,K03155,840
2019,"Northeim",zeitlich unbefristet,,insgesamt,Anzahl,K03155,1590
2019,"Peine",zeitlich unbefristet,,männlich,Anzahl,K03157,1375
2019,"Peine",zeitlich unbefristet,,weiblich,Anzahl,K03157,1400
2019,"Peine",zeitlich unbefristet,,insgesamt,Anzahl,K03157,2775
2019,"Wolfenbüttel",zeitlich unbefristet,,männlich,Anzahl,K03158,710
2019,"Wolfenbüttel",zeitlich unbefristet,,weiblich,Anzahl,K03158,835
2019,"Wolfenbüttel",zeitlich unbefristet,,insgesamt,Anzahl,K03158,1550
2019,"Göttingen",zeitlich unbefristet,,männlich,Anzahl,K03159,2765
2019,"Göttingen",zeitlich unbefristet,,weiblich,Anzahl,K03159,2980
2019,"Göttingen",zeitlich unbefristet,,insgesamt,Anzahl,K03159,5745
2019,"Statistische Region Braunschweig",zeitlich unbefristet,,männlich,Anzahl,K031,16605
