Year,Gebietseinheit,Geschlecht,Aufenthalstitel,Aufenthaltsstatus,Geocode,Value
2020,Osterholz,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03356,1140
2020,Osterholz,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03356,2475
2020,Rotenburg (Wümme),männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03357,3225
2020,Rotenburg (Wümme),weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03357,2425
2020,Rotenburg (Wümme),insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03357,5655
2020,Heidekreis,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03358,3565
2020,Heidekreis,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03358,2655
2020,Heidekreis,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03358,6220
2020,Stade,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03359,5570
2020,Stade,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03359,4120
2020,Stade,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03359,9690
2020,Uelzen,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03360,1305
2020,Uelzen,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03360,1110
2020,Uelzen,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03360,2415
2020,Verden,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03361,2240
2020,Verden,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03361,1805
2020,Verden,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03361,4045
2020,Statistische Region Lüneburg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K033,32985
2020,Statistische Region Lüneburg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K033,25935
2020,Statistische Region Lüneburg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K033,58920
2020,Delmenhorst  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03401,3095
2020,Delmenhorst  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03401,2695
2020,Delmenhorst  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03401,5790
2020,Emden  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03402,1575
2020,Emden  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03402,1085
2020,Emden  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03402,2655
2020,Oldenburg(Oldb)  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03403,3140
2020,Oldenburg(Oldb)  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03403,2720
2020,Oldenburg(Oldb)  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03403,5860
2020,Osnabrück  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03404,5225
2020,Osnabrück  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03404,4615
2020,Osnabrück  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03404,9835
2020,Wilhelmshaven  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03405,1550
2020,Wilhelmshaven  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03405,1120
2020,Wilhelmshaven  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03405,2670
2020,Ammerland,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03451,2175
2020,Ammerland,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03451,1700
2020,Ammerland,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03451,3870
2020,Aurich,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03452,2715
2020,Aurich,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03452,2435
2020,Aurich,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03452,5155
2020,Cloppenburg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03453,7760
2020,Cloppenburg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03453,5275
2020,Cloppenburg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03453,13035
2020,Emsland,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03454,17170
2020,Emsland,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03454,11015
2020,Emsland,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03454,28190
2020,Friesland,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03455,940
2020,Friesland,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03455,760
2020,Friesland,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03455,1700
2020,Grafschaft Bentheim,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03456,8990
2020,Grafschaft Bentheim,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03456,7270
2020,Grafschaft Bentheim,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03456,16260
2020,Leer,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03457,4665
2020,Leer,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03457,3475
2020,Leer,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03457,8140
2020,Oldenburg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03458,4530
2020,Oldenburg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03458,3450
2020,Oldenburg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03458,7980
2020,Osnabrück,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03459,11980
2020,Osnabrück,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03459,9000
2020,Osnabrück,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03459,20980
2020,Vechta,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03460,6390
2020,Vechta,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03460,4995
2020,Vechta,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03460,11385
2020,Wesermarsch,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03461,2065
2020,Wesermarsch,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03461,1410
2020,Wesermarsch,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03461,3475
2020,Wittmund,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03462,640
2020,Wittmund,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03462,655
2020,Wittmund,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03462,1295
2020,Statistische Region Weser-Ems,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K034,84600
2020,Statistische Region Weser-Ems,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K034,63665
2020,Statistische Region Weser-Ems,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K034,148265
2020,Niedersachsen,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K030,204370
2020,Niedersachsen,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K030,163380
2020,Niedersachsen,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K030,367750
2019,Braunschweig  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03101,5220
2019,Braunschweig  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03101,4750
2019,Braunschweig  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03101,9970
2019,Salzgitter  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03102,3535
2019,Salzgitter  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03102,2700
2019,Salzgitter  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03102,6235
2019,Wolfsburg  Stadt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03103,5735
2019,Wolfsburg  Stadt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03103,4530
2019,Wolfsburg  Stadt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03103,10265
2019,Gifhorn,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03151,2565
2019,Gifhorn,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03151,2105
2019,Gifhorn,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03151,4670
2019,Goslar,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03153,2185
2019,Goslar,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03153,1805
2019,Goslar,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03153,3990
2019,Helmstedt,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03154,1590
2019,Helmstedt,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03154,1230
2019,Helmstedt,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03154,2820
2019,Northeim,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03155,1815
2019,Northeim,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03155,1535
2019,Northeim,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03155,3345
2019,Peine,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03157,2175
2019,Peine,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03157,1745
2019,Peine,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03157,3920
2019,Wolfenbüttel,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03158,1385
2019,Wolfenbüttel,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03158,1105
2019,Wolfenbüttel,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03158,2490
2019,Göttingen,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03159,5240
2019,Göttingen,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03159,4870
2019,Göttingen,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03159,10110
2019,Statistische Region Braunschweig,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K031,31440
2019,Statistische Region Braunschweig,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K031,26385
2019,Statistische Region Braunschweig,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K031,57820
2019,Hannover  Region,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03241,36245
2019,Hannover  Region,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03241,31310
2019,Hannover  Region,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03241,67555
2019,Diepholz,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03251,4725
2019,Diepholz,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03251,3840
2019,Diepholz,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03251,8565
2019,Hameln-Pyrmont,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03252,3155
2019,Hameln-Pyrmont,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03252,2635
2019,Hameln-Pyrmont,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03252,5795
2019,Hildesheim,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03254,4725
2019,Hildesheim,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03254,4080
2019,Hildesheim,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03254,8805
2019,Holzminden,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03255,470
2019,Holzminden,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03255,425
2019,Holzminden,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03255,890
2019,Nienburg (Weser),männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03256,2510
2019,Nienburg (Weser),weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03256,1685
2019,Nienburg (Weser),insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03256,4195
2019,Schaumburg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03257,3110
2019,Schaumburg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03257,2335
2019,Schaumburg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03257,5445
2019,Statistische Region Hannover,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K032,54940
2019,Statistische Region Hannover,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K032,46310
2019,Statistische Region Hannover,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K032,101250
2019,Celle,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03351,3120
2019,Celle,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03351,2450
2019,Celle,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03351,5570
2019,Cuxhaven,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03352,3480
2019,Cuxhaven,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03352,2900
2019,Cuxhaven,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03352,6380
2019,Harburg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03353,5345
2019,Harburg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03353,4165
2019,Harburg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03353,9515
2019,Lüchow-Dannenberg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03354,785
2019,Lüchow-Dannenberg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03354,585
2019,Lüchow-Dannenberg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03354,1370
2019,Lüneburg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03355,31965
2019,Lüneburg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03355,24855
2019,Lüneburg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03355,56820
2019,Lüneburg,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03355,2430
2019,Lüneburg,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03355,1975
2019,Lüneburg,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03355,4410
2019,Osterholz,männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03356,1280
2019,Osterholz,weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03356,1085
2019,Osterholz,insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03356,2365
2019,Rotenburg (Wümme),männlich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03357,3145
2019,Rotenburg (Wümme),weiblich,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03357,2330
2019,Rotenburg (Wümme),insgesamt,kein Aufenthaltstitel erforderlich,mit Freizügigkeit nach EU-Recht,K03357,5475
