Year,Migrationsstatus,Hauhaltsnettoeinkommen,Haushaltsgröße,COMMENT_OBS,Value
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1500,insgesamt,gesperrt,
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,12
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,17
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,21
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,29
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,30
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,54
2024,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,100
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,757
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,19
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,78
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1500,insgesamt,,104
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,116
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,104
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,78
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,60
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,51
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,68
2024,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,78
2023,Insgesamt,Insgesamt,insgesamt,,3888
2023,Insgesamt,unter 500,insgesamt,,54
2023,Insgesamt,500 - 1000,insgesamt,,254
2023,Insgesamt,1000 - 1500,insgesamt,,418
2023,Insgesamt,1500 - 2000,insgesamt,,501
2023,Insgesamt,2000 - 2500,insgesamt,,505
2023,Insgesamt,2500 - 3000,insgesamt,,389
2023,Insgesamt,3000 - 3500,insgesamt,,343
2023,Insgesamt,3500 - 4000,insgesamt,,297
2023,Insgesamt,4000 - 5000,insgesamt,,463
2023,Insgesamt,5000 und mehr,insgesamt,,664
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2944
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,35
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,175
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1500,insgesamt,,318
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,374
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,397
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,295
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,260
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,221
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,352
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,519
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,249
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1500,insgesamt,gesperrt,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,11
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,19
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,26
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,25
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,30
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,52
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,80
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,695
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,19
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,77
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1500,insgesamt,,96
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,116
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,89
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,69
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,57
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,46
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,60
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,65
2022,Insgesamt,Insgesamt,insgesamt,,3865
2022,Insgesamt,unter 500,insgesamt,,67
2022,Insgesamt,500 - 1000,insgesamt,,287
2022,Insgesamt,1000 - 1500,insgesamt,,445
2022,Insgesamt,1500 - 2000,insgesamt,,521
2022,Insgesamt,2000 - 2500,insgesamt,,496
2022,Insgesamt,2500 - 3000,insgesamt,,394
2022,Insgesamt,3000 - 3500,insgesamt,,337
2022,Insgesamt,3500 - 4000,insgesamt,,297
2022,Insgesamt,4000 - 5000,insgesamt,,429
2022,Insgesamt,5000 und mehr,insgesamt,,591
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2963
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,49
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,208
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1500,insgesamt,,343
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,395
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,391
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,301
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,259
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,224
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,331
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,462
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,243
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1500,insgesamt,statistisch unsicher,8
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,17
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,21
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,23
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,26
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,29
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,43
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,73
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,659
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,18
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,78
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1500,insgesamt,,94
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,109
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,84
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,69
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,52
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,43
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,55
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,56
2021,Insgesamt,Insgesamt,insgesamt,,3834
2021,Insgesamt,unter 500,insgesamt,,81
2021,Insgesamt,500 - 1000,insgesamt,,328
2021,Insgesamt,1000 - 1500,insgesamt,,466
2021,Insgesamt,1500 - 2000,insgesamt,,524
2021,Insgesamt,2000 - 2500,insgesamt,,488
2021,Insgesamt,2500 - 3000,insgesamt,,383
2021,Insgesamt,3000 - 3500,insgesamt,,343
2021,Insgesamt,3500 - 4000,insgesamt,,294
2021,Insgesamt,4000 - 5000,insgesamt,,399
2021,Insgesamt,5000 und mehr,insgesamt,,526
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2973
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,57
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,238
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1500,insgesamt,,365
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,404
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,389
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,293
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,262
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,227
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,315
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,420
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,236
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1500,insgesamt,statistisch unsicher,9
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,17
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,21
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,27
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,29
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,28
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,37
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,64
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,626
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,23
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,87
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1500,insgesamt,,93
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,103
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,78
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,63
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,51
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,39
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,47
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,42
