AGS,Year,Gebietseinheit,Kinderbetreuung,Units,GeoCode,Value
153,2020,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,21.4670065137355
154,2020,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,13.0891950688905
155,2020,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,21.613907628438
157,2020,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,25.252308353017
158,2020,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,16.7771545130036
159,2020,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,26.9834795023455
1,2020,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,26.2510108680645
241,2020,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,38.3061442293032
241001,2020,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,47.3969156731926
241999,2021,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,30.4157964685779
251,2020,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,21.5260813335249
252,2020,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,33.3483754512635
254,2020,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,29.0226813917587
255,2020,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,23.8916256157635
256,2020,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,21.5836526181354
257,2020,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,26.9541206457094
2,2020,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,33.0769561294204
351,2020,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,21.3195386702849
352,2020,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,16.3981496251396
353,2020,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,22.5205479452055
354,2020,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,12
355,2020,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,19.1765459788529
356,2020,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,18.8162762022195
357,2020,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,17.6968996726362
358,2020,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,24.3212149102623
359,2020,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,15.81408944753
360,2020,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,22.4776003116478
361,2020,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,18.9267886855241
3,2020,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,19.4150953380488
401,2020,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,42.143906020558
402,2020,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,26.3261296660118
403,2020,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,31.2421355383786
404,2020,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,30.3012404016539
405,2020,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,28.2419272168119
451,2020,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,20.9204038506692
452,2020,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,14.7329324372126
453,2020,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,25.0557502389296
454,2020,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,21.1459754433834
455,2020,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,11.6182572614108
456,2020,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,25.6716417910448
457,2020,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,16.2533936651584
458,2020,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,15.7281553398058
459,2020,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,18.9811352115017
460,2020,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,24.9606712113267
461,2020,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,22.5081551286698
462,2020,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,12.2721749696233
4,2020,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,22.1122190379195
0,2020,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,25.2555865975166
101,2019,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,35.4681103921828
102,2019,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,43.2249758609591
103,2019,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,40.3768791022655
151,2019,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,17.7857844742876
153,2019,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,21.9605534294966
154,2019,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,12.9743404409107
155,2019,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,21.9447396386823
157,2019,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,24.0621531631521
158,2019,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,18.227915665866
159,2019,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,26.5962898431895
1,2019,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,26.9283662985884
241,2019,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,38.2177343993355
241001,2019,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,47.5728155339806
241999,2019,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,29.9917069125323
251,2019,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,22.8625620075868
252,2019,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,30.9734513274336
254,2019,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,27.0609756097561
255,2019,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,24.4432936302434
256,2019,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,20.4234443583785
257,2019,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,28.3376963350785
2,2019,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,32.8141225337487
351,2019,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,20.2740201179327
352,2019,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,16.8186258547704
353,2019,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,20.996559760293
354,2019,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,13.0862329803328
355,2019,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,20.7350788746138
356,2019,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,19.1897654584222
357,2019,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,18.4100418410042
358,2019,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,21.1506720113181
359,2019,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,18.9989317869678
360,2019,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,20.4148027653518
361,2019,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,23.7659574468085
3,2019,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,19.8624668868164
401,2019,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,43.3723196881092
402,2019,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,27.1353482260184
403,2019,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,28.3744023538065
404,2019,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,35.8754242363745
405,2019,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,25.2164502164502
451,2019,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,18.66701379849
452,2019,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,14.3983859134263
453,2019,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,22.363513055273
454,2019,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,21.7029938088372
455,2019,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,10.185799601858
456,2019,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,28.4275076653526
457,2019,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,16.8487636572743
458,2019,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,14.7688564476886
459,2019,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,20.6729939603106
460,2019,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,23.0499723400332
461,2019,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,22.8970199924557
462,2019,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,9.35483870967742
4,2019,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,22.2027367485057
0,2019,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,25.4725192493255
101,2018,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,33.7655321447866
102,2018,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,42.4571805006588
103,2018,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,31.0179117518567
151,2018,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,14.8561464690497
153,2018,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,20.6648697214735
154,2018,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,14.3504531722054
155,2018,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,21.1471455373894
157,2018,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,23.5294117647059
158,2018,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,17.5356750823271
159,2018,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,25.1787968026925
1,2018,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,24.9650859822824
241,2018,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,36.6283666262584
241001,2018,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,47.0732523135244
241999,2018,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,27.2640943622551
251,2018,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,20.8945983593871
252,2018,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,28.2118261695559
254,2018,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,24.4133799301048
255,2018,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,18.3551198257081
256,2018,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,19.717160728855
257,2018,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,25.6931608133087
2,2018,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,30.9413127529299
351,2018,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,18.6977406155488
352,2018,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,17.0699149007175
353,2018,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,20.8797519237395
354,2018,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,15.5555555555556
355,2018,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,20.9946595460614
356,2018,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,17.2115115954177
357,2018,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,17.3156586578293
358,2018,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,19.0222652468538
359,2018,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,18.249354005168
360,2018,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,18.480909829407
361,2018,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,22.6231633535004
3,2018,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,19.1302232451955
401,2018,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,42.879177377892
402,2018,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,24.6856386499007
403,2018,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,28.088207811624
404,2018,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,37.2959903284304
405,2018,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,25.5932203389831
451,2018,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,17.2350472193075
452,2018,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,15.2078145949052
453,2018,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,22.2875467664351
454,2018,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,20.3368229403732
455,2018,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,10.1323119777159
456,2018,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,29.585398828301
457,2018,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,14.9676375404531
458,2018,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,14.032016008004
459,2018,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,18.9840761498087
460,2018,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,17.7441814203302
461,2018,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,22.3936770794129
462,2018,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,9.35251798561151
4,2018,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,21.3400618924715
0,2018,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,24.1640286130484
101,2017,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,33.4917187075753
102,2017,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,38.8376068376068
103,2017,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,31.0264203881225
151,2017,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,14.013938594839
153,2017,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,18.018018018018
154,2017,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,14.3251775848461
155,2017,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,20.6473214285714
157,2017,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,24.8746717593698
158,2017,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,15.4068925571966
159,2017,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,23.9836523983652
1,2017,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,24.1820860597131
241,2017,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,35.1287992367453
241001,2017,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,45.5094643576319
241999,2017,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,25.7822213012847
251,2017,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,20.3522818254604
252,2017,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,26.9286056540489
254,2017,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,23.9495251723689
255,2017,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,17.0512099043331
256,2017,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,19.468776490534
257,2017,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,26.3701923076923
2,2017,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,29.8940358193163
351,2017,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,18.3124883330222
352,2017,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,16.675235646958
353,2017,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,19.7957487234295
354,2017,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,14.4094488188976
355,2017,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,19.3103448275862
356,2017,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,15.5933214072749
357,2017,Rotenburg (Wümme),ausländische Herkunft mindestens eines Elternteils,%,K03357,14.9120902973736
358,2017,Heidekreis,ausländische Herkunft mindestens eines Elternteils,%,K03358,15.9142496847415
359,2017,Stade,ausländische Herkunft mindestens eines Elternteils,%,K03359,19.3359375
360,2017,Uelzen,ausländische Herkunft mindestens eines Elternteils,%,K03360,16.7445813854654
361,2017,Verden,ausländische Herkunft mindestens eines Elternteils,%,K03361,21.1819235225956
3,2017,Statistische Region Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K033,18.0101514945256
401,2017,Delmenhorst  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03401,45.7128099173554
402,2017,Emden  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03402,24.9664429530201
403,2017,Oldenburg(Oldb)  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03403,26.64927320164
404,2017,Osnabrück  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03404,38.2072601906307
405,2017,Wilhelmshaven  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03405,23.8797504254112
451,2017,Ammerland,ausländische Herkunft mindestens eines Elternteils,%,K03451,17.0553145336226
452,2017,Aurich,ausländische Herkunft mindestens eines Elternteils,%,K03452,13.2262996941896
453,2017,Cloppenburg,ausländische Herkunft mindestens eines Elternteils,%,K03453,21.1485367200442
454,2017,Emsland,ausländische Herkunft mindestens eines Elternteils,%,K03454,20.0828547217776
455,2017,Friesland,ausländische Herkunft mindestens eines Elternteils,%,K03455,10.438190238689
456,2017,Grafschaft Bentheim,ausländische Herkunft mindestens eines Elternteils,%,K03456,28.4448589414782
457,2017,Leer,ausländische Herkunft mindestens eines Elternteils,%,K03457,16.5262475696695
458,2017,Oldenburg,ausländische Herkunft mindestens eines Elternteils,%,K03458,14.1881240147136
459,2017,Osnabrück,ausländische Herkunft mindestens eines Elternteils,%,K03459,18.1740856251772
460,2017,Vechta,ausländische Herkunft mindestens eines Elternteils,%,K03460,22.2200431457148
461,2017,Wesermarsch,ausländische Herkunft mindestens eines Elternteils,%,K03461,22.7519379844961
462,2017,Wittmund,ausländische Herkunft mindestens eines Elternteils,%,K03462,11.6788321167883
4,2017,Statistische Region Weser-Ems,ausländische Herkunft mindestens eines Elternteils,%,K034,21.4261200137279
0,2017,Niedersachsen,ausländische Herkunft mindestens eines Elternteils,%,K030,23.5126262626263
101,2016,Braunschweig  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03101,33.3378414931025
102,2016,Salzgitter  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03102,41.2244897959184
103,2016,Wolfsburg  Stadt,ausländische Herkunft mindestens eines Elternteils,%,K03103,30.9540975726989
151,2016,Gifhorn,ausländische Herkunft mindestens eines Elternteils,%,K03151,13.0966469428008
153,2016,Goslar,ausländische Herkunft mindestens eines Elternteils,%,K03153,15.8851674641148
154,2016,Helmstedt,ausländische Herkunft mindestens eines Elternteils,%,K03154,13.8707037643208
155,2016,Northeim,ausländische Herkunft mindestens eines Elternteils,%,K03155,20.4052098408104
157,2016,Peine,ausländische Herkunft mindestens eines Elternteils,%,K03157,21.782431052094
158,2016,Wolfenbüttel,ausländische Herkunft mindestens eines Elternteils,%,K03158,14.1899766899767
159,2016,Göttingen,ausländische Herkunft mindestens eines Elternteils,%,K03159,23.067659294942
1,2016,Statistische Region Braunschweig,ausländische Herkunft mindestens eines Elternteils,%,K031,23.5531598677935
241,2016,Hannover  Region,ausländische Herkunft mindestens eines Elternteils,%,K03241,34.9055558632914
241001,2016,dav. Hannover  Lhst.,ausländische Herkunft mindestens eines Elternteils,%,K03241001,45.3255963894262
241999,2016,dav. Hannover  Umland,ausländische Herkunft mindestens eines Elternteils,%,K03241999,25.571016014702
251,2016,Diepholz,ausländische Herkunft mindestens eines Elternteils,%,K03251,20.2731610992266
252,2016,Hameln-Pyrmont,ausländische Herkunft mindestens eines Elternteils,%,K03252,25.2697194917286
254,2016,Hildesheim,ausländische Herkunft mindestens eines Elternteils,%,K03254,23.3448093220339
255,2016,Holzminden,ausländische Herkunft mindestens eines Elternteils,%,K03255,15.5733029092983
256,2016,Nienburg (Weser),ausländische Herkunft mindestens eines Elternteils,%,K03256,21.306146572104
257,2016,Schaumburg,ausländische Herkunft mindestens eines Elternteils,%,K03257,23.8189463269849
2,2016,Statistische Region Hannover,ausländische Herkunft mindestens eines Elternteils,%,K032,29.4978283612846
351,2016,Celle,ausländische Herkunft mindestens eines Elternteils,%,K03351,12.1152715153891
352,2016,Cuxhaven,ausländische Herkunft mindestens eines Elternteils,%,K03352,14.6865565618895
353,2016,Harburg,ausländische Herkunft mindestens eines Elternteils,%,K03353,20.1200097967181
354,2016,Lüchow-Dannenberg,ausländische Herkunft mindestens eines Elternteils,%,K03354,12.6693227091633
355,2016,Lüneburg,ausländische Herkunft mindestens eines Elternteils,%,K03355,19.1290550070522
356,2016,Osterholz,ausländische Herkunft mindestens eines Elternteils,%,K03356,15.3086419753086
