Year,Land der Staatsangehörigkeit,Units,Value
2011,"Syrien, Arabische Republik",Anzahl,219
2011,"Australien und Ozeanien",Anzahl,3
2011,"Sonstige Herkunnft",Anzahl,144
2011,"staatenlos",Anzahl,99
2011,"ungeklärt",Anzahl,45
2011,"Insgesamt",Anzahl,7995
2012,"Europa insgesamt",Anzahl,5096
2012,"Bulgarien",Anzahl,61
2012,"Griechenland",Anzahl,344
2012,"Italien",Anzahl,89
2012,"Kosovo",Anzahl,181
2012,"Polen",Anzahl,518
2012,"Rumänien",Anzahl,81
2012,"Serbien 1)",Anzahl,225
2012,"Türkei",Anzahl,2361
2012,"Ukraine",Anzahl,325
2012,"EU Staaten 2)",Anzahl,1482
2012,"Afrika insgesamt",Anzahl,596
2012,"Ägypten",Anzahl,28
2012,"Tunesien",Anzahl,110
2012,"Amerika insgesamt",Anzahl,211
2012,"Asien insgesamt",Anzahl,2488
2012,"Afganistan",Anzahl,121
2012,"Libanon",Anzahl,209
2012,"Indien",Anzahl,64
2012,"Irak",Anzahl,273
2012,"Iran, Islamische Republik",Anzahl,227
2012,"Palestinensische Gebiete",Anzahl,
2012,"Syrien, Arabische Republik",Anzahl,208
2012,"Australien und Ozeanien",Anzahl,2
2012,"Sonstige Herkunnft",Anzahl,133
2012,"staatenlos",Anzahl,117
2012,"ungeklärt",Anzahl,16
2012,"Insgesamt",Anzahl,8526
2013,"Europa insgesamt",Anzahl,4900
2013,"Bulgarien",Anzahl,70
2013,"Griechenland",Anzahl,231
2013,"Italien",Anzahl,114
2013,"Kosovo",Anzahl,222
2013,"Polen",Anzahl,655
2013,"Rumänien",Anzahl,115
2013,"Serbien 1)",Anzahl,215
2013,"Türkei",Anzahl,1864
2013,"Ukraine",Anzahl,382
2013,"EU Staaten 2)",Anzahl,1739
2013,"Afrika insgesamt",Anzahl,589
2013,"Ägypten",Anzahl,30
2013,"Tunesien",Anzahl,111
2013,"Amerika insgesamt",Anzahl,228
2013,"Asien insgesamt",Anzahl,2348
2013,"Afganistan",Anzahl,129
2013,"Libanon",Anzahl,243
2013,"Indien",Anzahl,61
2013,"Irak",Anzahl,326
2013,"Iran, Islamische Republik",Anzahl,227
2013,"Palestinensische Gebiete",Anzahl,17
2013,"Syrien, Arabische Republik",Anzahl,247
2013,"Australien und Ozeanien",Anzahl,1
2013,"Sonstige Herkunnft",Anzahl,150
2013,"staatenlos",Anzahl,113
2013,"ungeklärt",Anzahl,37
2013,"Insgesamt",Anzahl,8216
2014,"Europa insgesamt",Anzahl,4399
2014,"Bulgarien",Anzahl,68
2014,"Griechenland",Anzahl,195
2014,"Italien",Anzahl,128
2014,"Kosovo",Anzahl,216
2014,"Polen",Anzahl,576
2014,"Rumänien",Anzahl,113
2014,"Serbien 1)",Anzahl,174
2014,"Türkei",Anzahl,1657
2014,"Ukraine",Anzahl,148
2014,"EU Staaten 2)",Anzahl,1769
2014,"Afrika insgesamt",Anzahl,596
2014,"Ägypten",Anzahl,30
2014,"Tunesien",Anzahl,119
2014,"Amerika insgesamt",Anzahl,256
2014,"Asien insgesamt",Anzahl,2364
2014,"Afganistan",Anzahl,129
2014,"Libanon",Anzahl,254
2014,"Indien",Anzahl,63
2014,"Irak",Anzahl,317
2014,"Iran, Islamische Republik",Anzahl,262
2014,"Palestinensische Gebiete",Anzahl,23
2014,"Syrien, Arabische Republik",Anzahl,300
2014,"Australien und Ozeanien",Anzahl,0
2014,"Sonstige Herkunnft",Anzahl,107
2014,"staatenlos",Anzahl,83
2014,"ungeklärt",Anzahl,24
2014,"Insgesamt",Anzahl,7722
2015,"Europa insgesamt",Anzahl,4598
2015,"Bulgarien",Anzahl,73
2015,"Griechenland",Anzahl,191
2015,"Italien",Anzahl,139
2015,"Kosovo",Anzahl,242
2015,"Polen",Anzahl,559
2015,"Rumänien",Anzahl,156
2015,"Serbien 1)",Anzahl,162
2015,"Türkei",Anzahl,1709
2015,"Ukraine",Anzahl,328
2015,"EU Staaten 2)",Anzahl,1765
2015,"Afrika insgesamt",Anzahl,625
2015,"Ägypten",Anzahl,34
2015,"Tunesien",Anzahl,112
2015,"Amerika insgesamt",Anzahl,260
2015,"Asien insgesamt",Anzahl,2392
2015,"Afganistan",Anzahl,129
2015,"Libanon",Anzahl,259
2015,"Indien",Anzahl,65
2015,"Irak",Anzahl,313
2015,"Iran, Islamische Republik",Anzahl,221
2015,"Palestinensische Gebiete",Anzahl,23
2015,"Syrien, Arabische Republik",Anzahl,398
2015,"Australien und Ozeanien",Anzahl,1
2015,"Sonstige Herkunnft",Anzahl,112
2015,"staatenlos",Anzahl,80
2015,"ungeklärt",Anzahl,32
2015,"Insgesamt",Anzahl,7988
2016,"Europa insgesamt",Anzahl,4880
2016,"Bulgarien",Anzahl,76
2016,"Griechenland",Anzahl,222
2016,"Italien",Anzahl,160
2016,"Kosovo",Anzahl,215
2016,"Polen",Anzahl,650
2016,"Rumänien",Anzahl,193
2016,"Serbien 1)",Anzahl,214
2016,"Türkei",Anzahl,1278
2016,"Ukraine",Anzahl,449
2016,"EU Staaten 2)",Anzahl,2262
2016,"Afrika insgesamt",Anzahl,647
2016,"Ägypten",Anzahl,58
2016,"Tunesien",Anzahl,134
2016,"Amerika insgesamt",Anzahl,270
2016,"Asien insgesamt",Anzahl,2614
2016,"Afganistan",Anzahl,150
2016,"Libanon",Anzahl,303
2016,"Indien",Anzahl,96
2016,"Irak",Anzahl,430
2016,"Iran, Islamische Republik",Anzahl,255
2016,"Palestinensische Gebiete",Anzahl,53
2016,"Syrien, Arabische Republik",Anzahl,368
2016,"Australien und Ozeanien",Anzahl,0
2016,"Sonstige Herkunnft",Anzahl,108
2016,"staatenlos",Anzahl,70
2016,"ungeklärt",Anzahl,38
2016,"Insgesamt",Anzahl,8519
2017,"Europa insgesamt",Anzahl,5044
2017,"Bulgarien",Anzahl,100
2017,"Griechenland",Anzahl,224
2017,"Italien",Anzahl,226
2017,"Kosovo",Anzahl,247
2017,"Polen",Anzahl,664
2017,"Rumänien",Anzahl,241
2017,"Serbien 1)",Anzahl,142
2017,"Türkei",Anzahl,1208
2017,"Ukraine",Anzahl,238
2017,"EU Staaten 2)",Anzahl,2787
2017,"Afrika insgesamt",Anzahl,673
2017,"Ägypten",Anzahl,39
2017,"Tunesien",Anzahl,108
2017,"Amerika insgesamt",Anzahl,296
2017,"Asien insgesamt",Anzahl,2599
2017,"Afganistan",Anzahl,158
2017,"Libanon",Anzahl,238
2017,"Indien",Anzahl,103
2017,"Irak",Anzahl,403
2017,"Iran, Islamische Republik",Anzahl,260
2017,"Palestinensische Gebiete",Anzahl,24
2017,"Syrien, Arabische Republik",Anzahl,444
2017,"Australien und Ozeanien",Anzahl,2
2017,"Sonstige Herkunnft",Anzahl,171
2017,"staatenlos",Anzahl,138
2017,"ungeklärt",Anzahl,33
2017,"Insgesamt",Anzahl,8785
2018,"Europa insgesamt",Anzahl,4743
2018,"Bulgarien",Anzahl,92
2018,"Griechenland",Anzahl,206
2018,"Italien",Anzahl,199
2018,"Kosovo",Anzahl,217
2018,"Polen",Anzahl,598
2018,"Rumänien",Anzahl,239
2018,"Serbien 1)",Anzahl,254
2018,"Türkei",Anzahl,1185
2018,"Ukraine",Anzahl,180
2018,"EU Staaten 2)",Anzahl,2501
2018,"Afrika insgesamt",Anzahl,658
2018,"Ägypten",Anzahl,78
2018,"Tunesien",Anzahl,119
2018,"Amerika insgesamt",Anzahl,247
2018,"Asien insgesamt",Anzahl,2694
2018,"Afganistan",Anzahl,131
2018,"Libanon",Anzahl,233
2018,"Indien",Anzahl,73
2018,"Irak",Anzahl,389
2018,"Iran, Islamische Republik",Anzahl,243
2018,"Palestinensische Gebiete",Anzahl,59
2018,"Syrien, Arabische Republik",Anzahl,664
2018,"Australien und Ozeanien",Anzahl,1
2018,"Sonstige Herkunnft",Anzahl,127
2018,"staatenlos",Anzahl,104
2018,"ungeklärt",Anzahl,23
2018,"Insgesamt",Anzahl,8470
2019,"Europa insgesamt",Anzahl,6722
2019,"Bulgarien",Anzahl,85
2019,"Griechenland",Anzahl,157
2019,"Italien",Anzahl,170
2019,"Kosovo",Anzahl,188
2019,"Polen",Anzahl,644
2019,"Rumänien",Anzahl,337
2019,"Serbien 1)",Anzahl,275
2019,"Türkei",Anzahl,1331
2019,"Ukraine",Anzahl,303
2019,"EU Staaten 2)",Anzahl,4241
2019,"Afrika insgesamt",Anzahl,661
2019,"Ägypten",Anzahl,72
2019,"Tunesien",Anzahl,124
2019,"Amerika insgesamt",Anzahl,288
2019,"Asien insgesamt",Anzahl,3120
2019,"Afganistan",Anzahl,167
2019,"Libanon",Anzahl,209
2019,"Indien",Anzahl,157
2019,"Irak",Anzahl,465
2019,"Iran, Islamische Republik",Anzahl,308
2019,"Palestinensische Gebiete",Anzahl,43
2019,"Syrien, Arabische Republik",Anzahl,857
2019,"Australien und Ozeanien",Anzahl,3
2019,"Sonstige Herkunnft",Anzahl,137
2019,"staatenlos",Anzahl,115
2019,"ungeklärt",Anzahl,22
2019,"Insgesamt",Anzahl,10932
2020,"Europa insgesamt",Anzahl,4041
2020,"Bulgarien",Anzahl,114
2020,"Griechenland",Anzahl,127
2020,"Italien",Anzahl,153
2020,"Kosovo",Anzahl,171
2020,"Polen",Anzahl,572
2020,"Rumänien",Anzahl,369
2020,"Serbien 1)",Anzahl,268
2020,"Türkei",Anzahl,783
2020,"Ukraine",Anzahl,164
2020,"EU Staaten 2)",Anzahl,2376
2020,"Afrika insgesamt",Anzahl,744
2020,"Ägypten",Anzahl,80
2020,"Tunesien",Anzahl,150
2020,"Amerika insgesamt",Anzahl,272
2020,"Asien insgesamt",Anzahl,3645
2020,"Afganistan",Anzahl,184
2020,"Libanon",Anzahl,194
2020,"Indien",Anzahl,117
2020,"Irak",Anzahl,477
2020,"Iran, Islamische Republik",Anzahl,336
2020,"Palestinensische Gebiete",Anzahl,42
2020,"Syrien, Arabische Republik",Anzahl,1414
2020,"Australien und Ozeanien",Anzahl,5
2020,"Sonstige Herkunnft",Anzahl,171
2020,"staatenlos",Anzahl,146
2020,"ungeklärt",Anzahl,25
2020,"Insgesamt",Anzahl,8878
2021,"Europa insgesamt",Anzahl,4066
2021,"Bulgarien",Anzahl,124
2021,"Griechenland",Anzahl,195
2021,"Italien",Anzahl,214
2021,"Kosovo",Anzahl,175
2021,"Polen",Anzahl,619
2021,"Rumänien",Anzahl,369
2021,"Serbien 1)",Anzahl,187
2021,"Türkei",Anzahl,899
2021,"Ukraine",Anzahl,97
2021,"EU Staaten 2)",Anzahl,2243
2021,"Afrika insgesamt",Anzahl,793
2021,"Ägypten",Anzahl,103
2021,"Tunesien",Anzahl,142
2021,"Amerika insgesamt",Anzahl,293
2021,"Asien insgesamt",Anzahl,5045
2021,"Afganistan",Anzahl,292
2021,"Libanon",Anzahl,200
2021,"Indien",Anzahl,131
2021,"Irak",Anzahl,527
2021,"Iran, Islamische Republik",Anzahl,331
2021,"Palestinensische Gebiete",Anzahl,145
2021,"Syrien, Arabische Republik",Anzahl,2592
2021,"Australien und Ozeanien",Anzahl,3
2021,"Sonstige Herkunnft",Anzahl,217
2021,"staatenlos",Anzahl,144
2021,"ungeklärt",Anzahl,73
2021,"Insgesamt",Anzahl,10419
2022,"Europa insgesamt",Anzahl,4041
2022,"Bulgarien",Anzahl,124
2022,"Griechenland",Anzahl,106
2022,"Italien",Anzahl,144
2022,"Kosovo",Anzahl,159
2022,"Polen",Anzahl,524
2022,"Rumänien",Anzahl,382
2022,"Serbien 1)",Anzahl,200
2022,"Türkei",Anzahl,1088
2022,"Ukraine",Anzahl,473
2022,"EU Staaten 2)",Anzahl,1794
2022,"Afrika insgesamt",Anzahl,775
2022,"Ägypten",Anzahl,115
2022,"Tunesien",Anzahl,124
2022,"Amerika insgesamt",Anzahl,246
2022,"Asien insgesamt",Anzahl,8015
2022,"Afganistan",Anzahl,275
2022,"Libanon",Anzahl,175
2022,"Indien",Anzahl,125
2022,"Irak",Anzahl,1064
2022,"Iran, Islamische Republik",Anzahl,427
2022,"Palestinensische Gebiete",Anzahl,205
2022,"Syrien, Arabische Republik",Anzahl,5038
2022,"Australien und Ozeanien",Anzahl,1
2022,"Sonstige Herkunnft",Anzahl,356
2022,"staatenlos",Anzahl,223
2022,"ungeklärt",Anzahl,133
2022,"Insgesamt",Anzahl,13435
