Gebietseinheit,Year,Nationalität,Schulform,Units,GeoCode,Value
Statistische Region Braunschweig,2019,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,29.5190713101161
Statistische Region Hannover,2019,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,35.4200988467875
Statistische Region Lüneburg,2019,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,19.5230998509687
Statistische Region Weser-Ems,2019,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,25.3521126760563
Niedersachsen,2019,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,27.3480662983425
Statistische Region Braunschweig,2018,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,26.09736632083
Statistische Region Hannover,2018,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,30.6719367588933
Statistische Region Lüneburg,2018,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,16.4506480558325
Statistische Region Weser-Ems,2018,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,20.9003215434084
Niedersachsen,2018,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,23.7391646966115
Statistische Region Braunschweig,2017,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,22.7272727272727
Statistische Region Hannover,2017,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,27.6143790849673
Statistische Region Lüneburg,2017,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,16.2512462612164
Statistische Region Weser-Ems,2017,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,16.3983303518187
Niedersachsen,2017,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,20.5882352941176
Statistische Region Braunschweig,2016,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,18.5964912280702
Statistische Region Hannover,2016,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,21.1552346570397
Statistische Region Lüneburg,2016,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,15.6565656565657
Statistische Region Weser-Ems,2016,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,15.6767283349562
Niedersachsen,2016,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,17.6140118968936
Statistische Region Braunschweig,2015,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,15.5076495132128
Statistische Region Hannover,2015,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,20.1434159061278
Statistische Region Lüneburg,2015,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,14.6024464831804
Statistische Region Weser-Ems,2015,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,13.9828781084386
Niedersachsen,2015,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,15.8324669538096
Statistische Region Braunschweig,2014,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,13.4997163925128
Statistische Region Hannover,2014,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,15.9055926115957
Statistische Region Lüneburg,2014,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,10.9595484477893
Statistische Region Weser-Ems,2014,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,12.5842008573178
Niedersachsen,2014,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,13.0931458699473
Statistische Region Braunschweig,2013,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,12.3345935727788
Statistische Region Hannover,2013,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,15.939349112426
Statistische Region Lüneburg,2013,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,8.80908532842234
Statistische Region Weser-Ems,2013,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,9.59921798631476
Niedersachsen,2013,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,11.1422724171909
Statistische Region Braunschweig,2012,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,12.5673994193281
Statistische Region Hannover,2012,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,16.0451590831338
Statistische Region Lüneburg,2012,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,9.60801650456823
Statistische Region Weser-Ems,2012,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,9.99283667621776
Niedersachsen,2012,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,11.57151841241
Statistische Region Braunschweig,2011,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,12.6396917148362
Statistische Region Hannover,2011,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,15.3111521873075
Statistische Region Lüneburg,2011,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,9.21018105484125
Statistische Region Weser-Ems,2011,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,10.0706423525546
Niedersachsen,2011,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,11.3666687845479
Statistische Region Braunschweig,2010,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,13.7604659628686
Statistische Region Hannover,2010,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,16.2390582553577
Statistische Region Lüneburg,2010,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,9.33577405857741
Statistische Region Weser-Ems,2010,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,9.30573663624511
Niedersachsen,2010,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,11.5106117353308
Statistische Region Braunschweig,2005,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR031,13.0865361942938
Statistische Region Hannover,2005,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR032,14.711559082136
Statistische Region Lüneburg,2005,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR033,9.42249240121581
Statistische Region Weser-Ems,2005,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR034,7.91798821930222
Niedersachsen,2005,Ausländerinnen und Ausländer,Hauptschule,Prozent,SR030,10.5766345123258
Statistische Region Braunschweig,2020,Deutsche,Realschule,Prozent,SR031,88.2127659574468
Statistische Region Hannover,2020,Deutsche,Realschule,Prozent,SR032,83.8274932614555
Statistische Region Lüneburg,2020,Deutsche,Realschule,Prozent,SR033,89.8743016759776
Statistische Region Weser-Ems,2020,Deutsche,Realschule,Prozent,SR034,89.5010845986985
Niedersachsen,2020,Deutsche,Realschule,Prozent,SR030,87.8619994963485
Statistische Region Braunschweig,2019,Deutsche,Realschule,Prozent,SR031,87.7957658779576
Statistische Region Hannover,2019,Deutsche,Realschule,Prozent,SR032,84.3456790123457
Statistische Region Lüneburg,2019,Deutsche,Realschule,Prozent,SR033,91.0386965376782
Statistische Region Weser-Ems,2019,Deutsche,Realschule,Prozent,SR034,91.069330199765
Niedersachsen,2019,Deutsche,Realschule,Prozent,SR030,88.5224586288416
Statistische Region Braunschweig,2018,Deutsche,Realschule,Prozent,SR031,90.5581039755352
Statistische Region Hannover,2018,Deutsche,Realschule,Prozent,SR032,86.2562007586811
Statistische Region Lüneburg,2018,Deutsche,Realschule,Prozent,SR033,93.5197514425211
Statistische Region Weser-Ems,2018,Deutsche,Realschule,Prozent,SR034,91.8546365914787
Niedersachsen,2018,Deutsche,Realschule,Prozent,SR030,90.2158774373259
Statistische Region Braunschweig,2017,Deutsche,Realschule,Prozent,SR031,90.634110787172
Statistische Region Hannover,2017,Deutsche,Realschule,Prozent,SR032,88.4017758046615
Statistische Region Lüneburg,2017,Deutsche,Realschule,Prozent,SR033,94.0311418685121
Statistische Region Weser-Ems,2017,Deutsche,Realschule,Prozent,SR034,92.6552179656539
Niedersachsen,2017,Deutsche,Realschule,Prozent,SR030,91.2334270791483
Statistische Region Braunschweig,2016,Deutsche,Realschule,Prozent,SR031,90.3443379481718
Statistische Region Hannover,2016,Deutsche,Realschule,Prozent,SR032,89.6143958868895
Statistische Region Lüneburg,2016,Deutsche,Realschule,Prozent,SR033,94.1538461538462
Statistische Region Weser-Ems,2016,Deutsche,Realschule,Prozent,SR034,93.7020316027088
Niedersachsen,2016,Deutsche,Realschule,Prozent,SR030,91.9414719371042
Statistische Region Braunschweig,2015,Deutsche,Realschule,Prozent,SR031,93.1810766721044
Statistische Region Hannover,2015,Deutsche,Realschule,Prozent,SR032,91.3305964742816
Statistische Region Lüneburg,2015,Deutsche,Realschule,Prozent,SR033,96.382252559727
Statistische Region Weser-Ems,2015,Deutsche,Realschule,Prozent,SR034,95.1491053677932
Niedersachsen,2015,Deutsche,Realschule,Prozent,SR030,93.9469866807332
Statistische Region Braunschweig,2014,Deutsche,Realschule,Prozent,SR031,93.816067653277
Statistische Region Hannover,2014,Deutsche,Realschule,Prozent,SR032,91.7523609653725
Statistische Region Lüneburg,2014,Deutsche,Realschule,Prozent,SR033,96.7070707070707
Statistische Region Weser-Ems,2014,Deutsche,Realschule,Prozent,SR034,94.8541269608562
Niedersachsen,2014,Deutsche,Realschule,Prozent,SR030,94.384842519685
Statistische Region Braunschweig,2013,Deutsche,Realschule,Prozent,SR031,92.2915353917244
Statistische Region Hannover,2013,Deutsche,Realschule,Prozent,SR032,91.6212752322973
Statistische Region Lüneburg,2013,Deutsche,Realschule,Prozent,SR033,96.9669356938297
Statistische Region Weser-Ems,2013,Deutsche,Realschule,Prozent,SR034,95.6000748923423
Niedersachsen,2013,Deutsche,Realschule,Prozent,SR030,94.5755439779344
Statistische Region Braunschweig,2012,Deutsche,Realschule,Prozent,SR031,92.8557673791643
Statistische Region Hannover,2012,Deutsche,Realschule,Prozent,SR032,91.018922852984
Statistische Region Lüneburg,2012,Deutsche,Realschule,Prozent,SR033,96.6388744137572
Statistische Region Weser-Ems,2012,Deutsche,Realschule,Prozent,SR034,95.4565821310153
Niedersachsen,2012,Deutsche,Realschule,Prozent,SR030,94.3264936241828
Statistische Region Braunschweig,2011,Deutsche,Realschule,Prozent,SR031,89.2
Statistische Region Hannover,2011,Deutsche,Realschule,Prozent,SR032,91.4738591333248
Statistische Region Lüneburg,2011,Deutsche,Realschule,Prozent,SR033,96.4614817545153
Statistische Region Weser-Ems,2011,Deutsche,Realschule,Prozent,SR034,95.4591577879249
Niedersachsen,2011,Deutsche,Realschule,Prozent,SR030,56.9650706902697
Statistische Region Braunschweig,2010,Deutsche,Realschule,Prozent,SR031,93.136738634369
Statistische Region Hannover,2010,Deutsche,Realschule,Prozent,SR032,90.8653846153846
Statistische Region Lüneburg,2010,Deutsche,Realschule,Prozent,SR033,96.6625615763547
Statistische Region Weser-Ems,2010,Deutsche,Realschule,Prozent,SR034,95.899482129213
Niedersachsen,2010,Deutsche,Realschule,Prozent,SR030,94.4716479264901
Statistische Region Braunschweig,2005,Deutsche,Realschule,Prozent,SR031,93.5603142813126
Statistische Region Hannover,2005,Deutsche,Realschule,Prozent,SR032,90.7606045831302
Statistische Region Lüneburg,2005,Deutsche,Realschule,Prozent,SR033,96.6383404148963
Statistische Region Weser-Ems,2005,Deutsche,Realschule,Prozent,SR034,96.0331299040976
Niedersachsen,2005,Deutsche,Realschule,Prozent,SR030,94.4390786431352
Statistische Region Braunschweig,2020,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,11.7872340425532
Statistische Region Hannover,2020,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,16.1725067385445
Statistische Region Lüneburg,2020,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,10.1256983240223
Statistische Region Weser-Ems,2020,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,10.4989154013015
Niedersachsen,2020,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,12.1380005036515
Statistische Region Braunschweig,2019,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,12.2042341220423
Statistische Region Hannover,2019,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,15.6543209876543
Statistische Region Lüneburg,2019,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,8.96130346232179
Statistische Region Weser-Ems,2019,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,8.93066980023502
Niedersachsen,2019,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,11.4775413711584
Statistische Region Braunschweig,2018,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,9.44189602446483
Statistische Region Hannover,2018,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,13.7437992413189
Statistische Region Lüneburg,2018,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,6.48024855747892
Statistische Region Weser-Ems,2018,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,8.1453634085213
Niedersachsen,2018,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,9.78412256267409
Statistische Region Braunschweig,2017,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,9.36588921282799
Statistische Region Hannover,2017,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,11.5982241953385
Statistische Region Lüneburg,2017,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,5.96885813148789
Statistische Region Weser-Ems,2017,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,7.3447820343461
Niedersachsen,2017,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,8.76657292085175
Statistische Region Braunschweig,2016,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,9.65566205182819
Statistische Region Hannover,2016,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,10.3856041131105
Statistische Region Lüneburg,2016,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,5.84615384615385
Statistische Region Weser-Ems,2016,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,6.2979683972912
Niedersachsen,2016,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,8.05852806289583
Statistische Region Braunschweig,2015,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,6.8189233278956
Statistische Region Hannover,2015,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,8.66940352571842
Statistische Region Lüneburg,2015,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.61774744027304
Statistische Region Weser-Ems,2015,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,4.85089463220676
Niedersachsen,2015,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,6.05301331926678
Statistische Region Braunschweig,2014,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,6.18393234672304
Statistische Region Hannover,2014,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,8.24763903462749
Statistische Region Lüneburg,2014,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.29292929292929
Statistische Region Weser-Ems,2014,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,5.14587303914382
Niedersachsen,2014,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,5.61515748031496
Statistische Region Braunschweig,2013,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,7.70846460827557
Statistische Region Hannover,2013,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,8.37872476770266
Statistische Region Lüneburg,2013,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.03306430617027
Statistische Region Weser-Ems,2013,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,4.39992510765774
Niedersachsen,2013,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,5.42445602206558
Statistische Region Braunschweig,2012,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,7.14423262083574
Statistische Region Hannover,2012,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,8.98107714701601
Statistische Region Lüneburg,2012,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.36112558624284
Statistische Region Weser-Ems,2012,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,4.54341786898468
Niedersachsen,2012,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,5.6735063758172
Statistische Region Braunschweig,2011,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,6.8
Statistische Region Hannover,2011,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,8.52614086667519
Statistische Region Lüneburg,2011,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.5385182454847
Statistische Region Weser-Ems,2011,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,4.54084221207509
Niedersachsen,2011,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,43.0349293097303
Statistische Region Braunschweig,2010,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,6.86326136563103
Statistische Region Hannover,2010,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,9.13461538461538
Statistische Region Lüneburg,2010,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.33743842364532
Statistische Region Weser-Ems,2010,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,4.10051787078699
Niedersachsen,2010,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,5.52835207350985
Statistische Region Braunschweig,2005,Ausländerinnen und Ausländer,Realschule,Prozent,SR031,6.43968571868741
Statistische Region Hannover,2005,Ausländerinnen und Ausländer,Realschule,Prozent,SR032,9.23939541686982
Statistische Region Lüneburg,2005,Ausländerinnen und Ausländer,Realschule,Prozent,SR033,3.36165958510372
Statistische Region Weser-Ems,2005,Ausländerinnen und Ausländer,Realschule,Prozent,SR034,3.96687009590235
Niedersachsen,2005,Ausländerinnen und Ausländer,Realschule,Prozent,SR030,5.56092135686481
Statistische Region Braunschweig,2020,Deutsche,Oberschule,Prozent,SR031,86.7431485022307
Statistische Region Hannover,2020,Deutsche,Oberschule,Prozent,SR032,80.9323405632891
Statistische Region Lüneburg,2020,Deutsche,Oberschule,Prozent,SR033,88.1531100478469
Statistische Region Weser-Ems,2020,Deutsche,Oberschule,Prozent,SR034,83.8603114676734
Niedersachsen,2020,Deutsche,Oberschule,Prozent,SR030,84.8357753690288
Statistische Region Braunschweig,2019,Deutsche,Oberschule,Prozent,SR031,87.9703886489821
Statistische Region Hannover,2019,Deutsche,Oberschule,Prozent,SR032,80.1820020222447
Statistische Region Lüneburg,2019,Deutsche,Oberschule,Prozent,SR033,89.5745072757414
Statistische Region Weser-Ems,2019,Deutsche,Oberschule,Prozent,SR034,96.549622043404
Niedersachsen,2019,Deutsche,Oberschule,Prozent,SR030,86.0360121102672
Statistische Region Braunschweig,2018,Deutsche,Oberschule,Prozent,SR031,87.625
Statistische Region Hannover,2018,Deutsche,Oberschule,Prozent,SR032,85.7193105874077
Statistische Region Lüneburg,2018,Deutsche,Oberschule,Prozent,SR033,90.1497384088039
Statistische Region Weser-Ems,2018,Deutsche,Oberschule,Prozent,SR034,87.821906833009
Niedersachsen,2018,Deutsche,Oberschule,Prozent,SR030,88.1749719596219
Statistische Region Braunschweig,2017,Deutsche,Oberschule,Prozent,SR031,90.0584795321637
Statistische Region Hannover,2017,Deutsche,Oberschule,Prozent,SR032,85.6221547799696
Statistische Region Lüneburg,2017,Deutsche,Oberschule,Prozent,SR033,91.6635995583364
Statistische Region Weser-Ems,2017,Deutsche,Oberschule,Prozent,SR034,88.6122692078618
Niedersachsen,2017,Deutsche,Oberschule,Prozent,SR030,89.2269601100413
Statistische Region Braunschweig,2016,Deutsche,Oberschule,Prozent,SR031,91.6826615483046
Statistische Region Hannover,2016,Deutsche,Oberschule,Prozent,SR032,89.390142021721
Statistische Region Lüneburg,2016,Deutsche,Oberschule,Prozent,SR033,93.1905126243305
Statistische Region Weser-Ems,2016,Deutsche,Oberschule,Prozent,SR034,90.7862407862408
Niedersachsen,2016,Deutsche,Oberschule,Prozent,SR030,91.4299557870511
Statistische Region Braunschweig,2015,Deutsche,Oberschule,Prozent,SR031,94.8598130841121
Statistische Region Hannover,2015,Deutsche,Oberschule,Prozent,SR032,90.7633909742725
Statistische Region Lüneburg,2015,Deutsche,Oberschule,Prozent,SR033,94.8763955342903
Statistische Region Weser-Ems,2015,Deutsche,Oberschule,Prozent,SR034,93.1050022532672
Niedersachsen,2015,Deutsche,Oberschule,Prozent,SR030,93.4886115043109
Statistische Region Braunschweig,2014,Deutsche,Oberschule,Prozent,SR031,96.5616045845272
Statistische Region Hannover,2014,Deutsche,Oberschule,Prozent,SR032,92.2841396203307
Statistische Region Lüneburg,2014,Deutsche,Oberschule,Prozent,SR033,96.1414790996785
Statistische Region Weser-Ems,2014,Deutsche,Oberschule,Prozent,SR034,94.9443413729128
Niedersachsen,2014,Deutsche,Oberschule,Prozent,SR030,95.0504850524649
Statistische Region Braunschweig,2013,Deutsche,Oberschule,Prozent,SR031,-
Statistische Region Hannover,2013,Deutsche,Oberschule,Prozent,SR032,-
Statistische Region Lüneburg,2013,Deutsche,Oberschule,Prozent,SR033,-
Statistische Region Weser-Ems,2013,Deutsche,Oberschule,Prozent,SR034,-
Niedersachsen,2013,Deutsche,Oberschule,Prozent,SR030,-
Statistische Region Braunschweig,2012,Deutsche,Oberschule,Prozent,SR031,-
Statistische Region Hannover,2012,Deutsche,Oberschule,Prozent,SR032,-
Statistische Region Lüneburg,2012,Deutsche,Oberschule,Prozent,SR033,-
Statistische Region Weser-Ems,2012,Deutsche,Oberschule,Prozent,SR034,-
Niedersachsen,2012,Deutsche,Oberschule,Prozent,SR030,-
Statistische Region Braunschweig,2011,Deutsche,Oberschule,Prozent,SR031,-
Statistische Region Hannover,2011,Deutsche,Oberschule,Prozent,SR032,-
Statistische Region Lüneburg,2011,Deutsche,Oberschule,Prozent,SR033,-
Statistische Region Weser-Ems,2011,Deutsche,Oberschule,Prozent,SR034,-
Niedersachsen,2011,Deutsche,Oberschule,Prozent,SR030,-
Statistische Region Braunschweig,2010,Deutsche,Oberschule,Prozent,SR031,-
Statistische Region Hannover,2010,Deutsche,Oberschule,Prozent,SR032,-
Statistische Region Lüneburg,2010,Deutsche,Oberschule,Prozent,SR033,-
Statistische Region Weser-Ems,2010,Deutsche,Oberschule,Prozent,SR034,-
Niedersachsen,2010,Deutsche,Oberschule,Prozent,SR030,-
Statistische Region Braunschweig,2005,Deutsche,Oberschule,Prozent,SR031,-
Statistische Region Hannover,2005,Deutsche,Oberschule,Prozent,SR032,-
