Year,Gebietseinheit,Kategorie,Nationalität,Units,GeoCode,Value
2018,Goslar,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03153,14854
2018,Helmstedt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03154,8135
2018,Northeim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03155,11065
2018,Peine,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03157,11692
2018,Wolfenbüttel,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03158,9549
2018,Göttingen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03159,27198
2018,Statistische Region Braunschweig,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K031,141726
2018,Hannover  Region,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03241,142110
2018,dav. Hannover  Lhst.,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03241001,82128
2018,Diepholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03251,16127
2018,Hameln-Pyrmont,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03252,16821
2018,Hildesheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03254,26480
2018,Holzminden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03255,6656
2018,Nienburg (Weser),Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03256,11411
2018,Schaumburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03257,14478
2018,Statistische Region Hannover,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K032,234083
2018,Celle,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03351,18504
2018,Cuxhaven,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03352,15176
2018,Harburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03353,15174
2018,Lüchow-Dannenberg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03354,4428
2018,Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03355,16052
2018,Osterholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03356,6180
2018,Rotenburg (Wümme),Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03357,9954
2018,Heidekreis,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03358,11423
2018,Stade,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03359,17806
2018,Uelzen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03360,7138
2018,Verden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03361,9660
2018,Statistische Region Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K033,131495
2018,Delmenhorst  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03401,12930
2018,Emden  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03402,6900
2018,Oldenburg(Oldb)  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03403,20707
2018,Osnabrück  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03404,20125
2018,Wilhelmshaven  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03405,13260
2018,Ammerland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03451,8011
2018,Aurich,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03452,16534
2018,Cloppenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03453,10664
2018,Emsland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03454,18559
2018,Friesland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03455,6866
2018,Grafschaft Bentheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03456,8445
2018,Leer,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03457,12542
2018,Oldenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03458,7956
2018,Osnabrück,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03459,17640
2018,Vechta,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03460,8594
2018,Wesermarsch,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03461,8593
2018,Wittmund,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K03462,4086
2018,Statistische Region Weser-Ems,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K034,202412
2018,Niedersachsen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,K030,709716
2014,Braunschweig  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,23979
2014,Salzgitter  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12490
2014,Wolfsburg  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,9127
2014,Gifhorn,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10971
2014,Göttingen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,22271
2014,Goslar,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15485
2014,Helmstedt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8425
2014,Northeim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11796
2014,Osterode,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7385
2014,Peine,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11794
2014,Wolfenbüttel,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10536
2014,Statistische Region Braunschweig,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,144259
2014,Hannover  Region,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,142348
2014,dav. Hannover  Lhst.,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,85577
2014,dav. Hannover  Umland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,56771
2014,Diepholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15156
2014,Hameln-Pyrmont,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16703
2014,Hildesheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,27612
2014,Holzminden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6966
2014,Nienburg (Weser),Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10697
2014,Schaumburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,14425
2014,Statistische Region Hannover,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,233907
2014,Celle,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,18434
2014,Cuxhaven,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15733
2014,Harburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15251
2014,Lüchow-Dannenberg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,5199
2014,Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16459
2014,Osterholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6603
2014,Rotenburg (Wümme),Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10245
2014,Heidekreis,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12417
2014,Stade,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,17075
2014,Uelzen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7741
2014,Verden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10254
2014,Statistische Region Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,135411
2014,Delmenhorst  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12551
2014,Emden  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6370
2014,Oldenburg(Oldb)  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,20139
2014,Osnabrück  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,20777
2014,Wilhelmshaven  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12716
2014,Ammerland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7765
2014,Aurich,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,17343
2014,Cloppenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11586
2014,Emsland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,18538
2014,Friesland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7485
2014,Grafschaft Bentheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,9130
2014,Leer,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,13044
2014,Oldenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8498
2014,Osnabrück,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,20350
2014,Vechta,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7649
2014,Wesermarsch,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,9207
2014,Wittmund,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,4934
2014,Statistische Region Weser-Ems,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,208082
2014,Niedersachsen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,721659
2012,Braunschweig  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,24926
2012,Salzgitter  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11785
2012,Wolfsburg  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8699
2012,Gifhorn,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11136
2012,Göttingen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,22886
2012,Goslar,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15464
2012,Helmstedt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8168
2012,Northeim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11591
2012,Osterode,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7782
2012,Peine,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11970
2012,Wolfenbüttel,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10285
2012,Statistische Region Braunschweig,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,144692
2012,Hannover  Region,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,133559
2012,dav. Hannover  Lhst.,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,80964
2012,dav. Hannover  Umland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,52595
2012,Diepholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,14576
2012,Hameln-Pyrmont,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15934
2012,Hildesheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,26934
2012,Holzminden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6827
2012,Nienburg (Weser),Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10064
2012,Schaumburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,14375
2012,Statistische Region Hannover,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,222269
2012,Celle,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,17733
2012,Cuxhaven,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15035
2012,Harburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,14212
2012,Lüchow-Dannenberg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,4979
2012,Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16126
2012,Osterholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6053
2012,Rotenburg (Wümme),Empfängerinnen und Empfänger,Insgesamt,Anzahl,,9879
2012,Heidekreis,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11979
2012,Stade,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16309
2012,Uelzen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7452
2012,Verden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10283
2012,Statistische Region Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,130040
2012,Delmenhorst  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12179
2012,Emden  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6198
2012,Oldenburg(Oldb)  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,19326
2012,Osnabrück  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,19431
2012,Wilhelmshaven  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12362
2012,Ammerland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7364
2012,Aurich,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,17041
2012,Cloppenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10351
2012,Emsland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,17110
2012,Friesland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7156
2012,Grafschaft Bentheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8393
2012,Leer,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12400
2012,Oldenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7930
2012,Osnabrück,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,20513
2012,Vechta,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7067
2012,Wesermarsch,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8719
2012,Wittmund,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,4853
2012,Statistische Region Weser-Ems,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,198393
2012,Niedersachsen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,695394
2011,Braunschweig  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,25632
2011,Salzgitter  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11821
2011,Wolfsburg  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8938
2011,Gifhorn,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11703
2011,Göttingen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,23549
2011,Goslar,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15680
2011,Helmstedt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8339
2011,Northeim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11876
2011,Osterode,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8080
2011,Peine,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12255
2011,Wolfenbüttel,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10475
2011,Statistische Region Braunschweig,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,148348
2011,Hannover  Region,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,131816
2011,dav. Hannover  Lhst.,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,79872
2011,dav. Hannover  Umland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,51944
2011,Diepholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,14505
2011,Hameln-Pyrmont,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15982
2011,Hildesheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,27119
2011,Holzminden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6983
2011,Nienburg (Weser),Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10376
2011,Schaumburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,14363
2011,Statistische Region Hannover,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,221144
2011,Celle,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,17808
2011,Cuxhaven,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15550
2011,Harburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,14372
2011,Lüchow-Dannenberg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,4905
2011,Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16250
2011,Osterholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6314
2011,Rotenburg (Wümme),Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10424
2011,Heidekreis,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11751
2011,Stade,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16307
2011,Uelzen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7538
2011,Verden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10489
2011,Statistische Region Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,131708
2011,Delmenhorst  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12049
2011,Emden  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6374
2011,Oldenburg(Oldb)  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,19164
2011,Osnabrück  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,19338
2011,Wilhelmshaven  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12448
2011,Ammerland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7370
2011,Aurich,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16884
2011,Cloppenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10252
2011,Emsland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,17199
2011,Friesland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7438
2011,Grafschaft Bentheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7988
2011,Leer,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12925
2011,Oldenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7946
2011,Osnabrück,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,20966
2011,Vechta,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6913
2011,Wesermarsch,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,9027
2011,Wittmund,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,4775
2011,Statistische Region Weser-Ems,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,199056
2011,Niedersachsen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,700256
2010,Braunschweig  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,27349
2010,Salzgitter  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12899
2010,Wolfsburg  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,9842
2010,Gifhorn,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,13106
2010,Göttingen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,24817
2010,Goslar,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16102
2010,Helmstedt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8886
2010,Northeim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12571
2010,Osterode,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8617
2010,Peine,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12473
2010,Wolfenbüttel,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10799
2010,Statistische Region Braunschweig,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,157461
2010,Hannover  Region,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,133623
2010,dav. Hannover  Lhst.,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,80678
2010,dav. Hannover  Umland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,52945
2010,Diepholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,14893
2010,Hameln-Pyrmont,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15887
2010,Hildesheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,28309
2010,Holzminden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7397
2010,Nienburg (Weser),Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10946
2010,Schaumburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,14941
2010,Statistische Region Hannover,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,225996
2010,Celle,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,19029
2010,Cuxhaven,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16591
2010,Harburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,14916
2010,Lüchow-Dannenberg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,5198
2010,Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16972
2010,Osterholz,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6692
2010,Rotenburg (Wümme),Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11225
2010,Heidekreis,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11239
2010,Stade,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,16854
2010,Uelzen,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8061
2010,Verden,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,10803
2010,Statistische Region Lüneburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,137580
2010,Delmenhorst  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12436
2010,Emden  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,6825
2010,Oldenburg(Oldb)  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,19959
2010,Osnabrück  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,19835
2010,Wilhelmshaven  Stadt,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,13021
2010,Ammerland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7760
2010,Aurich,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,17958
2010,Cloppenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,11140
2010,Emsland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,15781
2010,Friesland,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7903
2010,Grafschaft Bentheim,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8139
2010,Leer,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,12991
2010,Oldenburg,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,8204
2010,Osnabrück,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,22357
2010,Vechta,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,7285
2010,Wesermarsch,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,9348
2010,Wittmund,Empfängerinnen und Empfänger,Insgesamt,Anzahl,,5102
