Year,Wirtschaftsabschnitte (WZ 2008) Zusammenfassungen,Geschlecht,Units,COMMENT_OBS,Value
2023,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,114.46142
2023,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,203.59147
2023,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,39.47821
2023,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,923.37181
2022,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,,14.13941
2022,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,200.47375
2022,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,8.46127
2022,"Baugewerbe",Insgesamt,in 1000,,70.98474
2022,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,133.40544
2022,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,86.42284
2022,"Gastgewerbe",Insgesamt,in 1000,,60.64572
2022,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,115.23188
2022,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,198.44986
2022,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,47.28028
2022,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,941.50191
2021,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,,16.31451
2021,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,194.76671
2021,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,9.05941
2021,"Baugewerbe",Insgesamt,in 1000,,61.44439
2021,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,121.4631
2021,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,75.94103
2021,"Gastgewerbe",Insgesamt,in 1000,,52.92927
2021,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,108.35259
2021,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,177.67641
2021,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,45.70236
2021,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,872.29063
2019,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,,11.42368
2019,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,181.05264
2019,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,7.84655
2019,"Baugewerbe",Insgesamt,in 1000,,68.81263
2019,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,130.89983
2019,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,67.16394
2019,"Gastgewerbe",Insgesamt,in 1000,,57.58026
2019,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,92.33568
2019,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,160.67987
2019,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,32.89778
2019,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,818.34351
2018,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,,14.14961
2018,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,187.68375
2018,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,8.9252
2018,"Baugewerbe",Insgesamt,in 1000,,65.19022
2018,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,129.91822
2018,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,61.68477
2018,"Gastgewerbe",Insgesamt,in 1000,,58.19181
2018,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,87.23781
2018,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,155.93631
2018,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,31.15317
2018,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,805.91227
2017,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,,11.42443
2017,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,185.04506
2017,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,8.26193
2017,"Baugewerbe",Insgesamt,in 1000,,63.57268
2017,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,125.8814
2017,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,60.93678
2017,"Gastgewerbe",Insgesamt,in 1000,,51.63832
2017,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,83.74615
2017,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,153.97228
2017,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,34.12491
2017,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,786.12054
2016,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,,11.42641
2016,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,162.05356
2016,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,6.41776
2016,"Baugewerbe",Insgesamt,in 1000,,52.61318
2016,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,106.77966
2016,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,50.4989
2016,"Gastgewerbe",Insgesamt,in 1000,,48.5409
2016,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,75.9719
2016,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,127.76136
2016,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,27.67761
2016,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,677.16357
2015,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,,10.00167
2015,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,141.48393
2015,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,6.79859
2015,"Baugewerbe",Insgesamt,in 1000,,45.39813
2015,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,100.92942
2015,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,44.8455
2015,"Gastgewerbe",Insgesamt,in 1000,,48.02391
2015,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,68.12898
2015,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,118.23508
2015,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,28.68398
2015,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,617.30963
2014,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,Statistisch unsicher,9.61809
2014,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,134.3787
2014,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,6.8612
2014,"Baugewerbe",Insgesamt,in 1000,,47.16467
2014,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,98.40937
2014,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,41.79382
2014,"Gastgewerbe",Insgesamt,in 1000,,43.57618
2014,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,67.51069
2014,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,115.81437
2014,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,28.58216
2014,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,599.417
2013,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,Statistisch unsicher,8.12229
2013,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,129.34106
2013,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,7.47687
2013,"Baugewerbe",Insgesamt,in 1000,,44.42089
2013,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,102.08666
2013,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,42.455
2013,"Gastgewerbe",Insgesamt,in 1000,,47.83908
2013,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,71.11767
2013,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,111.62261
2013,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,30.32854
2013,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,600.97931
2012,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,Statistisch unsicher,7.10295
2012,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,131.66736
2012,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,6.70766
2012,"Baugewerbe",Insgesamt,in 1000,,40.42969
2012,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,83.40251
2012,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,39.50961
2012,"Gastgewerbe",Insgesamt,in 1000,,45.34827
2012,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,64.83805
2012,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,107.72747
2012,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,31.068
2012,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,565.63011
2011,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,Statistisch unsicher,9.83701
2011,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,127.25463
2011,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,7.43789
2011,"Baugewerbe",Insgesamt,in 1000,,41.39158
2011,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,86.49311
2011,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,35.64328
2011,"Gastgewerbe",Insgesamt,in 1000,,43.4605
2011,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,65.77005
2011,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,101.65639
2011,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,23.8918
2011,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,548.69433
2010,"Land- und Forstwirtschaft, Fischerei",Insgesamt,in 1000,Statistisch unsicher,7.90266
2010,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Insgesamt,in 1000,,129.84919
2010,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Insgesamt,in 1000,Statistisch unsicher,6.08956
2010,"Baugewerbe",Insgesamt,in 1000,,38.96301
2010,"Handel, Instandhaltung und Reparatur von Kfz",Insgesamt,in 1000,,83.05168
2010,"Verkehr und Lagerei; Information und Kommunikation",Insgesamt,in 1000,,36.23751
2010,"Gastgewerbe",Insgesamt,in 1000,,43.08923
2010,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Insgesamt,in 1000,,66.08848
2010,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Insgesamt,in 1000,,110.24489
2010,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Insgesamt,in 1000,,25.87738
2010,"Insgesamt (inkl. sonstiger Abschnitte)",Insgesamt,in 1000,,553.26731
2024,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,7.61386
2024,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,143.77341
2024,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,,10.22898
2024,"Baugewerbe",Männer,in 1000,,64.89461
2024,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,74.24148
2024,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,71.27201
2024,"Gastgewerbe",Männer,in 1000,,34.17741
2024,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,61.48549
2024,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,54.65158
2024,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,18.6125
2024,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,541.58619
2023,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,7.22836
2023,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,145.58402
2023,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,7.23328
2023,"Baugewerbe",Männer,in 1000,,64.07162
2023,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,68.13265
2023,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,67.14071
2023,"Gastgewerbe",Männer,in 1000,,34.84408
2023,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,55.29722
2023,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,53.8542
2023,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,16.44592
2023,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,520.05518
2022,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,9.19187
2022,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,153.34922
2022,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,6.17976
2022,"Baugewerbe",Männer,in 1000,,63.33437
2022,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,70.13672
2022,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,68.13815
2022,"Gastgewerbe",Männer,in 1000,,32.44962
2022,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,52.00733
2022,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,52.09824
2022,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,21.65308
2022,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,528.98162
2021,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,,10.57248
2021,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,149.85902
2021,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,6.63768
2021,"Baugewerbe",Männer,in 1000,,55.9483
2021,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,64.33099
2021,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,58.60176
2021,"Gastgewerbe",Männer,in 1000,,29.5642
2021,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,51.00382
2021,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,48.75903
2021,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,21.01084
2021,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,497.26251
2019,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,8.09706
2019,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,137.23995
2019,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,5.87054
2019,"Baugewerbe",Männer,in 1000,,61.42324
2019,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,70.29412
2019,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,54.42498
2019,"Gastgewerbe",Männer,in 1000,,31.72892
2019,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,43.8466
2019,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,43.38992
2019,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,13.56075
2019,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,470.17716
2018,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,9.23728
2018,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,141.85381
2018,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,6.92941
2018,"Baugewerbe",Männer,in 1000,,58.64286
2018,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,67.82863
2018,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,50.17224
2018,"Gastgewerbe",Männer,in 1000,,31.44165
2018,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,40.48726
2018,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,42.32957
2018,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,11.60702
2018,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,460.73617
2017,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,8.36436
2017,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,143.43661
2017,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,6.47833
2017,"Baugewerbe",Männer,in 1000,,57.10233
2017,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,65.7515
2017,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,48.32745
2017,"Gastgewerbe",Männer,in 1000,,26.69622
2017,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,39.16312
2017,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,44.20756
2017,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,,12.36978
2017,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,452.36585
2016,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,8.39828
2016,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,123.89064
2016,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,5.17429
2016,"Baugewerbe",Männer,in 1000,,47.02018
2016,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,59.01031
2016,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,39.85748
2016,"Gastgewerbe",Männer,in 1000,,25.97501
2016,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,34.71445
2016,"ÖffentlicheVerwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,35.62593
2016,"Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen",Männer,in 1000,Statistisch unsicher,9.75166
2016,"Insgesamt (inkl. sonstiger Abschnitte)",Männer,in 1000,,389.66021
2015,"Land- und Forstwirtschaft, Fischerei",Männer,in 1000,Statistisch unsicher,7.45721
2015,"Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe",Männer,in 1000,,106.61516
2015,"Energieversorgung; Wasserversorgung, Entsorg., Beseitig. v. Umweltverschmutzungen",Männer,in 1000,Statistisch unsicher,5.03943
2015,"Baugewerbe",Männer,in 1000,,42.17635
2015,"Handel, Instandhaltung und Reparatur von Kfz",Männer,in 1000,,57.30595
2015,"Verkehr und Lagerei; Information und Kommunikation",Männer,in 1000,,35.54383
2015,"Gastgewerbe",Männer,in 1000,,24.28513
2015,"Erbringung von Finanz- und Versicherungsleistungen; Grundstücks- und Wohnungswesen; Freiberufliche, wiss. u. techn. Dienstleistungen; sonst. wirt. Dienstleistungen",Männer,in 1000,,29.16293
2015,"Öff.Verwaltung, Verteidigung, Sozialversicherung; Erziehung und Unterricht; Gesundheits- und Sozialwesen",Männer,in 1000,,29.30551
