Year,Kategorie,Geschlecht,Units,Value
Juni 2016,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,19.3
Juni 2017,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,19.8
Juni 2018,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,17.9
Juni 2019,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,17.2
Juni 2020,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,20.4
Juni 2021,Arbeitslosenquote von Ausländerinnen und Ausländern (alle Erwerbspersonen),Frauen,%,19
Juni 2007,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,7.9
Juni 2008,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,6.3
Juni 2009,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,7.4
Juni 2010,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,6.6
Juni 2011,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.4
Juni 2012,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.2
Juni 2013,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.7
Juni 2014,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.3
Juni 2015,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.8
Juni 2016,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.6
Juni 2017,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,5.3
Juni 2018,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.7
Juni 2019,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.4
Juni 2020,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,6
Juni 2021,Arbeitslosenquote (Insgesamt) der bis unter 25-Jährigen,Insgesamt,%,4.7
Juni 2007,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,14.9
Juni 2008,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13.1
Juni 2009,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13.6
Juni 2010,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12.6
Juni 2011,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11.7
Juni 2012,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,10.9
Juni 2013,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11
Juni 2014,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11.7
Juni 2015,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12
Juni 2016,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,18.3
Juni 2017,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,16.4
Juni 2018,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,13.5
Juni 2019,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,12.1
Juni 2020,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,14.9
Juni 2021,Arbeitslosenquote der Ausländerinnen und Ausländer bis unter 25 Jahren,Insgesamt,%,11.4
