Year,Gebietseinheit,Kategorie,Units,Value
2013,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,93.6
2013,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,93.6
2014,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,93.7
2014,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,93.6
2015,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,94.8
2015,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,94.9
2016,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,93.2
2016,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,93.6
2017,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,93.2
2017,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,93.4
2018,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,92.8
2018,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,93
2019,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,92.7
2019,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,93
2020,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,92.2
2020,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,92.5
2021,Niedersachsen,Insgesamt 3 bis unter 6 Jahre,Prozent,91.6
2021,Deutschland,Insgesamt 3 bis unter 6 Jahre,Prozent,91.9
2009,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,6.1
2009,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,10.5
2010,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,8
2010,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,12.2
2011,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,9.236
2011,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,13.966
2012,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,12
2012,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,16
2013,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,13
2013,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,17
2014,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,15
2014,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,20
2015,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,15
2015,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,22
2016,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,15
2016,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,21
2017,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,15
2017,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,20
2018,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,15
2018,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,20
2019,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,16
2019,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,21
2020,Niedersachsen,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,17
2020,Deutschland,Kinder mit Migrationshintergrund bis unter 3 Jahre,Prozent,21
2009,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,75.6
2009,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,83.6
2010,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,79.3
2010,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,85.7
2011,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,82.67
2011,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,84.924
2012,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,79
2012,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,87
2013,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,74
2013,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,85
2014,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,72
2014,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,85
2015,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,77
2015,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,90
2016,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,78
2016,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,88
2017,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,71
2017,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,84
2018,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,73
2018,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,82
2019,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,78
2019,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,81
2020,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,75
2020,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,Prozent,81
2009,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,14.4
2009,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,24.8
2010,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,18.8
2010,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,27.7
2011,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,22.46
2011,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,30.058
2012,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,26
2012,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,33
2013,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,29
2013,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,35
2014,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,33
2014,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,38
2015,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,34
2015,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,38
2016,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,34
2016,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,38
2017,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,37
2017,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,40
2018,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,39
2018,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,60
2019,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,41
2019,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,42
2020,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,42
2020,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,Prozent,43
2009,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,93.2
2009,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,95.6
2010,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,92.9
2010,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,94.9
2011,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,94.669
2011,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,96.557
2012,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,98
2012,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,96
2013,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,102
2013,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,98
2014,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,103
2014,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,98
2015,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,102
2015,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,97
2016,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,100
2016,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,96
2017,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,104
2017,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,98
2018,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,103
2018,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,100
2019,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,100
2019,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,100
2020,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,101
2020,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,Prozent,99
