Year,Überwiegender Lebensunterhalt,Migrationsstatus,Geschlecht,Units,Value
2015,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Insgesamt,%,44.7
2015,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Männer,%,51.8
2015,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Männer,%,76.1
2015,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Männer,%,50.4
2015,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Frauen,%,41.0
2015,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Frauen,%,31.6
2015,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Frauen,%,39.1
2014,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Insgesamt,%,42.8
2014,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Männer,%,50.1
2014,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Männer,%,45.7
2014,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Männer,%,49.3
2014,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Frauen,%,37.7
2014,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Frauen,%,30.8
2014,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Frauen,%,36.5
2013,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Insgesamt,%,42.5
2013,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Männer,%,49.9
2013,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Männer,%,46.5
2013,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Männer,%,49.3
2013,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Frauen,%,36.9
2013,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Frauen,%,31.7
2013,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Frauen,%,36.0
2012,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Insgesamt,%,42.1
2012,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Männer,%,50.1
2012,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Männer,%,45.2
2012,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Männer,%,49.3
2012,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Frauen,%,36.2
2012,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Frauen,%,29.9
2012,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Frauen,%,35.2
2011,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Insgesamt,%,42.0
2011,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Männer,%,50.0
2011,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Männer,%,43.9
2011,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Männer,%,49.0
2011,eigene Erwerbs-/ Berufstätigkeit,ohne Migrationshintergrund,Frauen,%,36.2
2011,eigene Erwerbs-/ Berufstätigkeit,mit Migrationshintergrund,Frauen,%,30.7
2011,eigene Erwerbs-/ Berufstätigkeit,Insgesamt,Frauen,%,35.3
2019,Arbeitslosengeld I,Insgesamt,Insgesamt,%,0.7
2019,Arbeitslosengeld I,ohne Migrationshintergrund,Männer,%,0.8
2019,Arbeitslosengeld I,mit Migrationshintergrund,Männer,%,-1.1
2019,Arbeitslosengeld I,Insgesamt,Männer,%,0.9
2019,Arbeitslosengeld I,ohne Migrationshintergrund,Frauen,%,0.6
2019,Arbeitslosengeld I,mit Migrationshintergrund,Frauen,%,-0.5
2019,Arbeitslosengeld I,Insgesamt,Frauen,%,0.5
2018,Arbeitslosengeld I,Insgesamt,Insgesamt,%,0.7
2018,Arbeitslosengeld I,ohne Migrationshintergrund,Männer,%,0.8
2018,Arbeitslosengeld I,mit Migrationshintergrund,Männer,%,(1.1)
2018,Arbeitslosengeld I,Insgesamt,Männer,%,0.8
2018,Arbeitslosengeld I,ohne Migrationshintergrund,Frauen,%,0.5
2018,Arbeitslosengeld I,mit Migrationshintergrund,Frauen,%,(0.7)
2018,Arbeitslosengeld I,Insgesamt,Frauen,%,0.5
2017,Arbeitslosengeld I,Insgesamt,Insgesamt,%,0.7
2017,Arbeitslosengeld I,ohne Migrationshintergrund,Männer,%,0.9
2017,Arbeitslosengeld I,mit Migrationshintergrund,Männer,%,(0.9)
2017,Arbeitslosengeld I,Insgesamt,Männer,%,0.9
2017,Arbeitslosengeld I,ohne Migrationshintergrund,Frauen,%,0.5
2017,Arbeitslosengeld I,mit Migrationshintergrund,Frauen,%,/
2017,Arbeitslosengeld I,Insgesamt,Frauen,%,0.5
2016,Arbeitslosengeld I,Insgesamt,Insgesamt,%,0.8
2016,Arbeitslosengeld I,ohne Migrationshintergrund,Männer,%,1.0
2016,Arbeitslosengeld I,mit Migrationshintergrund,Männer,%,(1.0)
2016,Arbeitslosengeld I,Insgesamt,Männer,%,1.0
2016,Arbeitslosengeld I,ohne Migrationshintergrund,Frauen,%,0.6
2016,Arbeitslosengeld I,mit Migrationshintergrund,Frauen,%,/
2016,Arbeitslosengeld I,Insgesamt,Frauen,%,0.6
2015,Arbeitslosengeld I,Insgesamt,Insgesamt,%,0.7
2015,Arbeitslosengeld I,ohne Migrationshintergrund,Männer,%,0.9
2015,Arbeitslosengeld I,mit Migrationshintergrund,Männer,%,1.3
2015,Arbeitslosengeld I,Insgesamt,Männer,%,0.9
2015,Arbeitslosengeld I,ohne Migrationshintergrund,Frauen,%,0.5
2015,Arbeitslosengeld I,mit Migrationshintergrund,Frauen,%,/
2015,Arbeitslosengeld I,Insgesamt,Frauen,%,0.5
2014,Arbeitslosengeld I,Insgesamt,Insgesamt,%,0.8
2014,Arbeitslosengeld I,ohne Migrationshintergrund,Männer,%,1.0
2014,Arbeitslosengeld I,mit Migrationshintergrund,Männer,%,1.5
2014,Arbeitslosengeld I,Insgesamt,Männer,%,1.1
2014,Arbeitslosengeld I,ohne Migrationshintergrund,Frauen,%,0.6
2014,Arbeitslosengeld I,mit Migrationshintergrund,Frauen,%,/
2014,Arbeitslosengeld I,Insgesamt,Frauen,%,0.6
2013,Arbeitslosengeld I,Insgesamt,Insgesamt,%,0.8
2013,Arbeitslosengeld I,ohne Migrationshintergrund,Männer,%,0.9
2013,Arbeitslosengeld I,mit Migrationshintergrund,Männer,%,1.6
2013,Arbeitslosengeld I,Insgesamt,Männer,%,1.0
2013,Arbeitslosengeld I,ohne Migrationshintergrund,Frauen,%,0.6
2013,Arbeitslosengeld I,mit Migrationshintergrund,Frauen,%,/
2013,Arbeitslosengeld I,Insgesamt,Frauen,%,0.7
2012,Arbeitslosengeld I,Insgesamt,Insgesamt,%,0.8
2012,Arbeitslosengeld I,ohne Migrationshintergrund,Männer,%,0.8
2012,Arbeitslosengeld I,mit Migrationshintergrund,Männer,%,1.5
2012,Arbeitslosengeld I,Insgesamt,Männer,%,0.9
2012,Arbeitslosengeld I,ohne Migrationshintergrund,Frauen,%,0.6
2012,Arbeitslosengeld I,mit Migrationshintergrund,Frauen,%,/
2012,Arbeitslosengeld I,Insgesamt,Frauen,%,0.6
2011,Arbeitslosengeld I,Insgesamt,Insgesamt,%,0.8
2011,Arbeitslosengeld I,ohne Migrationshintergrund,Männer,%,0.9
2011,Arbeitslosengeld I,mit Migrationshintergrund,Männer,%,(1.3)
2011,Arbeitslosengeld I,Insgesamt,Männer,%,1.0
2011,Arbeitslosengeld I,ohne Migrationshintergrund,Frauen,%,0.7
2011,Arbeitslosengeld I,mit Migrationshintergrund,Frauen,%,/
2011,Arbeitslosengeld I,Insgesamt,Frauen,%,0.6
2019,Rente und Pension,Insgesamt,Insgesamt,%,21.7
2019,Rente und Pension,ohne Migrationshintergrund,Männer,%,24.4
2019,Rente und Pension,mit Migrationshintergrund,Männer,%,9
2019,Rente und Pension,Insgesamt,Männer,%,20.8
2019,Rente und Pension,ohne Migrationshintergrund,Frauen,%,26
2019,Rente und Pension,mit Migrationshintergrund,Frauen,%,10.2
2019,Rente und Pension,Insgesamt,Frauen,%,22.6
2018,Rente und Pension,Insgesamt,Insgesamt,%,21.7
2018,Rente und Pension,ohne Migrationshintergrund,Männer,%,24.8
2018,Rente und Pension,mit Migrationshintergrund,Männer,%,8.7
2018,Rente und Pension,Insgesamt,Männer,%,21.1
2018,Rente und Pension,ohne Migrationshintergrund,Frauen,%,25.7
2018,Rente und Pension,mit Migrationshintergrund,Frauen,%,9.8
2018,Rente und Pension,Insgesamt,Frauen,%,22.3
2017,Rente und Pension,Insgesamt,Insgesamt,%,21.3
2017,Rente und Pension,ohne Migrationshintergrund,Männer,%,24.0
2017,Rente und Pension,mit Migrationshintergrund,Männer,%,9.2
2017,Rente und Pension,Insgesamt,Männer,%,20.8
2017,Rente und Pension,ohne Migrationshintergrund,Frauen,%,24.8
2017,Rente und Pension,mit Migrationshintergrund,Frauen,%,10.1
2017,Rente und Pension,Insgesamt,Frauen,%,21.9
2016,Rente und Pension,Insgesamt,Insgesamt,%,21.9
2016,Rente und Pension,ohne Migrationshintergrund,Männer,%,24.2
2016,Rente und Pension,mit Migrationshintergrund,Männer,%,9.4
2016,Rente und Pension,Insgesamt,Männer,%,21.1
2016,Rente und Pension,ohne Migrationshintergrund,Frauen,%,25.6
2016,Rente und Pension,mit Migrationshintergrund,Frauen,%,10.2
2016,Rente und Pension,Insgesamt,Frauen,%,22.8
2015,Rente und Pension,Insgesamt,Insgesamt,%,21.3
2015,Rente und Pension,ohne Migrationshintergrund,Männer,%,24.0
2015,Rente und Pension,mit Migrationshintergrund,Männer,%,/
2015,Rente und Pension,Insgesamt,Männer,%,20.8
2015,Rente und Pension,ohne Migrationshintergrund,Frauen,%,24.8
2015,Rente und Pension,mit Migrationshintergrund,Frauen,%,10.1
2015,Rente und Pension,Insgesamt,Frauen,%,21.9
2014,Rente und Pension,Insgesamt,Insgesamt,%,22.0
2014,Rente und Pension,ohne Migrationshintergrund,Männer,%,24.3
2014,Rente und Pension,mit Migrationshintergrund,Männer,%,10.5
2014,Rente und Pension,Insgesamt,Männer,%,21.8
2014,Rente und Pension,ohne Migrationshintergrund,Frauen,%,24.6
2014,Rente und Pension,mit Migrationshintergrund,Frauen,%,10.1
2014,Rente und Pension,Insgesamt,Frauen,%,22.1
2013,Rente und Pension,Insgesamt,Insgesamt,%,22.1
2013,Rente und Pension,ohne Migrationshintergrund,Männer,%,24.6
2013,Rente und Pension,mit Migrationshintergrund,Männer,%,9.8
2013,Rente und Pension,Insgesamt,Männer,%,21.9
2013,Rente und Pension,ohne Migrationshintergrund,Frauen,%,24.9
2013,Rente und Pension,mit Migrationshintergrund,Frauen,%,9.6
2013,Rente und Pension,Insgesamt,Frauen,%,22.2
2012,Rente und Pension,Insgesamt,Insgesamt,%,22.0
2012,Rente und Pension,ohne Migrationshintergrund,Männer,%,24.0
2012,Rente und Pension,mit Migrationshintergrund,Männer,%,10.2
2012,Rente und Pension,Insgesamt,Männer,%,21.6
2012,Rente und Pension,ohne Migrationshintergrund,Frauen,%,24.6
2012,Rente und Pension,mit Migrationshintergrund,Frauen,%,10.0
2012,Rente und Pension,Insgesamt,Frauen,%,22.3
2011,Rente und Pension,Insgesamt,Insgesamt,%,22.1
2011,Rente und Pension,ohne Migrationshintergrund,Männer,%,23.8
2011,Rente und Pension,mit Migrationshintergrund,Männer,%,10.0
2011,Rente und Pension,Insgesamt,Männer,%,21.5
2011,Rente und Pension,ohne Migrationshintergrund,Frauen,%,25.0
2011,Rente und Pension,mit Migrationshintergrund,Frauen,%,9.9
2011,Rente und Pension,Insgesamt,Frauen,%,22.6
2019,Einkünfte von Angehörigen,Insgesamt,Insgesamt,%,25.4
2019,Einkünfte von Angehörigen,ohne Migrationshintergrund,Männer,%,18.1
2019,Einkünfte von Angehörigen,mit Migrationshintergrund,Männer,%,29
2019,Einkünfte von Angehörigen,Insgesamt,Männer,%,20.6
2019,Einkünfte von Angehörigen,ohne Migrationshintergrund,Frauen,%,26.5
2019,Einkünfte von Angehörigen,mit Migrationshintergrund,Frauen,%,42.9
2019,Einkünfte von Angehörigen,Insgesamt,Frauen,%,30
2018,Einkünfte von Angehörigen,Insgesamt,Insgesamt,%,25.9
2018,Einkünfte von Angehörigen,ohne Migrationshintergrund,Männer,%,18.2
2018,Einkünfte von Angehörigen,mit Migrationshintergrund,Männer,%,29.1
2018,Einkünfte von Angehörigen,Insgesamt,Männer,%,20.7
2018,Einkünfte von Angehörigen,ohne Migrationshintergrund,Frauen,%,27.7
2018,Einkünfte von Angehörigen,mit Migrationshintergrund,Frauen,%,43.7
2018,Einkünfte von Angehörigen,Insgesamt,Frauen,%,31.1
2017,Einkünfte von Angehörigen,Insgesamt,Insgesamt,%,26.3
2017,Einkünfte von Angehörigen,ohne Migrationshintergrund,Männer,%,18.2
2017,Einkünfte von Angehörigen,mit Migrationshintergrund,Männer,%,29.8
2017,Einkünfte von Angehörigen,Insgesamt,Männer,%,20.8
2017,Einkünfte von Angehörigen,ohne Migrationshintergrund,Frauen,%,28.4
2017,Einkünfte von Angehörigen,mit Migrationshintergrund,Frauen,%,44.8
2017,Einkünfte von Angehörigen,Insgesamt,Frauen,%,31.7
2016,Einkünfte von Angehörigen,Insgesamt,Insgesamt,%,26.8
2016,Einkünfte von Angehörigen,ohne Migrationshintergrund,Männer,%,18.6
2016,Einkünfte von Angehörigen,mit Migrationshintergrund,Männer,%,30.7
2016,Einkünfte von Angehörigen,Insgesamt,Männer,%,21.1
2016,Einkünfte von Angehörigen,ohne Migrationshintergrund,Frauen,%,29.5
2016,Einkünfte von Angehörigen,mit Migrationshintergrund,Frauen,%,45.0
2016,Einkünfte von Angehörigen,Insgesamt,Frauen,%,32.4
2015,Einkünfte von Angehörigen,Insgesamt,Insgesamt,%,26.3
2015,Einkünfte von Angehörigen,ohne Migrationshintergrund,Männer,%,18.2
2015,Einkünfte von Angehörigen,mit Migrationshintergrund,Männer,%,10.7
2015,Einkünfte von Angehörigen,Insgesamt,Männer,%,20.8
2015,Einkünfte von Angehörigen,ohne Migrationshintergrund,Frauen,%,28.4
2015,Einkünfte von Angehörigen,mit Migrationshintergrund,Frauen,%,44.8
2015,Einkünfte von Angehörigen,Insgesamt,Frauen,%,31.7
2014,Einkünfte von Angehörigen,Insgesamt,Insgesamt,%,28.2
2014,Einkünfte von Angehörigen,ohne Migrationshintergrund,Männer,%,19.3
2014,Einkünfte von Angehörigen,mit Migrationshintergrund,Männer,%,32.5
2014,Einkünfte von Angehörigen,Insgesamt,Männer,%,21.7
2014,Einkünfte von Angehörigen,ohne Migrationshintergrund,Frauen,%,31.8
2014,Einkünfte von Angehörigen,mit Migrationshintergrund,Frauen,%,48.1
2014,Einkünfte von Angehörigen,Insgesamt,Frauen,%,34.6
2013,Einkünfte von Angehörigen,Insgesamt,Insgesamt,%,28.8
2013,Einkünfte von Angehörigen,ohne Migrationshintergrund,Männer,%,19.6
2013,Einkünfte von Angehörigen,mit Migrationshintergrund,Männer,%,31.5
2013,Einkünfte von Angehörigen,Insgesamt,Männer,%,21.8
2013,Einkünfte von Angehörigen,ohne Migrationshintergrund,Frauen,%,32.8
2013,Einkünfte von Angehörigen,mit Migrationshintergrund,Frauen,%,47.9
2013,Einkünfte von Angehörigen,Insgesamt,Frauen,%,35.5
2012,Einkünfte von Angehörigen,Insgesamt,Insgesamt,%,29.0
2012,Einkünfte von Angehörigen,ohne Migrationshintergrund,Männer,%,19.7
2012,Einkünfte von Angehörigen,mit Migrationshintergrund,Männer,%,32.5
2012,Einkünfte von Angehörigen,Insgesamt,Männer,%,21.9
2012,Einkünfte von Angehörigen,ohne Migrationshintergrund,Frauen,%,33.2
2012,Einkünfte von Angehörigen,mit Migrationshintergrund,Frauen,%,48.8
2012,Einkünfte von Angehörigen,Insgesamt,Frauen,%,35.8
2011,Einkünfte von Angehörigen,Insgesamt,Insgesamt,%,28.5
2011,Einkünfte von Angehörigen,ohne Migrationshintergrund,Männer,%,19.7
2011,Einkünfte von Angehörigen,mit Migrationshintergrund,Männer,%,32.9
2011,Einkünfte von Angehörigen,Insgesamt,Männer,%,21.9
2011,Einkünfte von Angehörigen,ohne Migrationshintergrund,Frauen,%,32.6
2011,Einkünfte von Angehörigen,mit Migrationshintergrund,Frauen,%,46.6
2011,Einkünfte von Angehörigen,Insgesamt,Frauen,%,34.9
2019,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Insgesamt,%,0.7
2019,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Männer,%,1
2019,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Männer,%,-0.4
2019,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Männer,%,0.8
2019,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Frauen,%,0.7
2019,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Frauen,%,-0.3
2019,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Frauen,%,0.6
2018,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Insgesamt,%,0.7
2018,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Männer,%,1.0
2018,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Männer,%,(0.4)
2018,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Männer,%,0.9
2018,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Frauen,%,0.7
2018,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Frauen,%,(0.3)
2018,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Frauen,%,0.6
2017,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Insgesamt,%,0.7
2017,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Männer,%,1.0
2017,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Männer,%,/
2017,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Männer,%,0.8
2017,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Frauen,%,0.7
2017,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Frauen,%,/
2017,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Frauen,%,0.6
2016,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Insgesamt,%,0.7
2016,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Männer,%,1.0
2016,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Männer,%,/
2016,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Männer,%,0.8
2016,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Frauen,%,0.7
2016,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Frauen,%,/
2016,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Frauen,%,0.6
2015,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Insgesamt,%,0.7
2015,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Männer,%,1.0
2015,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Männer,%,/
2015,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Männer,%,0.8
2015,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Frauen,%,0.7
2015,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Frauen,%,/
2015,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Frauen,%,0.6
2014,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Insgesamt,%,0.7
2014,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Männer,%,0.9
2014,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Männer,%,/
2014,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Männer,%,0.8
2014,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Frauen,%,0.8
2014,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Frauen,%,/
2014,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Frauen,%,0.7
2013,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Insgesamt,%,0.7
2013,eigenes Vermögen, Vermietung, Zinsen, Altenteil,ohne Migrationshintergrund,Männer,%,0.9
2013,eigenes Vermögen, Vermietung, Zinsen, Altenteil,mit Migrationshintergrund,Männer,%,/
2013,eigenes Vermögen, Vermietung, Zinsen, Altenteil,Insgesamt,Männer,%,0.8
