AGS,Year,Nationalität,Gebietseinheit,GeoCode,Value
356,2008,Ausländerinnen und Ausländer,"Osterholz",K03356,22
357,2008,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,23
358,2008,Ausländerinnen und Ausländer,"Heidekreis",K03358,22
359,2008,Ausländerinnen und Ausländer,"Stade",K03359,38
360,2008,Ausländerinnen und Ausländer,"Uelzen",K03360,21
361,2008,Ausländerinnen und Ausländer,"Verden",K03361,33
3,2008,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,322
401,2008,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,25
402,2008,Ausländerinnen und Ausländer,"Emden  Stadt",K03402,17
403,2008,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,80
404,2008,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,89
405,2008,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,9
451,2008,Ausländerinnen und Ausländer,"Ammerland",K03451,22
452,2008,Ausländerinnen und Ausländer,"Aurich",K03452,33
453,2008,Ausländerinnen und Ausländer,"Cloppenburg",K03453,39
454,2008,Ausländerinnen und Ausländer,"Emsland",K03454,108
455,2008,Ausländerinnen und Ausländer,"Friesland",K03455,15
456,2008,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,100
457,2008,Ausländerinnen und Ausländer,"Leer",K03457,36
458,2008,Ausländerinnen und Ausländer,"Oldenburg",K03458,28
459,2008,Ausländerinnen und Ausländer,"Osnabrück",K03459,83
460,2008,Ausländerinnen und Ausländer,"Vechta",K03460,88
461,2008,Ausländerinnen und Ausländer,"Wesermarsch",K03461,26
462,2008,Ausländerinnen und Ausländer,"Wittmund",K03462,17
4,2008,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,815
0,2008,Ausländerinnen und Ausländer,"Niedersachsen",K030,2318
101,2009,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,63
102,2009,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,20
103,2009,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,28
151,2009,Ausländerinnen und Ausländer,"Gifhorn",K03151,12
153,2009,Ausländerinnen und Ausländer,"Goslar",K03153,43
154,2009,Ausländerinnen und Ausländer,"Helmstedt",K03154,14
155,2009,Ausländerinnen und Ausländer,"Northeim",K03155,35
157,2009,Ausländerinnen und Ausländer,"Peine",K03157,23
158,2009,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,25
159,2009,Ausländerinnen und Ausländer,"Göttingen",K03159,115
1,2009,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,378
241,2009,Ausländerinnen und Ausländer,"Hannover  Region",K03241,394
241001,2009,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,246
241999,2009,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,148
251,2009,Ausländerinnen und Ausländer,"Diepholz",K03251,61
252,2009,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,39
254,2009,Ausländerinnen und Ausländer,"Hildesheim",K03254,82
255,2009,Ausländerinnen und Ausländer,"Holzminden",K03255,14
256,2009,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,19
257,2009,Ausländerinnen und Ausländer,"Schaumburg",K03257,6
2,2009,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,615
351,2009,Ausländerinnen und Ausländer,"Celle",K03351,32
352,2009,Ausländerinnen und Ausländer,"Cuxhaven",K03352,47
353,2009,Ausländerinnen und Ausländer,"Harburg",K03353,58
354,2009,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,10
355,2009,Ausländerinnen und Ausländer,"Lüneburg",K03355,29
356,2009,Ausländerinnen und Ausländer,"Osterholz",K03356,22
357,2009,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,11
358,2009,Ausländerinnen und Ausländer,"Heidekreis",K03358,22
359,2009,Ausländerinnen und Ausländer,"Stade",K03359,48
360,2009,Ausländerinnen und Ausländer,"Uelzen",K03360,21
361,2009,Ausländerinnen und Ausländer,"Verden",K03361,19
3,2009,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,319
401,2009,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,24
402,2009,Ausländerinnen und Ausländer,"Emden  Stadt",K03402,17
403,2009,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,101
404,2009,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,49
405,2009,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,14
451,2009,Ausländerinnen und Ausländer,"Ammerland",K03451,19
452,2009,Ausländerinnen und Ausländer,"Aurich",K03452,30
453,2009,Ausländerinnen und Ausländer,"Cloppenburg",K03453,24
454,2009,Ausländerinnen und Ausländer,"Emsland",K03454,85
455,2009,Ausländerinnen und Ausländer,"Friesland",K03455,18
456,2009,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,92
457,2009,Ausländerinnen und Ausländer,"Leer",K03457,36
458,2009,Ausländerinnen und Ausländer,"Oldenburg",K03458,24
459,2009,Ausländerinnen und Ausländer,"Osnabrück",K03459,69
460,2009,Ausländerinnen und Ausländer,"Vechta",K03460,63
461,2009,Ausländerinnen und Ausländer,"Wesermarsch",K03461,19
462,2009,Ausländerinnen und Ausländer,"Wittmund",K03462,9
4,2009,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,693
0,2009,Ausländerinnen und Ausländer,"Niedersachsen",K030,2005
101,2010,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,87
102,2010,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,27
103,2010,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,45
151,2010,Ausländerinnen und Ausländer,"Gifhorn",K03151,8
153,2010,Ausländerinnen und Ausländer,"Goslar",K03153,32
154,2010,Ausländerinnen und Ausländer,"Helmstedt",K03154,8
155,2010,Ausländerinnen und Ausländer,"Northeim",K03155,35
157,2010,Ausländerinnen und Ausländer,"Peine",K03157,26
158,2010,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,23
159,2010,Ausländerinnen und Ausländer,"Göttingen",K03159,127
1,2010,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,418
241,2010,Ausländerinnen und Ausländer,"Hannover  Region",K03241,397
241001,2010,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,258
241999,2010,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,139
251,2010,Ausländerinnen und Ausländer,"Diepholz",K03251,54
252,2010,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,39
254,2010,Ausländerinnen und Ausländer,"Hildesheim",K03254,91
255,2010,Ausländerinnen und Ausländer,"Holzminden",K03255,14
256,2010,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,15
257,2010,Ausländerinnen und Ausländer,"Schaumburg",K03257,12
2,2010,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,622
351,2010,Ausländerinnen und Ausländer,"Celle",K03351,33
352,2010,Ausländerinnen und Ausländer,"Cuxhaven",K03352,47
353,2010,Ausländerinnen und Ausländer,"Harburg",K03353,60
354,2010,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,4
355,2010,Ausländerinnen und Ausländer,"Lüneburg",K03355,21
356,2010,Ausländerinnen und Ausländer,"Osterholz",K03356,24
357,2010,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,10
358,2010,Ausländerinnen und Ausländer,"Heidekreis",K03358,18
359,2010,Ausländerinnen und Ausländer,"Stade",K03359,29
360,2010,Ausländerinnen und Ausländer,"Uelzen",K03360,21
361,2010,Ausländerinnen und Ausländer,"Verden",K03361,22
3,2010,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,289
401,2010,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,29
402,2010,Ausländerinnen und Ausländer,"Emden  Stadt",K03402,12
403,2010,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,113
404,2010,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,93
405,2010,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,21
451,2010,Ausländerinnen und Ausländer,"Ammerland",K03451,12
452,2010,Ausländerinnen und Ausländer,"Aurich",K03452,9
453,2010,Ausländerinnen und Ausländer,"Cloppenburg",K03453,23
454,2010,Ausländerinnen und Ausländer,"Emsland",K03454,65
455,2010,Ausländerinnen und Ausländer,"Friesland",K03455,12
456,2010,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,87
457,2010,Ausländerinnen und Ausländer,"Leer",K03457,46
458,2010,Ausländerinnen und Ausländer,"Oldenburg",K03458,25
459,2010,Ausländerinnen und Ausländer,"Osnabrück",K03459,75
460,2010,Ausländerinnen und Ausländer,"Vechta",K03460,62
461,2010,Ausländerinnen und Ausländer,"Wesermarsch",K03461,17
462,2010,Ausländerinnen und Ausländer,"Wittmund",K03462,9
4,2010,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,710
0,2010,Ausländerinnen und Ausländer,"Niedersachsen",K030,2039
101,2011,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,84
102,2011,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,28
103,2011,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,53
151,2011,Ausländerinnen und Ausländer,"Gifhorn",K03151,4
153,2011,Ausländerinnen und Ausländer,"Goslar",K03153,39
154,2011,Ausländerinnen und Ausländer,"Helmstedt",K03154,10
155,2011,Ausländerinnen und Ausländer,"Northeim",K03155,36
157,2011,Ausländerinnen und Ausländer,"Peine",K03157,30
158,2011,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,13
159,2011,Ausländerinnen und Ausländer,"Göttingen",K03159,126
1,2011,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,423
241,2011,Ausländerinnen und Ausländer,"Hannover  Region",K03241,415
241001,2011,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,284
241999,2011,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,131
251,2011,Ausländerinnen und Ausländer,"Diepholz",K03251,45
252,2011,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,43
254,2011,Ausländerinnen und Ausländer,"Hildesheim",K03254,90
255,2011,Ausländerinnen und Ausländer,"Holzminden",K03255,14
256,2011,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,12
257,2011,Ausländerinnen und Ausländer,"Schaumburg",K03257,6
2,2011,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,625
351,2011,Ausländerinnen und Ausländer,"Celle",K03351,40
352,2011,Ausländerinnen und Ausländer,"Cuxhaven",K03352,45
353,2011,Ausländerinnen und Ausländer,"Harburg",K03353,44
354,2011,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,5
355,2011,Ausländerinnen und Ausländer,"Lüneburg",K03355,32
356,2011,Ausländerinnen und Ausländer,"Osterholz",K03356,14
357,2011,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,10
358,2011,Ausländerinnen und Ausländer,"Heidekreis",K03358,18
359,2011,Ausländerinnen und Ausländer,"Stade",K03359,26
360,2011,Ausländerinnen und Ausländer,"Uelzen",K03360,17
361,2011,Ausländerinnen und Ausländer,"Verden",K03361,20
3,2011,Ausländerinnen und Ausländer,"Statistische Region Lüneburg",K033,271
401,2011,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,20
402,2011,Ausländerinnen und Ausländer,"Emden  Stadt",K03402,13
403,2011,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,84
404,2011,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,82
405,2011,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,24
451,2011,Ausländerinnen und Ausländer,"Ammerland",K03451,27
452,2011,Ausländerinnen und Ausländer,"Aurich",K03452,14
453,2011,Ausländerinnen und Ausländer,"Cloppenburg",K03453,17
454,2011,Ausländerinnen und Ausländer,"Emsland",K03454,84
455,2011,Ausländerinnen und Ausländer,"Friesland",K03455,15
456,2011,Ausländerinnen und Ausländer,"Grafschaft Bentheim",K03456,56
457,2011,Ausländerinnen und Ausländer,"Leer",K03457,41
458,2011,Ausländerinnen und Ausländer,"Oldenburg",K03458,21
459,2011,Ausländerinnen und Ausländer,"Osnabrück",K03459,65
460,2011,Ausländerinnen und Ausländer,"Vechta",K03460,53
461,2011,Ausländerinnen und Ausländer,"Wesermarsch",K03461,19
462,2011,Ausländerinnen und Ausländer,"Wittmund",K03462,12
4,2011,Ausländerinnen und Ausländer,"Statistische Region Weser-Ems",K034,647
0,2011,Ausländerinnen und Ausländer,"Niedersachsen",K030,1966
101,2012,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,110
102,2012,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,22
103,2012,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,60
151,2012,Ausländerinnen und Ausländer,"Gifhorn",K03151,35
153,2012,Ausländerinnen und Ausländer,"Goslar",K03153,41
154,2012,Ausländerinnen und Ausländer,"Helmstedt",K03154,11
155,2012,Ausländerinnen und Ausländer,"Northeim",K03155,32
157,2012,Ausländerinnen und Ausländer,"Peine",K03157,38
158,2012,Ausländerinnen und Ausländer,"Wolfenbüttel",K03158,19
159,2012,Ausländerinnen und Ausländer,"Göttingen",K03159,150
1,2012,Ausländerinnen und Ausländer,"Statistische Region Braunschweig",K031,518
241,2012,Ausländerinnen und Ausländer,"Hannover  Region",K03241,466
241001,2012,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,335
241999,2012,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,131
251,2012,Ausländerinnen und Ausländer,"Diepholz",K03251,58
252,2012,Ausländerinnen und Ausländer,"Hameln-Pyrmont",K03252,64
254,2012,Ausländerinnen und Ausländer,"Hildesheim",K03254,93
255,2012,Ausländerinnen und Ausländer,"Holzminden",K03255,11
256,2012,Ausländerinnen und Ausländer,"Nienburg (Weser)",K03256,24
257,2012,Ausländerinnen und Ausländer,"Schaumburg",K03257,27
2,2012,Ausländerinnen und Ausländer,"Statistische Region Hannover",K032,743
351,2012,Ausländerinnen und Ausländer,"Celle",K03351,30
352,2012,Ausländerinnen und Ausländer,"Cuxhaven",K03352,41
353,2012,Ausländerinnen und Ausländer,"Harburg",K03353,42
354,2012,Ausländerinnen und Ausländer,"Lüchow-Dannenberg",K03354,9
355,2012,Ausländerinnen und Ausländer,"Lüneburg",K03355,30
356,2012,Ausländerinnen und Ausländer,"Osterholz",K03356,14
357,2012,Ausländerinnen und Ausländer,"Rotenburg (Wümme)",K03357,27
