AGS,Year,Gebietseinheit,Aufenthaltsdauer,Geschlecht,GeoCode,Value
157,2024,"Peine",1 - 4,Insgesamt,K03157,4645
158,2024,"Wolfenbüttel",1 - 4,Insgesamt,K03158,3660
159,2024,"Göttingen",1 - 4,Insgesamt,K03159,12775
1,2024,"Statistische Region Braunschweig",1 - 4,Insgesamt,K031,61050
241,2024,"Region Hannover",1 - 4,Insgesamt,K03241,48775
241001,2024,"dav. Hannover, Lhst.",1 - 4,Insgesamt,K03241001,27595
241999,2024,"dav. Hannover, Umland",1 - 4,Insgesamt,K03241999,21180
251,2024,"Diepholz",1 - 4,Insgesamt,K03251,6910
252,2024,"Hameln-Pyrmont",1 - 4,Insgesamt,K03252,5540
254,2024,"Hildesheim",1 - 4,Insgesamt,K03254,9605
255,2024,"Holzminden",1 - 4,Insgesamt,K03255,2260
256,2024,"Nienburg (Weser)",1 - 4,Insgesamt,K03256,4000
257,2024,"Schaumburg",1 - 4,Insgesamt,K03257,5170
2,2024,"Statistische Region Hannover",1 - 4,Insgesamt,K032,82260
351,2024,"Celle",1 - 4,Insgesamt,K03351,5170
352,2024,"Cuxhaven",1 - 4,Insgesamt,K03352,5050
353,2024,"Harburg",1 - 4,Insgesamt,K03353,8830
354,2024,"Lüchow-Dannenberg",1 - 4,Insgesamt,K03354,1395
355,2024,"Lüneburg",1 - 4,Insgesamt,K03355,5755
356,2024,"Osterholz",1 - 4,Insgesamt,K03356,2970
357,2024,"Rotenburg (Wümme)",1 - 4,Insgesamt,K03357,5295
358,2024,"Heidekreis",1 - 4,Insgesamt,K03358,4540
359,2024,"Stade",1 - 4,Insgesamt,K03359,7740
360,2024,"Uelzen",1 - 4,Insgesamt,K03360,2755
361,2024,"Verden",1 - 4,Insgesamt,K03361,4085
3,2024,"Statistische Region Lüneburg",1 - 4,Insgesamt,K033,53585
401,2024,"Delmenhorst, Stadt",1 - 4,Insgesamt,K03401,3775
402,2024,"Emden, Stadt",1 - 4,Insgesamt,K03402,2360
403,2024,"Oldenburg (Oldb), Stadt",1 - 4,Insgesamt,K03403,6675
404,2024,"Osnabrück, Stadt",1 - 4,Insgesamt,K03404,8040
405,2024,"Wilhelmshaven, Stadt",1 - 4,Insgesamt,K03405,3430
451,2024,"Ammerland",1 - 4,Insgesamt,K03451,3660
452,2024,"Aurich",1 - 4,Insgesamt,K03452,5490
453,2024,"Cloppenburg",1 - 4,Insgesamt,K03453,7535
454,2024,"Emsland",1 - 4,Insgesamt,K03454,14480
455,2024,"Friesland",1 - 4,Insgesamt,K03455,2430
456,2024,"Grafschaft Bentheim",1 - 4,Insgesamt,K03456,5875
457,2024,"Leer",1 - 4,Insgesamt,K03457,5275
458,2024,"Oldenburg",1 - 4,Insgesamt,K03458,4180
459,2024,"Osnabrück",1 - 4,Insgesamt,K03459,11175
460,2024,"Vechta",1 - 4,Insgesamt,K03460,5905
461,2024,"Wesermarsch",1 - 4,Insgesamt,K03461,2925
462,2024,"Wittmund",1 - 4,Insgesamt,K03462,1780
4,2024,"Statistische Region Weser-Ems",1 - 4,Insgesamt,K034,94985
0,2024,"Niedersachsen",1 - 4,Insgesamt,,291880
101,2024,"Braunschweig, Stadt",4 - 6,Insgesamt,K03101,2920
102,2024,"Salzgitter, Stadt",4 - 6,Insgesamt,K03102,2025
103,2024,"Wolfsburg, Stadt",4 - 6,Insgesamt,K03103,2280
151,2024,"Gifhorn",4 - 6,Insgesamt,K03151,1380
153,2024,"Goslar",4 - 6,Insgesamt,K03153,1155
154,2024,"Helmstedt",4 - 6,Insgesamt,K03154,645
155,2024,"Northeim",4 - 6,Insgesamt,K03155,965
157,2024,"Peine",4 - 6,Insgesamt,K03157,1150
158,2024,"Wolfenbüttel",4 - 6,Insgesamt,K03158,690
159,2024,"Göttingen",4 - 6,Insgesamt,K03159,3685
1,2024,"Statistische Region Braunschweig",4 - 6,Insgesamt,K031,16890
241,2024,"Region Hannover",4 - 6,Insgesamt,K03241,16680
241001,2024,"dav. Hannover, Lhst.",4 - 6,Insgesamt,K03241001,10320
241999,2024,"dav. Hannover, Umland",4 - 6,Insgesamt,K03241999,6360
251,2024,"Diepholz",4 - 6,Insgesamt,K03251,1980
252,2024,"Hameln-Pyrmont",4 - 6,Insgesamt,K03252,1445
254,2024,"Hildesheim",4 - 6,Insgesamt,K03254,2475
255,2024,"Holzminden",4 - 6,Insgesamt,K03255,450
256,2024,"Nienburg (Weser)",4 - 6,Insgesamt,K03256,1165
257,2024,"Schaumburg",4 - 6,Insgesamt,K03257,1240
2,2024,"Statistische Region Hannover",4 - 6,Insgesamt,K032,25440
351,2024,"Celle",4 - 6,Insgesamt,K03351,1285
352,2024,"Cuxhaven",4 - 6,Insgesamt,K03352,1055
353,2024,"Harburg",4 - 6,Insgesamt,K03353,2645
354,2024,"Lüchow-Dannenberg",4 - 6,Insgesamt,K03354,300
355,2024,"Lüneburg",4 - 6,Insgesamt,K03355,1155
356,2024,"Osterholz",4 - 6,Insgesamt,K03356,635
357,2024,"Rotenburg (Wümme)",4 - 6,Insgesamt,K03357,1400
358,2024,"Heidekreis",4 - 6,Insgesamt,K03358,1220
359,2024,"Stade",4 - 6,Insgesamt,K03359,2200
360,2024,"Uelzen",4 - 6,Insgesamt,K03360,665
361,2024,"Verden",4 - 6,Insgesamt,K03361,1090
3,2024,"Statistische Region Lüneburg",4 - 6,Insgesamt,K033,13650
401,2024,"Delmenhorst, Stadt",4 - 6,Insgesamt,K03401,1355
402,2024,"Emden, Stadt",4 - 6,Insgesamt,K03402,670
403,2024,"Oldenburg (Oldb), Stadt",4 - 6,Insgesamt,K03403,1945
404,2024,"Osnabrück, Stadt",4 - 6,Insgesamt,K03404,2570
405,2024,"Wilhelmshaven, Stadt",4 - 6,Insgesamt,K03405,1060
451,2024,"Ammerland",4 - 6,Insgesamt,K03451,920
452,2024,"Aurich",4 - 6,Insgesamt,K03452,1025
453,2024,"Cloppenburg",4 - 6,Insgesamt,K03453,2900
454,2024,"Emsland",4 - 6,Insgesamt,K03454,5195
455,2024,"Friesland",4 - 6,Insgesamt,K03455,455
456,2024,"Grafschaft Bentheim",4 - 6,Insgesamt,K03456,1855
457,2024,"Leer",4 - 6,Insgesamt,K03457,1780
458,2024,"Oldenburg",4 - 6,Insgesamt,K03458,1485
459,2024,"Osnabrück",4 - 6,Insgesamt,K03459,3740
460,2024,"Vechta",4 - 6,Insgesamt,K03460,2265
461,2024,"Wesermarsch",4 - 6,Insgesamt,K03461,740
462,2024,"Wittmund",4 - 6,Insgesamt,K03462,390
4,2024,"Statistische Region Weser-Ems",4 - 6,Insgesamt,K034,30355
0,2024,"Niedersachsen",4 - 6,Insgesamt,,86340
101,2024,"Braunschweig, Stadt",6 - 8,Insgesamt,K03101,2990
102,2024,"Salzgitter, Stadt",6 - 8,Insgesamt,K03102,2755
103,2024,"Wolfsburg, Stadt",6 - 8,Insgesamt,K03103,2165
151,2024,"Gifhorn",6 - 8,Insgesamt,K03151,1580
153,2024,"Goslar",6 - 8,Insgesamt,K03153,1330
154,2024,"Helmstedt",6 - 8,Insgesamt,K03154,700
155,2024,"Northeim",6 - 8,Insgesamt,K03155,1090
157,2024,"Peine",6 - 8,Insgesamt,K03157,1325
158,2024,"Wolfenbüttel",6 - 8,Insgesamt,K03158,810
159,2024,"Göttingen",6 - 8,Insgesamt,K03159,3505
1,2024,"Statistische Region Braunschweig",6 - 8,Insgesamt,K031,18250
241,2024,"Region Hannover",6 - 8,Insgesamt,K03241,19690
241001,2024,"dav. Hannover, Lhst.",6 - 8,Insgesamt,K03241001,12135
241999,2024,"dav. Hannover, Umland",6 - 8,Insgesamt,K03241999,7555
251,2024,"Diepholz",6 - 8,Insgesamt,K03251,2395
252,2024,"Hameln-Pyrmont",6 - 8,Insgesamt,K03252,1890
254,2024,"Hildesheim",6 - 8,Insgesamt,K03254,2810
255,2024,"Holzminden",6 - 8,Insgesamt,K03255,560
256,2024,"Nienburg (Weser)",6 - 8,Insgesamt,K03256,1210
257,2024,"Schaumburg",6 - 8,Insgesamt,K03257,1685
2,2024,"Statistische Region Hannover",6 - 8,Insgesamt,K032,30240
351,2024,"Celle",6 - 8,Insgesamt,K03351,1590
352,2024,"Cuxhaven",6 - 8,Insgesamt,K03352,1170
353,2024,"Harburg",6 - 8,Insgesamt,K03353,2390
354,2024,"Lüchow-Dannenberg",6 - 8,Insgesamt,K03354,295
355,2024,"Lüneburg",6 - 8,Insgesamt,K03355,1480
356,2024,"Osterholz",6 - 8,Insgesamt,K03356,590
357,2024,"Rotenburg (Wümme)",6 - 8,Insgesamt,K03357,1340
358,2024,"Heidekreis",6 - 8,Insgesamt,K03358,1430
359,2024,"Stade",6 - 8,Insgesamt,K03359,2620
360,2024,"Uelzen",6 - 8,Insgesamt,K03360,710
361,2024,"Verden",6 - 8,Insgesamt,K03361,1230
3,2024,"Statistische Region Lüneburg",6 - 8,Insgesamt,K033,14840
401,2024,"Delmenhorst, Stadt",6 - 8,Insgesamt,K03401,1725
402,2024,"Emden, Stadt",6 - 8,Insgesamt,K03402,710
403,2024,"Oldenburg (Oldb), Stadt",6 - 8,Insgesamt,K03403,2545
404,2024,"Osnabrück, Stadt",6 - 8,Insgesamt,K03404,2840
405,2024,"Wilhelmshaven, Stadt",6 - 8,Insgesamt,K03405,1165
451,2024,"Ammerland",6 - 8,Insgesamt,K03451,1025
452,2024,"Aurich",6 - 8,Insgesamt,K03452,1195
453,2024,"Cloppenburg",6 - 8,Insgesamt,K03453,2925
454,2024,"Emsland",6 - 8,Insgesamt,K03454,5470
455,2024,"Friesland",6 - 8,Insgesamt,K03455,400
456,2024,"Grafschaft Bentheim",6 - 8,Insgesamt,K03456,2185
457,2024,"Leer",6 - 8,Insgesamt,K03457,1695
458,2024,"Oldenburg",6 - 8,Insgesamt,K03458,1580
459,2024,"Osnabrück",6 - 8,Insgesamt,K03459,4135
460,2024,"Vechta",6 - 8,Insgesamt,K03460,2415
461,2024,"Wesermarsch",6 - 8,Insgesamt,K03461,815
462,2024,"Wittmund",6 - 8,Insgesamt,K03462,325
4,2024,"Statistische Region Weser-Ems",6 - 8,Insgesamt,K034,33145
0,2024,"Niedersachsen",6 - 8,Insgesamt,,96480
101,2024,"Braunschweig, Stadt",8 - 10,Insgesamt,K03101,3850
102,2024,"Salzgitter, Stadt",8 - 10,Insgesamt,K03102,4950
103,2024,"Wolfsburg, Stadt",8 - 10,Insgesamt,K03103,2975
151,2024,"Gifhorn",8 - 10,Insgesamt,K03151,2010
153,2024,"Goslar",8 - 10,Insgesamt,K03153,2085
154,2024,"Helmstedt",8 - 10,Insgesamt,K03154,1250
155,2024,"Northeim",8 - 10,Insgesamt,K03155,1750
157,2024,"Peine",8 - 10,Insgesamt,K03157,2320
158,2024,"Wolfenbüttel",8 - 10,Insgesamt,K03158,1600
159,2024,"Göttingen",8 - 10,Insgesamt,K03159,4825
1,2024,"Statistische Region Braunschweig",8 - 10,Insgesamt,K031,27615
241,2024,"Region Hannover",8 - 10,Insgesamt,K03241,31665
241001,2024,"dav. Hannover, Lhst.",8 - 10,Insgesamt,K03241001,17650
241999,2024,"dav. Hannover, Umland",8 - 10,Insgesamt,K03241999,14015
251,2024,"Diepholz",8 - 10,Insgesamt,K03251,3825
252,2024,"Hameln-Pyrmont",8 - 10,Insgesamt,K03252,3675
254,2024,"Hildesheim",8 - 10,Insgesamt,K03254,4650
255,2024,"Holzminden",8 - 10,Insgesamt,K03255,830
256,2024,"Nienburg (Weser)",8 - 10,Insgesamt,K03256,2640
257,2024,"Schaumburg",8 - 10,Insgesamt,K03257,2515
2,2024,"Statistische Region Hannover",8 - 10,Insgesamt,K032,49800
351,2024,"Celle",8 - 10,Insgesamt,K03351,3190
352,2024,"Cuxhaven",8 - 10,Insgesamt,K03352,1940
353,2024,"Harburg",8 - 10,Insgesamt,K03353,3380
354,2024,"Lüchow-Dannenberg",8 - 10,Insgesamt,K03354,435
355,2024,"Lüneburg",8 - 10,Insgesamt,K03355,2665
356,2024,"Osterholz",8 - 10,Insgesamt,K03356,1245
357,2024,"Rotenburg (Wümme)",8 - 10,Insgesamt,K03357,2040
358,2024,"Heidekreis",8 - 10,Insgesamt,K03358,2015
359,2024,"Stade",8 - 10,Insgesamt,K03359,4015
360,2024,"Uelzen",8 - 10,Insgesamt,K03360,1095
361,2024,"Verden",8 - 10,Insgesamt,K03361,2320
3,2024,"Statistische Region Lüneburg",8 - 10,Insgesamt,K033,24345
401,2024,"Delmenhorst, Stadt",8 - 10,Insgesamt,K03401,2845
402,2024,"Emden, Stadt",8 - 10,Insgesamt,K03402,1235
403,2024,"Oldenburg (Oldb), Stadt",8 - 10,Insgesamt,K03403,4160
404,2024,"Osnabrück, Stadt",8 - 10,Insgesamt,K03404,4315
405,2024,"Wilhelmshaven, Stadt",8 - 10,Insgesamt,K03405,2660
451,2024,"Ammerland",8 - 10,Insgesamt,K03451,1935
452,2024,"Aurich",8 - 10,Insgesamt,K03452,1990
453,2024,"Cloppenburg",8 - 10,Insgesamt,K03453,3890
454,2024,"Emsland",8 - 10,Insgesamt,K03454,6775
455,2024,"Friesland",8 - 10,Insgesamt,K03455,1130
456,2024,"Grafschaft Bentheim",8 - 10,Insgesamt,K03456,2335
457,2024,"Leer",8 - 10,Insgesamt,K03457,2880
458,2024,"Oldenburg",8 - 10,Insgesamt,K03458,2205
459,2024,"Osnabrück",8 - 10,Insgesamt,K03459,4655
460,2024,"Vechta",8 - 10,Insgesamt,K03460,3515
461,2024,"Wesermarsch",8 - 10,Insgesamt,K03461,1515
462,2024,"Wittmund",8 - 10,Insgesamt,K03462,485
4,2024,"Statistische Region Weser-Ems",8 - 10,Insgesamt,K034,48535
0,2024,"Niedersachsen",8 - 10,Insgesamt,,150295
101,2024,"Braunschweig, Stadt",10 und mehr,Insgesamt,K03101,14145
102,2024,"Salzgitter, Stadt",10 und mehr,Insgesamt,K03102,8815
103,2024,"Wolfsburg, Stadt",10 und mehr,Insgesamt,K03103,10240
151,2024,"Gifhorn",10 und mehr,Insgesamt,K03151,6835
153,2024,"Goslar",10 und mehr,Insgesamt,K03153,4980
154,2024,"Helmstedt",10 und mehr,Insgesamt,K03154,3350
155,2024,"Northeim",10 und mehr,Insgesamt,K03155,4435
157,2024,"Peine",10 und mehr,Insgesamt,K03157,5690
158,2024,"Wolfenbüttel",10 und mehr,Insgesamt,K03158,3665
159,2024,"Göttingen",10 und mehr,Insgesamt,K03159,13630
1,2024,"Statistische Region Braunschweig",10 und mehr,Insgesamt,K031,75785
241,2024,"Region Hannover",10 und mehr,Insgesamt,K03241,101450
241001,2024,"dav. Hannover, Lhst.",10 und mehr,Insgesamt,K03241001,62895
241999,2024,"dav. Hannover, Umland",10 und mehr,Insgesamt,K03241999,38555
251,2024,"Diepholz",10 und mehr,Insgesamt,K03251,8910
252,2024,"Hameln-Pyrmont",10 und mehr,Insgesamt,K03252,8465
254,2024,"Hildesheim",10 und mehr,Insgesamt,K03254,11765
255,2024,"Holzminden",10 und mehr,Insgesamt,K03255,2375
256,2024,"Nienburg (Weser)",10 und mehr,Insgesamt,K03256,4510
257,2024,"Schaumburg",10 und mehr,Insgesamt,K03257,7125
2,2024,"Statistische Region Hannover",10 und mehr,Insgesamt,K032,144595
351,2024,"Celle",10 und mehr,Insgesamt,K03351,6250
352,2024,"Cuxhaven",10 und mehr,Insgesamt,K03352,6680
353,2024,"Harburg",10 und mehr,Insgesamt,K03353,11550
354,2024,"Lüchow-Dannenberg",10 und mehr,Insgesamt,K03354,1235
355,2024,"Lüneburg",10 und mehr,Insgesamt,K03355,5235
356,2024,"Osterholz",10 und mehr,Insgesamt,K03356,3415
357,2024,"Rotenburg (Wümme)",10 und mehr,Insgesamt,K03357,5530
358,2024,"Heidekreis",10 und mehr,Insgesamt,K03358,5080
359,2024,"Stade",10 und mehr,Insgesamt,K03359,8500
360,2024,"Uelzen",10 und mehr,Insgesamt,K03360,2385
361,2024,"Verden",10 und mehr,Insgesamt,K03361,5410
3,2024,"Statistische Region Lüneburg",10 und mehr,Insgesamt,K033,61270
401,2024,"Delmenhorst, Stadt",10 und mehr,Insgesamt,K03401,5885
402,2024,"Emden, Stadt",10 und mehr,Insgesamt,K03402,1980
403,2024,"Oldenburg (Oldb), Stadt",10 und mehr,Insgesamt,K03403,7040
404,2024,"Osnabrück, Stadt",10 und mehr,Insgesamt,K03404,11620
405,2024,"Wilhelmshaven, Stadt",10 und mehr,Insgesamt,K03405,2865
451,2024,"Ammerland",10 und mehr,Insgesamt,K03451,3515
452,2024,"Aurich",10 und mehr,Insgesamt,K03452,4540
453,2024,"Cloppenburg",10 und mehr,Insgesamt,K03453,8020
454,2024,"Emsland",10 und mehr,Insgesamt,K03454,16135
455,2024,"Friesland",10 und mehr,Insgesamt,K03455,2090
456,2024,"Grafschaft Bentheim",10 und mehr,Insgesamt,K03456,12295
457,2024,"Leer",10 und mehr,Insgesamt,K03457,6000
458,2024,"Oldenburg",10 und mehr,Insgesamt,K03458,4405
459,2024,"Osnabrück",10 und mehr,Insgesamt,K03459,16095
460,2024,"Vechta",10 und mehr,Insgesamt,K03460,8775
461,2024,"Wesermarsch",10 und mehr,Insgesamt,K03461,3660
462,2024,"Wittmund",10 und mehr,Insgesamt,K03462,1095
4,2024,"Statistische Region Weser-Ems",10 und mehr,Insgesamt,K034,116010
0,2024,"Niedersachsen",10 und mehr,Insgesamt,,397660
101,2024,"Braunschweig, Stadt",unter 1,männlich,K03101,1355
102,2024,"Salzgitter, Stadt",unter 1,männlich,K03102,830
103,2024,"Wolfsburg, Stadt",unter 1,männlich,K03103,835
151,2024,"Gifhorn",unter 1,männlich,K03151,670
153,2024,"Goslar",unter 1,männlich,K03153,1335
154,2024,"Helmstedt",unter 1,männlich,K03154,365
155,2024,"Northeim",unter 1,männlich,K03155,520
157,2024,"Peine",unter 1,männlich,K03157,695
158,2024,"Wolfenbüttel",unter 1,männlich,K03158,425
159,2024,"Göttingen",unter 1,männlich,K03159,1590
1,2024,"Statistische Region Braunschweig",unter 1,männlich,K031,8615
241,2024,"Region Hannover",unter 1,männlich,K03241,5010
241001,2024,"dav. Hannover, Lhst.",unter 1,männlich,K03241001,2275
241999,2024,"dav. Hannover, Umland",unter 1,männlich,K03241999,2735
251,2024,"Diepholz",unter 1,männlich,K03251,1165
252,2024,"Hameln-Pyrmont",unter 1,männlich,K03252,685
254,2024,"Hildesheim",unter 1,männlich,K03254,1170
255,2024,"Holzminden",unter 1,männlich,K03255,230
256,2024,"Nienburg (Weser)",unter 1,männlich,K03256,420
257,2024,"Schaumburg",unter 1,männlich,K03257,655
2,2024,"Statistische Region Hannover",unter 1,männlich,K032,9335
351,2024,"Celle",unter 1,männlich,K03351,665
352,2024,"Cuxhaven",unter 1,männlich,K03352,640
353,2024,"Harburg",unter 1,männlich,K03353,1690
354,2024,"Lüchow-Dannenberg",unter 1,männlich,K03354,140
355,2024,"Lüneburg",unter 1,männlich,K03355,720
356,2024,"Osterholz",unter 1,männlich,K03356,290
357,2024,"Rotenburg (Wümme)",unter 1,männlich,K03357,760
358,2024,"Heidekreis",unter 1,männlich,K03358,640
359,2024,"Stade",unter 1,männlich,K03359,970
360,2024,"Uelzen",unter 1,männlich,K03360,270
361,2024,"Verden",unter 1,männlich,K03361,640
3,2024,"Statistische Region Lüneburg",unter 1,männlich,K033,7420
401,2024,"Delmenhorst, Stadt",unter 1,männlich,K03401,465
402,2024,"Emden, Stadt",unter 1,männlich,K03402,325
403,2024,"Oldenburg (Oldb), Stadt",unter 1,männlich,K03403,750
404,2024,"Osnabrück, Stadt",unter 1,männlich,K03404,935
405,2024,"Wilhelmshaven, Stadt",unter 1,männlich,K03405,560
451,2024,"Ammerland",unter 1,männlich,K03451,360
452,2024,"Aurich",unter 1,männlich,K03452,765
453,2024,"Cloppenburg",unter 1,männlich,K03453,1285
454,2024,"Emsland",unter 1,männlich,K03454,2730
455,2024,"Friesland",unter 1,männlich,K03455,245
456,2024,"Grafschaft Bentheim",unter 1,männlich,K03456,925
457,2024,"Leer",unter 1,männlich,K03457,860
458,2024,"Oldenburg",unter 1,männlich,K03458,765
459,2024,"Osnabrück",unter 1,männlich,K03459,1440
460,2024,"Vechta",unter 1,männlich,K03460,1045
461,2024,"Wesermarsch",unter 1,männlich,K03461,475
462,2024,"Wittmund",unter 1,männlich,K03462,215
4,2024,"Statistische Region Weser-Ems",unter 1,männlich,K034,14140
0,2024,"Niedersachsen",unter 1,männlich,,39510
101,2024,"Braunschweig, Stadt",1 - 4,männlich,K03101,4925
102,2024,"Salzgitter, Stadt",1 - 4,männlich,K03102,2870
103,2024,"Wolfsburg, Stadt",1 - 4,männlich,K03103,3290
151,2024,"Gifhorn",1 - 4,männlich,K03151,2520
153,2024,"Goslar",1 - 4,männlich,K03153,2805
154,2024,"Helmstedt",1 - 4,männlich,K03154,1365
155,2024,"Northeim",1 - 4,männlich,K03155,2515
157,2024,"Peine",1 - 4,männlich,K03157,2430
158,2024,"Wolfenbüttel",1 - 4,männlich,K03158,1950
159,2024,"Göttingen",1 - 4,männlich,K03159,6145
1,2024,"Statistische Region Braunschweig",1 - 4,männlich,K031,30815
241,2024,"Region Hannover",1 - 4,männlich,K03241,24110
241001,2024,"dav. Hannover, Lhst.",1 - 4,männlich,K03241001,13535
241999,2024,"dav. Hannover, Umland",1 - 4,männlich,K03241999,10575
251,2024,"Diepholz",1 - 4,männlich,K03251,3400
252,2024,"Hameln-Pyrmont",1 - 4,männlich,K03252,2665
254,2024,"Hildesheim",1 - 4,männlich,K03254,4930
255,2024,"Holzminden",1 - 4,männlich,K03255,1080
256,2024,"Nienburg (Weser)",1 - 4,männlich,K03256,1955
257,2024,"Schaumburg",1 - 4,männlich,K03257,2580
2,2024,"Statistische Region Hannover",1 - 4,männlich,K032,40720
351,2024,"Celle",1 - 4,männlich,K03351,2475
352,2024,"Cuxhaven",1 - 4,männlich,K03352,2605
353,2024,"Harburg",1 - 4,männlich,K03353,5285
354,2024,"Lüchow-Dannenberg",1 - 4,männlich,K03354,645
355,2024,"Lüneburg",1 - 4,männlich,K03355,2755
356,2024,"Osterholz",1 - 4,männlich,K03356,1370
357,2024,"Rotenburg (Wümme)",1 - 4,männlich,K03357,2775
358,2024,"Heidekreis",1 - 4,männlich,K03358,2170
359,2024,"Stade",1 - 4,männlich,K03359,3880
360,2024,"Uelzen",1 - 4,männlich,K03360,1285
361,2024,"Verden",1 - 4,männlich,K03361,2080
3,2024,"Statistische Region Lüneburg",1 - 4,männlich,K033,27330
401,2024,"Delmenhorst, Stadt",1 - 4,männlich,K03401,1830
402,2024,"Emden, Stadt",1 - 4,männlich,K03402,1215
403,2024,"Oldenburg (Oldb), Stadt",1 - 4,männlich,K03403,3145
404,2024,"Osnabrück, Stadt",1 - 4,männlich,K03404,3835
405,2024,"Wilhelmshaven, Stadt",1 - 4,männlich,K03405,1830
451,2024,"Ammerland",1 - 4,männlich,K03451,1875
452,2024,"Aurich",1 - 4,männlich,K03452,2985
453,2024,"Cloppenburg",1 - 4,männlich,K03453,3905
454,2024,"Emsland",1 - 4,männlich,K03454,7925
455,2024,"Friesland",1 - 4,männlich,K03455,1210
456,2024,"Grafschaft Bentheim",1 - 4,männlich,K03456,2995
457,2024,"Leer",1 - 4,männlich,K03457,2800
458,2024,"Oldenburg",1 - 4,männlich,K03458,2185
459,2024,"Osnabrück",1 - 4,männlich,K03459,5585
460,2024,"Vechta",1 - 4,männlich,K03460,2910
461,2024,"Wesermarsch",1 - 4,männlich,K03461,1505
462,2024,"Wittmund",1 - 4,männlich,K03462,890
4,2024,"Statistische Region Weser-Ems",1 - 4,männlich,K034,48625
0,2024,"Niedersachsen",1 - 4,männlich,,147490
