Year,Fächergruppe,Nationalität,Geschlecht,Units,Value,,,
2015,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,7573,,,
2015,"Mathematik, Natruwissenschaften",Insgesamt,Insgesamt,Anzahl,3342,,,
2015,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1267,,,
2015,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1212,,,
2015,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5174,,,
2015,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,1033,,,
2015,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,4,,,
2015,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,23350,,,
2016,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,2462,,,
2016,"Sport",Insgesamt,Insgesamt,Anzahl,265,,,
2016,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,8844,,,
2016,"Mathematik, Natruwissenschaften",Insgesamt,Insgesamt,Anzahl,2197,,,
2016,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1329,,,
2016,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1195,,,
2016,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5833,,,
2016,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,971,,,
2016,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,17,,,
2016,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,23113,,,
2017,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,2434,,,
2017,"Sport",Insgesamt,Insgesamt,Anzahl,249,,,
2017,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,9237,,,
2017,"Mathematik, Natruwissenschaften",Insgesamt,Insgesamt,Anzahl,2168,,,
2017,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1350,,,
2017,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1246,,,
2017,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5648,,,
2017,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,969,,,
2017,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,25,,,
2017,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,23326,,,
2018,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,2470,,,
2018,"Sport",Insgesamt,Insgesamt,Anzahl,255,,,
2018,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,9467,,,
2018,"Mathematik, Natruwissenschaften",Insgesamt,Insgesamt,Anzahl,2306,,,
2018,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1382,,,
2018,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1262,,,
2018,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5759,,,
2018,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,861,,,
2018,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,15,,,
2018,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,23777,,,
2019,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,2498,,,
2019,"Sport",Insgesamt,Insgesamt,Anzahl,246,,,
2019,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,9662,,,
2019,"Mathematik, Natruwissenschaften",Insgesamt,Insgesamt,Anzahl,2369,,,
2019,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1421,,,
2019,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1332,,,
2019,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5874,,,
2019,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,958,,,
2019,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,28,,,
2019,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,24388,,,
2020,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,2412,,,
2020,"Sport",Insgesamt,Insgesamt,Anzahl,242,,,
2020,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,9245,,,
2020,"Mathematik, Natruwissenschaften",Insgesamt,Insgesamt,Anzahl,2285,,,
2020,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1346,,,
2020,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1450,,,
2020,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5543,,,
2020,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,918,,,
2020,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,28,,,
2020,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,23469,,,
2021,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,2412,,,
2021,"Sport",Insgesamt,Insgesamt,Anzahl,245,,,
2021,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,9905,,,
2021,"Mathematik, Natruwissenschaften",Insgesamt,Insgesamt,Anzahl,2295,,,
2021,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1570,,,
2021,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1261,,,
2021,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,6056,,,
2021,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,866,,,
2021,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,28,,,
2021,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,24638,,,
2022,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,2378,,,
2022,"Sport",Insgesamt,Insgesamt,Anzahl,208,,,
2022,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,9330,,,
2022,"Mathematik, Natruwissenschaften",Insgesamt,Insgesamt,Anzahl,2203,,,
2022,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1462,,,
2022,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1175,,,
2022,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5625,,,
2022,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,945,,,
2022,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,23,,,
2022,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,23349,,,
2023,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,2129,,,
2023,"Sport",Insgesamt,Insgesamt,Anzahl,216,,,
2023,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,8494,,,
2023,"Mathematik, Naturwissenschaften",Insgesamt,Insgesamt,Anzahl,2184,,,
2023,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1482,,,
2023,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1140,,,
2023,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5432,,,
2023,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,850,,,
2023,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,19,,,
2023,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,21946,,,
2024,"Geisteswissenschaften",Insgesamt,Insgesamt,Anzahl,2147,,,
2024,"Sport",Insgesamt,Insgesamt,Anzahl,222,,,
2024,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Insgesamt,Anzahl,8645,,,
2024,"Mathematik, Naturwissenschaften",Insgesamt,Insgesamt,Anzahl,2126,,,
2024,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Insgesamt,Anzahl,1563,,,
2024,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Insgesamt,Anzahl,1215,,,
2024,"Ingenieurwissenschaften",Insgesamt,Insgesamt,Anzahl,5222,,,
2024,"Kunst, Kunstwissenschaften",Insgesamt,Insgesamt,Anzahl,833,,,
2024,"Außerhalb der Studienbereichsgliederung",Insgesamt,Insgesamt,Anzahl,35,,,
2024,"Fächerguppen zusammen",Insgesamt,Insgesamt,Anzahl,22008,,,
2013,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,756,,,
2013,"Sport",Insgesamt,Männer,Anzahl,130,,,
2013,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,2992,,,
2013,"Mathematik, Natruwissenschaften",Insgesamt,Männer,Anzahl,1729,,,
2013,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,372,,,
2013,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,476,,,
2013,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4102,,,
2013,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,299,,,
2013,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,1,,,
2013,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,10857,,,
2014,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,705,,,
2014,"Sport",Insgesamt,Männer,Anzahl,100,,,
2014,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,2875,,,
2014,"Mathematik, Natruwissenschaften",Insgesamt,Männer,Anzahl,1703,,,
2014,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,356,,,
2014,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,486,,,
2014,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4028,,,
2014,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,272,,,
2014,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,,,,
2014,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,10525,,,
2015,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,680,,,
2015,"Sport",Insgesamt,Männer,Anzahl,140,,,
2015,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,3089,,,
2015,"Mathematik, Natruwissenschaften",Insgesamt,Männer,Anzahl,1922,,,
2015,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,328,,,
2015,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,580,,,
2015,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4051,,,
2015,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,321,,,
2015,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,3,,,
2015,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,11114,,,
2016,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,603,,,
2016,"Sport",Insgesamt,Männer,Anzahl,148,,,
2016,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,3303,,,
2016,"Mathematik, Natruwissenschaften",Insgesamt,Männer,Anzahl,976,,,
2016,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,341,,,
2016,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,567,,,
2016,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4610,,,
2016,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,298,,,
2016,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,4,,,
2016,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,10850,,,
2017,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,565,,,
2017,"Sport",Insgesamt,Männer,Anzahl,134,,,
2017,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,3391,,,
2017,"Mathematik, Natruwissenschaften",Insgesamt,Männer,Anzahl,956,,,
2017,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,340,,,
2017,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,585,,,
2017,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4380,,,
2017,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,320,,,
2017,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,13,,,
2017,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,10684,,,
2018,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,574,,,
2018,"Sport",Insgesamt,Männer,Anzahl,131,,,
2018,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,3515,,,
2018,"Mathematik, Natruwissenschaften",Insgesamt,Männer,Anzahl,1058,,,
2018,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,372,,,
2018,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,629,,,
2018,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4513,,,
2018,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,274,,,
2018,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,7,,,
2018,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,11073,,,
2019,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,608,,,
2019,"Sport",Insgesamt,Männer,Anzahl,120,,,
2019,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,3481,,,
2019,"Mathematik, Natruwissenschaften",Insgesamt,Männer,Anzahl,1022,,,
2019,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,355,,,
2019,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,597,,,
2019,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4509,,,
2019,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,322,,,
2019,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,11,,,
2019,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,11025,,,
2020,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,554,,,
2020,"Sport",Insgesamt,Männer,Anzahl,126,,,
2020,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,3323,,,
2020,"Mathematik, Natruwissenschaften",Insgesamt,Männer,Anzahl,981,,,
2020,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,343,,,
2020,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,565,,,
2020,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4184,,,
2020,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,307,,,
2020,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,9,,,
2020,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,10392,,,
2021,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,529,,,
2021,"Sport",Insgesamt,Männer,Anzahl,113,,,
2021,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,3609,,,
2021,"Mathematik, Natruwissenschaften",Insgesamt,Männer,Anzahl,962,,,
2021,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,380,,,
2021,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,558,,,
2021,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4509,,,
2021,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,261,,,
2021,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,7,,,
2021,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,10928,,,
2022,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,544,,,
2022,"Sport",Insgesamt,Männer,Anzahl,104,,,
2022,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,3338,,,
2022,"Mathematik, Natruwissenschaften",Insgesamt,Männer,Anzahl,920,,,
2022,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,395,,,
2022,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,536,,,
2022,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4243,,,
2022,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,303,,,
2022,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,2,,,
2022,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,10385,,,
2023,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,509,,,
2023,"Sport",Insgesamt,Männer,Anzahl,111,,,
2023,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,3007,,,
2023,"Mathematik, Naturwissenschaften",Insgesamt,Männer,Anzahl,905,,,
2023,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,353,,,
2023,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,521,,,
2023,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,4127,,,
2023,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,253,,,
2023,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,8,,,
2023,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,9794,,,
2024,"Geisteswissenschaften",Insgesamt,Männer,Anzahl,528,,,
2024,"Sport",Insgesamt,Männer,Anzahl,126,,,
2024,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Männer,Anzahl,3207,,,
2024,"Mathematik, Naturwissenschaften",Insgesamt,Männer,Anzahl,879,,,
2024,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Männer,Anzahl,379,,,
2024,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Männer,Anzahl,543,,,
2024,"Ingenieurwissenschaften",Insgesamt,Männer,Anzahl,3981,,,
2024,"Kunst, Kunstwissenschaften",Insgesamt,Männer,Anzahl,264,,,
2024,"Außerhalb der Studienbereichsgliederung",Insgesamt,Männer,Anzahl,12,,,
2024,"Fächerguppen zusammen",Insgesamt,Männer,Anzahl,9919,,,
2013,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,3064,,,
2013,"Sport",Insgesamt,Frauen,Anzahl,150,,,
2013,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,4375,,,
2013,"Mathematik, Natruwissenschaften",Insgesamt,Frauen,Anzahl,1239,,,
2013,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,857,,,
2013,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,621,,,
2013,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1206,,,
2013,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,773,,,
2013,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,0,,,
2013,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,12285,,,
2014,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,2730,,,
2014,"Sport",Insgesamt,Frauen,Anzahl,156,,,
2014,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,4105,,,
2014,"Mathematik, Natruwissenschaften",Insgesamt,Frauen,Anzahl,1488,,,
2014,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,902,,,
2014,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,577,,,
2014,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1067,,,
2014,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,677,,,
2014,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,,,,
2014,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,11702,,,
2015,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,2781,,,
2015,"Sport",Insgesamt,Frauen,Anzahl,144,,,
2015,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,4484,,,
2015,"Mathematik, Natruwissenschaften",Insgesamt,Frauen,Anzahl,1420,,,
2015,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,939,,,
2015,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,632,,,
2015,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1123,,,
2015,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,712,,,
2015,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,1,,,
2015,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,12236,,,
2016,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,1859,,,
2016,"Sport",Insgesamt,Frauen,Anzahl,117,,,
2016,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,5541,,,
2016,"Mathematik, Natruwissenschaften",Insgesamt,Frauen,Anzahl,1221,,,
2016,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,988,,,
2016,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,628,,,
2016,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1223,,,
2016,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,673,,,
2016,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,13,,,
2016,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,12263,,,
2017,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,1869,,,
2017,"Sport",Insgesamt,Frauen,Anzahl,115,,,
2017,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,5846,,,
2017,"Mathematik, Natruwissenschaften",Insgesamt,Frauen,Anzahl,1212,,,
2017,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,1010,,,
2017,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,661,,,
2017,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1268,,,
2017,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,649,,,
2017,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,12,,,
2017,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,12642,,,
2018,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,1896,,,
2018,"Sport",Insgesamt,Frauen,Anzahl,124,,,
2018,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,5952,,,
2018,"Mathematik, Natruwissenschaften",Insgesamt,Frauen,Anzahl,1248,,,
2018,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,1010,,,
2018,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,633,,,
2018,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1246,,,
2018,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,587,,,
2018,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,8,,,
2018,"Fächerguppen zusammen",Insgesamt,Frauen,Anzahl,12704,,,
2019,"Geisteswissenschaften",Insgesamt,Frauen,Anzahl,1890,,,
2019,"Sport",Insgesamt,Frauen,Anzahl,126,,,
2019,"Rechts-, Wirtschafts-, Sozialwissenschaften",Insgesamt,Frauen,Anzahl,6181,,,
2019,"Mathematik, Natruwissenschaften",Insgesamt,Frauen,Anzahl,1347,,,
2019,"Humanmedizin, Gesundheitswissenschaften",Insgesamt,Frauen,Anzahl,1066,,,
2019,"Agrar-, Forst-, Ernährungswissenschaften, Veterinärmedizin",Insgesamt,Frauen,Anzahl,735,,,
2019,"Ingenieurwissenschaften",Insgesamt,Frauen,Anzahl,1365,,,
2019,"Kunst, Kunstwissenschaften",Insgesamt,Frauen,Anzahl,636,,,
2019,"Außerhalb der Studienbereichsgliederung",Insgesamt,Frauen,Anzahl,17,,,
