Year,Gebietseinheit,Migrationshintergrund,Geocode,Value
2018,Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,63,5
2018,Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,62,77
2018,Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,77,25
2018,Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,83,97
2018,Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,82,64
2018,Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,81,05
2018,Peine,Anteil der Personen ohne Migrationshintergrund,K03157,81,74
2018,Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,81,94
2018,Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,85,07
2018,Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,77,88
2018,Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,69,28
2018,   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,61,7
2018,   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,75,91
2018,Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,82,83
2018,Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,71,02
2018,Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,80,11
2018,Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,80,59
2018,Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,78,29
2018,Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,82,37
2018,Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,74,03
2018,Celle,Anteil der Personen ohne Migrationshintergrund,K03351,80,9
2018,Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,84,33
2018,Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,80,37
2018,Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,84,3
2018,Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,84,9
2018,Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,88,69
2018,Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,81,16
2018,Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82,1
2018,Stade,Anteil der Personen ohne Migrationshintergrund,K03359,80,49
2018,Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80,15
2018,Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,82,37
2018,Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,66,88
2018,Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,79,94
2018,Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,83,28
2018,Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,73,29
2018,Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,70,69
2018,Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,84,76
2018,Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,88,03
2018,Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,72,18
2018,Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,74,33
2018,Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,91,83
2018,Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,72,85
2018,Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,83,17
2018,Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,77,26
2018,Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,67,79
2018,Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,84,91
2018,Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,78,29
2018,Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,77,94
2017,Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,73,22
2017,Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,63,68
2017,Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,64,91
2017,Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,79,69
2017,Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,83,92
2017,Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,84,35
2017,Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,79,44
2017,Peine,Anteil der Personen ohne Migrationshintergrund,K03157,81,61
2017,Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,80,69
2017,Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,85,07
2017,Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,77,84
2017,Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,69,53
2017,   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,63,52
2017,   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,74,78
2017,Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,83,88
2017,Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,69,67
2017,Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,78,79
2017,Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,82,53
2017,Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,77,29
2017,Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,81,47
2017,Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,73,9
2017,Celle,Anteil der Personen ohne Migrationshintergrund,K03351,79,5
2017,Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,84,96
2017,Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,80,64
2017,Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,86,8
2017,Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,81,67
2017,Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,81,76
2017,Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,81,39
2017,Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82,99
2017,Stade,Anteil der Personen ohne Migrationshintergrund,K03359,79,82
2017,Verden,Anteil der Personen ohne Migrationshintergrund,K03361,81,26
2017,Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,81,88
2017,Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,63,38
2017,Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,81,73
2017,Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,80,73
2017,Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,71,71
2017,Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,79,33
2017,Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,88,57
2017,Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,89,47
2017,Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,71,28
2017,Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,77,32
2017,Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,90,69
2017,Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,75,22
2017,Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,83,7
2017,Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,75,64
2017,Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,67,42
2017,Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,84,06
2017,Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,78,73
2017,Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,77,93
2016,Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,75,53
2016,Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,72,8
2016,Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,67,13
2016,Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,78,03
2016,Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,86,85
2016,Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,88,97
2016,Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,79,35
2016,Peine,Anteil der Personen ohne Migrationshintergrund,K03157,83,81
2016,Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,81,32
2016,Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,87,82
2016,Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,79,85
2016,Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,72,5
2016,   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,67,13
2016,   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,77,18
2016,Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,85,2
2016,Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,78,01
2016,Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,84,2
2016,Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,83,52
2016,Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,81,06
2016,Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,85,51
2016,Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,77,43
2016,Celle,Anteil der Personen ohne Migrationshintergrund,K03351,79,09
2016,Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,86,95
2016,Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,85,42
2016,Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89,15
2016,Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,85,6
2016,Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,82,84
2016,Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,83,6
2016,Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,85,8
2016,Stade,Anteil der Personen ohne Migrationshintergrund,K03359,85,15
2016,Verden,Anteil der Personen ohne Migrationshintergrund,K03361,78,86
2016,Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,84,34
2016,Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,66,31
2016,Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,87,48
2016,Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,82,66
2016,Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,73,16
2016,Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,86,33
2016,Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,90,62
2016,Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,91,78
2016,Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,72,76
2016,Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,76,96
2016,Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,91,05
2016,Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,75,66
2016,Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,87,79
2016,Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,76,14
2016,Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,72,32
2016,Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,85,17
2016,Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,80,67
2016,Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,80,42
2015,Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,78,14
2015,Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,70,8
2015,Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,68,95
2015,Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,79,2
2015,Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,89,25
2015,Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,84,94
2015,Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,88,95
2015,Peine,Anteil der Personen ohne Migrationshintergrund,K03157,82,32
2015,Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,87,3
2015,Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,85,09
2015,Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,82,03
2015,Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,74,43
2015,   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,68,29
2015,   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,79,73
2015,Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,85,73
2015,Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,85,89
2015,Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,82,82
2015,Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,91,81
2015,Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,82,87
2015,Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,86,04
2015,Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,79,28
2015,Celle,Anteil der Personen ohne Migrationshintergrund,K03351,81,62
2015,Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,90,76
2015,Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,86,23
2015,Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89,12
2015,Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,84,88
2015,Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,89,75
2015,Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,88,97
2015,Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,83,83
2015,Stade,Anteil der Personen ohne Migrationshintergrund,K03359,84,32
2015,Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80,72
2015,Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,85,89
2015,Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,69,71
2015,Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,84,95
2015,Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,85,06
2015,Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,74,05
2015,Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,83,2
2015,Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,91,25
2015,Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,89,81
2015,Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,71,43
2015,Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,83,35
2015,Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,91,61
2015,Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77,06
2015,Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,88,21
2015,Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,79,24
2015,Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,78,47
2015,Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,87,05
2015,Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,82,19
2015,Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,82,16
2014,Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,80,91
2014,Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,72,71
2014,Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,66,53
2014,Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,80,38
2014,Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,89,28
2014,Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,81,49
2014,Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,89,6
2014,Peine,Anteil der Personen ohne Migrationshintergrund,K03157,81,67
2014,Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,88,54
2014,Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,84,72
2014,Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,82,6
2014,Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,75,78
2014,   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,70,03
2014,   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,80,68
2014,Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,85,09
2014,Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,82,01
2014,Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,82,87
2014,Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,92,97
2014,Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,82,34
2014,Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,84,9
2014,Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,79,72
2014,Celle,Anteil der Personen ohne Migrationshintergrund,K03351,82,56
2014,Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,88,34
2014,Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,86,59
2014,Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,90,02
2014,Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,86,8
2014,Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,92,25
2014,Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,88,98
2014,Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82,83
2014,Stade,Anteil der Personen ohne Migrationshintergrund,K03359,86,52
2014,Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80,08
2014,Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,86,3
2014,Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,72,75
2014,Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,87,36
2014,Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,85,5
2014,Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,71,46
2014,Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,83,74
2014,Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,90,98
2014,Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,92,72
2014,Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,69,09
2014,Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,82,73
2014,Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,93,86
2014,Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77,06
2014,Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,87,74
2014,Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,78,85
2014,Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,78,93
2014,Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,87,4
2014,Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,82,53
2014,Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,82,6
2013,Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,78,92
2013,Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,72,21
2013,Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,62,73
2013,Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,76,4
2013,Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,87,3
2013,Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,85,53
2013,Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,90,32
2013,Peine,Anteil der Personen ohne Migrationshintergrund,K03157,83,93
2013,Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,87,05
2013,Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,84,85
2013,Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,81,6
2013,Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,74,47
2013,   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,67,03
2013,   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,80,76
2013,Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,86,69
2013,Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,79,59
2013,Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,81,83
2013,Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,91,51
2013,Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,84,05
2013,Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,86,33
2013,Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,79,01
2013,Celle,Anteil der Personen ohne Migrationshintergrund,K03351,82,23
2013,Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,86,28
2013,Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,86,07
2013,Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89,93
2013,Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,87,19
2013,Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,92,62
2013,Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,89,22
2013,Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,81,31
2013,Stade,Anteil der Personen ohne Migrationshintergrund,K03359,89,15
2013,Verden,Anteil der Personen ohne Migrationshintergrund,K03361,78,07
2013,Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,86,11
2013,Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,74,89
2013,Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,85,03
2013,Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,84,31
2013,Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,68,38
2013,Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,83,45
2013,Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,93,16
2013,Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,90,55
2013,Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,73,07
2013,Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,82,32
2013,Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,93,23
2013,Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77,09
2013,Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,88,38
2013,Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,77,57
