Year,Altersgruppe,Units,Geschlecht,Value
2012,65 – 80,in 1000,Insgesamt,112.2
2012,80 und älter,in 1000,Insgesamt,25.2
2012,Insgesamt,in 1000,Insgesamt,1412.9
2011,0 – 3,in 1000,Insgesamt,58.6
2011,3 – 6,in 1000,Insgesamt,59.9
2011,6 – 15,in 1000,Insgesamt,191.5
2011,15 – 20,in 1000,Insgesamt,103.7
2011,20 – 40,in 1000,Insgesamt,419.2
2011,40 – 65,in 1000,Insgesamt,426.8
2011,65 – 80,in 1000,Insgesamt,102.9
2011,80 und älter,in 1000,Insgesamt,23.7
2011,Insgesamt,in 1000,Insgesamt,1386.3
2010,0 – 3,in 1000,Insgesamt,59765.53
2010,3 – 6,in 1000,Insgesamt,61813.91
2010,6 – 15,in 1000,Insgesamt,178355.95
2010,15 – 20,in 1000,Insgesamt,98795.87
2010,20 – 40,in 1000,Insgesamt,401856.45
2010,40 – 65,in 1000,Insgesamt,414568.8
2010,65 – 80,in 1000,Insgesamt,99185.65
2010,80 und älter,in 1000,Insgesamt,20486.07
2010,Insgesamt,in 1000,Insgesamt,1334828.25
2019,0 – 3,in 1000,Männlich ,38.1124178258588
2019,3 – 6,in 1000,Männlich ,34.3820203024958
2019,6 – 15,in 1000,Männlich ,35.271621414663
2019,15 – 20,in 1000,Männlich ,30.9826868613076
2019,20 – 40,in 1000,Männlich ,30.1919486139044
2019,40 – 65,in 1000,Männlich ,19.2532906611662
2019,65 – 80,in 1000,Männlich ,11.1943013396002
2019,80 und älter,in 1000,Männlich ,6.71832729211791
2019,Insgesamt,in 1000,Männlich ,23.1620457421604
2018,0 – 3,in 1000,Männlich ,36.6760488371126
2018,3 – 6,in 1000,Männlich ,36.6669579728589
2018,6 – 15,in 1000,Männlich ,35.1003078794008
2018,15 – 20,in 1000,Männlich ,28.4580094991364
2018,20 – 40,in 1000,Männlich ,30.7189058442526
2018,40 – 65,in 1000,Männlich ,18.7870140748558
2018,65 – 80,in 1000,Männlich ,10.9728404455406
2018,80 und älter,in 1000,Männlich ,6.1906004469003
2018,Insgesamt,in 1000,Männlich ,22.901341234937
2017,0 – 3,in 1000,Männlich ,37.1273831383147
2017,3 – 6,in 1000,Männlich ,35.8552562216531
2017,6 – 15,in 1000,Männlich ,34.0544850264961
2017,15 – 20,in 1000,Männlich ,29.3543607910032
2017,20 – 40,in 1000,Männlich ,28.8069806929414
2017,40 – 65,in 1000,Männlich ,17.6501072092196
2017,65 – 80,in 1000,Männlich ,10.4891611456245
2017,80 und älter,in 1000,Männlich ,8.62028893440649
2017,Insgesamt,in 1000,Männlich ,22.117226951227
2016,0 – 3,in 1000,Männlich ,36.6
2016,3 – 6,in 1000,Männlich ,36.8
2016,6 – 15,in 1000,Männlich ,32.2
2016,15 – 20,in 1000,Männlich ,26.5
2016,20 – 40,in 1000,Männlich ,26.7
2016,40 – 65,in 1000,Männlich ,16.6
2016,65 – 80,in 1000,Männlich ,9.5
2016,80 und älter,in 1000,Männlich ,7.9
2016,Insgesamt,in 1000,Männlich ,20.6
2015,0 – 3,in 1000,Männlich ,53.5675511695842
2015,3 – 6,in 1000,Männlich ,46.7869172217006
2015,6 – 15,in 1000,Männlich ,43.2399511232
2015,15 – 20,in 1000,Männlich ,31.4352742859866
2015,20 – 40,in 1000,Männlich ,29.8092999233983
2015,40 – 65,in 1000,Männlich ,17.8808788018904
2015,65 – 80,in 1000,Männlich ,10.4653803873177
2015,80 und älter,in 1000,Männlich ,6.32291824772147
2015,Insgesamt,in 1000,Männlich ,22.616884594145
2014,0 – 3,in 1000,Männlich ,31.475878967258
2014,3 – 6,in 1000,Männlich ,31.1038203159661
2014,6 – 15,in 1000,Männlich ,28.94056628
2014,15 – 20,in 1000,Männlich ,23.5063372396299
2014,20 – 40,in 1000,Männlich ,22.09327918575
2014,40 – 65,in 1000,Männlich ,14.6479858010703
2014,65 – 80,in 1000,Männlich ,9.33498587891737
2014,80 und älter,in 1000,Männlich ,5.86787795483691
2014,Insgesamt,in 1000,Männlich ,17.8056575776509
2013,0 – 3,in 1000,Männlich ,31.475878967258
2013,3 – 6,in 1000,Männlich ,31.1038203159661
2013,6 – 15,in 1000,Männlich ,28.94056628
2013,15 – 20,in 1000,Männlich ,23.5063372396299
2013,20 – 40,in 1000,Männlich ,22.09327918575
2013,40 – 65,in 1000,Männlich ,14.6479858010703
2013,65 – 80,in 1000,Männlich ,9.33498587891737
2013,80 und älter,in 1000,Männlich ,5.86787795483691
2013,Insgesamt,in 1000,Männlich ,17.8056575776509
2012,0 – 3,in 1000,Männlich ,32.2121485579605
2012,3 – 6,in 1000,Männlich ,31.9455261085817
2012,6 – 15,in 1000,Männlich ,28.0482168056096
2012,15 – 20,in 1000,Männlich ,23.5214993678186
2012,20 – 40,in 1000,Männlich ,23.2411844783242
2012,40 – 65,in 1000,Männlich ,14.7492224780769
2012,65 – 80,in 1000,Männlich ,9.80857119096191
2012,80 und älter,in 1000,Männlich ,6.33488710661976
2012,Insgesamt,in 1000,Männlich ,18.2647749303417
2011,0 – 3,in 1000,Männlich ,33.2828202910582
2011,3 – 6,in 1000,Männlich ,28.7777961027967
2011,6 – 15,in 1000,Männlich ,27.3804527963305
2011,15 – 20,in 1000,Männlich ,23.2313014873429
2011,20 – 40,in 1000,Männlich ,23.0476013387877
2011,40 – 65,in 1000,Männlich ,14.3297118234201
2011,65 – 80,in 1000,Männlich ,9.4370941122004
2011,80 und älter,in 1000,Männlich ,6.03335999587826
2011,Insgesamt,in 1000,Männlich ,17.9164937435134
2010,0 – 3,in 1000,Männlich ,32.2464496467269
2010,3 – 6,in 1000,Männlich ,32.7607394084092
2010,6 – 15,in 1000,Männlich ,24.7757565553219
2010,15 – 20,in 1000,Männlich ,22.1602735124013
2010,20 – 40,in 1000,Männlich ,21.9313459132191
2010,40 – 65,in 1000,Männlich ,14.4147547700055
2010,65 – 80,in 1000,Männlich ,8.423030439318
2010,80 und älter,in 1000,Männlich ,6.15387986853015
2010,Insgesamt,in 1000,Männlich ,17.354245878989
2019,0 – 3,%,Weiblich,39.6650471568684
2019,3 – 6,%,Weiblich,34.3346115956233
2019,6 – 15,%,Weiblich,35.3394584503184
2019,15 – 20,%,Weiblich,28.0577456468605
2019,20 – 40,%,Weiblich,28.5786118492079
2019,40 – 65,%,Weiblich,18.1876979380279
2019,65 – 80,%,Weiblich,11.0794033336854
2019,80 und älter,%,Weiblich,6.98481875596389
2019,Insgesamt,%,Weiblich,21.4884077195552
2018,0 – 3,%,Weiblich,37.6489033104887
2018,3 – 6,%,Weiblich,37.6419289934766
2018,6 – 15,%,Weiblich,33.8821488846285
2018,15 – 20,%,Weiblich,28.7368514040147
2018,20 – 40,%,Weiblich,28.1945150380187
2018,40 – 65,%,Weiblich,18.3021803996227
2018,65 – 80,%,Weiblich,10.2937602731553
2018,80 und älter,%,Weiblich,7.66057833344458
2018,Insgesamt,%,Weiblich,21.2348522149998
2017,0 – 3,%,Weiblich,36.0465990101995
2017,3 – 6,%,Weiblich,35.3350458769437
2017,6 – 15,%,Weiblich,32.5581542989499
2017,15 – 20,%,Weiblich,26.3376845662825
2017,20 – 40,%,Weiblich,26.0315464037953
2017,40 – 65,%,Weiblich,17.221560194322
2017,65 – 80,%,Weiblich,9.8486292830537
2017,80 und älter,%,Weiblich,7.68360970902593
2017,Insgesamt,%,Weiblich,20.0594848018144
2016,0 – 3,%,Weiblich,36
2016,3 – 6,%,Weiblich,32.6
2016,6 – 15,%,Weiblich,29.8
2016,15 – 20,%,Weiblich,22.5
2016,20 – 40,%,Weiblich,25
2016,40 – 65,%,Weiblich,16
2016,65 – 80,%,Weiblich,9.5
2016,80 und älter,%,Weiblich,6.4
2016,Insgesamt,%,Weiblich,18.6
2015,0 – 3,%,Weiblich,46.4663208975806
2015,3 – 6,%,Weiblich,47.6557818887732
2015,6 – 15,%,Weiblich,38.2158464242493
2015,15 – 20,%,Weiblich,27.9519351520805
2015,20 – 40,%,Weiblich,30.0551296154294
2015,40 – 65,%,Weiblich,17.9798167221524
2015,65 – 80,%,Weiblich,9.18002903689104
2015,80 und älter,%,Weiblich,5.96799105111926
2015,Insgesamt,%,Weiblich,20.8418633449834
2014,0 – 3,%,Weiblich,33.2102084693807
2014,3 – 6,%,Weiblich,31.1225716320826
2014,6 – 15,%,Weiblich,27.2715996022233
2014,15 – 20,%,Weiblich,21.5189781264018
2014,20 – 40,%,Weiblich,22.4868771727699
2014,40 – 65,%,Weiblich,15.0945989494339
2014,65 – 80,%,Weiblich,7.79659061250268
2014,80 und älter,%,Weiblich,6.28010274227094
2014,Insgesamt,%,Weiblich,16.9702720994291
2013,0 – 3,%,Weiblich,33.2102084693807
2013,3 – 6,%,Weiblich,31.1225716320826
2013,6 – 15,%,Weiblich,27.2715996022233
2013,15 – 20,%,Weiblich,21.5189781264018
2013,20 – 40,%,Weiblich,22.4868771727699
2013,40 – 65,%,Weiblich,15.0945989494339
2013,65 – 80,%,Weiblich,7.79659061250268
2013,80 und älter,%,Weiblich,6.28010274227094
2013,Insgesamt,%,Weiblich,16.9702720994291
2012,0 – 3,%,Weiblich,31.1648491734678
2012,3 – 6,%,Weiblich,31.4770282651342
2012,6 – 15,%,Weiblich,28.6794040820441
2012,15 – 20,%,Weiblich,22.7698189213403
2012,20 – 40,%,Weiblich,23.8062245439856
2012,40 – 65,%,Weiblich,14.9257833294114
2012,65 – 80,%,Weiblich,8.24052723524916
2012,80 und älter,%,Weiblich,5.70748884504835
2012,Insgesamt,%,Weiblich,17.4435919675689
2011,0 – 3,%,Weiblich,30.0469688060341
2011,3 – 6,%,Weiblich,32.8550684899486
2011,6 – 15,%,Weiblich,27.1782647757982
2011,15 – 20,%,Weiblich,22.8519837472064
2011,20 – 40,%,Weiblich,23.3856771031243
2011,40 – 65,%,Weiblich,14.9553805990246
2011,65 – 80,%,Weiblich,7.28726601782195
2011,80 und älter,%,Weiblich,5.36337304784096
2011,Insgesamt,%,Weiblich,17.1181395532618
2010,0 – 3,%,Weiblich,31.4975426635436
2010,3 – 6,%,Weiblich,28.6464992651816
2010,6 – 15,%,Weiblich,25.2848442704952
2010,15 – 20,%,Weiblich,21.1806276788343
2010,20 – 40,%,Weiblich,22.5986420362912
2010,40 – 65,%,Weiblich,14.2173309483098
2010,65 – 80,%,Weiblich,7.45767376805026
2010,80 und älter,%,Weiblich,4.39704779019189
2010,Insgesamt,%,Weiblich,16.3594039577566
2019,0 – 3,%,Insgesamt,38.8822166261711
2019,3 – 6,%,Insgesamt,34.3587050087605
2019,6 – 15,%,Insgesamt,35.30432871337
2019,15 – 20,%,Insgesamt,29.5341228863347
2019,20 – 40,%,Insgesamt,29.4179748134184
2019,40 – 65,%,Insgesamt,18.71777792316
2019,65 – 80,%,Insgesamt,11.1339417984809
2019,80 und älter,%,Insgesamt,6.87906754345024
2019,Insgesamt,%,Insgesamt,22.318593133632
2018,0 – 3,%,Insgesamt,37.1486382000789
2018,3 – 6,%,Insgesamt,37.1650678949092
2018,6 – 15,%,Insgesamt,34.517165523803
2018,15 – 20,%,Insgesamt,28.5927758012738
2018,20 – 40,%,Insgesamt,29.5093150964127
2018,40 – 65,%,Insgesamt,18.5439124013099
2018,65 – 80,%,Insgesamt,10.6166449594968
2018,80 und älter,%,Insgesamt,7.09102867990764
2018,Insgesamt,%,Insgesamt,22.0630280242962
2017,0 – 3,%,Insgesamt,36.5913190925114
2017,3 – 6,%,Insgesamt,35.5959389730139
2017,6 – 15,%,Insgesamt,33.3385207495683
2017,15 – 20,%,Insgesamt,27.9239954996339
2017,20 – 40,%,Insgesamt,27.4756295576654
2017,40 – 65,%,Insgesamt,17.4360491650684
2017,65 – 80,%,Insgesamt,10.1519965396788
2017,80 und älter,%,Insgesamt,8.04107499749801
2017,Insgesamt,%,Insgesamt,21.0840615707772
2016,0 – 3,%,Insgesamt,36.3
2016,3 – 6,%,Insgesamt,34.8
2016,6 – 15,%,Insgesamt,31
2016,15 – 20,%,Insgesamt,24.6
2016,20 – 40,%,Insgesamt,25.9
2016,40 – 65,%,Insgesamt,16.3
2016,65 – 80,%,Insgesamt,9.5
2016,80 und älter,%,Insgesamt,7
2016,Insgesamt,%,Insgesamt,19.6
2015,0 – 3,%,Insgesamt,50.0828890802758
2015,3 – 6,%,Insgesamt,47.2200212430412
2015,6 – 15,%,Insgesamt,40.7624220904939
2015,15 – 20,%,Insgesamt,29.7454437504589
2015,20 – 40,%,Insgesamt,29.9304407601658
2015,40 – 65,%,Insgesamt,17.930451552983
2015,65 – 80,%,Insgesamt,9.78326013604768
2015,80 und älter,%,Insgesamt,6.09808937487972
2015,Insgesamt,%,Insgesamt,21.7083527046933
2014,0 – 3,%,Insgesamt,32.3119077148002
2014,3 – 6,%,Insgesamt,31.1131724995741
2014,6 – 15,%,Insgesamt,28.1315959260795
2014,15 – 20,%,Insgesamt,22.5238549302191
2014,20 – 40,%,Insgesamt,22.2871985669237
2014,40 – 65,%,Insgesamt,14.8711553371148
2014,65 – 80,%,Insgesamt,8.52148959056846
2014,80 und älter,%,Insgesamt,6.13317589084716
2014,Insgesamt,%,Insgesamt,17.3803700869361
2013,0 – 3,%,Insgesamt,32.3119077148002
2013,3 – 6,%,Insgesamt,31.1131724995741
2013,6 – 15,%,Insgesamt,28.1315959260795
2013,15 – 20,%,Insgesamt,22.5238549302191
2013,20 – 40,%,Insgesamt,22.2871985669237
2013,40 – 65,%,Insgesamt,14.8711553371148
2013,65 – 80,%,Insgesamt,8.52148959056846
2013,80 und älter,%,Insgesamt,6.13317589084716
2013,Insgesamt,%,Insgesamt,17.3803700869361
2012,0 – 3,%,Insgesamt,31.6888916654676
2012,3 – 6,%,Insgesamt,31.7188314340957
2012,6 – 15,%,Insgesamt,28.3539271881529
2012,15 – 20,%,Insgesamt,23.1540901315347
2012,20 – 40,%,Insgesamt,23.5185470722243
2012,40 – 65,%,Insgesamt,14.8368516870726
2012,65 – 80,%,Insgesamt,8.974931737308
2012,80 und älter,%,Insgesamt,5.92045529284142
2012,Insgesamt,%,Insgesamt,17.8477696014365
2011,0 – 3,%,Insgesamt,31.6911041447766
2011,3 – 6,%,Insgesamt,30.8047089998399
2011,6 – 15,%,Insgesamt,27.2828418861205
2011,15 – 20,%,Insgesamt,23.0465405346105
2011,20 – 40,%,Insgesamt,23.2135753097192
2011,40 – 65,%,Insgesamt,14.6416909932771
2011,65 – 80,%,Insgesamt,8.29636203808783
2011,80 und älter,%,Insgesamt,5.58978467262203
2011,Insgesamt,%,Insgesamt,17.5106142734541
2010,0 – 3,%,Insgesamt,31.8646031091345
2010,3 – 6,%,Insgesamt,30.7831513220131
2010,6 – 15,%,Insgesamt,25.0216819284248
2010,15 – 20,%,Insgesamt,21.6886629563599
2010,20 – 40,%,Insgesamt,22.2599815096389
2010,40 – 65,%,Insgesamt,14.316212698698
2010,65 – 80,%,Insgesamt,7.90861116488602
2010,80 und älter,%,Insgesamt,4.98633581681347
2010,Insgesamt,%,Insgesamt,16.8480059648252
