Year,Staatsangehörigkeit,Erreichter Abschluss,Schulform,Value
2017,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,3703
2015,Deutsche,Allgemeine Hochschulreife2),Insgesamt,5775
2015,Deutsche,Fachhochschulreife,Insgesamt,14006
2015,Deutsche,Realschulabschluss3),Insgesamt,17626
2015,Deutsche,Hauptschulabschluss,Insgesamt,3121
2015,Deutsche,erfolgreicher Besuch4),Insgesamt,49608
2015,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr5),Insgesamt,3839
2015,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2015,Deutsche,ohne erfolgreichen Besuch/Abschluss,Insgesamt,9936
2015,Deutsche,Insgesamt,Insgesamt,103911
2015,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,21781
2015,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Insgesamt,153
2015,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,467
2015,Ausländerinnen und Ausländer,Realschulabschluss3),Insgesamt,860
2015,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,422
2015,Ausländerinnen und Ausländer,erfolgreicher Besuch4),Insgesamt,1709
2015,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr5),Insgesamt,988
2015,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2015,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Insgesamt,1021
2015,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,5620
2015,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,1664
2014,Deutsche,Allgemeine Hochschulreife2),Insgesamt,5831
2014,Deutsche,Fachhochschulreife,Insgesamt,13626
2014,Deutsche,Realschulabschluss3),Insgesamt,19207
2014,Deutsche,Hauptschulabschluss,Insgesamt,3722
2014,Deutsche,erfolgreicher Besuch4),Insgesamt,52108
2014,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,3936
2014,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2014,Deutsche,ohne erfolgreichen Besuch/Abschluss,Insgesamt,10820
2014,Deutsche,Insgesamt,Insgesamt,109250
2014,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,26176
2014,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Insgesamt,146
2014,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,516
2014,Ausländerinnen und Ausländer,Realschulabschluss3),Insgesamt,816
2014,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,399
2014,Ausländerinnen und Ausländer,erfolgreicher Besuch4),Insgesamt,1713
2014,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,659
2014,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2014,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Insgesamt,950
2014,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,5199
2014,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,1702
2012,Deutsche,Allgemeine Hochschulreife5),Insgesamt,6178
2012,Deutsche,Fachhochschulreife,Insgesamt,14040
2012,Deutsche,Realschulabschluss,Insgesamt,17810
2012,Deutsche,Hauptschulabschluss,Insgesamt,3695
2012,Deutsche,erfolgreicher Besuch6),Insgesamt,50738
2012,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,2978
2012,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2012,Deutsche,ohne erfolgreichen Besuch/Abschluss,Insgesamt,12136
2012,Deutsche,Insgesamt,Insgesamt,107575
2012,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,23647
2012,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Insgesamt,154
2012,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,509
2012,Ausländerinnen und Ausländer,Realschulabschluss,Insgesamt,806
2012,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,348
2012,Ausländerinnen und Ausländer,erfolgreicher Besuch3),Insgesamt,1682
2012,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,598
2012,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2012,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Insgesamt,1086
2012,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,5183
2012,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,1466
2011,Deutsche,Allgemeine Hochschulreife2),Insgesamt,5659
2011,Deutsche,Fachhochschulreife,Insgesamt,13619
2011,Deutsche,Realschulabschluss,Insgesamt,18302
2011,Deutsche,Hauptschulabschluss,Insgesamt,4056
2011,Deutsche,erfolgreicher Besuch3),Insgesamt,52869
2011,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,3221
2011,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2011,Deutsche,ohne erfolgreichen Besuch/Abschluss,Insgesamt,12385
2011,Deutsche,Insgesamt,Insgesamt,110111
2011,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,23450
2011,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Insgesamt,150
2011,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,468
2011,Ausländerinnen und Ausländer,Realschulabschluss,Insgesamt,766
2011,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,332
2011,Ausländerinnen und Ausländer,erfolgreicher Besuch3),Insgesamt,1784
2011,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,479
2011,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2011,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Insgesamt,1022
2011,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,5001
2011,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,1493
2010,Deutsche,Allgemeine Hochschulreife2),Insgesamt,5473
2010,Deutsche,Fachhochschulreife,Insgesamt,12306
2010,Deutsche,Realschulabschluss,Insgesamt,19365
2010,Deutsche,Hauptschulabschluss,Insgesamt,4139
2010,Deutsche,erfolgreicher Besuch3),Insgesamt,56051
2010,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,3283
2010,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2010,Deutsche,ohne erfolgreichen Besuch/Abschluss,Insgesamt,12940
2010,Deutsche,Insgesamt,Insgesamt,113557
2010,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,22652
2010,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Insgesamt,94
2010,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,363
2010,Ausländerinnen und Ausländer,Realschulabschluss,Insgesamt,794
2010,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,368
2010,Ausländerinnen und Ausländer,erfolgreicher Besuch3),Insgesamt,1746
2010,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,432
2010,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2010,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Insgesamt,1047
2010,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,4844
2010,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,1292
2006,Deutsche,Allgemeine Hochschulreife2),Insgesamt,4541
2006,Deutsche,Fachhochschulreife,Insgesamt,10031
2006,Deutsche,Realschulabschluss,Insgesamt,20611
2006,Deutsche,Hauptschulabschluss,Insgesamt,2599
2006,Deutsche,erfolgreicher Besuch3),Insgesamt,56167
2006,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,5147
2006,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,2
2006,Deutsche,ohne erfolgreichen Besuch/Abschluss,Insgesamt,15452
2006,Deutsche,Insgesamt,Insgesamt,114550
2006,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,18924
2006,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Insgesamt,105
2006,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,239
2006,Ausländerinnen und Ausländer,Realschulabschluss,Insgesamt,783
2006,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,249
2006,Ausländerinnen und Ausländer,erfolgreicher Besuch3),Insgesamt,1809
2006,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,790
2006,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2006,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Insgesamt,1246
2006,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,5221
2006,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,1292
2005,Deutsche,Allgemeine Hochschulreife2),Insgesamt,4122
2005,Deutsche,Fachhochschulreife,Insgesamt,10311
2005,Deutsche,Realschulabschluss,Insgesamt,20155
2005,Deutsche,Hauptschulabschluss,Insgesamt,2705
2005,Deutsche,erfolgreicher Besuch3),Insgesamt,56327
2005,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,5113
2005,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,16
2005,Deutsche,ohne erfolgreichen Besuch/Abschluss,Insgesamt,15275
2005,Deutsche,Insgesamt,Insgesamt,114024
2005,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,18287
2005,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Insgesamt,89
2005,Ausländerinnen und Ausländer,Fachhochschulreife,Insgesamt,267
2005,Ausländerinnen und Ausländer,Realschulabschluss,Insgesamt,870
2005,Ausländerinnen und Ausländer,Hauptschulabschluss,Insgesamt,314
2005,Ausländerinnen und Ausländer,erfolgreicher Besuch3),Insgesamt,1939
2005,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Insgesamt,872
2005,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Insgesamt,-
2005,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Insgesamt,1298
2005,Ausländerinnen und Ausländer,Insgesamt,Insgesamt,5649
2005,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,1267
2019,Deutsche,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2019,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),88
2019,Deutsche,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),-
2019,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),7003
2019,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),308
2019,Deutsche,Erfolgreicher Besuch3),Berufsschule (Teilzeit),29580
2019,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr4),Berufsschule (Teilzeit),744
2019,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),2821
2019,Deutsche,Insgesamt,Berufsschule (Teilzeit),40544
2019,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),11156
2019,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2019,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),2
2019,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),-
2019,Ausländerinnen und Ausländer,Realschulabschluss,Berufsschule (Teilzeit),526
2019,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),39
2019,Ausländerinnen und Ausländer,Erfolgreicher Besuch3),Berufsschule (Teilzeit),1073
2019,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr4),Berufsschule (Teilzeit),23
2019,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),374
2019,Ausländerinnen und Ausländer,Insgesamt,Berufsschule (Teilzeit),2037
2019,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),1764
2018,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),102
2018,Deutsche,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),-
2018,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),7352
2018,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),263
2018,Deutsche,Erfolgreicher Besuch3),Berufsschule (Teilzeit),30491
2018,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr4),Berufsschule (Teilzeit),700
2018,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),2815
2018,Deutsche,Insgesamt,Berufsschule (Teilzeit),41723
2018,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),11472
2018,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2018,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),5
2018,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),-
2018,Ausländerinnen und Ausländer,Realschulabschluss,Berufsschule (Teilzeit),422
2018,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),22
2018,Ausländerinnen und Ausländer,Erfolgreicher Besuch3),Berufsschule (Teilzeit),1051
2018,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr4),Berufsschule (Teilzeit),23
2018,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),287
2018,Ausländerinnen und Ausländer,Insgesamt,Berufsschule (Teilzeit),1810
2018,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),1471
2017,Deutsche,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2017,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),107
2017,Deutsche,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),-
2017,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),8889
2017,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),256
2017,Deutsche,Erfolgreicher Besuch3),Berufsschule (Teilzeit),31093
2017,Deutsche,Entlassungen aus dem Berufsvorbereitungsjahr4),Berufsschule (Teilzeit),811
2017,Deutsche,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),2981
2017,Deutsche,Insgesamt,Berufsschule (Teilzeit),44137
2017,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),12269
2017,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2017,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),3
2017,Ausländerinnen und Ausländer,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),-
2017,Ausländerinnen und Ausländer,Realschulabschluss,Berufsschule (Teilzeit),428
2017,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),15
2017,Ausländerinnen und Ausländer,Erfolgreicher Besuch3),Berufsschule (Teilzeit),1009
2017,Ausländerinnen und Ausländer,Entlassungen aus dem Berufsvorbereitungsjahr4),Berufsschule (Teilzeit),32
2017,Ausländerinnen und Ausländer,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),267
2017,Ausländerinnen und Ausländer,Insgesamt,Berufsschule (Teilzeit),1754
2017,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),1163
2015,Deutsche,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2015,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),105
2015,Deutsche,Realschulabschluss3),Berufsschule (Teilzeit),9671
2015,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),257
2015,Deutsche,erfolgreicher Besuch4),Berufsschule (Teilzeit),31960
2015,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr5),Berufsschule (Teilzeit),933
2015,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),-
2015,Deutsche,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),3359
2015,Deutsche,Insgesamt,Berufsschule (Teilzeit),46285
2015,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),11060
2015,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2015,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),3
2015,Ausländerinnen und Ausländer,Realschulabschluss3),Berufsschule (Teilzeit),411
2015,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),12
2015,Ausländerinnen und Ausländer,erfolgreicher Besuch4),Berufsschule (Teilzeit),917
2015,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr5),Berufsschule (Teilzeit),26
2015,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),-
2015,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),264
2015,Ausländerinnen und Ausländer,Insgesamt,Berufsschule (Teilzeit),1633
2015,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),733
2014,Deutsche,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2014,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),82
2014,Deutsche,Realschulabschluss3),Berufsschule (Teilzeit),10671
2014,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),319
2014,Deutsche,erfolgreicher Besuch4),Berufsschule (Teilzeit),33547
2014,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),542
2014,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),-
2014,Deutsche,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),3518
2014,Deutsche,Insgesamt,Berufsschule (Teilzeit),48679
2014,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),13622
2014,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2014,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),1
2014,Ausländerinnen und Ausländer,Realschulabschluss3),Berufsschule (Teilzeit),366
2014,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),10
2014,Ausländerinnen und Ausländer,erfolgreicher Besuch4),Berufsschule (Teilzeit),873
2014,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),12
2014,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),-
2014,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),243
2014,Ausländerinnen und Ausländer,Insgesamt,Berufsschule (Teilzeit),1505
2014,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),748
2012,Deutsche,Allgemeine Hochschulreife5),Berufsschule (Teilzeit),-
2012,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),79
2012,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),10795
2012,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),402
2012,Deutsche,erfolgreicher Besuch6),Berufsschule (Teilzeit),31944
2012,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),-
2012,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),-
2012,Deutsche,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),3581
2012,Deutsche,Insgesamt,Berufsschule (Teilzeit),46801
2012,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),12574
2012,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2012,Ausländerinnen und Ausländer,Fachhochschulreife,Berufsschule (Teilzeit),-
2012,Ausländerinnen und Ausländer,Realschulabschluss,Berufsschule (Teilzeit),390
2012,Ausländerinnen und Ausländer,Hauptschulabschluss,Berufsschule (Teilzeit),15
2012,Ausländerinnen und Ausländer,erfolgreicher Besuch3),Berufsschule (Teilzeit),871
2012,Ausländerinnen und Ausländer,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),-
2012,Ausländerinnen und Ausländer,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),-
2012,Ausländerinnen und Ausländer,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),258
2012,Ausländerinnen und Ausländer,Insgesamt,Berufsschule (Teilzeit),1534
2012,Ausländerinnen und Ausländer,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),700
2011,Deutsche,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
2011,Deutsche,Fachhochschulreife,Berufsschule (Teilzeit),89
2011,Deutsche,Realschulabschluss,Berufsschule (Teilzeit),11039
2011,Deutsche,Hauptschulabschluss,Berufsschule (Teilzeit),449
2011,Deutsche,erfolgreicher Besuch3),Berufsschule (Teilzeit),32624
2011,Deutsche,Entlassung aus dem Berufsvorbereitungsjahr,Berufsschule (Teilzeit),-
2011,Deutsche,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Berufsschule (Teilzeit),-
2011,Deutsche,ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),3198
2011,Deutsche,Insgesamt,Berufsschule (Teilzeit),47399
2011,Deutsche,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),12273
2011,Ausländerinnen und Ausländer,Allgemeine Hochschulreife2),Berufsschule (Teilzeit),-
