Year,Kategorie,Staat,GeoCode,Value
2019,insgesamt,Sudan (einschl. Südsudan) (bis 201,276.0,240
2019,insgesamt,Sudan (ab 2011),277.0,4425
2019,insgesamt,Südsudan (ab 2011),278.0,185
2019,insgesamt,Togo,283.0,575
2019,insgesamt,Tunesien,285.0,3725
2019,insgesamt,Kongo Dem. Volksrepublik (ehem.Za,246.0,255
2019,insgesamt,übrige afrikanische Staaten,,4990
2019,insgesamt,Afrika insgesamt,,42015
2019,insgesamt,Argentinien,323.0,395
2019,insgesamt,Bolivien,326.0,145
2019,insgesamt,Brasilien,327.0,3190
2019,insgesamt,Chile,332.0,555
2019,insgesamt,Dominikanische Republik,335.0,455
2019,insgesamt,Kanada,348.0,1020
2019,insgesamt,Kolumbien,349.0,1875
2019,insgesamt,Kuba,351.0,390
2019,insgesamt,Mexiko,353.0,1705
2019,insgesamt,Peru,361.0,750
2019,insgesamt,Venezuela,367.0,360
2019,insgesamt,Vereinigte Staaten,368.0,5390
2019,insgesamt,übrige amerikanische Staaten,,1355
2019,insgesamt,Amerika insgesamt,,17580
2019,insgesamt,Afghanistan,423.0,21190
2019,insgesamt,Armenien,422.0,1515
2019,insgesamt,Aserbaidschan,425.0,1620
2019,insgesamt,Bangladesch,460.0,375
2019,insgesamt,China,479.0,10490
2019,insgesamt,Georgien,430.0,2640
2019,insgesamt,Indien,436.0,7025
2019,insgesamt,Indonesien,437.0,1585
2019,insgesamt,Israel,441.0,695
2019,insgesamt,Irak,438.0,41035
2019,insgesamt,Iran Islamische Republik,439.0,10780
2019,insgesamt,Japan,442.0,1465
2019,insgesamt,Jordanien,445.0,970
2019,insgesamt,Kasachstan,444.0,4825
2019,insgesamt,Korea Republik,467.0,1550
2019,insgesamt,Libanon,451.0,6740
2019,insgesamt,Malaysia,482.0,565
2019,insgesamt,Nepal,458.0,755
2019,insgesamt,Pakistan,461.0,4295
2019,insgesamt,Die Palästinänsischen Gebiete,459.0,1030
2019,insgesamt,Philippinen,462.0,1870
2019,insgesamt,Sri Lanka,431.0,1250
2019,insgesamt,Syrien Arabische Republik,475.0,84805
2019,insgesamt,Taiwan,465.0,460
2019,insgesamt,Thailand,476.0,4190
2019,insgesamt,Vietnam,432.0,8760
2019,insgesamt,übrige asiatische Staaten,,3570
2019,insgesamt,Asien insgesamt,,226045
2019,insgesamt,Australien und Ozeanien,,1065
2019,insgesamt,staatenlos,997.0,3540
2019,insgesamt,ungeklärtoh.Angabeunbekannt,,8730
2019,insgesamt,Britische Überseegebiete,185.0,35
2019,insgesamt,Ausländer insgesamt,,841165
2019,männlich,Albanien,121.0,3530
2019,männlich,Belgien,124.0,665
2019,männlich,Bosnien und Herzegowina,122.0,4255
2019,männlich,Bulgarien,125.0,15555
2019,männlich,Dänemark,126.0,585
2019,männlich,Estland,127.0,185
2019,männlich,Finnland,128.0,295
2019,männlich,Frankreich,129.0,2270
2019,männlich,Griechenland,134.0,10670
2019,männlich,Irland,135.0,450
2019,männlich,Island,136.0,85
2019,männlich,Italien,137.0,17460
2019,männlich,Serbien u.Montenegro Ehem.Jugosla,132.0,935
2019,männlich,Serbien (einschl. Kosovo),133.0,230
2019,männlich,Serbien,170.0,9740
2019,männlich,Montenegro,140.0,2385
2019,männlich,Kroatien,130.0,6790
2019,männlich,Kosovo,150.0,8550
2019,männlich,Lettland,139.0,2985
2019,männlich,Litauen,142.0,3825
2019,männlich,Luxemburg,143.0,120
2019,männlich,Malta,145.0,20
2019,männlich,Mazedonien,144.0,3250
2019,männlich,Moldau Republik,146.0,1160
2019,männlich,Monaco,147.0,0
2019,männlich,Niederlande,148.0,16910
2019,männlich,Norwegen,149.0,250
2019,männlich,Österreich,151.0,3515
2019,männlich,Polen,152.0,53655
2019,männlich,Portugal,153.0,4730
2019,männlich,Rumänien,154.0,35745
2019,männlich,Russische Föderation,160.0,8180
2019,männlich,Schweden,157.0,735
2019,männlich,Schweiz,158.0,1110
2019,männlich,Slowakei,155.0,1480
2019,männlich,Slowenien,131.0,515
2019,männlich,ehem. Sowjetunion,159.0,30
2019,männlich,Spanien,161.0,6320
2019,männlich,ehem. Tschechoslowakei,162.0,35
2019,männlich,Tschechische Republik,164.0,975
2019,männlich,Türkei,163.0,45520
2019,männlich,Ukraine,166.0,4195
2019,männlich,Ungarn,165.0,5690
2019,männlich,Vereinigtes Königreich GB u.Nordir,168.0,4715
2019,männlich,Weißrußland,169.0,605
2019,männlich,Zypern,181.0,60
2019,männlich,übrige europäische Staaten,,5
2019,männlich,Europa insgesamt,,290985
2019,männlich,Algerien,221.0,1015
2019,männlich,Angola,223.0,130
2019,männlich,Ägypten,287.0,1415
2019,männlich,Äthiopien,225.0,180
2019,männlich,Benin,229.0,80
2019,männlich,Burkina Faso,258.0,65
2019,männlich,Cote d'Ivoire,231.0,2230
2019,männlich,Eritrea,224.0,2585
2019,männlich,Gambia,237.0,710
2019,männlich,Ghana,238.0,1475
2019,männlich,Kamerun,262.0,1110
2019,männlich,Kenia,243.0,205
2019,männlich,Liberia,247.0,520
2019,männlich,Marokko,252.0,1345
2019,männlich,Nigeria,232.0,1635
2019,männlich,Senegal,269.0,165
2019,männlich,Sierra Leone,272.0,90
2019,männlich,Somalia,273.0,1995
2019,männlich,Südafrika,263.0,240
2019,männlich,Sudan (einschl. Südsudan) (bis 201,276.0,210
2019,männlich,Sudan (ab 2011),277.0,3555
2019,männlich,Südsudan (ab 2011),278.0,155
2019,männlich,Togo,283.0,260
2019,männlich,Tunesien,285.0,2425
2019,männlich,Kongo Dem. Volksrepublik (ehem.Za,246.0,135
2019,männlich,übrige afrikanische Staaten,,2935
2019,männlich,Afrika insgesamt,,26865
2019,männlich,Argentinien,323.0,195
2019,männlich,Bolivien,326.0,55
2019,männlich,Brasilien,327.0,1205
2019,männlich,Chile,332.0,285
2019,männlich,Dominikanische Republik,335.0,165
2019,männlich,Kanada,348.0,490
2019,männlich,Kolumbien,349.0,840
2019,männlich,Kuba,351.0,135
2019,männlich,Mexiko,353.0,785
2019,männlich,Peru,361.0,280
2019,männlich,Venezuela,367.0,160
2019,männlich,Vereinigte Staaten,368.0,2820
2019,männlich,übrige amerikanische Staaten,,605
2019,männlich,Amerika insgesamt,,8020
2019,männlich,Afghanistan,423.0,13435
2019,männlich,Armenien,422.0,710
2019,männlich,Aserbaidschan,425.0,800
2019,männlich,Bangladesch,460.0,250
2019,männlich,China,479.0,5300
2019,männlich,Georgien,430.0,1240
2019,männlich,Indien,436.0,4325
2019,männlich,Indonesien,437.0,665
2019,männlich,Israel,441.0,420
2019,männlich,Irak,438.0,22650
2019,männlich,Iran Islamische Republik,439.0,6185
2019,männlich,Japan,442.0,575
2019,männlich,Jordanien,445.0,585
2019,männlich,Kasachstan,444.0,2200
2019,männlich,Korea Republik,467.0,590
2019,männlich,Libanon,451.0,3885
2019,männlich,Malaysia,482.0,285
2019,männlich,Nepal,458.0,400
2019,männlich,Pakistan,461.0,2980
2019,männlich,Die Palästinänsischen Gebiete,459.0,630
2019,männlich,Philippinen,462.0,425
2019,männlich,Sri Lanka,431.0,585
2019,männlich,Syrien Arabische Republik,475.0,48260
2019,männlich,Taiwan,465.0,125
2019,männlich,Thailand,476.0,400
2019,männlich,Vietnam,432.0,3970
2019,männlich,übrige asiatische Staaten,,1825
2019,männlich,Asien insgesamt,,123710
2019,männlich,Australien und Ozeanien,,600
2019,männlich,staatenlos,997.0,2005
2019,männlich,ungeklärtoh.Angabeunbekannt,,5110
2019,männlich,Britische Überseegebiete,185.0,15
2019,männlich,Ausländer insgesamt,,457315
2019,weiblich,Albanien,121.0,2590
2019,weiblich,Belgien,124.0,640
2019,weiblich,Bosnien und Herzegowina,122.0,3605
2019,weiblich,Bulgarien,125.0,12800
2019,weiblich,Dänemark,126.0,865
2019,weiblich,Estland,127.0,330
2019,weiblich,Finnland,128.0,750
2019,weiblich,Frankreich,129.0,2530
2019,weiblich,Griechenland,134.0,8145
2019,weiblich,Irland,135.0,295
2019,weiblich,Island,136.0,55
2019,weiblich,Italien,137.0,11360
2019,weiblich,Serbien u.Montenegro Ehem.Jugosla,132.0,750
2019,weiblich,Serbien (einschl. Kosovo),133.0,240
2019,weiblich,Serbien,170.0,9375
2019,weiblich,Montenegro,140.0,2020
2019,weiblich,Kroatien,130.0,5120
2019,weiblich,Kosovo,150.0,7925
2019,weiblich,Lettland,139.0,2600
2019,weiblich,Litauen,142.0,3915
2019,weiblich,Luxemburg,143.0,120
2019,weiblich,Malta,145.0,20
2019,weiblich,Mazedonien,144.0,2855
2019,weiblich,Moldau Republik,146.0,1665
2019,weiblich,Monaco,147.0,0
2019,weiblich,Niederlande,148.0,12955
2019,weiblich,Norwegen,149.0,275
2019,weiblich,Österreich,151.0,3165
2019,weiblich,Polen,152.0,44365
2019,weiblich,Portugal,153.0,4010
2019,weiblich,Rumänien,154.0,23235
2019,weiblich,Russische Föderation,160.0,14075
2019,weiblich,Schweden,157.0,830
2019,weiblich,Schweiz,158.0,1275
2019,weiblich,Slowakei,155.0,1355
2019,weiblich,Slowenien,131.0,405
2019,weiblich,ehem. Sowjetunion,159.0,55
2019,weiblich,Spanien,161.0,5650
2019,weiblich,ehem. Tschechoslowakei,162.0,55
2019,weiblich,Tschechische Republik,164.0,1205
2019,weiblich,Türkei,163.0,43215
2019,weiblich,Ukraine,166.0,7150
2019,weiblich,Ungarn,165.0,3775
2019,weiblich,Vereinigtes Königreich GB u.Nordir,168.0,2030
2019,weiblich,Weißrußland,169.0,1465
2019,weiblich,Zypern,181.0,55
2019,weiblich,übrige europäische Staaten,,0
2019,weiblich,Europa insgesamt,,251170
2019,weiblich,Algerien,221.0,370
2019,weiblich,Angola,223.0,105
2019,weiblich,Ägypten,287.0,680
2019,weiblich,Äthiopien,225.0,195
2019,weiblich,Benin,229.0,50
2019,weiblich,Burkina Faso,258.0,35
2019,weiblich,Cote d'Ivoire,231.0,815
2019,weiblich,Eritrea,224.0,1220
2019,weiblich,Gambia,237.0,175
2019,weiblich,Ghana,238.0,1465
2019,weiblich,Kamerun,262.0,895
2019,weiblich,Kenia,243.0,460
2019,weiblich,Liberia,247.0,125
2019,weiblich,Marokko,252.0,1035
2019,weiblich,Nigeria,232.0,1200
2019,weiblich,Senegal,269.0,100
2019,weiblich,Sierra Leone,272.0,35
2019,weiblich,Somalia,273.0,1210
2019,weiblich,Südafrika,263.0,275
2019,weiblich,Sudan (einschl. Südsudan) (bis 201,276.0,30
2019,weiblich,Sudan (ab 2011),277.0,870
2019,weiblich,Südsudan (ab 2011),278.0,30
2019,weiblich,Togo,283.0,315
2019,weiblich,Tunesien,285.0,1295
2019,weiblich,Kongo Dem. Volksrepublik (ehem.Za,246.0,120
2019,weiblich,übrige afrikanische Staaten,,2055
2019,weiblich,Afrika insgesamt,,15155
2019,weiblich,Argentinien,323.0,200
2019,weiblich,Bolivien,326.0,85
2019,weiblich,Brasilien,327.0,1985
2019,weiblich,Chile,332.0,270
2019,weiblich,Dominikanische Republik,335.0,285
2019,weiblich,Kanada,348.0,530
2019,weiblich,Kolumbien,349.0,1040
2019,weiblich,Kuba,351.0,255
2019,weiblich,Mexiko,353.0,920
2019,weiblich,Peru,361.0,475
2019,weiblich,Venezuela,367.0,195
2019,weiblich,Vereinigte Staaten,368.0,2570
2019,weiblich,übrige amerikanische Staaten,,745
2019,weiblich,Amerika insgesamt,,9560
2019,weiblich,Afghanistan,423.0,7755
2019,weiblich,Armenien,422.0,810
2019,weiblich,Aserbaidschan,425.0,815
2019,weiblich,Bangladesch,460.0,125
2019,weiblich,China,479.0,5195
2019,weiblich,Georgien,430.0,1400
2019,weiblich,Indien,436.0,2700
2019,weiblich,Indonesien,437.0,920
2019,weiblich,Israel,441.0,275
2019,weiblich,Irak,438.0,18385
2019,weiblich,Iran Islamische Republik,439.0,4595
2019,weiblich,Japan,442.0,890
2019,weiblich,Jordanien,445.0,385
2019,weiblich,Kasachstan,444.0,2625
2019,weiblich,Korea Republik,467.0,960
2019,weiblich,Libanon,451.0,2850
2019,weiblich,Malaysia,482.0,280
2019,weiblich,Nepal,458.0,355
2019,weiblich,Pakistan,461.0,1315
2019,weiblich,Die Palästinänsischen Gebiete,459.0,400
2019,weiblich,Philippinen,462.0,1445
2019,weiblich,Sri Lanka,431.0,665
2019,weiblich,Syrien Arabische Republik,475.0,36545
2019,weiblich,Taiwan,465.0,335
2019,weiblich,Thailand,476.0,3790
2019,weiblich,Vietnam,432.0,4790
2019,weiblich,übrige asiatische Staaten,,1740
2019,weiblich,Asien insgesamt,,102335
2019,weiblich,Australien und Ozeanien,,460
2019,weiblich,staatenlos,997.0,1530
2019,weiblich,ungeklärtoh.Angabeunbekannt,,3620
2019,weiblich,Britische Überseegebiete,185.0,20
2019,weiblich,Ausländer insgesamt,,383850
