Year,Gebietseinheit,Migrationshintergrund,Geocode,Value
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,80.0,42.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,78.0,14.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,70.0,8.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,68.0,95.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,79.0,2.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,89.0,25.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,84.0,94.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,88.0,95.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,82.0,32.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,87.0,3.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,85.0,9.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,82.0,3.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,74.0,43.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,68.0,29.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,79.0,73.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,85.0,73.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,85.0,89.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,82.0,82.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,91.0,81.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,82.0,87.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,86.0,4.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,79.0,28.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,81.0,62.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,90.0,76.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,86.0,23.0
Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89.0,12.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,84.0,88.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,89.0,75.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,88.0,97.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,83.0,83.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,84.0,32.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80.0,72.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,85.0,89.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,69.0,71.0
Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,84.0,95.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,85.0,6.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,74.0,5.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,83.0,2.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,91.0,25.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,89.0,81.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,71.0,43.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,83.0,35.0
Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,91.0,61.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77.0,6.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,88.0,21.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,79.0,24.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,78.0,47.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,87.0,5.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,82.0,19.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,82.0,16.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,80.0,91.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,72.0,71.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,66.0,53.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,80.0,38.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,89.0,28.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,81.0,49.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,89.0,6.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,81.0,67.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,88.0,54.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,84.0,72.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,82.0,6.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,75.0,78.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,70.0,3.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,80.0,68.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,85.0,9.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,82.0,1.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,82.0,87.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,92.0,97.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,82.0,34.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,84.0,9.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,79.0,72.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,82.0,56.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,88.0,34.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,86.0,59.0
Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,90.0,2.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,86.0,8.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,92.0,25.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,88.0,98.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,82.0,83.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,86.0,52.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,80.0,8.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,86.0,3.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,72.0,75.0
Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,87.0,36.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,85.0,5.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,71.0,46.0
Wilhelmshaven  Stadt,Anteil der Personen ohne Migrationshintergrund,K03405,83.0,74.0
Ammerland,Anteil der Personen ohne Migrationshintergrund,K03451,90.0,98.0
Aurich,Anteil der Personen ohne Migrationshintergrund,K03452,92.0,72.0
Cloppenburg,Anteil der Personen ohne Migrationshintergrund,K03453,69.0,9.0
Emsland,Anteil der Personen ohne Migrationshintergrund,K03454,82.0,73.0
Friesland / Wittmund,Anteil der Personen ohne Migrationshintergrund,K03455462,93.0,86.0
Grafschaft Bentheim,Anteil der Personen ohne Migrationshintergrund,K03456,77.0,6.0
Oldenburg,Anteil der Personen ohne Migrationshintergrund,K03458,87.0,74.0
Osnabrück,Anteil der Personen ohne Migrationshintergrund,K03459,78.0,85.0
Vechta,Anteil der Personen ohne Migrationshintergrund,K03460,78.0,93.0
Wesermarsch,Anteil der Personen ohne Migrationshintergrund,K03461,87.0,4.0
Stat. Region Weser-Ems,Anteil der Personen ohne Migrationshintergrund,K034,82.0,53.0
Niedersachsen,Anteil der Personen ohne Migrationshintergrund,K030,82.0,6.0
Braunschweig  Stadt,Anteil der Personen ohne Migrationshintergrund,K03101,78.0,92.0
Salzgitter  Stadt,Anteil der Personen ohne Migrationshintergrund,K03102,72.0,21.0
Wolfsburg  Stadt,Anteil der Personen ohne Migrationshintergrund,K03103,62.0,73.0
Gifhorn,Anteil der Personen ohne Migrationshintergrund,K03151,76.0,4.0
Goslar,Anteil der Personen ohne Migrationshintergrund,K03153,87.0,3.0
Helmstedt,Anteil der Personen ohne Migrationshintergrund,K03154,85.0,53.0
Northeim,Anteil der Personen ohne Migrationshintergrund,K03155,90.0,32.0
Peine,Anteil der Personen ohne Migrationshintergrund,K03157,83.0,93.0
Göttingen,Anteil der Personen ohne Migrationshintergrund,K03159,87.0,5.0
Wolfenbüttel,Anteil der Personen ohne Migrationshintergrund,K03158,84.0,85.0
Stat. Region Braunschweig,Anteil der Personen ohne Migrationshintergrund,K031,81.0,6.0
Hannover  Region,Anteil der Personen ohne Migrationshintergrund,K03241,74.0,47.0
   dav. Hannover  Lhst.,Anteil der Personen ohne Migrationshintergrund,K03241001,67.0,3.0
   dav. Hannover  Umland,Anteil der Personen ohne Migrationshintergrund,K03241999,80.0,76.0
Diepholz,Anteil der Personen ohne Migrationshintergrund,K03251,86.0,69.0
Hameln-Pyrmont,Anteil der Personen ohne Migrationshintergrund,K03252,79.0,59.0
Hildesheim,Anteil der Personen ohne Migrationshintergrund,K03254,81.0,83.0
Holzminden,Anteil der Personen ohne Migrationshintergrund,K03255,91.0,51.0
Nienburg (Weser),Anteil der Personen ohne Migrationshintergrund,K03256,84.0,5.0
Schaumburg,Anteil der Personen ohne Migrationshintergrund,K03257,86.0,33.0
Stat. Region Hannover,Anteil der Personen ohne Migrationshintergrund,K032,79.0,1.0
Celle,Anteil der Personen ohne Migrationshintergrund,K03351,82.0,23.0
Cuxhaven,Anteil der Personen ohne Migrationshintergrund,K03352,86.0,28.0
Harburg,Anteil der Personen ohne Migrationshintergrund,K03353,86.0,7.0
Lüchow-Dannenberg / Uelzen,Anteil der Personen ohne Migrationshintergrund,K03354360,89.0,93.0
Lüneburg,Anteil der Personen ohne Migrationshintergrund,K03355,87.0,19.0
Osterholz,Anteil der Personen ohne Migrationshintergrund,K03356,92.0,62.0
Rotenburg (Wümme),Anteil der Personen ohne Migrationshintergrund,K03357,89.0,22.0
Heidekreis,Anteil der Personen ohne Migrationshintergrund,K03358,81.0,31.0
Stade,Anteil der Personen ohne Migrationshintergrund,K03359,89.0,15.0
Verden,Anteil der Personen ohne Migrationshintergrund,K03361,78.0,7.0
Stat. Region Lüneburg,Anteil der Personen ohne Migrationshintergrund,K033,86.0,11.0
Delmenhorst  Stadt,Anteil der Personen ohne Migrationshintergrund,K03401,74.0,89.0
Emden  Stadt / Leer,Anteil der Personen ohne Migrationshintergrund,K03402457,85.0,3.0
Oldenburg(Oldb)  Stadt,Anteil der Personen ohne Migrationshintergrund,K03403,84.0,31.0
Osnabrück  Stadt,Anteil der Personen ohne Migrationshintergrund,K03404,68.0,38.0
