Year,Gebietseinheit,Migrationserfahrung,Nationalität,Units,GeoCode,Value
2015,Statistische Region Hannover,Insgesamt,,in 1000,,438.37086
2015,Nordniedersachsen,Insgesamt,,in 1000,RA_07,113.36331
2015,Nordostniedersachsen,Insgesamt,,in 1000,RA_08,124.01587
2015,Statistische Region Lüneburg,Insgesamt,,in 1000,,237.37919
2015,Ostfriesland-Nordseeküste,Insgesamt,,in 1000,RA_09,88.81397
2015,Oldenburger Raum,Insgesamt,,in 1000,RA_10,121.53163
2015,Westniedersachsen,Insgesamt,,in 1000,RA_11,229.47227
2015,Statistische Region Weser-Ems,Insgesamt,,in 1000,,439.81787
2015,Niedersachsen,Insgesamt,,in 1000,,1400.19971
2014,Ostniedersachsen,Insgesamt,,in 1000,RA_01,207.14026
2014,Südniedersachsen,Insgesamt,,in 1000,RA_02,66.66471
2014,Statistische Region Braunschweig,Insgesamt,,in 1000,,273.80497
2014,Region Hannover,Insgesamt,,in 1000,,270.84329
2014,"dav. Hannover, Landeshauptstadt",Insgesamt,,in 1000,RA_03,154.4203
2014,"dav. Hannover, Umland",Insgesamt,,in 1000,RA_04,116.42299
2014,Weser-Leine-Bergland,Insgesamt,,in 1000,RA_05,78.45503
2014,Mittelniedersachsen,Insgesamt,,in 1000,RA_06,76.30225
2014,Statistische Region Hannover,Insgesamt,,in 1000,,425.60057
2014,Nordniedersachsen,Insgesamt,,in 1000,RA_07,109.77345
2014,Nordostniedersachsen,Insgesamt,,in 1000,RA_08,119.32896
2014,Statistische Region Lüneburg,Insgesamt,,in 1000,,229.10242
2014,Ostfriesland-Nordseeküste,Insgesamt,,in 1000,RA_09,73.8421
2014,Oldenburger Raum,Insgesamt,,in 1000,RA_10,119.42345
2014,Westniedersachsen,Insgesamt,,in 1000,RA_11,233.73958
2014,Statistische Region Weser-Ems,Insgesamt,,in 1000,,427.00513
2014,Niedersachsen,Insgesamt,,in 1000,,1355.51309
2013,Ostniedersachsen,Insgesamt,,in 1000,RA_01,208.23497
2013,Südniedersachsen,Insgesamt,,in 1000,RA_02,70.37933
2013,Statistische Region Braunschweig,Insgesamt,,in 1000,,278.6143
2013,Region Hannover,Insgesamt,,in 1000,,269.08637
2013,"dav. Hannover, Landeshauptstadt",Insgesamt,,in 1000,RA_03,157.90522
2013,"dav. Hannover, Umland",Insgesamt,,in 1000,RA_04,111.18115
2013,Weser-Leine-Bergland,Insgesamt,,in 1000,RA_05,83.26787
2013,Mittelniedersachsen,Insgesamt,,in 1000,RA_06,67.1086
2013,Statistische Region Hannover,Insgesamt,,in 1000,,419.46284
2013,Nordniedersachsen,Insgesamt,,in 1000,RA_07,101.57792
2013,Nordostniedersachsen,Insgesamt,,in 1000,RA_08,119.46936
2013,Statistische Region Lüneburg,Insgesamt,,in 1000,,221.04729
2013,Ostfriesland-Nordseeküste,Insgesamt,,in 1000,RA_09,84.43522
2013,Oldenburger Raum,Insgesamt,,in 1000,RA_10,103.86769
2013,Westniedersachsen,Insgesamt,,in 1000,RA_11,238.14914
2013,Statistische Region Weser-Ems,Insgesamt,,in 1000,,426.45205
2013,Niedersachsen,Insgesamt,,in 1000,,1345.57648
2012,Ostniedersachsen,Insgesamt,,in 1000,RA_01,199.52021
2012,Südniedersachsen,Insgesamt,,in 1000,RA_02,66.60009
2012,Statistische Region Braunschweig,Insgesamt,,in 1000,,266.12029
2012,Region Hannover,Insgesamt,,in 1000,,257.5646
2012,"dav. Hannover, Landeshauptstadt",Insgesamt,,in 1000,RA_03,146.54057
2012,"dav. Hannover, Umland",Insgesamt,,in 1000,RA_04,111.02402
2012,Weser-Leine-Bergland,Insgesamt,,in 1000,RA_05,77.2574
2012,Mittelniedersachsen,Insgesamt,,in 1000,RA_06,67.99081
2012,Statistische Region Hannover,Insgesamt,,in 1000,,402.8128
2012,Nordniedersachsen,Insgesamt,,in 1000,RA_07,103.1748
2012,Nordostniedersachsen,Insgesamt,,in 1000,RA_08,102.95045
2012,Statistische Region Lüneburg,Insgesamt,,in 1000,,206.12525
2012,Ostfriesland-Nordseeküste,Insgesamt,,in 1000,RA_09,72.21361
2012,Oldenburger Raum,Insgesamt,,in 1000,RA_10,111.65798
2012,Westniedersachsen,Insgesamt,,in 1000,RA_11,239.63433
2012,Statistische Region Weser-Ems,Insgesamt,,in 1000,,423.50592
2012,Niedersachsen,Insgesamt,,in 1000,,1298.56426
2011,Ostniedersachsen,Insgesamt,,in 1000,RA_01,184.69762
2011,Südniedersachsen,Insgesamt,,in 1000,RA_02,72.25825
2011,Statistische Region Braunschweig,Insgesamt,,in 1000,,256.95588
2011,Region Hannover,Insgesamt,,in 1000,,249.22248
2011,"dav. Hannover, Landeshauptstadt",Insgesamt,,in 1000,RA_03,144.04601
2011,"dav. Hannover, Umland",Insgesamt,,in 1000,RA_04,105.17647
2011,Weser-Leine-Bergland,Insgesamt,,in 1000,RA_05,72.49503
2011,Mittelniedersachsen,Insgesamt,,in 1000,RA_06,74.66805
2011,Statistische Region Hannover,Insgesamt,,in 1000,,396.38556
2011,Nordniedersachsen,Insgesamt,,in 1000,RA_07,97.35308
2011,Nordostniedersachsen,Insgesamt,,in 1000,RA_08,97.53239
2011,Statistische Region Lüneburg,Insgesamt,,in 1000,,194.88548
2011,Ostfriesland-Nordseeküste,Insgesamt,,in 1000,RA_09,71.84491
2011,Oldenburger Raum,Insgesamt,,in 1000,RA_10,111.41436
2011,Westniedersachsen,Insgesamt,,in 1000,RA_11,236.83646
2011,Statistische Region Weser-Ems,Insgesamt,,in 1000,,420.09573
2011,Niedersachsen,Insgesamt,,in 1000,,1268.32265
2019,Ostniedersachsen,Insgesamt,,%,RA_01,100.0
2019,Südniedersachsen,Insgesamt,,%,RA_02,100.0
2019,Statistische Region Braunschweig,Insgesamt,,%,,100.0
2019,Region Hannover,Insgesamt,,%,,100.0
2019,"dav. Hannover, Landeshauptstadt",Insgesamt,,%,RA_03,100.0
2019,"dav. Hannover, Umland",Insgesamt,,%,RA_04,100.0
2019,Weser-Leine-Bergland,Insgesamt,,%,RA_05,100.0
2019,Mittelniedersachsen,Insgesamt,,%,RA_06,100.0
2019,Statistische Region Hannover,Insgesamt,,%,,100.0
2019,Nordniedersachsen,Insgesamt,,%,RA_07,100.0
2019,Nordostniedersachsen,Insgesamt,,%,RA_08,100.0
2019,Statistische Region Lüneburg,Insgesamt,,%,,100.0
2019,Ostfriesland-Nordseeküste,Insgesamt,,%,RA_09,100.0
2019,Oldenburger Raum,Insgesamt,,%,RA_10,100.0
2019,Westniedersachsen,Insgesamt,,%,RA_11,100.0
2019,Statistische Region Weser-Ems,Insgesamt,,%,,100.0
2019,Niedersachsen,Insgesamt,,%,,100.0
2018,Ostniedersachsen,Insgesamt,,%,RA_01,100.0
2018,Südniedersachsen,Insgesamt,,%,RA_02,100.000009591963
2018,Statistische Region Braunschweig,Insgesamt,,%,,100.0
2018,Region Hannover,Insgesamt,,%,,100.000002878
2018,"dav. Hannover, Landeshauptstadt",Insgesamt,,%,RA_03,100.000004957918
2018,"dav. Hannover, Umland",Insgesamt,,%,RA_04,100.0
2018,Weser-Leine-Bergland,Insgesamt,,%,RA_05,100.0
2018,Mittelniedersachsen,Insgesamt,,%,RA_06,100.0
2018,Statistische Region Hannover,Insgesamt,,%,,100.0
2018,Nordniedersachsen,Insgesamt,,%,RA_07,100.0
2018,Nordostniedersachsen,Insgesamt,,%,RA_08,99.9999924562622
2018,Statistische Region Lüneburg,Insgesamt,,%,,100.0
2018,Ostfriesland-Nordseeküste,Insgesamt,,%,RA_09,100.0
2018,Oldenburger Raum,Insgesamt,,%,RA_10,99.9999928937643
2018,Westniedersachsen,Insgesamt,,%,RA_11,99.9999965048173
2018,Statistische Region Weser-Ems,Insgesamt,,%,,100.000001849495
2018,Niedersachsen,Insgesamt,,%,,100.0
2017,Ostniedersachsen,Insgesamt,,%,RA_01,100.0
2017,Südniedersachsen,Insgesamt,,%,RA_02,100.0
2017,Statistische Region Braunschweig,Insgesamt,,%,,100.0
2017,Region Hannover,Insgesamt,,%,,100.0
2017,"dav. Hannover, Landeshauptstadt",Insgesamt,,%,RA_03,100.0
2017,"dav. Hannover, Umland",Insgesamt,,%,RA_04,99.9999932381211
2017,Weser-Leine-Bergland,Insgesamt,,%,RA_05,100.0
2017,Mittelniedersachsen,Insgesamt,,%,RA_06,100.0
2017,Statistische Region Hannover,Insgesamt,,%,,100.00000188987
2017,Nordniedersachsen,Insgesamt,,%,RA_07,100.0
2017,Nordostniedersachsen,Insgesamt,,%,RA_08,100.000007827121
2017,Statistische Region Lüneburg,Insgesamt,,%,,99.9999965148844
2017,Ostfriesland-Nordseeküste,Insgesamt,,%,RA_09,100.0
2017,Oldenburger Raum,Insgesamt,,%,RA_10,100.0
2017,Westniedersachsen,Insgesamt,,%,RA_11,99.9999963134527
2017,Statistische Region Weser-Ems,Insgesamt,,%,,100.0
2017,Niedersachsen,Insgesamt,,%,,100.0
2016,Ostniedersachsen,Insgesamt,,%,RA_01,99.9999953571365
2016,Südniedersachsen,Insgesamt,,%,RA_02,100.000009292505
2016,Statistische Region Braunschweig,Insgesamt,,%,,100.0
2016,Region Hannover,Insgesamt,,%,,100.0
2016,"dav. Hannover, Landeshauptstadt",Insgesamt,,%,RA_03,100.0
2016,"dav. Hannover, Umland",Insgesamt,,%,RA_04,100.0
2016,Weser-Leine-Bergland,Insgesamt,,%,RA_05,100.0
2016,Mittelniedersachsen,Insgesamt,,%,RA_06,100.0
2016,Statistische Region Hannover,Insgesamt,,%,,100.0
2016,Nordniedersachsen,Insgesamt,,%,RA_07,100.0
2016,Nordostniedersachsen,Insgesamt,,%,RA_08,100.0
2016,Statistische Region Lüneburg,Insgesamt,,%,,100.0
2016,Ostfriesland-Nordseeküste,Insgesamt,,%,RA_09,100.0
2016,Oldenburger Raum,Insgesamt,,%,RA_10,100.000007787391
2016,Westniedersachsen,Insgesamt,,%,RA_11,100.0
2016,Statistische Region Weser-Ems,Insgesamt,,%,,100.0
2016,Niedersachsen,Insgesamt,,%,,100.0
2015,Ostniedersachsen,Insgesamt,,%,RA_01,100.0
2015,Südniedersachsen,Insgesamt,,%,RA_02,100.0
2015,Statistische Region Braunschweig,Insgesamt,,%,,99.999996486689
2015,Region Hannover,Insgesamt,,%,,100.0
2015,"dav. Hannover, Landeshauptstadt",Insgesamt,,%,RA_03,100.0
2015,"dav. Hannover, Umland",Insgesamt,,%,RA_04,100.0
2015,Weser-Leine-Bergland,Insgesamt,,%,RA_05,100.0
2015,Mittelniedersachsen,Insgesamt,,%,RA_06,100.0
2015,Statistische Region Hannover,Insgesamt,,%,,100.0
2015,Nordniedersachsen,Insgesamt,,%,RA_07,100.0
2015,Nordostniedersachsen,Insgesamt,,%,RA_08,100.000008063484
2015,Statistische Region Lüneburg,Insgesamt,,%,,100.0
2015,Ostfriesland-Nordseeküste,Insgesamt,,%,RA_09,100.0
2015,Oldenburger Raum,Insgesamt,,%,RA_10,100.000008228311
2015,Westniedersachsen,Insgesamt,,%,RA_11,100.0
2015,Statistische Region Weser-Ems,Insgesamt,,%,,100.000002273668
2015,Niedersachsen,Insgesamt,,%,,99.9999992858162
2014,Ostniedersachsen,Insgesamt,,%,RA_01,100.0
2014,Südniedersachsen,Insgesamt,,%,RA_02,100.0
2014,Statistische Region Braunschweig,Insgesamt,,%,,100.0
2014,Region Hannover,Insgesamt,,%,,100.0
2014,"dav. Hannover, Landeshauptstadt",Insgesamt,,%,RA_03,100.000006475833
2014,"dav. Hannover, Umland",Insgesamt,,%,RA_04,99.9999914106312
2014,Weser-Leine-Bergland,Insgesamt,,%,RA_05,100.0
2014,Mittelniedersachsen,Insgesamt,,%,RA_06,99.9999868942266
2014,Statistische Region Hannover,Insgesamt,,%,,99.9999976503791
2014,Nordniedersachsen,Insgesamt,,%,RA_07,100.000009109671
2014,Nordostniedersachsen,Insgesamt,,%,RA_08,100.0
2014,Statistische Region Lüneburg,Insgesamt,,%,,100.0
2014,Ostfriesland-Nordseeküste,Insgesamt,,%,RA_09,100.0
2014,Oldenburger Raum,Insgesamt,,%,RA_10,100.0
2014,Westniedersachsen,Insgesamt,,%,RA_11,100.0
2014,Statistische Region Weser-Ems,Insgesamt,,%,,100.000002341892
2014,Niedersachsen,Insgesamt,,%,,100.0
2013,Ostniedersachsen,Insgesamt,,%,RA_01,100.0
2013,Südniedersachsen,Insgesamt,,%,RA_02,99.9999857912828
2013,Statistische Region Braunschweig,Insgesamt,,%,,100.0
2013,Region Hannover,Insgesamt,,%,,100.0
2013,"dav. Hannover, Landeshauptstadt",Insgesamt,,%,RA_03,100.000006332913
2013,"dav. Hannover, Umland",Insgesamt,,%,RA_04,100.0
2013,Weser-Leine-Bergland,Insgesamt,,%,RA_05,100.0
2013,Mittelniedersachsen,Insgesamt,,%,RA_06,100.0
2013,Statistische Region Hannover,Insgesamt,,%,,100.0
2013,Nordniedersachsen,Insgesamt,,%,RA_07,100.0
2013,Nordostniedersachsen,Insgesamt,,%,RA_08,100.0
2013,Statistische Region Lüneburg,Insgesamt,,%,,100.0
2013,Ostfriesland-Nordseeküste,Insgesamt,,%,RA_09,100.000011843399
2013,Oldenburger Raum,Insgesamt,,%,RA_10,100.0
2013,Westniedersachsen,Insgesamt,,%,RA_11,100.0
2013,Statistische Region Weser-Ems,Insgesamt,,%,,100.0
2013,Niedersachsen,Insgesamt,,%,,100.0
2012,Ostniedersachsen,Insgesamt,,%,RA_01,99.9999949879764
2012,Südniedersachsen,Insgesamt,,%,RA_02,100.0
2012,Statistische Region Braunschweig,Insgesamt,,%,,100.0
2012,Region Hannover,Insgesamt,,%,,100.0
2012,"dav. Hannover, Landeshauptstadt",Insgesamt,,%,RA_03,100.000006824049
2012,"dav. Hannover, Umland",Insgesamt,,%,RA_04,100.0
2012,Weser-Leine-Bergland,Insgesamt,,%,RA_05,99.9999870562561
2012,Mittelniedersachsen,Insgesamt,,%,RA_06,99.9999852921299
2012,Statistische Region Hannover,Insgesamt,,%,,100.0
2012,Nordniedersachsen,Insgesamt,,%,RA_07,99.9999903077108
2012,Nordostniedersachsen,Insgesamt,,%,RA_08,100.0
2012,Statistische Region Lüneburg,Insgesamt,,%,,99.9999951485808
2012,Ostfriesland-Nordseeküste,Insgesamt,,%,RA_09,100.0
2012,Oldenburger Raum,Insgesamt,,%,RA_10,100.0
2012,Westniedersachsen,Insgesamt,,%,RA_11,100.0
2012,Statistische Region Weser-Ems,Insgesamt,,%,,100.0
2012,Niedersachsen,Insgesamt,,%,,100.0
2011,Ostniedersachsen,Insgesamt,,%,RA_01,100.0
2011,Südniedersachsen,Insgesamt,,%,RA_02,100.0
2011,Statistische Region Braunschweig,Insgesamt,,%,,100.0
2011,Region Hannover,Insgesamt,,%,,100.0
2011,"dav. Hannover, Landeshauptstadt",Insgesamt,,%,RA_03,100.000006942226
2011,"dav. Hannover, Umland",Insgesamt,,%,RA_04,100.0
2011,Weser-Leine-Bergland,Insgesamt,,%,RA_05,99.999986205951
2011,Mittelniedersachsen,Insgesamt,,%,RA_06,100.000013392609
2011,Statistische Region Hannover,Insgesamt,,%,,100.0
2011,Nordniedersachsen,Insgesamt,,%,RA_07,100.0
2011,Nordostniedersachsen,Insgesamt,,%,RA_08,100.000010253004
2011,Statistische Region Lüneburg,Insgesamt,,%,,100.0
2011,Ostfriesland-Nordseeküste,Insgesamt,,%,RA_09,100.0
2011,Oldenburger Raum,Insgesamt,,%,RA_10,100.0
2011,Westniedersachsen,Insgesamt,,%,RA_11,100.0
2011,Statistische Region Weser-Ems,Insgesamt,,%,,100.0
2011,Niedersachsen,Insgesamt,,%,,100.0
2019,Ostniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_01,157.38541
2019,Südniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_02,67.53021
2019,Statistische Region Braunschweig,mit eigener Migrationserfahrung,,in 1000,,224.91562
2019,Region Hannover,mit eigener Migrationserfahrung,,in 1000,,218.37788
2019,"dav. Hannover, Landeshauptstadt",mit eigener Migrationserfahrung,,in 1000,RA_03,123.49589
2019,"dav. Hannover, Umland",mit eigener Migrationserfahrung,,in 1000,RA_04,94.88199
2019,Weser-Leine-Bergland,mit eigener Migrationserfahrung,,in 1000,RA_05,73.15018
2019,Mittelniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_06,61.53453
2019,Statistische Region Hannover,mit eigener Migrationserfahrung,,in 1000,,353.0626
2019,Nordniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_07,100.41445
2019,Nordostniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_08,92.2486
2019,Statistische Region Lüneburg,mit eigener Migrationserfahrung,,in 1000,,192.66305
2019,Ostfriesland-Nordseeküste,mit eigener Migrationserfahrung,,in 1000,RA_09,75.93053
2019,Oldenburger Raum,mit eigener Migrationserfahrung,,in 1000,RA_10,96.0987
2019,Westniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_11,198.35169
2019,Statistische Region Weser-Ems,mit eigener Migrationserfahrung,,in 1000,,370.38092
2019,Niedersachsen,mit eigener Migrationserfahrung,,in 1000,,1141.02218
2018,Ostniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_01,158.03348
2018,Südniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_02,70.45889
2018,Statistische Region Braunschweig,mit eigener Migrationserfahrung,,in 1000,,228.49236
2018,Region Hannover,mit eigener Migrationserfahrung,,in 1000,,224.86714
2018,"dav. Hannover, Landeshauptstadt",mit eigener Migrationserfahrung,,in 1000,RA_03,131.51768
2018,"dav. Hannover, Umland",mit eigener Migrationserfahrung,,in 1000,RA_04,93.34946
2018,Weser-Leine-Bergland,mit eigener Migrationserfahrung,,in 1000,RA_05,75.90022
2018,Mittelniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_06,56.83519
2018,Statistische Region Hannover,mit eigener Migrationserfahrung,,in 1000,,357.60254
2018,Nordniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_07,102.46619
2018,Nordostniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_08,87.13728
2018,Statistische Region Lüneburg,mit eigener Migrationserfahrung,,in 1000,,189.60347
2018,Ostfriesland-Nordseeküste,mit eigener Migrationserfahrung,,in 1000,RA_09,76.07212
2018,Oldenburger Raum,mit eigener Migrationserfahrung,,in 1000,RA_10,93.03373
2018,Westniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_11,201.03833
2018,Statistische Region Weser-Ems,mit eigener Migrationserfahrung,,in 1000,,370.14419
2018,Niedersachsen,mit eigener Migrationserfahrung,,in 1000,,1145.84256
2017,Ostniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_01,155.35311
2017,Südniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_02,77.51672
2017,Statistische Region Braunschweig,mit eigener Migrationserfahrung,,in 1000,,232.86983
2017,Region Hannover,mit eigener Migrationserfahrung,,in 1000,,227.85482
2017,"dav. Hannover, Landeshauptstadt",mit eigener Migrationserfahrung,,in 1000,RA_03,127.74057
2017,"dav. Hannover, Umland",mit eigener Migrationserfahrung,,in 1000,RA_04,100.11425
2017,Weser-Leine-Bergland,mit eigener Migrationserfahrung,,in 1000,RA_05,77.35312
2017,Mittelniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_06,58.60576
2017,Statistische Region Hannover,mit eigener Migrationserfahrung,,in 1000,,363.8137
2017,Nordniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_07,107.24448
2017,Nordostniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_08,89.64832
2017,Statistische Region Lüneburg,mit eigener Migrationserfahrung,,in 1000,,196.89279
2017,Ostfriesland-Nordseeküste,mit eigener Migrationserfahrung,,in 1000,RA_09,69.8208
2017,Oldenburger Raum,mit eigener Migrationserfahrung,,in 1000,RA_10,96.33027
2017,Westniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_11,197.12905
2017,Statistische Region Weser-Ems,mit eigener Migrationserfahrung,,in 1000,,363.28011
2017,Niedersachsen,mit eigener Migrationserfahrung,,in 1000,,1156.85644
2016,Ostniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_01,151.46925
2016,Südniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_02,77.85485
2016,Statistische Region Braunschweig,mit eigener Migrationserfahrung,,in 1000,,229.3241
2016,Region Hannover,mit eigener Migrationserfahrung,,in 1000,,214.18256
2016,"dav. Hannover, Landeshauptstadt",mit eigener Migrationserfahrung,,in 1000,RA_03,122.72095
2016,"dav. Hannover, Umland",mit eigener Migrationserfahrung,,in 1000,RA_04,91.46161
2016,Weser-Leine-Bergland,mit eigener Migrationserfahrung,,in 1000,RA_05,65.16301
2016,Mittelniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_06,51.94218
2016,Statistische Region Hannover,mit eigener Migrationserfahrung,,in 1000,,331.28775
2016,Nordniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_07,94.80224
2016,Nordostniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_08,86.66833
2016,Statistische Region Lüneburg,mit eigener Migrationserfahrung,,in 1000,,181.47057
2016,Ostfriesland-Nordseeküste,mit eigener Migrationserfahrung,,in 1000,RA_09,59.32565
2016,Oldenburger Raum,mit eigener Migrationserfahrung,,in 1000,RA_10,91.16022
2016,Westniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_11,198.23793
2016,Statistische Region Weser-Ems,mit eigener Migrationserfahrung,,in 1000,,348.72379
2016,Niedersachsen,mit eigener Migrationserfahrung,,in 1000,,1090.80621
2015,Ostniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_01,142.82708
2015,Südniedersachsen,mit eigener Migrationserfahrung,,in 1000,RA_02,54.40752
2015,Statistische Region Braunschweig,mit eigener Migrationserfahrung,,in 1000,,197.23459
2015,Region Hannover,mit eigener Migrationserfahrung,,in 1000,,194.16579
2015,"dav. Hannover, Landeshauptstadt",mit eigener Migrationserfahrung,,in 1000,RA_03,113.69331
2015,"dav. Hannover, Umland",mit eigener Migrationserfahrung,,in 1000,RA_04,80.47248
