Year,Herkunftsland,Insgesamt,Value
2017,Rumänien,dav. Männer,20.5
2017,Spanien,dav. Männer,8.2
2017,Vereinigtes Königreich,dav. Männer,11.7
2017,Kosovo,dav. Männer,21.3
2017,Russische Föderation,dav. Männer,95.9
2017,Serbien,dav. Männer,13.5
2017,Türkei,dav. Männer,96.3
2017,Ukraine,dav. Männer,11.7
2017,EU-Staaten,dav. Männer,278.5
2017,Afrika,dav. Männer,33.8
2017,Ägypten  Algerien  Libyen  Tunesien,dav. Männer,8.1
2017,Amerika,dav. Männer,12.8
2017,Asien  Australien und Ozeanien,dav. Männer,238.4
2017,Irak,dav. Männer,20.2
2017,Iran,dav. Männer,10.2
2017,Kasachstan,dav. Männer,81.9
2017,Syrien,dav. Männer,50
2017,Afghanistan,dav. Männer,12.3
2017,Vietnam,dav. Männer,8.5
2017,Ohne Angabe,dav. Männer,32.9
2017,Insgesamt,dav. Männer,864.9
2015,Europa,dav. Männer,450
2015,Türkei,dav. Männer,99.1
2015,Polen,dav. Männer,80
2015,Russische Föderation,dav. Männer,73.4
2015,Niederlande,dav. Männer,26.3
2015,Italien,dav. Männer,20.9
2015,Rumänien,dav. Männer,12.4
2015,Sowjetunion,dav. Männer,12.6
2015,Griechenland,dav. Männer,11.7
2015,Serbien,dav. Männer,10.5
2015,Kosovo,dav. Männer,10.4
2015,Ukraine,dav. Männer,8.2
2015,Spanien,dav. Männer,8.2
2015,Bulgarien,dav. Männer,6.7
2015,Österreich,dav. Männer,8.1
2015,EU-Staaten,dav. Männer,208.7
2015,Afrika,dav. Männer,17.5
2015,Amerika,dav. Männer,10.8
2015,Asien  Australien und Ozeanien,dav. Männer,152.6
2015,Kasachstan,dav. Männer,65.4
2015,Syrien,dav. Männer,12.9
2015,Libanon,dav. Männer,9.4
2015,Vietnam,dav. Männer,9.1
2015,Iran,dav. Männer,8.7
2015,Irak,dav. Männer,9.3
2015,Ohne Angabe,dav. Männer,81.3
2015,Insgesamt,dav. Männer,712.1
2014,Europa,dav. Männer,453
2014,Türkei,dav. Männer,97.1
2014,Russische Föderation,dav. Männer,82.1
2014,Polen,dav. Männer,83.8
2014,Niederlande,dav. Männer,26.2
2014,Italien,dav. Männer,18.4
2014,Sowjetunion,dav. Männer,14.1
2014,Ukraine,dav. Männer,11.6
2014,Serbien,dav. Männer,11.1
2014,Rumänien,dav. Männer,10.3
2014,Kosovo,dav. Männer,9.9
2014,Griechenland,dav. Männer,9.5
2014,Spanien,dav. Männer,9.3
2014,Vereinigtes Königreich,dav. Männer,8.9
2014,Kroatien,dav. Männer,6.8
2014,Österreich,dav. Männer,7.1
2014,EU-Staaten,dav. Männer,207
2014,Afrika,dav. Männer,21
2014,Amerika,dav. Männer,10
2014,Asien  Australien und Ozeanien,dav. Männer,136
2014,Kasachstan,dav. Männer,62.6
2014,Vietnam,dav. Männer,8
2014,Libanon,dav. Männer,9.1
2014,Iran,dav. Männer,6.6
2014,Syrien,dav. Männer,6.4
2014,Ohne Angabe,dav. Männer,62
2014,Insgesamt,dav. Männer,682
2019,Europa ,dav. Frauen,529.266
2019,Bulgarien ,dav. Frauen,11.125
2019,Frankreich ,dav. Frauen,/
2019,Griechenland ,dav. Frauen,10.549
2019,Italien ,dav. Frauen,15.278
2019,Kroatien ,dav. Frauen,7.31
2019,Niederlande ,dav. Frauen,15.845
2019,Österreich ,dav. Frauen,6.7
2019,Polen ,dav. Frauen,125.143
2019,Portugal ,dav. Frauen,/
2019,Rumänien ,dav. Frauen,20.759
2019,Spanien ,dav. Frauen,7.147
2019,Vereinigtes Königreich ,dav. Frauen,7.297
2019, Sonstiges Europa ,dav. Frauen,268.362
2019,Bosnien und Herzegowina ,dav. Frauen,8.677
2019,Kosovo ,dav. Frauen,21.969
2019,Russische Föderation ,dav. Frauen,95.732
2019,Serbien ,dav. Frauen,10.346
2019,Türkei ,dav. Frauen,91.919
2019,Ukraine ,dav. Frauen,15.472
2019,EU-Staaten,dav. Frauen,260.904
2019,Afrika ,dav. Frauen,19.84
2019,Marokko ,dav. Frauen,/
2019,Ägypten  Algerien  Libyen  Tunesien ,dav. Frauen,/
2019,Amerika ,dav. Frauen,18.329
2019,Asien  Australien und Ozeanien ,dav. Frauen,221.828
2019,Irak ,dav. Frauen,17.496
2019,Iran ,dav. Frauen,7.821
2019,Kasachstan ,dav. Frauen,77.056
2019,Syrien ,dav. Frauen,38.459
2019,Afghanistan ,dav. Frauen,10.168
2019,Vietnam ,dav. Frauen,9.384
2019,Ohne Angabe,dav. Frauen,24.212
2019,Insgesamt,dav. Frauen,849.515
2018,Europa,dav. Frauen,526
2018,Bulgarien,dav. Frauen,9
2018,Griechenland,dav. Frauen,11
2018,Italien,dav. Frauen,16
2018,Niederlande,dav. Frauen,20
2018,Polen,dav. Frauen,130
2018,Rumänien,dav. Frauen,19
2018,Spanien,dav. Frauen,8
2018,Vereinigtes Königreich,dav. Frauen,7
2018,Kosovo,dav. Frauen,19
2018,Russische Föderation,dav. Frauen,94
2018,Serbien,dav. Frauen,9
2018,Türkei,dav. Frauen,89
2018,Ukraine,dav. Frauen,17
2018,EU-Staaten,dav. Frauen,268
2018,Afrika,dav. Frauen,16
2018,Ägypten  Algerien  Libyen  Tunesien,dav. Frauen,/   
2018,Amerika,dav. Frauen,20
2018,Asien  Australien und Ozeanien,dav. Frauen,223
2018,Irak,dav. Frauen,11
2018,Iran,dav. Frauen,8
2018,Kasachstan,dav. Frauen,83
2018,Syrien,dav. Frauen,40
2018,Afghanistan,dav. Frauen,9
2018,Vietnam,dav. Frauen,12
2018,Ohne Angabe,dav. Frauen,18
2018,Insgesamt,dav. Frauen,836
2017,Europa,dav. Frauen,516.6
2017,Bulgarien,dav. Frauen,8.6
2017,Griechenland,dav. Frauen,9.1
2017,Italien,dav. Frauen,12.7
2017,Niederlande,dav. Frauen,15.6
2017,Polen,dav. Frauen,126.1
2017,Rumänien,dav. Frauen,17.7
2017,Spanien,dav. Frauen,8.1
2017,Vereinigtes Königreich,dav. Frauen,/
2017,Kosovo,dav. Frauen,18
2017,Russische Föderation,dav. Frauen,107.1
2017,Serbien,dav. Frauen,10.1
2017,Türkei,dav. Frauen,90.6
2017,Ukraine,dav. Frauen,15.6
2017,EU-Staaten,dav. Frauen,247.3
2017,Afrika,dav. Frauen,16.4
2017,Ägypten  Algerien  Libyen  Tunesien,dav. Frauen,5.8
2017,Amerika,dav. Frauen,18.6
2017,Asien  Australien und Ozeanien,dav. Frauen,207.6
2017,Irak,dav. Frauen,13.2
2017,Iran,dav. Frauen,8.2
2017,Kasachstan,dav. Frauen,77.9
2017,Syrien,dav. Frauen,35.3
2017,Afghanistan,dav. Frauen,6.6
2017,Vietnam,dav. Frauen,9.4
2017,Ohne Angabe,dav. Frauen,31.8
2017,Insgesamt,dav. Frauen,791
2015,Europa,dav. Frauen,433.3
2015,Türkei,dav. Frauen,93.9
2015,Polen,dav. Frauen,83
2015,Russische Föderation,dav. Frauen,79.6
2015,Niederlande,dav. Frauen,19.5
2015,Italien,dav. Frauen,13.3
2015,Rumänien,dav. Frauen,12.6
2015,Sowjetunion,dav. Frauen,12
2015,Griechenland,dav. Frauen,9
2015,Serbien,dav. Frauen,10.1
2015,Kosovo,dav. Frauen,8.9
2015,Ukraine,dav. Frauen,10.8
2015,Spanien,dav. Frauen,7
2015,Bulgarien,dav. Frauen,8.1
2015,Österreich,dav. Frauen,5
2015,EU-Staaten,dav. Frauen,189.9
2015,Afrika,dav. Frauen,11.3
2015,Amerika,dav. Frauen,12.7
2015,Asien  Australien und Ozeanien,dav. Frauen,157.7
2015,Kasachstan,dav. Frauen,72.9
2015,Syrien,dav. Frauen,10.3
2015,Libanon,dav. Frauen,9.9
2015,Vietnam,dav. Frauen,8.6
2015,Iran,dav. Frauen,7
2015,Irak,dav. Frauen,5.4
2015,Ohne Angabe,dav. Frauen,73.1
2015,Insgesamt,dav. Frauen,688.1
2014,Europa,dav. Frauen,443
2014,Türkei,dav. Frauen,95.9
2014,Russische Föderation,dav. Frauen,94.3
2014,Polen,dav. Frauen,81.5
2014,Niederlande,dav. Frauen,21.6
2014,Italien,dav. Frauen,14.4
2014,Sowjetunion,dav. Frauen,15.4
2014,Ukraine,dav. Frauen,14.2
2014,Serbien,dav. Frauen,11.4
2014,Rumänien,dav. Frauen,11.2
2014,Kosovo,dav. Frauen,9.8
2014,Griechenland,dav. Frauen,9
2014,Spanien,dav. Frauen,5.9
2014,Vereinigtes Königreich,dav. Frauen,5
2014,Kroatien,dav. Frauen,5.2
2014,Österreich,dav. Frauen,/
2014,EU-Staaten,dav. Frauen,182
2014,Afrika,dav. Frauen,12
2014,Amerika,dav. Frauen,13
2014,Asien  Australien und Ozeanien,dav. Frauen,142
2014,Kasachstan,dav. Frauen,66.7
2014,Vietnam,dav. Frauen,9.8
2014,Libanon,dav. Frauen,8.7
2014,Iran,dav. Frauen,6.7
2014,Syrien,dav. Frauen,/
2014,Ohne Angabe,dav. Frauen,64
2014,Insgesamt,dav. Frauen,674
