Year,Gebietseinheit,Kategorie,Value
2013,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,74.0
2013,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,85.0
2014,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,72.0
2014,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,85.0
2015,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,77.0
2015,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,90.0
2016,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,78.0
2016,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,88.0
2017,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,71.0
2017,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,84.0
2018,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,73.0
2018,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,82.0
2019,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,78.0
2019,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,81.0
2020,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,75.0
2020,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,81.0
2021,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,74.0
2021,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,80.0
2022,Niedersachsen,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,73.0
2022,Deutschland,Kinder mit Migrationshintergrund 3 bis unter 6 Jahre,78.0
2009,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,14.4
2009,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,24.8
2010,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,18.8
2010,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,27.7
2011,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,22.46
2011,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,30.058
2012,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,26.0
2012,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,33.0
2013,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,29.0
2013,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,35.0
2014,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,33.0
2014,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,38.0
2015,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,34.0
2015,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,38.0
2016,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,34.0
2016,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,38.0
2017,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,37.0
2017,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,40.0
2018,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,39.0
2018,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,60.0
2019,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,41.0
2019,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,42.0
2020,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,37.0
2020,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,43.0
2021,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,40.0
2021,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,42.0
2022,Niedersachsen,Kinder ohne Migrationshintergrund bis unter 3 Jahre,43.0
2022,Deutschland,Kinder ohne Migrationshintergrund bis unter 3 Jahre,43.0
2009,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,93.2
2009,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,95.6
2010,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,92.9
2010,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,94.9
2011,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,94.669
2011,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,96.557
2012,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,98.0
2012,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,96.0
2013,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,102.0
2013,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,98.0
2014,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,103.0
2014,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,98.0
2015,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,102.0
2015,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,97.0
2016,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100.0
2016,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,96.0
2017,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,104.0
2017,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,98.0
2018,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,103.0
2018,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100.0
2019,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100.0
2019,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100.0
2020,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,104.0
2020,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,99.0
2021,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100.0
2021,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,98.0
2022,Niedersachsen,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,102.0
2022,Deutschland,Kinder ohne Migrationshintergrund 3 bis unter 6 Jahre,100.0
