Year,Migrationsstatus,Überwiegender Lebensunterhalt,Units,Value
2020,mit Migrationshintergrund,Rente und Pension,in 1 000,
2019,ohne Migrationshintergrund,Rente und Pension,in 1 000,1534.6
2019,mit Migrationshintergrund,Rente und Pension,in 1 000,167.3
2018,ohne Migrationshintergrund,Rente und Pension,in 1 000,1538.7
2018,mit Migrationshintergrund,Rente und Pension,in 1 000,159.2
2017,ohne Migrationshintergrund,Rente und Pension,in 1 000,1515.0
2017,mit Migrationshintergrund,Rente und Pension,in 1 000,160.0
2016,ohne Migrationshintergrund,Rente und Pension,in 1 000,1593.0
2016,mit Migrationshintergrund,Rente und Pension,in 1 000,152.0
2015,ohne Migrationshintergrund,Rente und Pension,in 1 000,1608.0
2015,mit Migrationshintergrund,Rente und Pension,in 1 000,143.0
2014,ohne Migrationshintergrund,Rente und Pension,in 1 000,1575.0
2014,mit Migrationshintergrund,Rente und Pension,in 1 000,140.0
2013,ohne Migrationshintergrund,Rente und Pension,in 1 000,1581.0
2013,mit Migrationshintergrund,Rente und Pension,in 1 000,137.0
2012,ohne Migrationshintergrund,Rente und Pension,in 1 000,1577.0
2012,mit Migrationshintergrund,Rente und Pension,in 1 000,131.0
2011,ohne Migrationshintergrund,Rente und Pension,in 1 000,1593.0
2011,mit Migrationshintergrund,Rente und Pension,in 1 000,126.0
2021,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,1286.0
2021,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,631.0
2020,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,
2020,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,
2019,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,1362.4
2019,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,625.8
2018,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,1405.5
2018,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,624.2
2017,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,1451.0
2017,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,612.0
2016,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,1547.0
2016,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,585.0
2015,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,1591.0
2015,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,540.0
2014,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,1657.0
2014,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,547.0
2013,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,1683.0
2013,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,557.0
2012,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,1727.0
2012,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,528.0
2011,ohne Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,1714.0
2011,mit Migrationshintergrund,Einkünfte von Angehörigen,in 1 000,504.0
2021,ohne Migrationshintergrund,Sozialhilfe,in 1 000,47.0
2021,mit Migrationshintergrund,Sozialhilfe,in 1 000,36.0
2020,ohne Migrationshintergrund,Sozialhilfe,in 1 000,
2020,mit Migrationshintergrund,Sozialhilfe,in 1 000,
2019,ohne Migrationshintergrund,Sozialhilfe,in 1 000,39.0
2019,mit Migrationshintergrund,Sozialhilfe,in 1 000,40.2
2018,ohne Migrationshintergrund,Sozialhilfe,in 1 000,31.8
2018,mit Migrationshintergrund,Sozialhilfe,in 1 000,40.9
2017,ohne Migrationshintergrund,Sozialhilfe,in 1 000,43.0
2017,mit Migrationshintergrund,Sozialhilfe,in 1 000,46.0
2016,ohne Migrationshintergrund,Sozialhilfe,in 1 000,62.0
2016,mit Migrationshintergrund,Sozialhilfe,in 1 000,55.0
2015,ohne Migrationshintergrund,Sozialhilfe,in 1 000,54.0
2015,mit Migrationshintergrund,Sozialhilfe,in 1 000,40.0
2014,ohne Migrationshintergrund,Sozialhilfe,in 1 000,62.0
2014,mit Migrationshintergrund,Sozialhilfe,in 1 000,30.0
2013,ohne Migrationshintergrund,Sozialhilfe,in 1 000,45.0
2013,mit Migrationshintergrund,Sozialhilfe,in 1 000,25.0
2012,ohne Migrationshintergrund,Sozialhilfe,in 1 000,49.0
2012,mit Migrationshintergrund,Sozialhilfe,in 1 000,25.0
2011,ohne Migrationshintergrund,Sozialhilfe,in 1 000,51.0
2011,mit Migrationshintergrund,Sozialhilfe,in 1 000,28.0
2021,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,212.0
2021,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,90.0
2020,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,
2020,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,
2019,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,140.4
2019,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,89.9
2018,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,140.9
2018,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,89.5
2017,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,185.0
2017,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,118.0
2016,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,138.0
2016,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,100.0
2015,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,139.0
2015,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,41.0
2014,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,104.0
2014,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,26.0
2013,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,92.0
2013,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,30.0
2012,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,136.0
2012,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,36.0
2011,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,133.0
2011,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",in 1 000,30.0
2021,ohne Migrationshintergrund,Insgesamt,Prozent,100.0
2021,mit Migrationshintergrund,Insgesamt,Prozent,100.0
2020,ohne Migrationshintergrund,Insgesamt,Prozent,
2020,mit Migrationshintergrund,Insgesamt,Prozent,
2019,ohne Migrationshintergrund,Insgesamt,Prozent,100.0
2019,mit Migrationshintergrund,Insgesamt,Prozent,100.0
2018,ohne Migrationshintergrund,Insgesamt,Prozent,100.0
2018,mit Migrationshintergrund,Insgesamt,Prozent,100.0
2017,ohne Migrationshintergrund,Insgesamt,Prozent,100.0
2017,mit Migrationshintergrund,Insgesamt,Prozent,100.0
2016,ohne Migrationshintergrund,Insgesamt,Prozent,100.0
2016,mit Migrationshintergrund,Insgesamt,Prozent,100.0
2015,ohne Migrationshintergrund,Insgesamt,Prozent,100.0
2015,mit Migrationshintergrund,Insgesamt,Prozent,100.0
2014,ohne Migrationshintergrund,Insgesamt,Prozent,100.0
2014,mit Migrationshintergrund,Insgesamt,Prozent,100.0
2013,ohne Migrationshintergrund,Insgesamt,Prozent,100.0
2013,mit Migrationshintergrund,Insgesamt,Prozent,100.0
2012,ohne Migrationshintergrund,Insgesamt,Prozent,100.0
2012,mit Migrationshintergrund,Insgesamt,Prozent,100.0
2011,ohne Migrationshintergrund,Insgesamt,Prozent,100.0
2011,mit Migrationshintergrund,Insgesamt,Prozent,100.0
2021,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,45.7233017771134
2021,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,40.5919661733615
2020,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,
2020,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,
2019,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,47.131973457852
2019,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,40.7355575459024
2018,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,46.4052929809047
2018,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,40.4871401805485
2017,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,46.0735506664525
2017,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,37.7425044091711
2016,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,45.0226597905923
2016,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,37.2647427854454
2015,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,44.3394765370915
2015,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,37.7840909090909
2014,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,43.8637424171722
2014,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,38.1791483113069
2013,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,43.3233955750824
2013,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,39.0347764371895
2012,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,42.9429892141757
2012,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,37.2234935163997
2011,ohne Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,42.872487340801
2011,mit Migrationshintergrund,eigene Erwerbs-/ Berufstätigkeit,Prozent,37.1563236449332
2021,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,2.49128051818635
2021,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,9.14376321353065
2020,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,
2020,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,
2019,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,2.46415990824937
2019,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,7.58508732646664
2018,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,2.54986734794144
2018,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,7.63072730369613
2017,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,2.63369198651036
2017,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,7.2310405643739
2016,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,2.78168463822472
2016,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,6.7754077791719
2015,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,3.12838779619018
2015,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,7.95454545454545
2014,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,3.28200342199409
2014,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,7.26872246696035
2013,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,3.3108426172917
2013,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,7.8069552874379
2012,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,3.29738058551618
2012,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,7.85659801678108
2011,ohne Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,3.55992020868498
2011,mit Migrationshintergrund,Arbeitslosengeld I / Hartz IV,Prozent,8.79811468970935
2021,ohne Migrationshintergrund,Rente und Pension,Prozent,26.1252283673808
2021,mit Migrationshintergrund,Rente und Pension,Prozent,10.2536997885835
2020,ohne Migrationshintergrund,Rente und Pension,Prozent,
2020,mit Migrationshintergrund,Rente und Pension,Prozent,
2019,ohne Migrationshintergrund,Rente und Pension,Prozent,25.142950765954
2019,mit Migrationshintergrund,Rente und Pension,Prozent,9.36520376175549
2018,ohne Migrationshintergrund,Rente und Pension,Prozent,25.1989780878451
2018,mit Migrationshintergrund,Rente und Pension,Prozent,9.03877817521149
2017,ohne Migrationshintergrund,Rente und Pension,Prozent,24.3295326802634
2017,mit Migrationshintergrund,Rente und Pension,Prozent,9.40623162845385
2016,ohne Migrationshintergrund,Rente und Pension,Prozent,24.8945147679325
2016,mit Migrationshintergrund,Rente und Pension,Prozent,9.5357590966123
2015,ohne Migrationshintergrund,Rente und Pension,Prozent,24.9032058231377
2015,mit Migrationshintergrund,Rente und Pension,Prozent,10.15625
2014,ohne Migrationshintergrund,Rente und Pension,Prozent,24.4983667755483
2014,mit Migrationshintergrund,Rente und Pension,Prozent,10.2790014684288
2013,ohne Migrationshintergrund,Rente und Pension,Prozent,24.8077828338302
2013,mit Migrationshintergrund,Rente und Pension,Prozent,9.72320794889993
2012,ohne Migrationshintergrund,Rente und Pension,Prozent,24.2989214175655
2012,mit Migrationshintergrund,Rente und Pension,Prozent,9.99237223493516
2011,ohne Migrationshintergrund,Rente und Pension,Prozent,24.443762467393
2011,mit Migrationshintergrund,Rente und Pension,Prozent,9.89787902592302
2021,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,21.358578309251
2021,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,33.3509513742072
2020,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,
2020,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,
2019,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,22.321618743344
2019,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,35.0313479623824
2018,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,23.0175886803577
2018,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,35.4397320161245
2017,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,23.3017504416252
2017,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,35.978835978836
2016,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,24.1756524456946
2016,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,36.7001254705144
2015,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,24.6399256620722
2015,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,38.3522727272727
2014,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,25.7738372997356
2014,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,40.1615271659325
2013,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,26.4082849521418
2013,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,39.5315826827537
2012,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,26.6101694915254
2012,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,40.2745995423341
2011,ohne Migrationshintergrund,Einkünfte von Angehörigen,Prozent,26.3004449900261
2011,mit Migrationshintergrund,Einkünfte von Angehörigen,Prozent,39.5915161036921
2021,ohne Migrationshintergrund,Sozialhilfe,Prozent,0.780601229031722
2021,mit Migrationshintergrund,Sozialhilfe,Prozent,1.90274841437632
2020,ohne Migrationshintergrund,Sozialhilfe,Prozent,
2020,mit Migrationshintergrund,Sozialhilfe,Prozent,
2019,ohne Migrationshintergrund,Sozialhilfe,Prozent,0.638977635782748
2019,mit Migrationshintergrund,Sozialhilfe,Prozent,2.25033587102553
2018,ohne Migrationshintergrund,Sozialhilfe,Prozent,0.520782155841604
2018,mit Migrationshintergrund,Sozialhilfe,Prozent,2.32214841310396
2017,ohne Migrationshintergrund,Sozialhilfe,Prozent,0.690541191585033
2017,mit Migrationshintergrund,Sozialhilfe,Prozent,2.70429159318048
2016,ohne Migrationshintergrund,Sozialhilfe,Prozent,0.968901390842319
2016,mit Migrationshintergrund,Sozialhilfe,Prozent,3.4504391468005
2015,ohne Migrationshintergrund,Sozialhilfe,Prozent,0.836301688090444
2015,mit Migrationshintergrund,Sozialhilfe,Prozent,2.84090909090909
2014,ohne Migrationshintergrund,Sozialhilfe,Prozent,0.964380152434282
2014,mit Migrationshintergrund,Sozialhilfe,Prozent,2.20264317180617
2013,ohne Migrationshintergrund,Sozialhilfe,Prozent,0.706103875725718
2013,mit Migrationshintergrund,Sozialhilfe,Prozent,1.77430801987225
2012,ohne Migrationshintergrund,Sozialhilfe,Prozent,0.755007704160247
2012,mit Migrationshintergrund,Sozialhilfe,Prozent,1.906941266209
2011,ohne Migrationshintergrund,Sozialhilfe,Prozent,0.78256866656437
2011,mit Migrationshintergrund,Sozialhilfe,Prozent,2.19952867242734
2021,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,3.5210097990367
2021,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,4.7568710359408
2020,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,
2020,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,
2019,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.30031948881789
2019,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,5.03246753246753
2018,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.3074907471095
2018,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,5.08147391131551
2017,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.97093303356351
2017,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,6.93709582598472
2016,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.15658696671355
2016,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,6.27352572145546
2015,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.152702493418
2015,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.91193181818182
2014,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,1.61766993311557
2014,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,1.90895741556535
2013,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,1.44359014592813
2013,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.1291696238467
2012,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.09553158705701
2012,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.74599542334096
2011,ohne Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.04081632653061
2011,mit Migrationshintergrund,"eigenes Vermögen, Vermietung, Zinsen, Altenteil, BAföG, Elterngeld und weitere Einkünfte",Prozent,2.356637863315
