Year,Kategorie,Altersgrupppe,Units,Value
2018,Vorläufige Inobhutnahme nach §42a SGB VIII,12 bis unter 14 Jahren,Fälle,20.0
2017,Vorläufige Inobhutnahme nach §42a SGB VIII,12 bis unter 14 Jahren,Fälle,12.0
2024,Vorläufige Inobhutnahme nach §42a SGB VIII,14 bis unter 16 Jahren,Fälle,153.0
2023,Vorläufige Inobhutnahme nach §42a SGB VIII,14 bis unter 16 Jahren,Fälle,273.0
2022,Vorläufige Inobhutnahme nach §42a SGB VIII,14 bis unter 16 Jahren,Fälle,232.0
2021,Vorläufige Inobhutnahme nach §42a SGB VIII,14 bis unter 16 Jahren,Fälle,93.0
2020,Vorläufige Inobhutnahme nach §42a SGB VIII,14 bis unter 16 Jahren,Fälle,79.0
2019,Vorläufige Inobhutnahme nach §42a SGB VIII,14 bis unter 16 Jahren,Fälle,77.0
2018,Vorläufige Inobhutnahme nach §42a SGB VIII,14 bis unter 16 Jahren,Fälle,88.0
2017,Vorläufige Inobhutnahme nach §42a SGB VIII,14 bis unter 16 Jahren,Fälle,95.0
2024,Vorläufige Inobhutnahme nach §42a SGB VIII,16 bis unter 18 Jahren,Fälle,488.0
2023,Vorläufige Inobhutnahme nach §42a SGB VIII,16 bis unter 18 Jahren,Fälle,771.0
2022,Vorläufige Inobhutnahme nach §42a SGB VIII,16 bis unter 18 Jahren,Fälle,476.0
2021,Vorläufige Inobhutnahme nach §42a SGB VIII,16 bis unter 18 Jahren,Fälle,226.0
2020,Vorläufige Inobhutnahme nach §42a SGB VIII,16 bis unter 18 Jahren,Fälle,141.0
2019,Vorläufige Inobhutnahme nach §42a SGB VIII,16 bis unter 18 Jahren,Fälle,171.0
2018,Vorläufige Inobhutnahme nach §42a SGB VIII,16 bis unter 18 Jahren,Fälle,239.0
2017,Vorläufige Inobhutnahme nach §42a SGB VIII,16 bis unter 18 Jahren,Fälle,377.0
2024,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,,Fälle,1190.0
2023,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,,Fälle,1543.0
2022,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,,Fälle,708.0
2021,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,,Fälle,308.0
2020,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,,Fälle,237.0
2019,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,,Fälle,305.0
2018,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,,Fälle,489.0
2017,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,,Fälle,858.0
2024,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,unter 3 Jahren,Fälle,3.0
2023,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,unter 3 Jahren,Fälle,1.0
2022,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,unter 3 Jahren,Fälle,1.0
2021,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,unter 3 Jahren,Fälle,
2020,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,unter 3 Jahren,Fälle,1.0
2019,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,unter 3 Jahren,Fälle,3.0
2018,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,unter 3 Jahren,Fälle,1.0
2017,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,unter 3 Jahren,Fälle,5.0
2024,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,3 bis unter 6 Jahren,Fälle,1.0
2023,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,3 bis unter 6 Jahren,Fälle,2.0
2022,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,3 bis unter 6 Jahren,Fälle,1.0
2021,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,3 bis unter 6 Jahren,Fälle,1.0
2020,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,3 bis unter 6 Jahren,Fälle,5.0
2019,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,3 bis unter 6 Jahren,Fälle,2.0
2018,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,3 bis unter 6 Jahren,Fälle,3.0
2017,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,3 bis unter 6 Jahren,Fälle,9.0
2024,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,6 bis unter 9 Jahren,Fälle,5.0
2023,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,6 bis unter 9 Jahren,Fälle,5.0
2022,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,6 bis unter 9 Jahren,Fälle,4.0
2021,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,6 bis unter 9 Jahren,Fälle,5.0
2020,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,6 bis unter 9 Jahren,Fälle,6.0
2019,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,6 bis unter 9 Jahren,Fälle,7.0
2018,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,6 bis unter 9 Jahren,Fälle,3.0
2017,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,6 bis unter 9 Jahren,Fälle,8.0
2024,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,9 bis unter 12 Jahren,Fälle,18.0
2023,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,9 bis unter 12 Jahren,Fälle,12.0
2022,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,9 bis unter 12 Jahren,Fälle,14.0
2021,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,9 bis unter 12 Jahren,Fälle,6.0
2020,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,9 bis unter 12 Jahren,Fälle,8.0
2019,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,9 bis unter 12 Jahren,Fälle,7.0
2018,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,9 bis unter 12 Jahren,Fälle,12.0
2017,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,9 bis unter 12 Jahren,Fälle,14.0
2024,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,12 bis unter 14 Jahren,Fälle,63.0
2023,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,12 bis unter 14 Jahren,Fälle,45.0
2022,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,12 bis unter 14 Jahren,Fälle,53.0
2021,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,12 bis unter 14 Jahren,Fälle,14.0
2020,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,12 bis unter 14 Jahren,Fälle,13.0
2019,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,12 bis unter 14 Jahren,Fälle,13.0
2018,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,12 bis unter 14 Jahren,Fälle,13.0
2017,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,12 bis unter 14 Jahren,Fälle,23.0
2024,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,14 bis unter 16 Jahren,Fälle,371.0
2023,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,14 bis unter 16 Jahren,Fälle,259.0
2022,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,14 bis unter 16 Jahren,Fälle,158.0
2021,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,14 bis unter 16 Jahren,Fälle,74.0
2020,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,14 bis unter 16 Jahren,Fälle,55.0
2019,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,14 bis unter 16 Jahren,Fälle,83.0
2018,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,14 bis unter 16 Jahren,Fälle,122.0
2017,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,14 bis unter 16 Jahren,Fälle,174.0
2024,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,16 bis unter 18 Jahren,Fälle,1082.0
2023,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,16 bis unter 18 Jahren,Fälle,866.0
2022,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,16 bis unter 18 Jahren,Fälle,477.0
2021,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,16 bis unter 18 Jahren,Fälle,208.0
2020,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,16 bis unter 18 Jahren,Fälle,149.0
2019,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,16 bis unter 18 Jahren,Fälle,190.0
2018,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,16 bis unter 18 Jahren,Fälle,335.0
2017,Reguläre Inobhutnahme nach § 42 Absatz 1 Nummer 3 SGB VIII,16 bis unter 18 Jahren,Fälle,625.0
