Year,Staatsangehörigkeit,Erreichter Abschluss,Schulform,Value
2017,Erfolgreicher Besuch3),Ausländerinnen und Ausländer,Insgesamt,1895
2017,Entlassungen aus dem Berufsvorbereitungsjahr4),Ausländerinnen und Ausländer,Insgesamt,5186
2017,Ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Insgesamt,1167
2017,Insgesamt,Ausländerinnen und Ausländer,Insgesamt,10785
2017,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Insgesamt,3703
2015,Allgemeine Hochschulreife2),Deutsche,Insgesamt,5775
2015,Fachhochschulreife,Deutsche,Insgesamt,14006
2015,Realschulabschluss3),Deutsche,Insgesamt,17626
2015,Hauptschulabschluss,Deutsche,Insgesamt,3121
2015,erfolgreicher Besuch4),Deutsche,Insgesamt,49608
2015,Entlassung aus dem Berufsvorbereitungsjahr5),Deutsche,Insgesamt,3839
2015,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Insgesamt,-
2015,ohne erfolgreichen Besuch/Abschluss,Deutsche,Insgesamt,9936
2015,Insgesamt,Deutsche,Insgesamt,103911
2015,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Insgesamt,21781
2015,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Insgesamt,153
2015,Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,467
2015,Realschulabschluss3),Ausländerinnen und Ausländer,Insgesamt,860
2015,Hauptschulabschluss,Ausländerinnen und Ausländer,Insgesamt,422
2015,erfolgreicher Besuch4),Ausländerinnen und Ausländer,Insgesamt,1709
2015,Entlassung aus dem Berufsvorbereitungsjahr5),Ausländerinnen und Ausländer,Insgesamt,988
2015,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Ausländerinnen und Ausländer,Insgesamt,-
2015,ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Insgesamt,1021
2015,Insgesamt,Ausländerinnen und Ausländer,Insgesamt,5620
2015,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Insgesamt,1664
2014,Allgemeine Hochschulreife2),Deutsche,Insgesamt,5831
2014,Fachhochschulreife,Deutsche,Insgesamt,13626
2014,Realschulabschluss3),Deutsche,Insgesamt,19207
2014,Hauptschulabschluss,Deutsche,Insgesamt,3722
2014,erfolgreicher Besuch4),Deutsche,Insgesamt,52108
2014,Entlassung aus dem Berufsvorbereitungsjahr,Deutsche,Insgesamt,3936
2014,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Insgesamt,-
2014,ohne erfolgreichen Besuch/Abschluss,Deutsche,Insgesamt,10820
2014,Insgesamt,Deutsche,Insgesamt,109250
2014,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Insgesamt,26176
2014,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Insgesamt,146
2014,Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,516
2014,Realschulabschluss3),Ausländerinnen und Ausländer,Insgesamt,816
2014,Hauptschulabschluss,Ausländerinnen und Ausländer,Insgesamt,399
2014,erfolgreicher Besuch4),Ausländerinnen und Ausländer,Insgesamt,1713
2014,Entlassung aus dem Berufsvorbereitungsjahr,Ausländerinnen und Ausländer,Insgesamt,659
2014,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Ausländerinnen und Ausländer,Insgesamt,-
2014,ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Insgesamt,950
2014,Insgesamt,Ausländerinnen und Ausländer,Insgesamt,5199
2014,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Insgesamt,1702
2012,Allgemeine Hochschulreife5),Deutsche,Insgesamt,6178
2012,Fachhochschulreife,Deutsche,Insgesamt,14040
2012,Realschulabschluss,Deutsche,Insgesamt,17810
2012,Hauptschulabschluss,Deutsche,Insgesamt,3695
2012,erfolgreicher Besuch6),Deutsche,Insgesamt,50738
2012,Entlassung aus dem Berufsvorbereitungsjahr,Deutsche,Insgesamt,2978
2012,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Insgesamt,-
2012,ohne erfolgreichen Besuch/Abschluss,Deutsche,Insgesamt,12136
2012,Insgesamt,Deutsche,Insgesamt,107575
2012,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Insgesamt,23647
2012,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Insgesamt,154
2012,Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,509
2012,Realschulabschluss,Ausländerinnen und Ausländer,Insgesamt,806
2012,Hauptschulabschluss,Ausländerinnen und Ausländer,Insgesamt,348
2012,erfolgreicher Besuch3),Ausländerinnen und Ausländer,Insgesamt,1682
2012,Entlassung aus dem Berufsvorbereitungsjahr,Ausländerinnen und Ausländer,Insgesamt,598
2012,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Ausländerinnen und Ausländer,Insgesamt,-
2012,ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Insgesamt,1086
2012,Insgesamt,Ausländerinnen und Ausländer,Insgesamt,5183
2012,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Insgesamt,1466
2011,Allgemeine Hochschulreife2),Deutsche,Insgesamt,5659
2011,Fachhochschulreife,Deutsche,Insgesamt,13619
2011,Realschulabschluss,Deutsche,Insgesamt,18302
2011,Hauptschulabschluss,Deutsche,Insgesamt,4056
2011,erfolgreicher Besuch3),Deutsche,Insgesamt,52869
2011,Entlassung aus dem Berufsvorbereitungsjahr,Deutsche,Insgesamt,3221
2011,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Insgesamt,-
2011,ohne erfolgreichen Besuch/Abschluss,Deutsche,Insgesamt,12385
2011,Insgesamt,Deutsche,Insgesamt,110111
2011,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Insgesamt,23450
2011,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Insgesamt,150
2011,Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,468
2011,Realschulabschluss,Ausländerinnen und Ausländer,Insgesamt,766
2011,Hauptschulabschluss,Ausländerinnen und Ausländer,Insgesamt,332
2011,erfolgreicher Besuch3),Ausländerinnen und Ausländer,Insgesamt,1784
2011,Entlassung aus dem Berufsvorbereitungsjahr,Ausländerinnen und Ausländer,Insgesamt,479
2011,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Ausländerinnen und Ausländer,Insgesamt,-
2011,ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Insgesamt,1022
2011,Insgesamt,Ausländerinnen und Ausländer,Insgesamt,5001
2011,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Insgesamt,1493
2010,Allgemeine Hochschulreife2),Deutsche,Insgesamt,5473
2010,Fachhochschulreife,Deutsche,Insgesamt,12306
2010,Realschulabschluss,Deutsche,Insgesamt,19365
2010,Hauptschulabschluss,Deutsche,Insgesamt,4139
2010,erfolgreicher Besuch3),Deutsche,Insgesamt,56051
2010,Entlassung aus dem Berufsvorbereitungsjahr,Deutsche,Insgesamt,3283
2010,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Insgesamt,-
2010,ohne erfolgreichen Besuch/Abschluss,Deutsche,Insgesamt,12940
2010,Insgesamt,Deutsche,Insgesamt,113557
2010,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Insgesamt,22652
2010,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Insgesamt,94
2010,Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,363
2010,Realschulabschluss,Ausländerinnen und Ausländer,Insgesamt,794
2010,Hauptschulabschluss,Ausländerinnen und Ausländer,Insgesamt,368
2010,erfolgreicher Besuch3),Ausländerinnen und Ausländer,Insgesamt,1746
2010,Entlassung aus dem Berufsvorbereitungsjahr,Ausländerinnen und Ausländer,Insgesamt,432
2010,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Ausländerinnen und Ausländer,Insgesamt,-
2010,ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Insgesamt,1047
2010,Insgesamt,Ausländerinnen und Ausländer,Insgesamt,4844
2010,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Insgesamt,1292
2006,Allgemeine Hochschulreife2),Deutsche,Insgesamt,4541
2006,Fachhochschulreife,Deutsche,Insgesamt,10031
2006,Realschulabschluss,Deutsche,Insgesamt,20611
2006,Hauptschulabschluss,Deutsche,Insgesamt,2599
2006,erfolgreicher Besuch3),Deutsche,Insgesamt,56167
2006,Entlassung aus dem Berufsvorbereitungsjahr,Deutsche,Insgesamt,5147
2006,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Insgesamt,2
2006,ohne erfolgreichen Besuch/Abschluss,Deutsche,Insgesamt,15452
2006,Insgesamt,Deutsche,Insgesamt,114550
2006,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Insgesamt,18924
2006,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Insgesamt,105
2006,Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,239
2006,Realschulabschluss,Ausländerinnen und Ausländer,Insgesamt,783
2006,Hauptschulabschluss,Ausländerinnen und Ausländer,Insgesamt,249
2006,erfolgreicher Besuch3),Ausländerinnen und Ausländer,Insgesamt,1809
2006,Entlassung aus dem Berufsvorbereitungsjahr,Ausländerinnen und Ausländer,Insgesamt,790
2006,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Ausländerinnen und Ausländer,Insgesamt,-
2006,ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Insgesamt,1246
2006,Insgesamt,Ausländerinnen und Ausländer,Insgesamt,5221
2006,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Insgesamt,1292
2005,Allgemeine Hochschulreife2),Deutsche,Insgesamt,4122
2005,Fachhochschulreife,Deutsche,Insgesamt,10311
2005,Realschulabschluss,Deutsche,Insgesamt,20155
2005,Hauptschulabschluss,Deutsche,Insgesamt,2705
2005,erfolgreicher Besuch3),Deutsche,Insgesamt,56327
2005,Entlassung aus dem Berufsvorbereitungsjahr,Deutsche,Insgesamt,5113
2005,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Insgesamt,16
2005,ohne erfolgreichen Besuch/Abschluss,Deutsche,Insgesamt,15275
2005,Insgesamt,Deutsche,Insgesamt,114024
2005,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Insgesamt,18287
2005,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Insgesamt,89
2005,Fachhochschulreife,Ausländerinnen und Ausländer,Insgesamt,267
2005,Realschulabschluss,Ausländerinnen und Ausländer,Insgesamt,870
2005,Hauptschulabschluss,Ausländerinnen und Ausländer,Insgesamt,314
2005,erfolgreicher Besuch3),Ausländerinnen und Ausländer,Insgesamt,1939
2005,Entlassung aus dem Berufsvorbereitungsjahr,Ausländerinnen und Ausländer,Insgesamt,872
2005,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Ausländerinnen und Ausländer,Insgesamt,-
2005,ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Insgesamt,1298
2005,Insgesamt,Ausländerinnen und Ausländer,Insgesamt,5649
2005,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Insgesamt,1267
2019,Allgemeine Hochschulreife2),Deutsche,Berufsschule (Teilzeit),-
2019,Fachhochschulreife,Deutsche,Berufsschule (Teilzeit),88
2019,Schulischer Teil der Fachhochschulreife,Deutsche,Berufsschule (Teilzeit),-
2019,Realschulabschluss,Deutsche,Berufsschule (Teilzeit),7003
2019,Hauptschulabschluss,Deutsche,Berufsschule (Teilzeit),308
2019,Erfolgreicher Besuch3),Deutsche,Berufsschule (Teilzeit),29580
2019,Entlassungen aus dem Berufsvorbereitungsjahr4),Deutsche,Berufsschule (Teilzeit),744
2019,Ohne erfolgreichen Besuch/Abschluss,Deutsche,Berufsschule (Teilzeit),2821
2019,Insgesamt,Deutsche,Berufsschule (Teilzeit),40544
2019,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Berufsschule (Teilzeit),11156
2019,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2019,Fachhochschulreife,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),2
2019,Schulischer Teil der Fachhochschulreife,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2019,Realschulabschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),526
2019,Hauptschulabschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),39
2019,Erfolgreicher Besuch3),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1073
2019,Entlassungen aus dem Berufsvorbereitungsjahr4),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),23
2019,Ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),374
2019,Insgesamt,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),2037
2019,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1764
2018,Fachhochschulreife,Deutsche,Berufsschule (Teilzeit),102
2018,Schulischer Teil der Fachhochschulreife,Deutsche,Berufsschule (Teilzeit),-
2018,Realschulabschluss,Deutsche,Berufsschule (Teilzeit),7352
2018,Hauptschulabschluss,Deutsche,Berufsschule (Teilzeit),263
2018,Erfolgreicher Besuch3),Deutsche,Berufsschule (Teilzeit),30491
2018,Entlassungen aus dem Berufsvorbereitungsjahr4),Deutsche,Berufsschule (Teilzeit),700
2018,Ohne erfolgreichen Besuch/Abschluss,Deutsche,Berufsschule (Teilzeit),2815
2018,Insgesamt,Deutsche,Berufsschule (Teilzeit),41723
2018,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Berufsschule (Teilzeit),11472
2018,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2018,Fachhochschulreife,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),5
2018,Schulischer Teil der Fachhochschulreife,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2018,Realschulabschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),422
2018,Hauptschulabschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),22
2018,Erfolgreicher Besuch3),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1051
2018,Entlassungen aus dem Berufsvorbereitungsjahr4),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),23
2018,Ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),287
2018,Insgesamt,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1810
2018,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1471
2017,Allgemeine Hochschulreife2),Deutsche,Berufsschule (Teilzeit),-
2017,Fachhochschulreife,Deutsche,Berufsschule (Teilzeit),107
2017,Schulischer Teil der Fachhochschulreife,Deutsche,Berufsschule (Teilzeit),-
2017,Realschulabschluss,Deutsche,Berufsschule (Teilzeit),8889
2017,Hauptschulabschluss,Deutsche,Berufsschule (Teilzeit),256
2017,Erfolgreicher Besuch3),Deutsche,Berufsschule (Teilzeit),31093
2017,Entlassungen aus dem Berufsvorbereitungsjahr4),Deutsche,Berufsschule (Teilzeit),811
2017,Ohne erfolgreichen Besuch/Abschluss,Deutsche,Berufsschule (Teilzeit),2981
2017,Insgesamt,Deutsche,Berufsschule (Teilzeit),44137
2017,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Berufsschule (Teilzeit),12269
2017,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2017,Fachhochschulreife,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),3
2017,Schulischer Teil der Fachhochschulreife,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2017,Realschulabschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),428
2017,Hauptschulabschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),15
2017,Erfolgreicher Besuch3),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1009
2017,Entlassungen aus dem Berufsvorbereitungsjahr4),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),32
2017,Ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),267
2017,Insgesamt,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1754
2017,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1163
2015,Allgemeine Hochschulreife2),Deutsche,Berufsschule (Teilzeit),-
2015,Fachhochschulreife,Deutsche,Berufsschule (Teilzeit),105
2015,Realschulabschluss3),Deutsche,Berufsschule (Teilzeit),9671
2015,Hauptschulabschluss,Deutsche,Berufsschule (Teilzeit),257
2015,erfolgreicher Besuch4),Deutsche,Berufsschule (Teilzeit),31960
2015,Entlassung aus dem Berufsvorbereitungsjahr5),Deutsche,Berufsschule (Teilzeit),933
2015,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Berufsschule (Teilzeit),-
2015,ohne erfolgreichen Besuch/Abschluss,Deutsche,Berufsschule (Teilzeit),3359
2015,Insgesamt,Deutsche,Berufsschule (Teilzeit),46285
2015,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Berufsschule (Teilzeit),11060
2015,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2015,Fachhochschulreife,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),3
2015,Realschulabschluss3),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),411
2015,Hauptschulabschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),12
2015,erfolgreicher Besuch4),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),917
2015,Entlassung aus dem Berufsvorbereitungsjahr5),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),26
2015,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2015,ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),264
2015,Insgesamt,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1633
2015,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),733
2014,Allgemeine Hochschulreife2),Deutsche,Berufsschule (Teilzeit),-
2014,Fachhochschulreife,Deutsche,Berufsschule (Teilzeit),82
2014,Realschulabschluss3),Deutsche,Berufsschule (Teilzeit),10671
2014,Hauptschulabschluss,Deutsche,Berufsschule (Teilzeit),319
2014,erfolgreicher Besuch4),Deutsche,Berufsschule (Teilzeit),33547
2014,Entlassung aus dem Berufsvorbereitungsjahr,Deutsche,Berufsschule (Teilzeit),542
2014,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Berufsschule (Teilzeit),-
2014,ohne erfolgreichen Besuch/Abschluss,Deutsche,Berufsschule (Teilzeit),3518
2014,Insgesamt,Deutsche,Berufsschule (Teilzeit),48679
2014,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Berufsschule (Teilzeit),13622
2014,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2014,Fachhochschulreife,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1
2014,Realschulabschluss3),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),366
2014,Hauptschulabschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),10
2014,erfolgreicher Besuch4),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),873
2014,Entlassung aus dem Berufsvorbereitungsjahr,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),12
2014,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2014,ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),243
2014,Insgesamt,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1505
2014,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),748
2012,Allgemeine Hochschulreife5),Deutsche,Berufsschule (Teilzeit),-
2012,Fachhochschulreife,Deutsche,Berufsschule (Teilzeit),79
2012,Realschulabschluss,Deutsche,Berufsschule (Teilzeit),10795
2012,Hauptschulabschluss,Deutsche,Berufsschule (Teilzeit),402
2012,erfolgreicher Besuch6),Deutsche,Berufsschule (Teilzeit),31944
2012,Entlassung aus dem Berufsvorbereitungsjahr,Deutsche,Berufsschule (Teilzeit),-
2012,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Berufsschule (Teilzeit),-
2012,ohne erfolgreichen Besuch/Abschluss,Deutsche,Berufsschule (Teilzeit),3581
2012,Insgesamt,Deutsche,Berufsschule (Teilzeit),46801
2012,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Berufsschule (Teilzeit),12574
2012,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2012,Fachhochschulreife,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2012,Realschulabschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),390
2012,Hauptschulabschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),15
2012,erfolgreicher Besuch3),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),871
2012,Entlassung aus dem Berufsvorbereitungsjahr,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2012,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
2012,ohne erfolgreichen Besuch/Abschluss,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),258
2012,Insgesamt,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),1534
2012,nachrichtlich: Abbruch im laufenden Schuljahr,Ausländerinnen und Ausländer,Berufsschule (Teilzeit),700
2011,Allgemeine Hochschulreife2),Deutsche,Berufsschule (Teilzeit),-
2011,Fachhochschulreife,Deutsche,Berufsschule (Teilzeit),89
2011,Realschulabschluss,Deutsche,Berufsschule (Teilzeit),11039
2011,Hauptschulabschluss,Deutsche,Berufsschule (Teilzeit),449
2011,erfolgreicher Besuch3),Deutsche,Berufsschule (Teilzeit),32624
2011,Entlassung aus dem Berufsvorbereitungsjahr,Deutsche,Berufsschule (Teilzeit),-
2011,ohne erfolgr. Besuch m. gleichz. erworb. Hauptschulabschl.,Deutsche,Berufsschule (Teilzeit),-
2011,ohne erfolgreichen Besuch/Abschluss,Deutsche,Berufsschule (Teilzeit),3198
2011,Insgesamt,Deutsche,Berufsschule (Teilzeit),47399
2011,nachrichtlich: Abbruch im laufenden Schuljahr,Deutsche,Berufsschule (Teilzeit),12273
2011,Allgemeine Hochschulreife2),Ausländerinnen und Ausländer,Berufsschule (Teilzeit),-
