Year,Migrationsstatus,Haushaltsnettoeinkommen,Haushaltsgröße,COMMENT_OBS,Value
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,465
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,249
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,insgesamt,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,insgesamt,gesperrt,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,18
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,22
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,24
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,26
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,30
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,44
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,74
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,695
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,19
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,82
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,insgesamt,,46
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,insgesamt,,54
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,114
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,89
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,74
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,56
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,46
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,58
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,58
2021,Insgesamt,Insgesamt,insgesamt,,3894    
2021,Insgesamt,unter 500,insgesamt,,83      
2021,Insgesamt,500 - 1000,insgesamt,,335     
2021,Insgesamt,1000 - 1250,insgesamt,,234     
2021,Insgesamt,1250 - 1500,insgesamt,,242     
2021,Insgesamt,1500 - 2000,insgesamt,,534     
2021,Insgesamt,2000 - 2500,insgesamt,,496     
2021,Insgesamt,2500 - 3000,insgesamt,,389     
2021,Insgesamt,3000 - 3500,insgesamt,,347     
2021,Insgesamt,3500 - 4000,insgesamt,,299     
2021,Insgesamt,4000 - 5000,insgesamt,,405     
2021,Insgesamt,5000 und mehr,insgesamt,,532     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,insgesamt,,2986    
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,insgesamt,,57      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,insgesamt,,239     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,insgesamt,,182     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,insgesamt,,186     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,insgesamt,,406     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,insgesamt,,391     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,insgesamt,,294     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,insgesamt,,263     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,insgesamt,,229     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,insgesamt,,316     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,insgesamt,,423     
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,insgesamt,,241     
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,insgesamt,gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,insgesamt,gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,insgesamt,gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,insgesamt,gesperrt,       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,insgesamt,,18      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,insgesamt,,21      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,insgesamt,,28      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,insgesamt,,30      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,insgesamt,,29      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,insgesamt,,38      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,insgesamt,,65      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,insgesamt,,667     
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,insgesamt,,25      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,insgesamt,,94      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,insgesamt,,47      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,insgesamt,,51      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,insgesamt,,110     
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,insgesamt,,84      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,insgesamt,,67      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,insgesamt,,54      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,insgesamt,,41      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,insgesamt,,50      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,insgesamt,,44      
2023,Insgesamt,Insgesamt,Einpersonenhaushalte,,1589
2023,Insgesamt,unter 500,Einpersonenhaushalte,,52
2023,Insgesamt,500 - 1000,Einpersonenhaushalte,,237
2023,Insgesamt,1000 - 1250,Einpersonenhaushalte,,178
2023,Insgesamt,1250 - 1500,Einpersonenhaushalte,,165
2023,Insgesamt,1500 - 2000,Einpersonenhaushalte,,344
2023,Insgesamt,2000 - 2500,Einpersonenhaushalte,,290
2023,Insgesamt,2500 - 3000,Einpersonenhaushalte,,138
2023,Insgesamt,3000 - 3500,Einpersonenhaushalte,,82
2023,Insgesamt,3500 - 4000,Einpersonenhaushalte,,39
2023,Insgesamt,4000 - 5000,Einpersonenhaushalte,,38
2023,Insgesamt,5000 und mehr,Einpersonenhaushalte,,25
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,1288
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,32
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,167
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,142
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,136
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,279
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,250
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,Einpersonenhaushalte,,121
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,Einpersonenhaushalte,,72
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,Einpersonenhaushalte,,35
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,Einpersonenhaushalte,,33
2023,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,Einpersonenhaushalte,,22
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,Einpersonenhaushalte,,
2023,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,Einpersonenhaushalte,,
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,300
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,20
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,70
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,36
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,29
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,64
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,40
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,Einpersonenhaushalte,,17
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,Einpersonenhaushalte,,10
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,Einpersonenhaushalte,gesperrt,
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,Einpersonenhaushalte,gesperrt,
2023,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,Einpersonenhaushalte,gesperrt,
2022,Insgesamt,Insgesamt,Einpersonenhaushalte,,1577
2022,Insgesamt,unter 500,Einpersonenhaushalte,,64
2022,Insgesamt,500 - 1000,Einpersonenhaushalte,,271
2022,Insgesamt,1000 - 1250,Einpersonenhaushalte,,184
2022,Insgesamt,1250 - 1500,Einpersonenhaushalte,,174
2022,Insgesamt,1500 - 2000,Einpersonenhaushalte,,340
2022,Insgesamt,2000 - 2500,Einpersonenhaushalte,,264
2022,Insgesamt,2500 - 3000,Einpersonenhaushalte,,123
2022,Insgesamt,3000 - 3500,Einpersonenhaushalte,,67
2022,Insgesamt,3500 - 4000,Einpersonenhaushalte,,32
2022,Insgesamt,4000 - 5000,Einpersonenhaushalte,,29
2022,Insgesamt,5000 und mehr,Einpersonenhaushalte,,28
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,1291
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,47
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,198
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,151
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,141
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,282
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,226
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,Einpersonenhaushalte,,110
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,Einpersonenhaushalte,,59
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,Einpersonenhaushalte,,29
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,Einpersonenhaushalte,,25
2022,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,Einpersonenhaushalte,,22
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,Einpersonenhaushalte,,
2022,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,Einpersonenhaushalte,,
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,286
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,18
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,73
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,33
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,33
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,58
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,38
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,Einpersonenhaushalte,,13
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,Einpersonenhaushalte,,7
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,Einpersonenhaushalte,gesperrt,
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,Einpersonenhaushalte,gesperrt,
2022,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,Einpersonenhaushalte,gesperrt,
2021,Insgesamt,Insgesamt,Einpersonenhaushalte,,1599    
2021,Insgesamt,unter 500,Einpersonenhaushalte,,78      
2021,Insgesamt,500 - 1000,Einpersonenhaushalte,,305     
2021,Insgesamt,1000 - 1250,Einpersonenhaushalte,,191     
2021,Insgesamt,1250 - 1500,Einpersonenhaushalte,,179     
2021,Insgesamt,1500 - 2000,Einpersonenhaushalte,,337     
2021,Insgesamt,2000 - 2500,Einpersonenhaushalte,,247     
2021,Insgesamt,2500 - 3000,Einpersonenhaushalte,,109     
2021,Insgesamt,3000 - 3500,Einpersonenhaushalte,,68      
2021,Insgesamt,3500 - 4000,Einpersonenhaushalte,,34      
2021,Insgesamt,4000 - 5000,Einpersonenhaushalte,,27      
2021,Insgesamt,5000 und mehr,Einpersonenhaushalte,,24      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,1318    
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,55      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,222     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,157     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,150     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,283     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,219     
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,2500 - 3000,Einpersonenhaushalte,,97      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3000 - 3500,Einpersonenhaushalte,,61      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,3500 - 4000,Einpersonenhaushalte,,30      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,4000 - 5000,Einpersonenhaushalte,,24      
2021,Kein Haushaltsmitglied hat einen Migrationshintergrund,5000 und mehr,Einpersonenhaushalte,,22      
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,Insgesamt,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,unter 500,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,500 - 1000,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1000 - 1250,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1250 - 1500,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,1500 - 2000,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2000 - 2500,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,2500 - 3000,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3000 - 3500,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,3500 - 4000,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,4000 - 5000,Einpersonenhaushalte,,X       
2021,Ein Teil der Haushaltsmitglieder hat einen Migraitonshintergrund,5000 und mehr,Einpersonenhaushalte,,X       
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,Insgesamt,Einpersonenhaushalte,,280     
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,unter 500,Einpersonenhaushalte,,23      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,500 - 1000,Einpersonenhaushalte,,83      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1000 - 1250,Einpersonenhaushalte,,34      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1250 - 1500,Einpersonenhaushalte,,28      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,1500 - 2000,Einpersonenhaushalte,,54      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2000 - 2500,Einpersonenhaushalte,,28      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,2500 - 3000,Einpersonenhaushalte,,12      
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3000 - 3500,Einpersonenhaushalte,Statistisch unsicher,7     
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,3500 - 4000,Einpersonenhaushalte,gesperrt,       
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,4000 - 5000,Einpersonenhaushalte,gesperrt,       
2021,Alle Haushaltsmitglieder haben einen Migrationshintergrund,5000 und mehr,Einpersonenhaushalte,gesperrt,       
2023,Insgesamt,Insgesamt,Mehrpersonenhaushalte (zusammen),,2358
2023,Insgesamt,unter 500,Mehrpersonenhaushalte (zusammen),gesperrt,
2023,Insgesamt,500 - 1000,Mehrpersonenhaushalte (zusammen),,19
2023,Insgesamt,1000 - 1250,Mehrpersonenhaushalte (zusammen),,28
2023,Insgesamt,1250 - 1500,Mehrpersonenhaushalte (zusammen),,47
2023,Insgesamt,1500 - 2000,Mehrpersonenhaushalte (zusammen),,158
2023,Insgesamt,2000 - 2500,Mehrpersonenhaushalte (zusammen),,225
2023,Insgesamt,2500 - 3000,Mehrpersonenhaushalte (zusammen),,254
2023,Insgesamt,3000 - 3500,Mehrpersonenhaushalte (zusammen),,268
