Year,Wanderungsziel,Value
2010,Amerika insgesamt,4047.0
2010,Vereinigte Staaten,1698.0
2010,Asien insgesamt,5517.0
2010,China,1166.0
2010,Australien und Ozeanien,547.0
2010,Sonstige Ziele,2904.0
2010,ohne Angabe,9.0
2010,Insgesamt,62325.0
2011,Europa insgesamt,53877.0
2011,Bulgarien,2627.0
2011,Griechenland,582.0
2011,Italien,1460.0
2011,Kroatien,384.0
2011,Litauen,688.0
2011,Moldau  Republik,44.0
2011,Niederlande,1579.0
2011,Österreich,896.0
2011,Polen,21030.0
2011,Rumänien,8799.0
2011,Schweiz,1391.0
2011,Serbien (ab 2008),1116.0
2011,Spanien,1320.0
2011,Türkei,1727.0
2011,Ukraine,293.0
2011,Ungarn,2534.0
2011,Vereinigtes Königreich  Nordirland,1276.0
2011,EU Staaten,47208.0
2011,Afrika insgesamt,1259.0
2011,Amerika insgesamt,4034.0
2011,Vereinigte Staaten,1785.0
2011,Asien insgesamt,5517.0
2011,China,1113.0
2011,Australien und Ozeanien,535.0
2011,Sonstige Ziele,2615.0
2011,ohne Angabe,43.0
2011,Insgesamt,67837.0
2012,Europa insgesamt,57738.0
2012,Bulgarien,2688.0
2012,Griechenland,732.0
2012,Italien,1227.0
2012,Kroatien,375.0
2012,Litauen,779.0
2012,Moldau  Republik,44.0
2012,Niederlande,1576.0
2012,Österreich,845.0
2012,Polen,23197.0
2012,Rumänien,10064.0
2012,Schweiz,1204.0
2012,Serbien (ab 2008),1262.0
2012,Spanien,1276.0
2012,Türkei,1743.0
2012,Ukraine,261.0
2012,Ungarn,2651.0
2012,Vereinigtes Königreich  Nordirland,1177.0
2012,EU Staaten,50761.0
2012,Afrika insgesamt,1257.0
2012,Amerika insgesamt,3832.0
2012,Vereinigte Staaten,1767.0
2012,Asien insgesamt,5342.0
2012,China,1087.0
2012,Australien und Ozeanien,500.0
2012,Sonstige Ziele,2812.0
2012,ohne Angabe,57.0
2012,Insgesamt,71481.0
2013,Europa insgesamt,63077.0
2013,Bulgarien,2956.0
2013,Griechenland,822.0
2013,Italien,1448.0
2013,Kroatien,533.0
2013,Litauen,873.0
2013,Moldau  Republik,65.0
2013,Niederlande,1538.0
2013,Österreich,901.0
2013,Polen,24637.0
2013,Rumänien,11001.0
2013,Schweiz,1163.0
2013,Serbien (ab 2008),1248.0
2013,Spanien,1655.0
2013,Türkei,1809.0
2013,Ukraine,252.0
2013,Ungarn,3419.0
2013,Vereinigtes Königreich  Nordirland,1227.0
2013,EU Staaten,55590.0
2013,Afrika insgesamt,1355.0
2013,Amerika insgesamt,3847.0
2013,Vereinigte Staaten,1641.0
2013,Asien insgesamt,5163.0
2013,China,1087.0
2013,Australien und Ozeanien,554.0
2013,Sonstige Ziele,1990.0
2013,ohne Angabe,61.0
2013,Insgesamt,75986.0
2014,Europa insgesamt,70667.0
2014,Bulgarien,3884.0
2014,Griechenland,1251.0
2014,Italien,2196.0
2014,Kroatien,672.0
2014,Litauen,983.0
2014,Moldau  Republik,98.0
2014,Niederlande,1661.0
2014,Österreich,904.0
2014,Polen,24817.0
2014,Rumänien,13262.0
2014,Schweiz,1121.0
2014,Serbien (ab 2008),1655.0
2014,Spanien,1957.0
2014,Türkei,1821.0
2014,Ukraine,284.0
2014,Ungarn,3489.0
2014,Vereinigtes Königreich  Nordirland,1531.0
2014,EU Staaten,61810.0
2014,Afrika insgesamt,2023.0
2014,Amerika insgesamt,4067.0
2014,Vereinigte Staaten,1828.0
2014,Asien insgesamt,5882.0
2014,China,1287.0
2014,Australien und Ozeanien,572.0
2014,Sonstige Ziele,1927.0
2014,ohne Angabe,20.0
2014,Insgesamt,85138.0
2015,Europa insgesamt,71404.0
2015,Bulgarien,3816.0
2015,Griechenland,915.0
2015,Italien,2040.0
2015,Kroatien,871.0
2015,Litauen,735.0
2015,Moldau  Republik,157.0
2015,Niederlande,1615.0
2015,Österreich,793.0
2015,Polen,22535.0
2015,Rumänien,14396.0
2015,Schweiz,1078.0
2015,Serbien (ab 2008),2648.0
2015,Spanien,1623.0
2015,Türkei,1644.0
2015,Ukraine,317.0
2015,Ungarn,2997.0
2015,Vereinigtes Königreich  Nordirland,1497.0
2015,EU Staaten,58568.0
2015,Afrika insgesamt,2438.0
2015,Amerika insgesamt,3859.0
2015,Vereinigte Staaten,1637.0
2015,Asien insgesamt,5817.0
2015,China,1371.0
2015,Australien und Ozeanien,531.0
2015,Sonstige Ziele,3002.0
2015,ohne Angabe,1548.0
2015,Insgesamt,87051.0
2016,Europa insgesamt,88788.0
2016,Bulgarien,5272.0
2016,Griechenland,1336.0
2016,Italien,2521.0
2016,Kroatien,1119.0
2016,Litauen,978.0
2016,Moldau  Republik,369.0
2016,Niederlande,1744.0
2016,Österreich,902.0
2016,Polen,23500.0
2016,Rumänien,19889.0
2016,Schweiz,930.0
2016,Serbien (ab 2008),3256.0
2016,Spanien,1936.0
2016,Türkei,1926.0
2016,Ukraine,478.0
2016,Ungarn,3035.0
2016,Vereinigtes Königreich  Nordirland,1339.0
2016,EU Staaten,68721.0
2016,Afrika insgesamt,6689.0
2016,Amerika insgesamt,4286.0
2016,Vereinigte Staaten,1847.0
2016,Asien insgesamt,7351.0
2016,China,1499.0
2016,Australien und Ozeanien,593.0
2016,Sonstige Ziele,29314.0
2016,ohne Angabe,26271.0
2016,Insgesamt,137021.0
2017,Europa insgesamt,74075.0
2017,Bulgarien,4786.0
2017,Griechenland,1197.0
2017,Italien,2241.0
2017,Kroatien,974.0
2017,Litauen,907.0
2017,Moldau  Republik,466.0
2017,Niederlande,1657.0
2017,Österreich,887.0
2017,Polen,19715.0
2017,Rumänien,20284.0
2017,Schweiz,906.0
2017,Serbien (ab 2008),1385.0
2017,Spanien,1568.0
2017,Türkei,1636.0
2017,Ukraine,708.0
2017,Ungarn,2765.0
2017,Vereinigtes Königreich  Nordirland,1090.0
2017,EU Staaten,62569.0
2017,Afrika insgesamt,4200.0
2017,Amerika insgesamt,3611.0
2017,Vereinigte Staaten,1556.0
2017,Asien insgesamt,5946.0
2017,China,1469.0
2017,Australien und Ozeanien,566.0
2017,Sonstige Ziele,18898.0
2017,ohne Angabe,17357.0
2017,Insgesamt,107296.0
2018,Europa insgesamt,78856.0
2018,Bulgarien,5917.0
2018,Griechenland,1253.0
2018,Italien,2369.0
2018,Kroatien,1302.0
2018,Litauen,1106.0
2018,Moldau  Republik,844.0
2018,Niederlande,1725.0
2018,Österreich,932.0
2018,Polen,19819.0
2018,Rumänien,24730.0
2018,Schweiz,826.0
2018,Serbien (ab 2008),1235.0
2018,Spanien,1715.0
2018,Türkei,1901.0
2018,Ukraine,683.0
2018,Ungarn,2578.0
2018,Vereinigtes Königreich  Nordirland,1193.0
2018,EU Staaten,69033.0
2018,Afrika insgesamt,2701.0
2018,Amerika insgesamt,3577.0
2018,Vereinigte Staaten,1446.0
2018,Asien insgesamt,6360.0
2018,China,1522.0
2018,Australien und Ozeanien,524.0
2018,Sonstige Ziele,17345.0
2018,ohne Angabe,16512.0
2018,Insgesamt,109363.0
2019,Europa insgesamt,81579.0
2019,Bulgarien,6733.0
2019,Griechenland,1378.0
2019,Italien,2546.0
2019,Kroatien,1489.0
2019,Litauen,1408.0
2019,Moldau  Republik,1098.0
2019,Niederlande,1891.0
2019,Österreich,974.0
2019,Polen,19712.0
2019,Rumänien,25445.0
2019,Schweiz,984.0
2019,Serbien (ab 2008),1152.0
2019,Spanien,1641.0
2019,Türkei,1769.0
2019,Ukraine,1070.0
2019,Ungarn,2332.0
2019,Vereinigtes Königreich  Nordirland,1200.0
2019,EU Staaten,71647.0
2019,Afrika insgesamt,2560.0
2019,Amerika insgesamt,3820.0
2019,Vereinigte Staaten,1482.0
2019,Asien insgesamt,6229.0
2019,China,1559.0
2019,Australien und Ozeanien,497.0
2019,Sonstige Ziele,18248.0
2019,ohne Angabe,17373.0
2019,Insgesamt,112933.0
2020,Europa insgesamt,62401.0
2020,Bulgarien,5255.0
2020,Griechenland,1150.0
2020,Italien,1734.0
2020,Kroatien,1049.0
2020,Litauen,1351.0
2020,Moldau  Republik,958.0
2020,Niederlande,1498.0
2020,Österreich,861.0
2020,Polen,14364.0
2020,Rumänien,19738.0
2020,Schweiz,770.0
2020,Serbien (ab 2008),805.0
2020,Spanien,1173.0
2020,Türkei,1395.0
2020,Ukraine,752.0
2020,Ungarn,2020.0
2020,Vereinigtes Königreich  Nordirland,887.0
2020,EU Staaten,55071.0
2020,Afrika insgesamt,2013.0
2020,Amerika insgesamt,2624.0
2020,Vereinigte Staaten,958.0
2020,Asien insgesamt,4526.0
2020,China,1309.0
2020,Australien und Ozeanien,287.0
2020,Sonstige Ziele,14276.0
2020,ohne Angabe,13852.0
2020,Insgesamt,86127.0
