Year,Kategorie,Migrationsstatus,Geschlecht,Units,Value
2016,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,74.22
2016,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.49
2015,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.38
2015,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,74.43
2015,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.43
2014,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.01
2014,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,74.0
2014,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.53
2013,Erwerbsquote,ohne Migrationshintergrund,Männer,%,83.06
2013,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,73.74
2013,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,78.42
2012,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.19
2012,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,72.46
2012,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,77.37
2011,Erwerbsquote,ohne Migrationshintergrund,Männer,%,82.3
2011,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,72.46
2011,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,77.42
2005,Erwerbsquote,ohne Migrationshintergrund,Männer,%,80.35
2005,Erwerbsquote,ohne Migrationshintergrund,Frauen ,%,65.97
2005,Erwerbsquote,ohne Migrationshintergrund,Insgesamt,%,73.21
2025,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.967322860741
2025,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,65.9841424398386
2025,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,72.6326149669099
2024,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.1082696958991
2024,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,64.8138010415351
2024,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,71.5697172644734
2023,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.1347450866633
2023,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,62.9474099116171
2023,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,70.7101929477344
2022,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.6317997901993
2022,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,64.0729627289956
2022,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,71.5432525951557
2021,Erwerbsquote,mit Migrationshintergrund,Männer,%,76.8747771352382
2021,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,62.2286030930432
2021,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.8429716091379
2019,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.47
2019,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,62.96
2019,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,71.08
2018,Erwerbsquote,mit Migrationshintergrund,Männer,%,76.77
2018,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,61.86
2018,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.68
2017,Erwerbsquote,mit Migrationshintergrund,Männer,%,75.95
2017,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,61.84
2017,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.27
2016,Erwerbsquote,mit Migrationshintergrund,Männer,%,75.3
2016,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,60.19
2016,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,68.15
2015,Erwerbsquote,mit Migrationshintergrund,Männer,%,77.13
2015,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,61.02
2015,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.17
2014,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.0
2014,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,61.62
2014,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.82
2013,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.29
2013,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,62.97
2013,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,70.66
2012,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.41
2012,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,61.59
2012,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,70.0
2011,Erwerbsquote,mit Migrationshintergrund,Männer,%,78.6
2011,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,61.52
2011,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,69.98
2005,Erwerbsquote,mit Migrationshintergrund,Männer,%,75.94
2005,Erwerbsquote,mit Migrationshintergrund,Frauen ,%,54.55
2005,Erwerbsquote,mit Migrationshintergrund,Insgesamt,%,65.45
2025,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,80.6229127341368
2025,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,65.1339021550326
2025,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,73.0743824719728
2024,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,79.4496671673064
2024,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,63.0590254600934
2024,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,71.3705507398981
2023,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,80.1276950843214
2023,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,62.0225485475847
2023,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,71.224242185111
2022,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,81.9207557071635
2022,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,63.8414159887326
2022,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,73.0646456741561
2021,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,79.8074260273097
2021,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,62.176414189837
2021,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,71.2966534066491
2019,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,81.79
2019,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,63.49
2019,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,73.02
2018,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,80.5
2018,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,63.85
2018,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,72.51
2017,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,78.46
2017,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,62.82
2017,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,71.04
2016,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,78.64
2016,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,62.56
2016,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,70.95
2015,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,81.93
2015,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,64.28
2015,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,73.09
2014,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,83.32
2014,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,65.09
2014,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,74.12
2013,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,83.11
2013,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,65.9
2013,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,74.45
2012,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,83.76
2012,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,64.57
2012,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,73.99
2011,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,84.19
2011,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,64.0
2011,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,73.77
2005,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Männer,%,78.64
2005,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Frauen ,%,55.86
2005,Erwerbsquote,mit Migrationshintergrund und eigener Migrationserfahrung,Insgesamt,%,67.29
2025,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,74.4788593903638
2025,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,68.2682939336444
2025,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,71.4407630522089
2024,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,74.4291308549051
2024,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,69.7064766563863
2024,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,72.1204086407237
2023,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,72.2423198392191
2023,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,65.8144585789637
2023,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,69.1529973158366
2022,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,69.1609449551961
2022,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,64.7660168899613
2022,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,67.0573232936604
2021,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,69.0340585488097
2021,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,62.3737854829491
2021,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,65.8850022519141
2019,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,61.64
2019,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,52.55
2019,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,57.54
2018,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,60.37
2018,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,52.14
2018,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,56.62
2017,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,60.8
2017,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,50.81
2017,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,56.25
2016,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,59.98
2016,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,47.99
2016,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,54.58
2015,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,55.23
2015,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,43.78
2015,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,49.92
2014,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,54.37
2014,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,44.17
2014,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,49.54
2013,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,54.64
2013,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,43.21
2013,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,49.25
2012,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,54.19
2012,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,44.81
2012,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,49.93
2011,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,54.02
2011,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,47.35
2011,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,51.02
2005,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Männer,%,60.46
2005,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Frauen ,%,44.98
2005,Erwerbsquote,mit Migrationshintergrund und ohne eigene Migrationserfahrung,Insgesamt,%,53.67
2025,Erwerbstätigenquote,Insgesamt,Männer,%,79.7718183683503
2025,Erwerbstätigenquote,Insgesamt,Frauen ,%,73.0757257527456
2025,Erwerbstätigenquote,Insgesamt,Insgesamt,%,79.3482973164035
2024,Erwerbstätigenquote,Insgesamt,Männer,%,79.6975734197556
2024,Erwerbstätigenquote,Insgesamt,Frauen ,%,72.6915212195189
2024,Erwerbstätigenquote,Insgesamt,Insgesamt,%,79.0435357483132
2023,Erwerbstätigenquote,Insgesamt,Männer,%,79.9499085387032
2023,Erwerbstätigenquote,Insgesamt,Frauen ,%,72.6619211514393
2023,Erwerbstätigenquote,Insgesamt,Insgesamt,%,78.9983430683732
2022,Erwerbstätigenquote,Insgesamt,Männer,%,79.7438567021841
2022,Erwerbstätigenquote,Insgesamt,Frauen ,%,72.646138012578
2022,Erwerbstätigenquote,Insgesamt,Insgesamt,%,78.6965752396474
2021,Erwerbstätigenquote,Insgesamt,Männer,%,78.0979692709426
2021,Erwerbstätigenquote,Insgesamt,Frauen ,%,70.760718348322
2021,Erwerbstätigenquote,Insgesamt,Insgesamt,%,76.5557336744845
2019,Erwerbstätigenquote,Insgesamt,Männer,%,80.0
2019,Erwerbstätigenquote,Insgesamt,Frauen ,%,71.85
2019,Erwerbstätigenquote,Insgesamt,Insgesamt,%,75.98
2018,Erwerbstätigenquote,Insgesamt,Männer,%,79.08
2018,Erwerbstätigenquote,Insgesamt,Frauen ,%,71.38
2018,Erwerbstätigenquote,Insgesamt,Insgesamt,%,75.29
2017,Erwerbstätigenquote,Insgesamt,Männer,%,78.13
2017,Erwerbstätigenquote,Insgesamt,Frauen ,%,70.3
2017,Erwerbstätigenquote,Insgesamt,Insgesamt,%,74.29
2016,Erwerbstätigenquote,Insgesamt,Männer,%,77.32
2016,Erwerbstätigenquote,Insgesamt,Frauen ,%,69.0
2016,Erwerbstätigenquote,Insgesamt,Insgesamt,%,73.23
2015,Erwerbstätigenquote,Insgesamt,Männer,%,77.6
2015,Erwerbstätigenquote,Insgesamt,Frauen ,%,69.1
2015,Erwerbstätigenquote,Insgesamt,Insgesamt,%,73.38
2014,Erwerbstätigenquote,Insgesamt,Männer,%,77.85
2014,Erwerbstätigenquote,Insgesamt,Frauen ,%,68.73
2014,Erwerbstätigenquote,Insgesamt,Insgesamt,%,73.32
2013,Erwerbstätigenquote,Insgesamt,Männer,%,77.78
2013,Erwerbstätigenquote,Insgesamt,Frauen ,%,68.43
2013,Erwerbstätigenquote,Insgesamt,Insgesamt,%,73.12
2012,Erwerbstätigenquote,Insgesamt,Männer,%,77.28
2012,Erwerbstätigenquote,Insgesamt,Frauen ,%,67.3
2012,Erwerbstätigenquote,Insgesamt,Insgesamt,%,72.32
2011,Erwerbstätigenquote,Insgesamt,Männer,%,77.15
2011,Erwerbstätigenquote,Insgesamt,Frauen ,%,66.63
2011,Erwerbstätigenquote,Insgesamt,Insgesamt,%,71.92
2005,Erwerbstätigenquote,Insgesamt,Männer,%,70.92
2005,Erwerbstätigenquote,Insgesamt,Frauen ,%,57.68
2005,Erwerbstätigenquote,Insgesamt,Insgesamt,%,64.36
2025,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,82.4009668175952
2025,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,77.4544894738868
2025,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,79.9344206563966
2024,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,82.0630745480267
2024,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,77.311112079674
2024,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,79.7022641458364
2023,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,82.096097422469
2023,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,77.0417145447454
2023,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,79.5719926296394
2022,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,81.6010143967105
2022,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,76.3734568708138
2022,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,78.9901591049173
2021,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,80.1799372553087
2021,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,74.3540789009484
2021,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,77.2677408562915
2019,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,82.12
2019,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,75.37
2019,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,78.75
2018,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,81.22
2018,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,74.78
2018,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,78.03
2017,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,80.69
2017,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,73.9
2017,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,77.33
2016,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,79.59
2016,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,72.01
2016,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,75.83
2015,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,79.03
2015,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,71.93
2015,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,75.5
2014,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,79.19
2014,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,71.31
2014,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,75.28
2013,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,79.26
2013,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,70.65
2013,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,74.97
2012,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,78.59
2012,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,69.52
2012,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,74.1
2011,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,78.44
2011,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,68.82
2011,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,73.66
2005,Erwerbstätigenquote,ohne Migrationshintergrund,Männer,%,72.95
2005,Erwerbstätigenquote,ohne Migrationshintergrund,Frauen ,%,60.09
2005,Erwerbstätigenquote,ohne Migrationshintergrund,Insgesamt,%,66.56
2025,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,73.3982899184728
2025,Erwerbstätigenquote,mit Migrationshintergrund,Frauen ,%,61.9988871887606
2025,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,67.8350585440353
2024,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,73.7220425578172
2024,Erwerbstätigenquote,mit Migrationshintergrund,Frauen ,%,60.7894330511924
2024,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,67.3607898643284
2023,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,74.0285735006164
2023,Erwerbstätigenquote,mit Migrationshintergrund,Frauen ,%,60.0639752588572
2023,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,67.2011089120654
2022,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,74.4088116289525
2022,Erwerbstätigenquote,mit Migrationshintergrund,Frauen ,%,61.388186986734
2022,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,68.0692041522491
2021,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,71.873304289856
2021,Erwerbstätigenquote,mit Migrationshintergrund,Frauen ,%,59.130522391819
2021,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,65.7560417237655
2019,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,73.38
2019,Erwerbstätigenquote,mit Migrationshintergrund,Frauen ,%,59.83
2019,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,66.92
2018,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,71.7
2018,Erwerbstätigenquote,mit Migrationshintergrund,Frauen ,%,58.62
2018,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,65.48
2017,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,70.09
2017,Erwerbstätigenquote,mit Migrationshintergrund,Frauen ,%,57.93
2017,Erwerbstätigenquote,mit Migrationshintergrund,Insgesamt,%,64.34
2016,Erwerbstätigenquote,mit Migrationshintergrund,Männer,%,68.83
2016,Erwerbstätigenquote,mit Migrationshintergrund,Frauen ,%,56.69
