Year,Kategorie,Staat,GeoCode,Value
2019,insgesamt,  Gambia                            ,237.0,880
2019,insgesamt,  Ghana                             ,238.0,2945
2019,insgesamt,  Kamerun                           ,262.0,2005
2019,insgesamt,  Kenia                             ,243.0,665
2019,insgesamt,  Liberia                           ,247.0,645
2019,insgesamt,  Marokko                           ,252.0,2380
2019,insgesamt,  Nigeria                           ,232.0,2835
2019,insgesamt,  Senegal                           ,269.0,265
2019,insgesamt,  Sierra Leone                      ,272.0,125
2019,insgesamt,  Somalia                           ,273.0,3205
2019,insgesamt,  S��dafrika                     ,263.0,515
2019,insgesamt,  Sudan (einschl. S��dsudan) (bis,276.0,240
2019,insgesamt,  Sudan (ab 2011)                   ,277.0,4425
2019,insgesamt,  S��dsudan (ab 2011)            ,278.0,185
2019,insgesamt,  Togo                              ,283.0,575
2019,insgesamt,  Tunesien                          ,285.0,3725
2019,insgesamt,  Kongo Dem. Volksrepublik (ehem.Za,246.0,255
2019,insgesamt,  ��brige afrikanische Staaten   ,,4990
2019,insgesamt,Afrika insgesamt                    ,,42015
2019,insgesamt,  Argentinien                       ,323.0,395
2019,insgesamt,  Bolivien                          ,326.0,145
2019,insgesamt,  Brasilien                         ,327.0,3190
2019,insgesamt,  Chile                             ,332.0,555
2019,insgesamt,  Dominikanische Republik           ,335.0,455
2019,insgesamt,  Kanada                            ,348.0,1020
2019,insgesamt,  Kolumbien                         ,349.0,1875
2019,insgesamt,  Kuba                              ,351.0,390
2019,insgesamt,  Mexiko                            ,353.0,1705
2019,insgesamt,  Peru                              ,361.0,750
2019,insgesamt,  Venezuela                         ,367.0,360
2019,insgesamt,  Vereinigte Staaten                ,368.0,5390
2019,insgesamt,  ��brige amerikanische Staaten  ,,1355
2019,insgesamt,Amerika insgesamt                   ,,17580
2019,insgesamt,  Afghanistan                       ,423.0,21190
2019,insgesamt,  Armenien                          ,422.0,1515
2019,insgesamt,  Aserbaidschan                     ,425.0,1620
2019,insgesamt,  Bangladesch                       ,460.0,375
2019,insgesamt,  China                             ,479.0,10490
2019,insgesamt,  Georgien                          ,430.0,2640
2019,insgesamt,  Indien                            ,436.0,7025
2019,insgesamt,  Indonesien                        ,437.0,1585
2019,insgesamt,  Israel                            ,441.0,695
2019,insgesamt,  Irak                              ,438.0,41035
2019,insgesamt,  Iran Islamische Republik         ,439.0,10780
2019,insgesamt,  Japan                             ,442.0,1465
2019,insgesamt,  Jordanien                         ,445.0,970
2019,insgesamt,  Kasachstan                        ,444.0,4825
2019,insgesamt,  Korea Republik                   ,467.0,1550
2019,insgesamt,  Libanon                           ,451.0,6740
2019,insgesamt,  Malaysia                          ,482.0,565
2019,insgesamt,  Nepal                             ,458.0,755
2019,insgesamt,  Pakistan                          ,461.0,4295
2019,insgesamt,  Die Pal��stin��nsischen Gebi,459.0,1030
2019,insgesamt,  Philippinen                       ,462.0,1870
2019,insgesamt,  Sri Lanka                         ,431.0,1250
2019,insgesamt,  Syrien Arabische Republik        ,475.0,84805
2019,insgesamt,  Taiwan                            ,465.0,460
2019,insgesamt,  Thailand                          ,476.0,4190
2019,insgesamt,  Vietnam                           ,432.0,8760
2019,insgesamt,  ��brige asiatische Staaten     ,,3570
2019,insgesamt,Asien insgesamt                     ,,226045
2019,insgesamt,Australien und Ozeanien             ,,1065
2019,insgesamt,staatenlos                          ,997.0,3540
2019,insgesamt,ungekl��rtoh.Angabeunbekannt   ,,8730
2019,insgesamt,Britische ��berseegebiete        ,185.0,35
2019,insgesamt,Ausl��nder insgesamt             ,,841165
