Year,Migrationsstatus,Altersgruppe,Bildungsstand,Geschlecht,Units,Value
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1004,1593.0
2022,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1005,1603.0
2022,mit Migrationshintergrund,25 - 65,Insgesamt,Ingesamt,1006,1083.0
2022,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1007,550.0
2022,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1008,533.0
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,Ingesamt,1009,4254.0
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1010,2141.0
2021,mit und ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1011,2113.0
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,Ingesamt,1012,3215.0
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,männlich,1013,1607.0
2021,ohne Migrationshintergrund,25 - 65,Insgesamt,weiblich,1014,1608.0
2021,mit Migrationshintergrund,25 - 65,Insgesamt,Ingesamt,1015,1039.0
2021,mit Migrationshintergrund,25 - 65,Insgesamt,männlich,1016,534.0
2021,mit Migrationshintergrund,25 - 65,Insgesamt,weiblich,1017,505.0
2022,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,1018,81.0
2022,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,1019,46.0
2022,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,1020,35.0
2022,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,1021,41.0
2022,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,1022,21.0
2022,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,1023,20.0
2022,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,1024,40.0
2022,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,1025,24.0
2022,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,1026,16.0
2021,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,1027,79.0
2021,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,1028,46.0
2021,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,1029,34.0
2021,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,1030,41.0
2021,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,1031,23.0
2021,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,1032,18.0
2021,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,1033,38.0
2021,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,1034,23.0
2021,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,1035,15.0
2022,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,1000,821.0
2022,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,1001,410.0
2022,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,1002,411.0
2022,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,1003,420.0
2022,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,1004,199.0
2022,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,1005,221.0
2022,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,1006,401.0
2022,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,1007,211.0
2022,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,1008,190.0
2021,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,1009,815.0
2021,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,1010,404.0
2021,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,1011,411.0
2021,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,1012,422.0
2021,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,1013,197.0
2021,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,1014,225.0
2021,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,1015,392.0
2021,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,1016,207.0
2021,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,1017,186.0
2022,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,%,13.0
2022,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,%,14.4
2022,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,%,11.6
2022,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,%,9.5
2022,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,%,9.7
2022,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,%,9.2
2022,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,%,21.2
2022,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,%,24.7
2022,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,%,17.4
2021,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,%,12.8
2021,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,%,14.4
2021,mit und ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,%,11.2
2021,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,%,9.4
2021,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,%,10.5
2021,ohne Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,%,8.4
2021,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,Ingesamt,%,20.9
2021,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,männlich,%,22.8
2021,mit Migrationshintergrund,18 - 25,Frühe Schulabgänger/innen,weiblich,%,18.5
2022,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,%,19.2
2022,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,%,19.1
2022,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,%,19.2
2022,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,%,13.1
2022,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,%,12.5
2022,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,%,13.8
2022,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,%,37.0
2022,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,%,38.4
2022,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,%,35.6
2021,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,%,19.2
2021,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,%,18.9
2021,mit und ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,%,19.4
2021,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,%,13.1
2021,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,%,12.3
2021,ohne Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,%,14.0
2021,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,Ingesamt,%,37.8
2021,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,männlich,%,38.7
2021,mit Migrationshintergrund,25 - 65,Personen mit geringem Bildudngsstand,weiblich,%,36.8
