Year,Herkunftsland,Geschlecht,Units,COMMENT_OBS,Value
2017,Indien ,Insgesamt,in 1000,,6.0
2017,Pakistan ,Insgesamt,in 1000,,9.0
2017,Vietnam,Insgesamt,in 1000,,16.0
2017,Australien und Ozeanien ,Insgesamt,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2017,Unbestimmt,Insgesamt,in 1000,,58.0
2017,"Ohne Angaben, unbestimmt",Insgesamt,in 1000,,149.0
2017,nachrichtlich:,Insgesamt,in 1000,,0.0
2023,Europa,Männer,in 1000,,592.0
2023,Bulgarien,Männer,in 1000,,17.0
2023,Italien,Männer,in 1000,,23.0
2023,Kroatien,Männer,in 1000,,8.0
2023,Polen,Männer,in 1000,,122.0
2023,Rumänien,Männer,in 1000,,27.0
2023,Spanien,Männer,in 1000,,10.0
2023,Sonstiges Europa,Männer,in 1000,,302.0
2023,Kosovo,Männer,in 1000,,21.0
2023,Russische Förderation,Männer,in 1000,,74.0
2023,Serbien,Männer,in 1000,,12.0
2023,Türkei,Männer,in 1000,,101.0
2023,Ukraine,Männer,in 1000,,43.0
2023,EU Staaten,Männer,in 1000,,290.0
2023,Afrika,Männer,in 1000,,50.0
2023,Marokko,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2023,Amerika,Männer,in 1000,,19.0
2023,"Asien, Australien und Ozeanien",Männer,in 1000,,307.0
2023,Afghanistan,Männer,in 1000,,26.0
2023,Irak,Männer,in 1000,,33.0
2023,Kasachstan,Männer,in 1000,,82.0
2023,Syrien,Männer,in 1000,,75.0
2023,Vietnam,Männer,in 1000,,7.0
2023,"Ohne Angaben, unbestimmt",Männer,in 1000,,73.0
2023,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Männer,in 1000,,60.0
2023,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Männer,in 1000,,241.0
2023,Insgesamt,Männer,in 1000,,1041.0
2022,Europa,Männer,in 1000,,584.0
2022,Bulgarien,Männer,in 1000,,16.0
2022,Italien,Männer,in 1000,,22.0
2022,Kroatien,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2022,Polen,Männer,in 1000,,120.0
2022,Rumänien,Männer,in 1000,,32.0
2022,Spanien,Männer,in 1000,,10.0
2022,Sonstiges Europa,Männer,in 1000,,294.0
2022,Kosovo,Männer,in 1000,,26.0
2022,Russische Förderation,Männer,in 1000,,83.0
2022,Serbien,Männer,in 1000,,16.0
2022,Türkei,Männer,in 1000,,103.0
2022,Ukraine,Männer,in 1000,,17.0
2022,EU Staaten,Männer,in 1000,,290.0
2022,Afrika,Männer,in 1000,,45.0
2022,Marokko,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2022,Amerika,Männer,in 1000,,19.0
2022,"Asien, Australien und Ozeanien",Männer,in 1000,,298.0
2022,Afghanistan,Männer,in 1000,,23.0
2022,Irak,Männer,in 1000,,30.0
2022,Kasachstan,Männer,in 1000,,87.0
2022,Syrien,Männer,in 1000,,73.0
2022,Vietnam,Männer,in 1000,,9.0
2022,"Ohne Angaben, unbestimmt",Männer,in 1000,,73.0
2022,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Männer,in 1000,,68.0
2022,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Männer,in 1000,,224.0
2022,Insgesamt,Männer,in 1000,,1019.0
2021,Europa ,Männer,in 1000,,567.0
2021,Bulgarien,Männer,in 1000,"Aussagewert eingeschränkt, da der Zahlenwert statistisch relativ unsicher ist.",12.0
2021,Italien,Männer,in 1000,,25.0
2021,Kroatien,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2021,Polen ,Männer,in 1000,,118.0
2021,Rumänien ,Männer,in 1000,,34.0
2021,Spanien,Männer,in 1000,"Aussagewert eingeschränkt, da der Zahlenwert statistisch relativ unsicher ist.",11.0
2021,Sonstiges Europa ,Männer,in 1000,,277.0
2021,Kosovo,Männer,in 1000,,28.0
2021,Russische Föderation ,Männer,in 1000,,85.0
2021,Serbien,Männer,in 1000,"Aussagewert eingeschränkt, da der Zahlenwert statistisch relativ unsicher ist.",10.0
2021,Türkei ,Männer,in 1000,,95.0
2021,EU Staaten,Männer,in 1000,,291.0
2021,Afrika,Männer,in 1000,,39.0
2021,Marokko,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2021,Amerika,Männer,in 1000,,17.0
2021,"Asien, Australien und Ozeanien",Männer,in 1000,,284.0
2021,Afghanistan,Männer,in 1000,,21.0
2021,Irak,Männer,in 1000,,29.0
2021,Kasachstan,Männer,in 1000,,84.0
2021,Syrien,Männer,in 1000,,67.0
2021,Vietnam,Männer,in 1000,"Aussagewert eingeschränkt, da der Zahlenwert statistisch relativ unsicher ist.",10.0
2021,"Ohne Angaben, unbestimmt",Männer,in 1000,,81.0
2021,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Männer,in 1000,,64.0
2021,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Männer,in 1000,,217.0
2021,Insgesamt,Männer,in 1000,,988.0
2019,Insgesamt,Männer,in 1000,,901.0
2019,Europa ,Männer,in 1000,,540.0
2019,EU Staaten,Männer,in 1000,,286.0
2019,Bulgarien ,Männer,in 1000,,13.0
2019,Frankreich ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2019,Griechenland ,Männer,in 1000,,14.0
2019,Italien,Männer,in 1000,,22.0
2019,Kroatien ,Männer,in 1000,,9.0
2019,Niederlande ,Männer,in 1000,,26.0
2019,Österreich,Männer,in 1000,,6.0
2019,Polen ,Männer,in 1000,,120.0
2019,Portugal ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2019,Rumänien ,Männer,in 1000,,23.0
2019,Spanien ,Männer,in 1000,,10.0
2019,Vereinigtes Königreich ,Männer,in 1000,,13.0
2019,Sonstiges Europa ,Männer,in 1000,,254.0
2019,Bosnien und Herzegowina ,Männer,in 1000,,8.0
2019,Kosovo ,Männer,in 1000,,22.0
2019,Russische Föderation ,Männer,in 1000,,83.0
2019,Serbien ,Männer,in 1000,,10.0
2019,Türkei ,Männer,in 1000,,95.0
2019,Ukraine ,Männer,in 1000,,12.0
2019,Afrika,Männer,in 1000,,34.0
2019,Marokko ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2019,"Ägypten, Algerien, Libyen, Tunesien",Männer,in 1000,,9.0
2019,Amerika,Männer,in 1000,,18.0
2019,Nordamerika ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2019,Vereinigte Staaten ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2019,Mittel- und Südamerika ,Männer,in 1000,,13.0
2019,Asien ,Männer,in 1000,,245.0
2019,Naher und Mittlerer Osten ,Männer,in 1000,,197.0
2019,Irak ,Männer,in 1000,,21.0
2019,Iran ,Männer,in 1000,,13.0
2019,Kasachstan ,Männer,in 1000,,75.0
2019,Syrien ,Männer,in 1000,,56.0
2019,Sonstiges Asien ,Männer,in 1000,,48.0
2019,Afghanistan,Männer,in 1000,,15.0
2019,China ,Männer,in 1000,,7.0
2019,Indien ,Männer,in 1000,,6.0
2019,Pakistan ,Männer,in 1000,,6.0
2019,Vietnam,Männer,in 1000,,9.0
2019,Australien und Ozeanien ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2019,Unbestimmt,Männer,in 1000,,37.0
2019,"Ohne Angaben, unbestimmt",Männer,in 1000,,26.0
2019,nachrichtlich:,Männer,in 1000,,0.0
2018,Insgesamt,Männer,in 1000,,890.0
2018,Europa ,Männer,in 1000,,537.0
2018,EU Staaten,Männer,in 1000,,291.0
2018,Bulgarien ,Männer,in 1000,,11.0
2018,Frankreich ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2018,Griechenland ,Männer,in 1000,,12.0
2018,Italien,Männer,in 1000,,23.0
2018,Kroatien ,Männer,in 1000,,8.0
2018,Niederlande ,Männer,in 1000,,29.0
2018,Österreich,Männer,in 1000,,7.0
2018,Polen ,Männer,in 1000,,125.0
2018,Portugal ,Männer,in 1000,,6.0
2018,Rumänien ,Männer,in 1000,,22.0
2018,Spanien ,Männer,in 1000,,9.0
2018,Vereinigtes Königreich ,Männer,in 1000,,11.0
2018,Sonstiges Europa ,Männer,in 1000,,245.0
2018,Bosnien und Herzegowina ,Männer,in 1000,,7.0
2018,Kosovo ,Männer,in 1000,,22.0
2018,Russische Föderation ,Männer,in 1000,,85.0
2018,Serbien ,Männer,in 1000,,10.0
2018,Türkei ,Männer,in 1000,,92.0
2018,Ukraine ,Männer,in 1000,,12.0
2018,Afrika,Männer,in 1000,,33.0
2018,Marokko ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2018,"Ägypten, Algerien, Libyen, Tunesien",Männer,in 1000,,9.0
2018,Amerika,Männer,in 1000,,15.0
2018,Nordamerika ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2018,Vereinigte Staaten ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2018,Mittel- und Südamerika ,Männer,in 1000,,10.0
2018,Asien ,Männer,in 1000,,249.0
2018,Naher und Mittlerer Osten ,Männer,in 1000,,204.0
2018,Irak ,Männer,in 1000,,20.0
2018,Iran ,Männer,in 1000,,12.0
2018,Kasachstan ,Männer,in 1000,,81.0
2018,Syrien ,Männer,in 1000,,58.0
2018,Sonstiges Asien ,Männer,in 1000,,45.0
2018,Afghanistan,Männer,in 1000,,12.0
2018,China ,Männer,in 1000,,6.0
2018,Indien ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2018,Pakistan ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2018,Vietnam,Männer,in 1000,,11.0
2018,Australien und Ozeanien ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2018,Unbestimmt,Männer,in 1000,,34.0
2018,"Ohne Angaben, unbestimmt",Männer,in 1000,,21.0
2018,nachrichtlich:,Männer,in 1000,,0.0
2017,Insgesamt,Männer,in 1000,,903.0
2017,Europa ,Männer,in 1000,,517.0
2017,EU Staaten,Männer,in 1000,,267.0
2017,Bulgarien ,Männer,in 1000,,10.0
2017,Frankreich ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2017,Griechenland ,Männer,in 1000,,11.0
2017,Italien,Männer,in 1000,,20.0
2017,Kroatien ,Männer,in 1000,,7.0
2017,Niederlande ,Männer,in 1000,,23.0
2017,Österreich,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2017,Polen ,Männer,in 1000,,117.0
2017,Portugal ,Männer,in 1000,,6.0
2017,Rumänien ,Männer,in 1000,,18.0
2017,Spanien ,Männer,in 1000,,8.0
2017,Vereinigtes Königreich ,Männer,in 1000,,13.0
2017,Sonstiges Europa ,Männer,in 1000,,250.0
2017,Bosnien und Herzegowina ,Männer,in 1000,,5.0
2017,Kosovo ,Männer,in 1000,,21.0
2017,Russische Föderation ,Männer,in 1000,,93.0
2017,Serbien ,Männer,in 1000,,12.0
2017,Türkei ,Männer,in 1000,,88.0
2017,Ukraine ,Männer,in 1000,,12.0
2017,Afrika,Männer,in 1000,,34.0
2017,Marokko ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2017,"Ägypten, Algerien, Libyen, Tunesien",Männer,in 1000,,8.0
2017,Amerika,Männer,in 1000,,13.0
2017,Nordamerika ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2017,Vereinigte Staaten ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2017,Mittel- und Südamerika ,Männer,in 1000,,10.0
2017,Asien ,Männer,in 1000,,228.0
2017,Naher und Mittlerer Osten ,Männer,in 1000,,187.0
2017,Irak ,Männer,in 1000,,20.0
2017,Iran ,Männer,in 1000,,10.0
2017,Kasachstan ,Männer,in 1000,,79.0
2017,Syrien ,Männer,in 1000,,47.0
2017,Sonstiges Asien ,Männer,in 1000,,41.0
2017,Afghanistan,Männer,in 1000,,12.0
2017,China ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2017,Indien ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2017,Pakistan ,Männer,in 1000,,5.0
2017,Vietnam,Männer,in 1000,,8.0
2017,Australien und Ozeanien ,Männer,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2017,Unbestimmt,Männer,in 1000,,30.0
2017,"Ohne Angaben, unbestimmt",Männer,in 1000,,81.0
2017,nachrichtlich:,Männer,in 1000,,0.0
2023,Europa,Frauen,in 1000,,614.0
2023,Bulgarien,Frauen,in 1000,,16.0
2023,Italien,Frauen,in 1000,,18.0
2023,Kroatien,Frauen,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2023,Polen,Frauen,in 1000,,135.0
2023,Rumänien,Frauen,in 1000,,25.0
2023,Spanien,Frauen,in 1000,,9.0
2023,Sonstiges Europa,Frauen,in 1000,,328.0
2023,Kosovo,Frauen,in 1000,,18.0
2023,Russische Förderation,Frauen,in 1000,,91.0
2023,Serbien,Frauen,in 1000,,11.0
2023,Türkei,Frauen,in 1000,,93.0
2023,Ukraine,Frauen,in 1000,,69.0
2023,EU Staaten,Frauen,in 1000,,286.0
2023,Afrika,Frauen,in 1000,,39.0
2023,Marokko,Frauen,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2023,Amerika,Frauen,in 1000,,24.0
2023,"Asien, Australien und Ozeanien",Frauen,in 1000,,291.0
2023,Afghanistan,Frauen,in 1000,,18.0
2023,Irak,Frauen,in 1000,,28.0
2023,Kasachstan,Frauen,in 1000,,89.0
2023,Syrien,Frauen,in 1000,,59.0
2023,Vietnam,Frauen,in 1000,,8.0
2023,"Ohne Angaben, unbestimmt",Frauen,in 1000,,65.0
2023,Gebiet des ehemaligen Jugoslawien (nachrichtlich),Frauen,in 1000,,52.0
2023,Gebiet der ehemaligen Sowjetunion (nachrichtlich),Frauen,in 1000,,293.0
2023,Insgesamt,Frauen,in 1000,,1033.0
2022,Europa,Frauen,in 1000,,581.0
2022,Bulgarien,Frauen,in 1000,,15.0
2022,Italien,Frauen,in 1000,,18.0
2022,Kroatien,Frauen,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2022,Polen,Frauen,in 1000,,127.0
2022,Rumänien,Frauen,in 1000,,27.0
2022,Spanien,Frauen,in 1000,,7.0
2022,Sonstiges Europa,Frauen,in 1000,,300.0
2022,Kosovo,Frauen,in 1000,,23.0
2022,Russische Förderation,Frauen,in 1000,,97.0
2022,Serbien,Frauen,in 1000,,15.0
2022,Türkei,Frauen,in 1000,,93.0
2022,Ukraine,Frauen,in 1000,,29.0
2022,EU Staaten,Frauen,in 1000,,281.0
2022,Afrika,Frauen,in 1000,,36.0
2022,Marokko,Frauen,in 1000,"Nicht veröffentlicht, weil nicht ausreichend genau oder nicht repräsentativ.",
2022,Amerika,Frauen,in 1000,,21.0
