Year,Gebietseinheit,Erreichter Schulabschluss,Berufsbildende Schule,Nationalität,Units,Value
2016,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,143.0
2016,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,544.0
2016,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,53.0
2016,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,376.0
2016,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,81.0
2016,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1666.0
2016,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2239.0
2016,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1072.0
2016,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,2781.0
2015,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,103911.0
2015,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5752.0
2015,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,14006.0
2015,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,965.0
2015,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,6374.0
2015,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,954.0
2015,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,49608.0
2015,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3839.0
2015,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9936.0
2015,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,21781.0
2015,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5620.0
2015,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,152.0
2015,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,467.0
2015,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,42.0
2015,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,374.0
2015,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,87.0
2015,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1709.0
2015,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,988.0
2015,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1021.0
2015,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1664.0
2014,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,104051.0
2014,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5636.0
2014,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,13110.0
2014,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1079.0
2014,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,6902.0
2014,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1126.0
2014,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,50395.0
2014,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3277.0
2014,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,9870.0
2014,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,24474.0
2014,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5199.0
2014,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,146.0
2014,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,516.0
2014,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,56.0
2014,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,345.0
2014,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,78.0
2014,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1713.0
2014,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,659.0
2014,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,950.0
2014,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1702.0
2013,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,104228.0
2013,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5776.0
2013,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,12991.0
2013,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,974.0
2013,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,6908.0
2013,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1041.0
2013,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,50629.0
2013,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3021.0
2013,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,10050.0
2013,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,22108.0
2013,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5000.0
2013,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,179.0
2013,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,466.0
2013,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,27.0
2013,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,352.0
2013,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,56.0
2013,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1631.0
2013,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,550.0
2013,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,951.0
2013,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1431.0
2012,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,107575.0
2012,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,6064.0
2012,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,14040.0
2012,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,1091.0
2012,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,7655.0
2012,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1199.0
2012,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,50738.0
2012,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,2978.0
2012,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,12136.0
2012,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,23647.0
2012,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5183.0
2012,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,152.0
2012,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,509.0
2012,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,41.0
2012,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,414.0
2012,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,55.0
2012,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1682.0
2012,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,598.0
2012,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1086.0
2012,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1466.0
2011,Niedersachsen,Insgesamt,Insgesamt,Deutsche,Anzahl,110111.0
2011,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Deutsche,Anzahl,5556.0
2011,Niedersachsen,Fachhochschulreife,Insgesamt,Deutsche,Anzahl,13619.0
2011,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Deutsche,Anzahl,911.0
2011,Niedersachsen,Realschulabschluss,Insgesamt,Deutsche,Anzahl,7975.0
2011,Niedersachsen,Hauptschulabschluss,Insgesamt,Deutsche,Anzahl,1557.0
2011,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Deutsche,Anzahl,52869.0
2011,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Deutsche,Anzahl,3221.0
2011,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Deutsche,Anzahl,12385.0
2011,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Deutsche,Anzahl,23450.0
2011,Niedersachsen,Insgesamt,Insgesamt,Ausländerinnen und Ausländer,Anzahl,5001.0
2011,Niedersachsen,Allgemeine Hochschulreife¹⁾,Insgesamt,Ausländerinnen und Ausländer,Anzahl,147.0
2011,Niedersachsen,Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,468.0
2011,Niedersachsen,Schulischer Teil der Fachhochschulreife,Insgesamt,Ausländerinnen und Ausländer,Anzahl,17.0
2011,Niedersachsen,Realschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,390.0
2011,Niedersachsen,Hauptschulabschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,86.0
2011,Niedersachsen,Erfolgreicher Besuch,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1784.0
2011,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Insgesamt,Ausländerinnen und Ausländer,Anzahl,479.0
2011,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1022.0
2011,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Insgesamt,Ausländerinnen und Ausländer,Anzahl,1493.0
2021,Niedersachsen,Insgesamt,Berufsschule (Teilzeit),Deutsche,Anzahl,38429.0
2021,Niedersachsen,Allgemeine Hochschulreife¹⁾,Berufsschule (Teilzeit),Deutsche,Anzahl,
2021,Niedersachsen,Fachhochschulreife,Berufsschule (Teilzeit),Deutsche,Anzahl,97.0
2021,Niedersachsen,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),Deutsche,Anzahl,
2021,Niedersachsen,Realschulabschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,3421.0
2021,Niedersachsen,Hauptschulabschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,137.0
2021,Niedersachsen,Erfolgreicher Besuch,Berufsschule (Teilzeit),Deutsche,Anzahl,27892.0
2021,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Berufsschule (Teilzeit),Deutsche,Anzahl,807.0
2021,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,2410.0
2021,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),Deutsche,Anzahl,9797.0
2021,Niedersachsen,Insgesamt,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,3208.0
2021,Niedersachsen,Allgemeine Hochschulreife¹⁾,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,
2021,Niedersachsen,Fachhochschulreife,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,4.0
2021,Niedersachsen,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,
2021,Niedersachsen,Realschulabschluss,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,787.0
2021,Niedersachsen,Hauptschulabschluss,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,63.0
2021,Niedersachsen,Erfolgreicher Besuch,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,1421.0
2021,Niedersachsen,Entlassungen aus BVJ bzw. aus den BS V-Bildungslehrgängen,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,25.0
2021,Niedersachsen,Ohne erfolgreichen Besuch/Abschluss,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,609.0
2021,Niedersachsen,nachrichtlich: Abbruch im laufenden Schuljahr,Berufsschule (Teilzeit),Ausländerinnen und Ausländer,Anzahl,1521.0
2020,Niedersachsen,Insgesamt,Berufsschule (Teilzeit),Deutsche,Anzahl,40331.0
2020,Niedersachsen,Allgemeine Hochschulreife¹⁾,Berufsschule (Teilzeit),Deutsche,Anzahl,
2020,Niedersachsen,Fachhochschulreife,Berufsschule (Teilzeit),Deutsche,Anzahl,104.0
2020,Niedersachsen,Schulischer Teil der Fachhochschulreife,Berufsschule (Teilzeit),Deutsche,Anzahl,
2020,Niedersachsen,Realschulabschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,3445.0
2020,Niedersachsen,Hauptschulabschluss,Berufsschule (Teilzeit),Deutsche,Anzahl,163.0
