Year,Land,Units,Value
2008,Afrika insgesamt,Anzahl,88
2008,Amerika insgesamt,Anzahl,-1035
2008,Asien insgesamt,Anzahl,1540
2008,Afghanistan,Anzahl,36
2008,Georgien,Anzahl,11
2008,Indien,Anzahl,3
2008,Irak,Anzahl,345
2008,"Iran,Islamische Republik",Anzahl,29
2008,Kasachstan,Anzahl,962
2008,Libanon,Anzahl,87
2008,"Syrien, Arabische Republik",Anzahl,62
2008,Australien und Ozeanien,Anzahl,-234
2008,Sonstige Ziele,Anzahl,-66
2008,Insgesamt,Anzahl,950
2009,Europa insgesamt,Anzahl,2716
2009,Albanien,Anzahl,-7
2009,Bulgarien,Anzahl,499
2009,Griechenland,Anzahl,-354
2009,Kosovo,Anzahl,212
2009,"Moldau, Republik",Anzahl,32
2009,Nordmazedonien,Anzahl,20
2009,Polen,Anzahl,635
2009,Rumänien,Anzahl,916
2009,Russische Föderation,Anzahl,2095
2009,Serbien (ab 2008),Anzahl,-333
2009,Türkei,Anzahl,-440
2009,Ukraine,Anzahl,388
2009,EU Staaten (ab 2021 ohne GB),Anzahl,1850
2009,Afrika insgesamt,Anzahl,384
2009,Amerika insgesamt,Anzahl,-170
2009,Asien insgesamt,Anzahl,4687
2009,Afghanistan,Anzahl,243
2009,Georgien,Anzahl,103
2009,Indien,Anzahl,97
2009,Irak,Anzahl,2603
2009,"Iran,Islamische Republik",Anzahl,147
2009,Kasachstan,Anzahl,834
2009,Libanon,Anzahl,-44
2009,"Syrien, Arabische Republik",Anzahl,189
2009,Australien und Ozeanien,Anzahl,-164
2009,Sonstige Ziele,Anzahl,190
2009,Insgesamt,Anzahl,7643
2010,Europa insgesamt,Anzahl,9999
2010,Albanien,Anzahl,-6
2010,Bulgarien,Anzahl,1045
2010,Griechenland,Anzahl,59
2010,Kosovo,Anzahl,192
2010,"Moldau, Republik",Anzahl,56
2010,Nordmazedonien,Anzahl,148
2010,Polen,Anzahl,2725
2010,Rumänien,Anzahl,1860
2010,Russische Föderation,Anzahl,1751
2010,Serbien (ab 2008),Anzahl,318
2010,Türkei,Anzahl,-206
2010,Ukraine,Anzahl,371
2010,EU Staaten (ab 2021 ohne GB),Anzahl,7868
2010,Afrika insgesamt,Anzahl,649
2010,Amerika insgesamt,Anzahl,42
2010,Asien insgesamt,Anzahl,3888
2010,Afghanistan,Anzahl,512
2010,Georgien,Anzahl,67
2010,Indien,Anzahl,243
2010,Irak,Anzahl,1176
2010,"Iran,Islamische Republik",Anzahl,337
2010,Kasachstan,Anzahl,483
2010,Libanon,Anzahl,54
2010,"Syrien, Arabische Republik",Anzahl,302
2010,Australien und Ozeanien,Anzahl,-120
2010,Sonstige Ziele,Anzahl,0
2010,Insgesamt,Anzahl,14458
2011,Europa insgesamt,Anzahl,17971
2011,Albanien,Anzahl,23
2011,Bulgarien,Anzahl,1193
2011,Griechenland,Anzahl,839
2011,Kosovo,Anzahl,240
2011,"Moldau, Republik",Anzahl,33
2011,Nordmazedonien,Anzahl,12
2011,Polen,Anzahl,7870
2011,Rumänien,Anzahl,2693
2011,Russische Föderation,Anzahl,1590
2011,Serbien (ab 2008),Anzahl,-87
2011,Türkei,Anzahl,41
2011,Ukraine,Anzahl,304
2011,EU Staaten (ab 2021 ohne GB),Anzahl,16351
2011,Afrika insgesamt,Anzahl,838
2011,Amerika insgesamt,Anzahl,549
2011,Asien insgesamt,Anzahl,4001
2011,Afghanistan,Anzahl,538
2011,Georgien,Anzahl,56
2011,Indien,Anzahl,162
2011,Irak,Anzahl,525
2011,"Iran,Islamische Republik",Anzahl,487
2011,Kasachstan,Anzahl,559
2011,Libanon,Anzahl,42
2011,"Syrien, Arabische Republik",Anzahl,610
2011,Australien und Ozeanien,Anzahl,1
2011,Sonstige Ziele,Anzahl,310
2011,Insgesamt,Anzahl,23670
2012,Europa insgesamt,Anzahl,21801
2012,Albanien,Anzahl,91
2012,Bulgarien,Anzahl,1439
2012,Griechenland,Anzahl,1186
2012,Kosovo,Anzahl,229
2012,"Moldau, Republik",Anzahl,75
2012,Nordmazedonien,Anzahl,356
2012,Polen,Anzahl,8059
2012,Rumänien,Anzahl,2257
2012,Russische Föderation,Anzahl,1551
2012,Serbien (ab 2008),Anzahl,213
2012,Türkei,Anzahl,-140
2012,Ukraine,Anzahl,360
2012,EU Staaten (ab 2021 ohne GB),Anzahl,19117
2012,Afrika insgesamt,Anzahl,1199
2012,Amerika insgesamt,Anzahl,504
2012,Asien insgesamt,Anzahl,4526
2012,Afghanistan,Anzahl,433
2012,Georgien,Anzahl,167
2012,Indien,Anzahl,213
2012,Irak,Anzahl,244
2012,"Iran,Islamische Republik",Anzahl,624
2012,Kasachstan,Anzahl,430
2012,Libanon,Anzahl,88
2012,"Syrien, Arabische Republik",Anzahl,860
2012,Australien und Ozeanien,Anzahl,-23
2012,Sonstige Ziele,Anzahl,-487
2012,Insgesamt,Anzahl,27520
2013,Europa insgesamt,Anzahl,24542
2013,Albanien,Anzahl,287
2013,Bulgarien,Anzahl,1385
2013,Griechenland,Anzahl,1066
2013,Kosovo,Anzahl,460
2013,"Moldau, Republik",Anzahl,90
2013,Nordmazedonien,Anzahl,357
2013,Polen,Anzahl,7980
2013,Rumänien,Anzahl,1978
2013,Russische Föderation,Anzahl,2915
2013,Serbien (ab 2008),Anzahl,791
2013,Türkei,Anzahl,-332
2013,Ukraine,Anzahl,462
2013,EU Staaten (ab 2021 ohne GB),Anzahl,19519
2013,Afrika insgesamt,Anzahl,2863
2013,Amerika insgesamt,Anzahl,213
2013,Asien insgesamt,Anzahl,7392
2013,Afghanistan,Anzahl,489
2013,Georgien,Anzahl,207
2013,Indien,Anzahl,270
2013,Irak,Anzahl,366
2013,"Iran,Islamische Republik",Anzahl,790
2013,Kasachstan,Anzahl,809
2013,Libanon,Anzahl,179
2013,"Syrien, Arabische Republik",Anzahl,2374
2013,Australien und Ozeanien,Anzahl,-41
2013,Sonstige Ziele,Anzahl,-34
2013,Insgesamt,Anzahl,34935
2014,Europa insgesamt,Anzahl,33237
2014,Albanien,Anzahl,1687
2014,Bulgarien,Anzahl,2957
2014,Griechenland,Anzahl,773
2014,Kosovo,Anzahl,1350
2014,"Moldau, Republik",Anzahl,302
2014,Nordmazedonien,Anzahl,487
2014,Polen,Anzahl,8211
2014,Rumänien,Anzahl,5802
2014,Russische Föderation,Anzahl,2928
2014,Serbien (ab 2008),Anzahl,1572
2014,Türkei,Anzahl,105
2014,Ukraine,Anzahl,1002
2014,EU Staaten (ab 2021 ohne GB),Anzahl,22319
2014,Afrika insgesamt,Anzahl,4009
2014,Amerika insgesamt,Anzahl,402
2014,Asien insgesamt,Anzahl,16519
2014,Afghanistan,Anzahl,703
2014,Georgien,Anzahl,354
2014,Indien,Anzahl,331
2014,Irak,Anzahl,969
2014,"Iran,Islamische Republik",Anzahl,398
2014,Kasachstan,Anzahl,2144
2014,Libanon,Anzahl,562
2014,"Syrien, Arabische Republik",Anzahl,8965
2014,Australien und Ozeanien,Anzahl,-72
2014,Sonstige Ziele,Anzahl,-52
2014,Insgesamt,Anzahl,54043
2015,Europa insgesamt,Anzahl,46652
2015,Albanien,Anzahl,4365
2015,Bulgarien,Anzahl,3977
2015,Griechenland,Anzahl,1079
2015,Kosovo,Anzahl,1736
2015,"Moldau, Republik",Anzahl,496
2015,Nordmazedonien,Anzahl,1275
2015,Polen,Anzahl,9466
2015,Rumänien,Anzahl,7216
2015,Russische Föderation,Anzahl,3502
2015,Serbien (ab 2008),Anzahl,1150
2015,Türkei,Anzahl,1240
2015,Ukraine,Anzahl,1278
2015,EU Staaten (ab 2021 ohne GB),Anzahl,28550
2015,Afrika insgesamt,Anzahl,10488
2015,Amerika insgesamt,Anzahl,630
2015,Asien insgesamt,Anzahl,61462
2015,Afghanistan,Anzahl,8239
2015,Georgien,Anzahl,518
2015,Indien,Anzahl,303
2015,Irak,Anzahl,10619
2015,"Iran,Islamische Republik",Anzahl,1830
2015,Kasachstan,Anzahl,2022
2015,Libanon,Anzahl,1277
2015,"Syrien, Arabische Republik",Anzahl,32462
2015,Australien und Ozeanien,Anzahl,-17
2015,Sonstige Ziele,Anzahl,384
2015,Insgesamt,Anzahl,119599
2016,Europa insgesamt,Anzahl,13142
2016,Albanien,Anzahl,-3085
2016,Bulgarien,Anzahl,2117
2016,Griechenland,Anzahl,921
2016,Kosovo,Anzahl,-952
2016,"Moldau, Republik",Anzahl,645
2016,Nordmazedonien,Anzahl,-617
2016,Polen,Anzahl,3051
2016,Rumänien,Anzahl,5328
2016,Russische Föderation,Anzahl,3933
2016,Serbien (ab 2008),Anzahl,-1552
2016,Türkei,Anzahl,1394
2016,Ukraine,Anzahl,1185
2016,EU Staaten (ab 2021 ohne GB),Anzahl,14665
2016,Afrika insgesamt,Anzahl,2057
2016,Amerika insgesamt,Anzahl,507
2016,Asien insgesamt,Anzahl,41755
2016,Afghanistan,Anzahl,7203
2016,Georgien,Anzahl,-38
2016,Indien,Anzahl,419
2016,Irak,Anzahl,11434
2016,"Iran,Islamische Republik",Anzahl,2013
2016,Kasachstan,Anzahl,2385
2016,Libanon,Anzahl,677
2016,"Syrien, Arabische Republik",Anzahl,14970
2016,Australien und Ozeanien,Anzahl,-71
2016,Sonstige Ziele,Anzahl,-19210
2016,Insgesamt,Anzahl,38180
2017,Europa insgesamt,Anzahl,28885
2017,Albanien,Anzahl,-475
2017,Bulgarien,Anzahl,2734
2017,Griechenland,Anzahl,818
2017,Kosovo,Anzahl,261
2017,"Moldau, Republik",Anzahl,948
2017,Nordmazedonien,Anzahl,14
2017,Polen,Anzahl,4250
2017,Rumänien,Anzahl,7347
2017,Russische Föderation,Anzahl,3319
2017,Serbien (ab 2008),Anzahl,234
2017,Türkei,Anzahl,4136
2017,Ukraine,Anzahl,1299
2017,EU Staaten (ab 2021 ohne GB),Anzahl,19231
2017,Afrika insgesamt,Anzahl,435
2017,Amerika insgesamt,Anzahl,1120
2017,Asien insgesamt,Anzahl,15521
2017,Afghanistan,Anzahl,415
2017,Georgien,Anzahl,69
2017,Indien,Anzahl,605
2017,Irak,Anzahl,3703
2017,"Iran,Islamische Republik",Anzahl,721
2017,Kasachstan,Anzahl,2653
2017,Libanon,Anzahl,362
2017,"Syrien, Arabische Republik",Anzahl,4273
2017,Australien und Ozeanien,Anzahl,-4
2017,Sonstige Ziele,Anzahl,-7352
2017,Insgesamt,Anzahl,38605
2018,Europa insgesamt,Anzahl,28790
2018,Albanien,Anzahl,360
2018,Bulgarien,Anzahl,2367
2018,Griechenland,Anzahl,865
2018,Kosovo,Anzahl,475
2018,"Moldau, Republik",Anzahl,1127
2018,Nordmazedonien,Anzahl,299
2018,Polen,Anzahl,2738
2018,Rumänien,Anzahl,6857
2018,Russische Föderation,Anzahl,3913
2018,Serbien (ab 2008),Anzahl,541
2018,Türkei,Anzahl,3491
2018,Ukraine,Anzahl,1433
2018,EU Staaten (ab 2021 ohne GB),Anzahl,16473
2018,Afrika insgesamt,Anzahl,2810
2018,Amerika insgesamt,Anzahl,1453
2018,Asien insgesamt,Anzahl,13273
2018,Afghanistan,Anzahl,418
2018,Georgien,Anzahl,155
2018,Indien,Anzahl,801
2018,Irak,Anzahl,2179
2018,"Iran,Islamische Republik",Anzahl,1388
2018,Kasachstan,Anzahl,2340
2018,Libanon,Anzahl,322
2018,"Syrien, Arabische Republik",Anzahl,3042
2018,Australien und Ozeanien,Anzahl,50
2018,Sonstige Ziele,Anzahl,-1367
2018,Insgesamt,Anzahl,45009
2019,Europa insgesamt,Anzahl,22129
2019,Albanien,Anzahl,632
2019,Bulgarien,Anzahl,1600
2019,Griechenland,Anzahl,517
2019,Kosovo,Anzahl,724
2019,"Moldau, Republik",Anzahl,1414
2019,Nordmazedonien,Anzahl,515
2019,Polen,Anzahl,367
2019,Rumänien,Anzahl,4306
2019,Russische Föderation,Anzahl,3949
2019,Serbien (ab 2008),Anzahl,490
2019,Türkei,Anzahl,3628
2019,Ukraine,Anzahl,1154
2019,EU Staaten (ab 2021 ohne GB),Anzahl,9026
2019,Afrika insgesamt,Anzahl,3958
2019,Amerika insgesamt,Anzahl,1603
2019,Asien insgesamt,Anzahl,13061
2019,Afghanistan,Anzahl,363
2019,Georgien,Anzahl,102
2019,Indien,Anzahl,1170
2019,Irak,Anzahl,1223
2019,"Iran,Islamische Republik",Anzahl,1040
2019,Kasachstan,Anzahl,2584
2019,Libanon,Anzahl,1069
2019,"Syrien, Arabische Republik",Anzahl,2544
2019,Australien und Ozeanien,Anzahl,50
2019,Sonstige Ziele,Anzahl,-2585
2019,Insgesamt,Anzahl,38216
2020,Europa insgesamt,Anzahl,18765
2020,Albanien,Anzahl,562
2020,Bulgarien,Anzahl,2537
2020,Griechenland,Anzahl,632
2020,Kosovo,Anzahl,488
2020,"Moldau, Republik",Anzahl,1040
2020,Nordmazedonien,Anzahl,312
2020,Polen,Anzahl,677
2020,Rumänien,Anzahl,4838
2020,Russische Föderation,Anzahl,2202
2020,Serbien (ab 2008),Anzahl,489
2020,Türkei,Anzahl,1763
2020,Ukraine,Anzahl,702
2020,EU Staaten (ab 2021 ohne GB),Anzahl,10615
2020,Afrika insgesamt,Anzahl,1873
2020,Amerika insgesamt,Anzahl,702
2020,Asien insgesamt,Anzahl,8483
2020,Afghanistan,Anzahl,713
2020,Georgien,Anzahl,106
2020,Indien,Anzahl,429
2020,Irak,Anzahl,1092
2020,"Iran,Islamische Republik",Anzahl,545
2020,Kasachstan,Anzahl,1710
2020,Libanon,Anzahl,511
2020,"Syrien, Arabische Republik",Anzahl,2368
2020,Australien und Ozeanien,Anzahl,117
2020,Sonstige Ziele,Anzahl,-2791
2020,Insgesamt,Anzahl,27149
2021,Europa insgesamt,Anzahl,21310
2021,Albanien,Anzahl,754
2021,Bulgarien,Anzahl,1695
2021,Griechenland,Anzahl,1384
2021,Kosovo,Anzahl,868
2021,"Moldau, Republik",Anzahl,1194
2021,Nordmazedonien,Anzahl,721
2021,Polen,Anzahl,663
2021,Rumänien,Anzahl,4152
2021,Russische Föderation,Anzahl,3645
2021,Serbien (ab 2008),Anzahl,782
2021,Türkei,Anzahl,2539
2021,Ukraine,Anzahl,881
2021,EU Staaten (ab 2021 ohne GB),Anzahl,9127
2021,Afrika insgesamt,Anzahl,3301
2021,Amerika insgesamt,Anzahl,1379
2021,Asien insgesamt,Anzahl,18923
2021,Afghanistan,Anzahl,2468
2021,Georgien,Anzahl,648
2021,Indien,Anzahl,1199
2021,Irak,Anzahl,2193
2021,"Iran,Islamische Republik",Anzahl,1004
2021,Kasachstan,Anzahl,2665
2021,Libanon,Anzahl,1185
2021,"Syrien, Arabische Republik",Anzahl,4936
2021,Australien und Ozeanien,Anzahl,30
2021,Sonstige Ziele,Anzahl,-3053
2021,Insgesamt,Anzahl,41890
