Year,Gebietseinheit,Altersgruppe,Nationalität,GeoCode,Value
2020,Osterholz,im Alter bis unter 18 Jahren,Deutsche,K03356,45.0
2020,Rotenburg (Wümme),im Alter bis unter 18 Jahren,Deutsche,K03357,47.0
2020,Heidekreis,im Alter bis unter 18 Jahren,Deutsche,K03358,91.0
2020,Stade,im Alter bis unter 18 Jahren,Deutsche,K03359,93.0
2020,Uelzen,im Alter bis unter 18 Jahren,Deutsche,K03360,73.0
2020,Verden,im Alter bis unter 18 Jahren,Deutsche,K03361,65.0
2020,Statistische Region Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K033,75.0
2020,"Delmenhorst, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03401,175.0
2020,Emden  Stadt,im Alter bis unter 18 Jahren,Deutsche,K03402,166.0
2020,"Oldenburg(Oldb), Stadt",im Alter bis unter 18 Jahren,Deutsche,K03403,132.0
2020,"Osnabrück, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03404,131.0
2020,"Wilhelmshaven, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03405,200.0
2020,Ammerland,im Alter bis unter 18 Jahren,Deutsche,K03451,60.0
2020,Aurich,im Alter bis unter 18 Jahren,Deutsche,K03452,111.0
2020,Cloppenburg,im Alter bis unter 18 Jahren,Deutsche,K03453,56.0
2020,Emsland,im Alter bis unter 18 Jahren,Deutsche,K03454,38.0
2020,Friesland,im Alter bis unter 18 Jahren,Deutsche,K03455,63.0
2020,Grafschaft Bentheim,im Alter bis unter 18 Jahren,Deutsche,K03456,55.0
2020,Leer,im Alter bis unter 18 Jahren,Deutsche,K03457,56.0
2020,Oldenburg,im Alter bis unter 18 Jahren,Deutsche,K03458,47.0
2020,Osnabrück,im Alter bis unter 18 Jahren,Deutsche,K03459,40.0
2020,Vechta,im Alter bis unter 18 Jahren,Deutsche,K03460,46.0
2020,Wesermarsch,im Alter bis unter 18 Jahren,Deutsche,K03461,108.0
2020,Wittmund,im Alter bis unter 18 Jahren,Deutsche,K03462,82.0
2020,Statistische Region Weser-Ems,im Alter bis unter 18 Jahren,Deutsche,K034,74.0
2020,Niedersachsen,im Alter bis unter 18 Jahren,Deutsche,K030,87.0
2019,"Braunschweig, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03101,103.0
2019,"Salzgitter, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03102,150.0
2019,"Wolfsburg, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03103,84.0
2019,Gifhorn,im Alter bis unter 18 Jahren,Deutsche,K03151,58.0
2019,Goslar,im Alter bis unter 18 Jahren,Deutsche,K03153,127.0
2019,Helmstedt,im Alter bis unter 18 Jahren,Deutsche,K03154,91.0
2019,Northeim,im Alter bis unter 18 Jahren,Deutsche,K03155,91.0
2019,Peine,im Alter bis unter 18 Jahren,Deutsche,K03157,104.0
2019,Wolfenbüttel,im Alter bis unter 18 Jahren,Deutsche,K03158,80.0
2019,Göttingen,im Alter bis unter 18 Jahren,Deutsche,K03159,82.0
2019,Statistische Region Braunschweig,im Alter bis unter 18 Jahren,Deutsche,K031,93.0
2019,Hannover  Region,im Alter bis unter 18 Jahren,Deutsche,K03241,130.0
2019,"dav. Hannover, Lhst.",im Alter bis unter 18 Jahren,Deutsche,K03241001,177.0
2019,"dav. Hannover, Umland",im Alter bis unter 18 Jahren,Deutsche,K03241999,95.0
2019,Diepholz,im Alter bis unter 18 Jahren,Deutsche,K03251,70.0
2019,Hameln-Pyrmont,im Alter bis unter 18 Jahren,Deutsche,K03252,119.0
2019,Hildesheim,im Alter bis unter 18 Jahren,Deutsche,K03254,101.0
2019,Holzminden,im Alter bis unter 18 Jahren,Deutsche,K03255,114.0
2019,Nienburg (Weser),im Alter bis unter 18 Jahren,Deutsche,K03256,104.0
2019,Schaumburg,im Alter bis unter 18 Jahren,Deutsche,K03257,92.0
2019,Statistische Region Hannover,im Alter bis unter 18 Jahren,Deutsche,K032,114.0
2019,Celle,im Alter bis unter 18 Jahren,Deutsche,K03351,111.0
2019,Cuxhaven,im Alter bis unter 18 Jahren,Deutsche,K03352,89.0
2019,Harburg,im Alter bis unter 18 Jahren,Deutsche,K03353,62.0
2019,Lüchow-Dannenberg,im Alter bis unter 18 Jahren,Deutsche,K03354,106.0
2019,Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K03355,83.0
2019,Osterholz,im Alter bis unter 18 Jahren,Deutsche,K03356,47.0
2019,Rotenburg (Wümme),im Alter bis unter 18 Jahren,Deutsche,K03357,47.0
2019,Heidekreis,im Alter bis unter 18 Jahren,Deutsche,K03358,95.0
2019,Stade,im Alter bis unter 18 Jahren,Deutsche,K03359,96.0
2019,Uelzen,im Alter bis unter 18 Jahren,Deutsche,K03360,79.0
2019,Verden,im Alter bis unter 18 Jahren,Deutsche,K03361,71.0
2019,Statistische Region Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K033,80.0
2019,"Delmenhorst, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03401,179.0
2019,Emden  Stadt,im Alter bis unter 18 Jahren,Deutsche,K03402,171.0
2019,"Oldenburg(Oldb), Stadt",im Alter bis unter 18 Jahren,Deutsche,K03403,137.0
2019,"Osnabrück, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03404,135.0
2019,"Wilhelmshaven, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03405,205.0
2019,Ammerland,im Alter bis unter 18 Jahren,Deutsche,K03451,58.0
2019,Aurich,im Alter bis unter 18 Jahren,Deutsche,K03452,110.0
2019,Cloppenburg,im Alter bis unter 18 Jahren,Deutsche,K03453,58.0
2019,Emsland,im Alter bis unter 18 Jahren,Deutsche,K03454,40.0
2019,Friesland,im Alter bis unter 18 Jahren,Deutsche,K03455,74.0
2019,Grafschaft Bentheim,im Alter bis unter 18 Jahren,Deutsche,K03456,55.0
2019,Leer,im Alter bis unter 18 Jahren,Deutsche,K03457,60.0
2019,Oldenburg,im Alter bis unter 18 Jahren,Deutsche,K03458,51.0
2019,Osnabrück,im Alter bis unter 18 Jahren,Deutsche,K03459,43.0
2019,Vechta,im Alter bis unter 18 Jahren,Deutsche,K03460,45.0
2019,Wesermarsch,im Alter bis unter 18 Jahren,Deutsche,K03461,114.0
2019,Wittmund,im Alter bis unter 18 Jahren,Deutsche,K03462,79.0
2019,Statistische Region Weser-Ems,im Alter bis unter 18 Jahren,Deutsche,K034,77.0
2019,Niedersachsen,im Alter bis unter 18 Jahren,Deutsche,K030,90.0
2018,"Braunschweig, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03101,106.0
2018,"Salzgitter, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03102,158.0
2018,"Wolfsburg, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03103,87.0
2018,Gifhorn,im Alter bis unter 18 Jahren,Deutsche,K03151,62.0
2018,Goslar,im Alter bis unter 18 Jahren,Deutsche,K03153,138.0
2018,Helmstedt,im Alter bis unter 18 Jahren,Deutsche,K03154,102.0
2018,Northeim,im Alter bis unter 18 Jahren,Deutsche,K03155,97.0
2018,Peine,im Alter bis unter 18 Jahren,Deutsche,K03157,109.0
2018,Wolfenbüttel,im Alter bis unter 18 Jahren,Deutsche,K03158,83.0
2018,Göttingen,im Alter bis unter 18 Jahren,Deutsche,K03159,91.0
2018,Statistische Region Braunschweig,im Alter bis unter 18 Jahren,Deutsche,K031,99.0
2018,Hannover  Region,im Alter bis unter 18 Jahren,Deutsche,K03241,138.0
2018,"dav. Hannover, Lhst.",im Alter bis unter 18 Jahren,Deutsche,K03241001,186.0
2018,"dav. Hannover, Umland",im Alter bis unter 18 Jahren,Deutsche,K03241999,101.0
2018,Diepholz,im Alter bis unter 18 Jahren,Deutsche,K03251,80.0
2018,Hameln-Pyrmont,im Alter bis unter 18 Jahren,Deutsche,K03252,132.0
2018,Hildesheim,im Alter bis unter 18 Jahren,Deutsche,K03254,110.0
2018,Holzminden,im Alter bis unter 18 Jahren,Deutsche,K03255,117.0
2018,Nienburg (Weser),im Alter bis unter 18 Jahren,Deutsche,K03256,107.0
2018,Schaumburg,im Alter bis unter 18 Jahren,Deutsche,K03257,101.0
2018,Statistische Region Hannover,im Alter bis unter 18 Jahren,Deutsche,K032,123.0
2018,Celle,im Alter bis unter 18 Jahren,Deutsche,K03351,116.0
2018,Cuxhaven,im Alter bis unter 18 Jahren,Deutsche,K03352,95.0
2018,Harburg,im Alter bis unter 18 Jahren,Deutsche,K03353,67.0
2018,Lüchow-Dannenberg,im Alter bis unter 18 Jahren,Deutsche,K03354,107.0
2018,Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K03355,92.0
2018,Osterholz,im Alter bis unter 18 Jahren,Deutsche,K03356,52.0
2018,Rotenburg (Wümme),im Alter bis unter 18 Jahren,Deutsche,K03357,53.0
2018,Heidekreis,im Alter bis unter 18 Jahren,Deutsche,K03358,100.0
2018,Stade,im Alter bis unter 18 Jahren,Deutsche,K03359,102.0
2018,Uelzen,im Alter bis unter 18 Jahren,Deutsche,K03360,93.0
2018,Verden,im Alter bis unter 18 Jahren,Deutsche,K03361,78.0
2018,Statistische Region Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K033,86.0
2018,"Delmenhorst, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03401,187.0
2018,Emden  Stadt,im Alter bis unter 18 Jahren,Deutsche,K03402,171.0
2018,"Oldenburg(Oldb), Stadt",im Alter bis unter 18 Jahren,Deutsche,K03403,146.0
2018,"Osnabrück, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03404,148.0
2018,"Wilhelmshaven, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03405,213.0
2018,Ammerland,im Alter bis unter 18 Jahren,Deutsche,K03451,67.0
2018,Aurich,im Alter bis unter 18 Jahren,Deutsche,K03452,114.0
2018,Cloppenburg,im Alter bis unter 18 Jahren,Deutsche,K03453,63.0
2018,Emsland,im Alter bis unter 18 Jahren,Deutsche,K03454,48.0
2018,Friesland,im Alter bis unter 18 Jahren,Deutsche,K03455,79.0
2018,Grafschaft Bentheim,im Alter bis unter 18 Jahren,Deutsche,K03456,64.0
2018,Leer,im Alter bis unter 18 Jahren,Deutsche,K03457,70.0
2018,Oldenburg,im Alter bis unter 18 Jahren,Deutsche,K03458,57.0
2018,Osnabrück,im Alter bis unter 18 Jahren,Deutsche,K03459,50.0
2018,Vechta,im Alter bis unter 18 Jahren,Deutsche,K03460,48.0
2018,Wesermarsch,im Alter bis unter 18 Jahren,Deutsche,K03461,120.0
2018,Wittmund,im Alter bis unter 18 Jahren,Deutsche,K03462,91.0
2018,Statistische Region Weser-Ems,im Alter bis unter 18 Jahren,Deutsche,K034,84.0
2018,Niedersachsen,im Alter bis unter 18 Jahren,Deutsche,K030,97.0
2017,"Braunschweig, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03101,115.0
2017,"Salzgitter, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03102,166.0
2017,"Wolfsburg, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03103,93.0
2017,Gifhorn,im Alter bis unter 18 Jahren,Deutsche,K03151,61.0
2017,Goslar,im Alter bis unter 18 Jahren,Deutsche,K03153,144.0
2017,Helmstedt,im Alter bis unter 18 Jahren,Deutsche,K03154,109.0
2017,Northeim,im Alter bis unter 18 Jahren,Deutsche,K03155,106.0
2017,Peine,im Alter bis unter 18 Jahren,Deutsche,K03157,116.0
2017,Wolfenbüttel,im Alter bis unter 18 Jahren,Deutsche,K03158,91.0
2017,Göttingen,im Alter bis unter 18 Jahren,Deutsche,K03159,98.0
2017,Statistische Region Braunschweig,im Alter bis unter 18 Jahren,Deutsche,K031,105.0
2017,Hannover  Region,im Alter bis unter 18 Jahren,Deutsche,K03241,147.0
2017,"dav. Hannover, Lhst.",im Alter bis unter 18 Jahren,Deutsche,K03241001,195.0
2017,"dav. Hannover, Umland",im Alter bis unter 18 Jahren,Deutsche,K03241999,110.356446554209
2017,Diepholz,im Alter bis unter 18 Jahren,Deutsche,K03251,88.0
2017,Hameln-Pyrmont,im Alter bis unter 18 Jahren,Deutsche,K03252,143.0
2017,Hildesheim,im Alter bis unter 18 Jahren,Deutsche,K03254,119.0
2017,Holzminden,im Alter bis unter 18 Jahren,Deutsche,K03255,131.0
2017,Nienburg (Weser),im Alter bis unter 18 Jahren,Deutsche,K03256,117.0
2017,Schaumburg,im Alter bis unter 18 Jahren,Deutsche,K03257,109.0
2017,Statistische Region Hannover,im Alter bis unter 18 Jahren,Deutsche,K032,132.0
2017,Celle,im Alter bis unter 18 Jahren,Deutsche,K03351,124.0
2017,Cuxhaven,im Alter bis unter 18 Jahren,Deutsche,K03352,106.0
2017,Harburg,im Alter bis unter 18 Jahren,Deutsche,K03353,72.0
2017,Lüchow-Dannenberg,im Alter bis unter 18 Jahren,Deutsche,K03354,120.0
2017,Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K03355,93.0
2017,Osterholz,im Alter bis unter 18 Jahren,Deutsche,K03356,59.0
2017,Rotenburg (Wümme),im Alter bis unter 18 Jahren,Deutsche,K03357,62.0
2017,Heidekreis,im Alter bis unter 18 Jahren,Deutsche,K03358,110.0
2017,Stade,im Alter bis unter 18 Jahren,Deutsche,K03359,110.0
2017,Uelzen,im Alter bis unter 18 Jahren,Deutsche,K03360,106.0
2017,Verden,im Alter bis unter 18 Jahren,Deutsche,K03361,89.0
2017,Statistische Region Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K033,94.0
2017,"Delmenhorst, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03401,202.0
2017,Emden  Stadt,im Alter bis unter 18 Jahren,Deutsche,K03402,179.0
2017,"Oldenburg(Oldb), Stadt",im Alter bis unter 18 Jahren,Deutsche,K03403,160.0
2017,"Osnabrück, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03404,160.0
2017,"Wilhelmshaven, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03405,243.0
2017,Ammerland,im Alter bis unter 18 Jahren,Deutsche,K03451,76.0
2017,Aurich,im Alter bis unter 18 Jahren,Deutsche,K03452,115.0
2017,Cloppenburg,im Alter bis unter 18 Jahren,Deutsche,K03453,72.0
2017,Emsland,im Alter bis unter 18 Jahren,Deutsche,K03454,52.0
2017,Friesland,im Alter bis unter 18 Jahren,Deutsche,K03455,98.0
2017,Grafschaft Bentheim,im Alter bis unter 18 Jahren,Deutsche,K03456,76.0
2017,Leer,im Alter bis unter 18 Jahren,Deutsche,K03457,79.0
2017,Oldenburg,im Alter bis unter 18 Jahren,Deutsche,K03458,66.0
2017,Osnabrück,im Alter bis unter 18 Jahren,Deutsche,K03459,60.0
2017,Vechta,im Alter bis unter 18 Jahren,Deutsche,K03460,54.0
2017,Wesermarsch,im Alter bis unter 18 Jahren,Deutsche,K03461,126.0
2017,Wittmund,im Alter bis unter 18 Jahren,Deutsche,K03462,98.0
2017,Statistische Region Weser-Ems,im Alter bis unter 18 Jahren,Deutsche,K034,93.0
2017,Niedersachsen,im Alter bis unter 18 Jahren,Deutsche,K030,106.0
2016,"Braunschweig, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03101,127.0
2016,"Salzgitter, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03102,173.0
2016,"Wolfsburg, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03103,94.0
2016,Gifhorn,im Alter bis unter 18 Jahren,Deutsche,K03151,66.0
2016,Goslar,im Alter bis unter 18 Jahren,Deutsche,K03153,159.0
2016,Helmstedt,im Alter bis unter 18 Jahren,Deutsche,K03154,112.0
2016,Northeim,im Alter bis unter 18 Jahren,Deutsche,K03155,110.0
2016,Peine,im Alter bis unter 18 Jahren,Deutsche,K03157,124.0
2016,Wolfenbüttel,im Alter bis unter 18 Jahren,Deutsche,K03158,100.0
2016,Göttingen,im Alter bis unter 18 Jahren,Deutsche,K03159,103.0
2016,Statistische Region Braunschweig,im Alter bis unter 18 Jahren,Deutsche,K031,112.0
2016,Hannover  Region,im Alter bis unter 18 Jahren,Deutsche,K03241,153.0
2016,"dav. Hannover, Lhst.",im Alter bis unter 18 Jahren,Deutsche,K03241001,203.0
2016,"dav. Hannover, Umland",im Alter bis unter 18 Jahren,Deutsche,K03241999,115.974366566558
2016,Diepholz,im Alter bis unter 18 Jahren,Deutsche,K03251,94.0
2016,Hameln-Pyrmont,im Alter bis unter 18 Jahren,Deutsche,K03252,149.0
2016,Hildesheim,im Alter bis unter 18 Jahren,Deutsche,K03254,125.0
2016,Holzminden,im Alter bis unter 18 Jahren,Deutsche,K03255,133.0
2016,Nienburg (Weser),im Alter bis unter 18 Jahren,Deutsche,K03256,121.0
2016,Schaumburg,im Alter bis unter 18 Jahren,Deutsche,K03257,112.0
2016,Statistische Region Hannover,im Alter bis unter 18 Jahren,Deutsche,K032,137.0
2016,Celle,im Alter bis unter 18 Jahren,Deutsche,K03351,132.0
2016,Cuxhaven,im Alter bis unter 18 Jahren,Deutsche,K03352,109.0
2016,Harburg,im Alter bis unter 18 Jahren,Deutsche,K03353,76.0
2016,Lüchow-Dannenberg,im Alter bis unter 18 Jahren,Deutsche,K03354,133.0
2016,Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K03355,104.0
2016,Osterholz,im Alter bis unter 18 Jahren,Deutsche,K03356,66.0
2016,Rotenburg (Wümme),im Alter bis unter 18 Jahren,Deutsche,K03357,64.0
2016,Heidekreis,im Alter bis unter 18 Jahren,Deutsche,K03358,113.0
2016,Stade,im Alter bis unter 18 Jahren,Deutsche,K03359,113.0
2016,Uelzen,im Alter bis unter 18 Jahren,Deutsche,K03360,104.0
2016,Verden,im Alter bis unter 18 Jahren,Deutsche,K03361,93.0
2016,Statistische Region Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K033,99.0
2016,"Delmenhorst, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03401,225.0
2016,Emden  Stadt,im Alter bis unter 18 Jahren,Deutsche,K03402,177.0
2016,"Oldenburg(Oldb), Stadt",im Alter bis unter 18 Jahren,Deutsche,K03403,168.0
2016,"Osnabrück, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03404,171.0
2016,"Wilhelmshaven, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03405,247.0
2016,Ammerland,im Alter bis unter 18 Jahren,Deutsche,K03451,78.0
2016,Aurich,im Alter bis unter 18 Jahren,Deutsche,K03452,122.0
2016,Cloppenburg,im Alter bis unter 18 Jahren,Deutsche,K03453,78.0
2016,Emsland,im Alter bis unter 18 Jahren,Deutsche,K03454,55.0
2016,Friesland,im Alter bis unter 18 Jahren,Deutsche,K03455,103.0
2016,Grafschaft Bentheim,im Alter bis unter 18 Jahren,Deutsche,K03456,85.0
2016,Leer,im Alter bis unter 18 Jahren,Deutsche,K03457,80.0
2016,Oldenburg,im Alter bis unter 18 Jahren,Deutsche,K03458,75.0
2016,Osnabrück,im Alter bis unter 18 Jahren,Deutsche,K03459,68.0
2016,Vechta,im Alter bis unter 18 Jahren,Deutsche,K03460,59.0
2016,Wesermarsch,im Alter bis unter 18 Jahren,Deutsche,K03461,133.0
2016,Wittmund,im Alter bis unter 18 Jahren,Deutsche,K03462,103.0
2016,Statistische Region Weser-Ems,im Alter bis unter 18 Jahren,Deutsche,K034,99.0
2016,Niedersachsen,im Alter bis unter 18 Jahren,Deutsche,K030,111.0
2015,"Braunschweig, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03101,132.0
2015,"Salzgitter, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03102,162.0
2015,"Wolfsburg, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03103,98.0
2015,Gifhorn,im Alter bis unter 18 Jahren,Deutsche,K03151,68.0
2015,Goslar,im Alter bis unter 18 Jahren,Deutsche,K03153,159.0
2015,Helmstedt,im Alter bis unter 18 Jahren,Deutsche,K03154,115.0
2015,Northeim,im Alter bis unter 18 Jahren,Deutsche,K03155,114.0
2015,Peine,im Alter bis unter 18 Jahren,Deutsche,K03157,121.0
2015,Wolfenbüttel,im Alter bis unter 18 Jahren,Deutsche,K03158,101.0
2015,Göttingen,im Alter bis unter 18 Jahren,Deutsche,K03159,110.355806049133
2015,Statistische Region Braunschweig,im Alter bis unter 18 Jahren,Deutsche,K031,115.0
2015,Hannover  Region,im Alter bis unter 18 Jahren,Deutsche,K03241,155.0
2015,"dav. Hannover, Lhst.",im Alter bis unter 18 Jahren,Deutsche,K03241001,203.0
2015,"dav. Hannover, Umland",im Alter bis unter 18 Jahren,Deutsche,K03241999,119.16196548036
2015,Diepholz,im Alter bis unter 18 Jahren,Deutsche,K03251,95.0
2015,Hameln-Pyrmont,im Alter bis unter 18 Jahren,Deutsche,K03252,154.0
2015,Hildesheim,im Alter bis unter 18 Jahren,Deutsche,K03254,131.0
2015,Holzminden,im Alter bis unter 18 Jahren,Deutsche,K03255,136.0
2015,Nienburg (Weser),im Alter bis unter 18 Jahren,Deutsche,K03256,128.0
2015,Schaumburg,im Alter bis unter 18 Jahren,Deutsche,K03257,120.0
2015,Statistische Region Hannover,im Alter bis unter 18 Jahren,Deutsche,K032,140.0
2015,Celle,im Alter bis unter 18 Jahren,Deutsche,K03351,135.0
2015,Cuxhaven,im Alter bis unter 18 Jahren,Deutsche,K03352,109.0
2015,Harburg,im Alter bis unter 18 Jahren,Deutsche,K03353,81.0
2015,Lüchow-Dannenberg,im Alter bis unter 18 Jahren,Deutsche,K03354,142.0
2015,Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K03355,109.0
2015,Osterholz,im Alter bis unter 18 Jahren,Deutsche,K03356,66.0
2015,Rotenburg (Wümme),im Alter bis unter 18 Jahren,Deutsche,K03357,64.0
2015,Heidekreis,im Alter bis unter 18 Jahren,Deutsche,K03358,114.0
2015,Stade,im Alter bis unter 18 Jahren,Deutsche,K03359,117.0
2015,Uelzen,im Alter bis unter 18 Jahren,Deutsche,K03360,107.0
2015,Verden,im Alter bis unter 18 Jahren,Deutsche,K03361,96.0
2015,Statistische Region Lüneburg,im Alter bis unter 18 Jahren,Deutsche,K033,101.0
2015,"Delmenhorst, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03401,237.0
2015,Emden  Stadt,im Alter bis unter 18 Jahren,Deutsche,K03402,174.0
2015,"Oldenburg(Oldb), Stadt",im Alter bis unter 18 Jahren,Deutsche,K03403,173.0
2015,"Osnabrück, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03404,181.0
2015,"Wilhelmshaven, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03405,249.0
2015,Ammerland,im Alter bis unter 18 Jahren,Deutsche,K03451,79.0
2015,Aurich,im Alter bis unter 18 Jahren,Deutsche,K03452,120.0
2015,Cloppenburg,im Alter bis unter 18 Jahren,Deutsche,K03453,80.0
2015,Emsland,im Alter bis unter 18 Jahren,Deutsche,K03454,57.0
2015,Friesland,im Alter bis unter 18 Jahren,Deutsche,K03455,110.0
2015,Grafschaft Bentheim,im Alter bis unter 18 Jahren,Deutsche,K03456,89.0
2015,Leer,im Alter bis unter 18 Jahren,Deutsche,K03457,82.0
2015,Oldenburg,im Alter bis unter 18 Jahren,Deutsche,K03458,83.0
2015,Osnabrück,im Alter bis unter 18 Jahren,Deutsche,K03459,71.0
2015,Vechta,im Alter bis unter 18 Jahren,Deutsche,K03460,60.0
2015,Wesermarsch,im Alter bis unter 18 Jahren,Deutsche,K03461,135.0
2015,Wittmund,im Alter bis unter 18 Jahren,Deutsche,K03462,114.0
2015,Statistische Region Weser-Ems,im Alter bis unter 18 Jahren,Deutsche,K034,103.0
2015,Niedersachsen,im Alter bis unter 18 Jahren,Deutsche,K030,114.0
2014,"Braunschweig, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03101,135.0
2014,"Salzgitter, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03102,155.0
2014,"Wolfsburg, Stadt",im Alter bis unter 18 Jahren,Deutsche,K03103,107.0
2014,Gifhorn,im Alter bis unter 18 Jahren,Deutsche,K03151,73.0
2014,Goslar,im Alter bis unter 18 Jahren,Deutsche,K03153,164.0
2014,Helmstedt,im Alter bis unter 18 Jahren,Deutsche,K03154,120.0
2014,Northeim,im Alter bis unter 18 Jahren,Deutsche,K03155,119.0
2014,Peine,im Alter bis unter 18 Jahren,Deutsche,K03157,128.0
2014,Wolfenbüttel,im Alter bis unter 18 Jahren,Deutsche,K03158,110.0
2014,Göttingen,im Alter bis unter 18 Jahren,Deutsche,K03159,118.091649341649
2014,Statistische Region Braunschweig,im Alter bis unter 18 Jahren,Deutsche,K031,120.0
2014,Hannover  Region,im Alter bis unter 18 Jahren,Deutsche,K03241,161.0
2014,"dav. Hannover, Lhst.",im Alter bis unter 18 Jahren,Deutsche,K03241001,213.0
2014,"dav. Hannover, Umland",im Alter bis unter 18 Jahren,Deutsche,K03241999,122.52021338668
2014,Diepholz,im Alter bis unter 18 Jahren,Deutsche,K03251,96.0
2014,Hameln-Pyrmont,im Alter bis unter 18 Jahren,Deutsche,K03252,155.0
2014,Hildesheim,im Alter bis unter 18 Jahren,Deutsche,K03254,130.0
2014,Holzminden,im Alter bis unter 18 Jahren,Deutsche,K03255,138.0
2014,Nienburg (Weser),im Alter bis unter 18 Jahren,Deutsche,K03256,125.0
2014,Schaumburg,im Alter bis unter 18 Jahren,Deutsche,K03257,116.0
2014,Statistische Region Hannover,im Alter bis unter 18 Jahren,Deutsche,K032,143.0
2014,Celle,im Alter bis unter 18 Jahren,Deutsche,K03351,135.0
